"Sélectif Régional - Neuville-sur-Ain - 2009-10-25","Course 2","2009-10-25","Régional","248"
"Arthur Gentes","K1H","151.83","685","456",""
"Marc Le Morvan","K1H","152.11","636","460",""
"Yohan Thevenard","K1H","153.06","-","470",""
"Gabin Repellin","K1H","154.68","655","488",""
"Loic Joly","K1H","156.34","911","506",""
"Mathias Guillot","K1H","156.60","-","509",""
"Vincent Maire","K1H","156.89","701","512",""
"Alexandre Allemang","K1H","157.92","931","523",""
"Xavier Monnet","K1H","166.18","805","614",""
"Nicolas Thiebaut","K1H","170.04","1124","656",""
"Franck Guillot","K1H","172.71","-","686",""
"Jimmy Peisey","K1H","218.38","1007","1185",""
"Gerson Schlund","K1H","Nt","-","-",""
"Valentin Fournier","K1H","Nt","-","-",""
"Guillaume Mary-rispal","K1H","Nt","-","-",""
"Alex Leclerot","K1H","Nt","-","-",""
"Victor Demarez","K1H","Nt","-","-",""
"Arnaud Poujade","K1H","Nt","-","-",""
"Maxime Farge","K1H","Nt","-","-",""
"Jonathan Courduries","K1H","Nt","-","-",""
"Damien Balistreri","K1H","Nt","-","-",""
"Theo Foissard","K1H","Nt","-","-",""
"Antoni Zaki","K1H","Nt","-","-",""
"Pierrick Bonnefoy","K1H","Nt","-","-",""
"Loick Aupee","K1H","Nt","-","-",""
"Jonathan Froissard","K1H","Nt","-","-",""
"Tom Jackson","K1H","Nt","-","-",""
"Yann Delfs","K1H","Nt","-","-",""
"Colas Geier","K1H","Nt","-","-",""
"Yann Maignant","K1H","Nt","-","-",""
"Paolo Willmann Rosso","K1H","Nt","-","-",""
"Kevin Deschamps","K1H","Nt","-","-",""
"Youcef Bahlat","K1H","Nt","-","-",""
"Emmanuel Triomphe","K1H","Nt","-","-",""
"Pascal Hunault","K1H","Nt","-","-",""
"Edouard Grosjean","K1H","Nt","-","-",""
"Francois Cottet Gaydon","K1H","Nt","-","-",""
"Romain Musy","K1H","Nt","-","-",""
"Guillaume Gery","K1H","Nt","-","-",""
"Frederic Tinchant","K1H","Nt","-","-",""
"Emmanuel Moreau","K1H","Nt","-","-",""
"Cyril Gisbert","K1H","Nt","-","-",""
"Nicolas Detheve","K1H","Nt","-","-",""
"Florian Wadel","K1H","Nt","-","-",""
"Remy Alonso","K1H","Nt","-","-",""
"Sebastien De Kerleau","K1H","Nt","-","-",""
"Thomas Dandel","K1H","Nt","-","-",""
"Kevin Schultz","K1H","Nt","-","-",""
"Thibault Gibert","K1H","Nt","-","-",""
"Hafiz Ali Hassan","K1H","Nt","-","-",""
"William Desnos","K1H","Nt","-","-",""
