"Sélectif Régional - Jarnac - 2009-11-14","Course 1","2009-11-14","Régional","186"
"Antoine Giudicelli-Francois Giudicelli","C2H","111.09","154","224",""
"Come Hebert-David Soulier","C2H","115.15","196","271",""
"Thibault Dufour-Philippe Metran","C2H","122.24","-","352",""
"Baptiste Piveteau-Guillaume Chainier","C2H","125.58","-","391",""
"Boris Bouillaud-Thomas Chagnaud","C2H","128.52","402","424",""
"James Duvernoy-Batiste Dubois","C2H","130.54","446","447",""
"Maxime Buton-Mathis Besse","C2H","171.86","-","921",""
"Vincent Lapeyrigne-Gabriel Prunet-foch","C2H","179.10","-","1004",""
"Dimitri Rochier-Maxime Girardot","C2H","Nt","-","-",""
"Thomas Rolando-Lucas Kelifaoui","C2H","Nt","-","-",""
"Amelie Perier-Cedric Forgit","C2M","130.05","-","341",""
"Armelle Canali-Jonathan Delagnes","C2M","133.28","-","375",""
"Gaetan Minotte-Morgane Alain","C2M","143.50","-","484",""
"Oceane Drouet-Kevin Bernard","C2M","150.59","-","560",""
"Kevin Rocdunos-Manon Linck","C2M","153.60","-","592",""
"Christine Chauvin-Etienne Chauvin","C2M","154.70","-","604",""
"Sophie Delage-Yoan Micouraud","C2M","178.79","-","861",""
"Marie Gaspard","K1D","105.56","60","128",""
"Emilie Chamouleau","K1D","106.20","69","136",""
"Sarah Lyphout","K1D","106.75","134","142",""
"Laurence Pessoni","K1D","112.66","192","208",""
"Violaine Truche","K1D","113.39","207","216",""
"Laetitia Thueux","K1D","114.82","209","232",""
"Manon Hostens","K1D","116.50","938","250",""
"Christelle Macaire","K1D","120.11","-","291",""
"Camille Gil","K1D","120.69","277","298",""
"Mathilde Pelletan","K1D","122.33","275","316",""
"Morgane Alain","K1D","123.38","-","328",""
"Armelle Canali","K1D","126.16","-","358",""
"Manon Sacre","K1D","130.36","-","406",""
"Amelie Perier","K1D","131.07","517","413",""
"Marine Dumartin","K1D","131.40","451","416",""
"Marielle Counil","K1D","132.04","-","424",""
"Clarisse Robin","K1D","134.08","474","447",""
"Oceane Drouet","K1D","140.81","-","522",""
"Lydie Moreaud","K1D","141.13","1363","526",""
"Gabrielle Ducournau","K1D","145.24","-","572",""
"Alison Drouet","K1D","145.87","649","578",""
"Marie Charlotte Doreau","K1D","147.81","-","600",""
"Aurelie Pantier","K1D","149.63","-","621",""
"Manon Linck","K1D","150.58","-","631",""
"Elsa Metayer","K1D","150.89","-","635",""
"Eva Depuiset","K1D","169.10","-","838",""
"Elise Turowsky","K1D","169.98","-","847",""
"Ivana Lebegue","K1D","173.50","-","887",""
"Caroline Michaud","K1D","176.24","1494","917",""
"Frederique Merle","K1D","Nt","-","-",""
"Lucas Kelifaoui","K1H","90.93","78","97",""
"Nicolas Labat","K1H","91.32","27","102",""
"Antoine Launay","K1H","92.09","78","112",""
"Louis-maxime Main","K1H","94.71","146","144",""
"Yoann Gottardo","K1H","95.88","170","160",""
"David Riffaud","K1H","98.32","166","191",""
"Jean Messialle","K1H","98.86","183","197",""
"Vincent Menager","K1H","99.72","-","208",""
"James Duvernoy","K1H","99.73","248","208",""
"Jonathan Delagnes","K1H","99.74","52","208",""
"Thibaud Delaunay","K1H","100.04","162","212",""
"Damien Caillon","K1H","100.18","210","214",""
"Quentin Lyphout","K1H","100.28","163","216",""
"Thibault Dufour","K1H","101.49","183","231",""
"Marc Robert","K1H","101.65","210","233",""
"Damien Launay","K1H","101.95","220","236",""
"Felix Merzeau","K1H","102.05","209","237",""
"Baptiste Piveteau","K1H","103.15","245","251",""
"Clement Praille","K1H","103.33","240","253",""
"Guillaume Chainier","K1H","103.87","220","260",""
"Mathieu Pouchet","K1H","104.53","226","269",""
"Valentin Marin","K1H","105.09","273","276",""
"Thomas Marino","K1H","106.00","282","287",""
"Julien Riffaud","K1H","106.30","187","291",""
"Etienne Chauvin","K1H","106.70","262","297",""
"Kevin Sponem","K1H","107.60","296","307",""
"Olivier Nonnet","K1H","107.66","313","309",""
"Theo Pellennec","K1H","107.99","534","313",""
"Pierre Cogny","K1H","107.99","-","313",""
"Nicolas Arnoult","K1H","108.02","221","313",""
"Quentin Mignard","K1H","108.89","295","324",""
"Bastien Pailler","K1H","109.04","-","326",""
"Valentin Cesbron","K1H","110.06","-","339",""
"Jerome Muller","K1H","110.86","-","348",""
"Jeremy Rouet","K1H","111.91","-","361",""
"Jean-philippe Brothier","K1H","112.11","353","365",""
"Jason Brothier","K1H","112.28","441","367",""
"Batiste Dubois","K1H","112.69","-","371",""
"Gaetan Minotte","K1H","113.97","-","387",""
"Mathis Besse","K1H","114.33","-","393",""
"David Peigne","K1H","114.42","349","394",""
"Philippe Audouin-dubreuil","K1H","114.84","885","399",""
"Thomas Perrin","K1H","116.21","407","416",""
"Jordan Rocdunos","K1H","116.52","-","420",""
"Alexendre Coquet","K1H","116.53","727","420",""
"Hugo Le Goff","K1H","116.67","527","422",""
"Marin Daigne","K1H","117.21","-","428",""
"Jean-noel Biteau","K1H","117.87","421","437",""
"Hugo Epinoux","K1H","119.33","511","455",""
"Alexandre Dherbilly","K1H","119.47","-","458",""
"Kevin Rocdunos","K1H","120.44","-","469",""
"Maxime Bruneau","K1H","122.57","-","496",""
"David Stas","K1H","123.74","1683","511",""
"Valentin Soullard","K1H","124.62","416","522",""
"Jeremy Lepoutre","K1H","125.54","-","534",""
"Dimitri Rochier","K1H","126.27","-","543",""
"Mathieu Ribreaud","K1H","127.19","819","555",""
"Maxime Buton","K1H","128.27","-","568",""
"Valentin Thomas","K1H","129.34","-","582",""
"Loup Charles","K1H","129.34","-","582",""
"Vincent Lapeyrigne","K1H","130.13","1459","591",""
"Gabriel Prunet-foch","K1H","130.59","788","598",""
"Baptiste Charlier","K1H","131.16","-","604",""
"Daniel Bregazzi","K1H","131.21","855","605",""
"Thomas Megard","K1H","131.25","-","605",""
"Jean Luc Pessoni","K1H","131.45","609","609",""
"Sylvain Rey","K1H","131.80","-","613",""
"Julien Anglade","K1H","134.39","-","645",""
"Jeremy Michaud","K1H","136.37","-","670",""
"Vincent Zago","K1H","136.67","829","674",""
"Maxime Bos","K1H","140.03","-","717",""
"Maurice Pubert","K1H","140.13","745","718",""
"Paul Bertrand","K1H","141.66","-","737",""
"Victor Niney","K1H","146.44","-","798",""
"Robert Antoinet","K1H","169.01","-","1081",""
"Simon Richar","K1H","173.73","-","1142",""
"Jean Julien Gabard","K1H","220.08","-","1726",""
"Philippe Seguinot","K1H","Nt","-","-",""
"Guillaume Garuet-lempirou","K1H","Nt","-","-",""
"Nicolas Boulesteix","K1H","Nt","-","-",""
"Adrien Doumingos","K1H","Nt","-","-",""
"Valentin Millet Naas","K1H","Nt","-","-",""
"Keir Simpson","K1H","Nt","-","-",""
"Maxime Girardot","K1H","Nt","-","-",""
"Florian Chaumier","K1H","Nt","-","-",""
"Hugo Dagois","K1H","Nt","-","-",""
"Xavier Flatreau","K1H","Nt","-","-",""
"Camille Balsac","K1H","Nt","-","-",""
"Pierre Dehaudt","K1H","Nt","-","-",""
"Mathieu Cheze","K1H","Nt","-","-",""
"Maxime Perrin","K1H","Nt","-","-",""
