"Manche 2 de la Coupe de France National 1 Slalom - 64300 Orthez - Finale - 2019-03-03","Finale","2019-03-03","Nationale 1","133"
"Bertrand Avril-Chloe Gatuingt","C2M","236.44","417.31","1079.09","Finale B"
"Emma Vuitton","K1D","115.96","107.37","141.22","Finale B"
"Natacha Delassus","K1D","116.2","103.07","143.34","Finale B"
"Doriane Delassus","K1D","118.08","141.07","159.87","Finale B"
"Mylene Ferry","K1D","119.18","175.24","169.53","Finale B"
"Alixe Degremont","K1D","119.32","97.69","170.76","Finale B"
"Eva Pietracha","K1D","120.36","176.99","179.9","Finale B"
"Charline Berger Martin","K1D","121","181.02","185.54","Finale B"
"Cecile Tixier","K1D","122.67","134.75","200.22","Finale B"
"Laurene Roisin","K1D","123.78","177.25","209.97","Finale B"
"Lisa Mouffle","K1D","128.09","85.1","247.86","Finale B"
"Lea Wetzel","K1D","129.34","166.16","258.85","Finale B"
"Alexane Galmiche","K1D","140.01","167.05","352.65","Finale B"
"Pol Oulhen","K1H","95.85","53.16","73.98","Finale B"
"Hugo Regnier","K1H","96.94","79.65","84.81","Finale B"
"Loic Bertoia","K1H","97.05","88.09","85.9","Finale B"
"Ludovic Di Nisi","K1H","97.31","51.9","88.49","Finale B"
"Paul Cornut-chauvinc","K1H","97.59","83.76","91.27","Finale B"
"Etienne Daille","K1H","97.69","39.12","92.26","Finale B"
"Edgar Prigent","K1H","97.78","59.4","93.15","Finale B"
"Theo Desvignes","K1H","98.39","82.12","99.21","Finale B"
"Isaac Dufrene","K1H","98.54","79.1","100.7","Finale B"
"Nicolas Baudoin","K1H","98.67","72.63","102","Finale B"
"Mathieu Doby","K1H","98.83","108.17","103.58","Finale B"
"Alan Dollo","K1H","98.94","67.88","104.68","Finale B"
"Julien Pajaud","K1H","99","57.25","105.27","Finale B"
"Maxime Bottex","K1H","99.1","76.08","106.27","Finale B"
"Florian Busson","K1H","99.44","116.58","109.64","Finale B"
"Leo Vuitton","K1H","100.47","142.27","119.88","Finale B"
"Raphael Olla","K1H","101.04","136.39","125.54","Finale B"
"Hippolyte Cail","K1H","101.41","143.64","129.21","Finale B"
"Noe Perreau","K1H","101.42","133.17","129.31","Finale B"
"Tom Deconchy","K1H","101.64","135.24","131.5","Finale B"
"Thomas Rosset","K1H","102.1","76.41","136.07","Finale B"
"Martin Daviet","K1H","102.33","65.27","138.35","Finale B"
"Jean Charles Hacquart","K1H","102.35","120.73","138.55","Finale B"
"Hugo Crepeau","K1H","102.73","92.38","142.33","Finale B"
"Tom Bouchardon","K1H","102.86","146.24","143.62","Finale B"
"Thomas Schmitt","K1H","103.28","77.63","147.79","Finale B"
"William Desnos","K1H","103.74","114.16","152.36","Finale B"
"Valentin Brindeau","K1H","104.05","138.86","155.44","Finale B"
"Robin Pottelette","K1H","104.16","90.64","156.53","Finale B"
"Corentin Monasse","K1H","104.64","141.2","161.3","Finale B"
"Hugo Cailhol","K1H","104.71","60.18","161.99","Finale B"
"Raphael Lassechere","K1H","105.41","124.87","168.95","Finale B"
"Thibault Marchand","K1H","108.75","113.76","202.13","Finale B"
"Titouan Dupras","K1H","110.03","73","214.84","Finale B"
"Gregoire Guerin","K1H","112.03","87.34","234.71","Finale B"
"Thomas Durand","K1H","146.75","47.14","579.6","Finale B"
"Sami Rocher","K1H","147.25","79.12","584.57","Finale B"
"Guillaume Graille","K1H","147.5","53.36","587.05","Finale B"
"Pierre Giudicelli","K1H","155.93","70.35","670.79","Finale B"
"Tom Babin","K1H","159.98","151.99","711.02","Finale B"
"Enrick Cunsolo","K1H","162.19","101.42","732.97","Finale B"
"Kendaor Le Huitou","K1H","164.85","118.98","759.4","Finale B"
"Lucas Latimier","K1H","200.16","84.76","1110.15","Finale B"
