"SLALOM REGIONAL DE ST PIERRE DE BOEUF - St Pierre De Boeuf - 2005-11-20","Course 1","2005-11-20","Régional","296"
"Damien Boudet","K1H","222.03","40","105",""
"Thomas Bersinger","K1H","223.44","127","111",""
"Nicolas Labat","K1H","223.90","83","114",""
"Renaud Doby","K1H","224.47","34","116",""
"Jonathan Chapatte","K1H","224.54","125","117",""
"Moritz Luscher","K1H","224.88","-","118",""
"Bertrand Bercon","K1H","226.90","127","128",""
"Gregory Busson","K1H","227.00","135","129",""
"Kevin Schultz","K1H","227.24","123","130",""
"Luc Doye","K1H","227.61","116","132",""
"Benoit Fer","K1H","230.52","119","145",""
"Hafiz Ali Hassan","K1H","230.60","143","145",""
"Quentin Bove","K1H","232.22","87","153",""
"Jules Bevalot","K1H","232.30","130","153",""
"Julien Beltrami","K1H","233.15","141","158",""
"Thomas Monier","K1H","234.77","132","165",""
"Jeremiah Mosch","K1H","235.23","152","168",""
"Xavier Marie","K1H","236.14","203","172",""
"Romain Bove","K1H","236.30","166","173",""
"Andy Pajani","K1H","236.68","153","175",""
"Etienne Daille","K1H","237.37","139","178",""
"Thomas Rosset","K1H","238.33","167","183",""
"Magat Philippe","K1H","238.51","-","183",""
"Adrien Roussel","K1H","238.67","161","184",""
"Jeremy Wagner","K1H","239.42","140","188",""
"Ronan Lucas","K1H","239.49","123","188",""
"Oswald Besch","K1H","240.17","120","192",""
"Vincent Gerdeaux","K1H","240.80","-","195",""
"Martin Moreau","K1H","241.83","292","200",""
"Lebourgeois Alexis","K1H","243.28","199","207",""
"Ricci Miege Raphael","K1H","243.99","159","210",""
"Fabrice Madier","K1H","245.52","263","216",""
"Manoussos Nicolas","K1H","246.78","274","223",""
"Piquard Charles","K1H","247.04","157","224",""
"Pascal Ferry","K1H","247.36","177","225",""
"Astier Perret Vincent","K1H","247.73","-","227",""
"Renaud Metereau","K1H","248.68","148","232",""
"Kevin Burgi","K1H","249.00","241","233",""
"Nicolas Abbal","K1H","249.03","260","233",""
"Jimy Bercon","K1H","250.48","256","240",""
"Lois Desroches","K1H","250.48","302","240",""
"Romain Chabrol","K1H","250.94","202","243",""
"Langlade Denis","K1H","251.67","-","246",""
"Alain Ferry","K1H","252.01","236","248",""
"Nicolas Detheve","K1H","252.02","-","248",""
"Jeanluc Nitard","K1H","252.26","239","249",""
"Cossou Antoine","K1H","252.46","259","250",""
"Paul Graton","K1H","253.18","275","254",""
"Delisse Thomas","K1H","253.21","246","254",""
"Dimitriou Alexandre","K1H","253.86","90","257",""
"Hugo Cailhol","K1H","254.15","273","258",""
"Viallon Hugo","K1H","254.45","229","260",""
"Jeremy Vibert","K1H","256.16","220","268",""
"Benjamin Renia","K1H","256.44","192","269",""
"Serret Mathieu","K1H","256.94","186","272",""
"Yannick Besse","K1H","259.84","233","285",""
"Chassain Nathael","K1H","261.20","314","291",""
"Bonnetain Quentin","K1H","261.44","213","293",""
"Pascal Hunault","K1H","262.48","259","298",""
"Mathieu Biazizzo","K1H","262.49","254","298",""
"Guillaume Gery","K1H","262.58","216","298",""
"Mathieu Haberland","K1H","262.86","296","299",""
"Ballini Yoann","K1H","262.99","235","300",""
"Dalla-Zuana Christophe","K1H","266.46","246","317",""
"Mehdi Amini","K1H","267.49","178","322",""
"Sebastien Swieton","K1H","267.61","331","322",""
"Yan Labeye","K1H","267.74","314","323",""
"Martelet Romain","K1H","268.59","235","327",""
"Guilhem Courduries","K1H","270.84","450","338",""
"Antoine Devillez","K1H","271.80","313","343",""
"Antoine Lhermite","K1H","273.20","-","350",""
"Baptiste Provost","K1H","273.82","-","353",""
"Rech Thomas","K1H","274.27","335","355",""
"Alexis Caspar","K1H","275.27","307","359",""
"Jodar Sebastien","K1H","276.93","355","367",""
"Alexandre Schall","K1H","278.01","77","372",""
"Stephane Simonpietri","K1H","279.39","399","379",""
"Olivier Urbain","K1H","279.80","247","381",""
"Biton Jonas","K1H","279.93","344","381",""
"Voindrot Quentin","K1H","280.39","-","383",""
"Dalex Karl","K1H","280.80","310","385",""
"Nicolas Burgi","K1H","281.15","388","387",""
"Christophe Lacave","K1H","281.17","415","387",""
"Viratelle Vincent","K1H","281.27","354","388",""
"Philippe Godinat","K1H","281.59","362","389",""
"Laurent Wolf","K1H","281.68","368","390",""
"Thibaud Lacour","K1H","281.83","385","390",""
"Davy Egraz","K1H","283.34","45","398",""
"Hugo Hager","K1H","284.35","134","403",""
"Girardet Julien","K1H","285.91","349","410",""
"Romain Viry","K1H","286.21","337","412",""
"Courtier Jeremy","K1H","286.28","359","412",""
"Pradeau Xavier","K1H","286.68","422","414",""
"Matthieu Basset","K1H","286.99","377","415",""
"Sylvain Ferry","K1H","288.96","457","425",""
"Benjamin Travostino","K1H","291.01","128","434",""
"Vibert Guillaume","K1H","291.55","362","436",""
"Hugues Peyret","K1H","292.72","458","442",""
"Boris Lutinier","K1H","292.86","146","443",""
"Enrick Cunsolo","K1H","293.39","605","445",""
"Florent Delhommel","K1H","294.08","399","449",""
"Crost David","K1H","294.67","429","452",""
"Fatou Clement","K1H","295.13","542","454",""
"Jules Domine","K1H","295.27","363","454",""
"Virgile Pigache-donnet","K1H","296.07","542","458",""
"Christophe Godinat","K1H","297.49","317","465",""
"Boris Doye","K1H","298.33","239","469",""
"Mathieu Cataldo","K1H","298.90","215","472",""
"Herrada Jean-Marc","K1H","299.31","-","474",""
"Martin Dougoud","K1H","299.39","382","474",""
"Rety Simon","K1H","301.36","347","484",""
"Nathanael Renia","K1H","303.71","627","495",""
"Florian Balhuizen","K1H","304.15","505","497",""
"Anthony Deschamps","K1H","304.44","529","499",""
"Yoann Aupee","K1H","304.71","332","500",""
"Pierre Moreau","K1H","305.48","386","504",""
"Labruyere Christophe","K1H","305.78","-","504",""
"Beausejour Florian","K1H","306.02","528","506",""
"Bos Thierry","K1H","307.52","-","513",""
"Romain Hager","K1H","308.11","418","516",""
"Sebastien Lepaulard","K1H","308.28","177","516",""
"Lutinier Ugo","K1H","308.45","501","517",""
"Bonnot Aurélien","K1H","309.04","231","520",""
"Julien Haberland","K1H","310.23","272","526",""
"Guillaume Provost","K1H","316.31","85","555",""
"Yanis Burdet","K1H","317.03","550","559",""
"Cnapelynck Aurélien","K1H","318.05","614","564",""
"Besnard Thomas","K1H","319.71","217","572",""
"Thomas Bouquet","K1H","320.22","581","574",""
"Ponson Quentin","K1H","321.77","-","581",""
"Pierre Demateis","K1H","323.39","560","589",""
"Vaudaine Antoine","K1H","324.13","-","592",""
"Antoine Vinay","K1H","325.21","365","598",""
"Marc Janeriat","K1H","325.37","447","598",""
"Frasseto Romain","K1H","325.90","817","601",""
"Thomas Burnoud","K1H","326.45","658","604",""
"Dommanget Guillin Yann","K1H","326.50","-","604",""
"Rossato Bastien","K1H","328.34","473","613",""
"De Berchen Sebastien","K1H","328.70","112","614",""
"Dupriez Julien","K1H","328.75","622","615",""
"Viard Antoine","K1H","329.56","-","619",""
"Corentin Metral","K1H","332.36","-","632",""
"Tomasino Lionel","K1H","332.56","-","633",""
"Emmanuel Triomphe","K1H","334.87","337","644",""
"Guillaume Hermant","K1H","336.68","539","652",""
"Morel Luc","K1H","339.32","668","665",""
"Letarouilly Guillaume","K1H","342.40","694","680",""
"Marco Rodrigues","K1H","342.92","-","682",""
"Knittel Pierre","K1H","343.46","-","685",""
"Runel-Paulhan Sylvain","K1H","344.99","-","692",""
"Demay Romain","K1H","348.20","390","708",""
"Thomas Rollot","K1H","348.21","263","708",""
"Zaki Yassine","K1H","349.00","633","712",""
"Guillois Ugo","K1H","349.73","398","715",""
"Bessiere Florian","K1H","350.52","412","719",""
"Laithier Francois","K1H","351.91","732","725",""
"Frederic Blanrue","K1H","354.07","710","735",""
"Sertier Remi","K1H","354.38","622","737",""
"Romey Marcantoine","K1H","355.94","962","744",""
"Jean Francois Bry","K1H","357.73","937","753",""
"Kevine Cliquet","K1H","361.38","246","771",""
"Bizzo Sebastien","K1H","361.42","439","771",""
"Claparede Jonas","K1H","362.30","-","775",""
"Gael Wassmer","K1H","364.64","987","787",""
"Gerard Cartier","K1H","364.96","630","788",""
"Adrien Quillet","K1H","371.36","810","818",""
"Philippe Chapatte","K1H","373.15","446","827",""
"Gibert Stephane","K1H","373.77","-","830",""
"Bergougnoux Anthony","K1H","374.18","844","832",""
"Jeremy Pitton","K1H","374.33","883","832",""
"Rayssac Fabien","K1H","376.05","726","841",""
"Passerat De Silans Remi","K1H","394.30","-","928",""
"Cedric Pawlowski","K1H","394.46","-","929",""
"Cabanes Berend","K1H","396.00","1039","936",""
"Romain Musy","K1H","416.92","525","1036",""
"Ferraud Damien","K1H","445.72","-","1173",""
"Zanus Maxime","K1H","448.82","-","1188",""
"Schifano Jordane","K1H","452.49","-","1206",""
"Escrich Mickael","K1H","485.59","-","1364",""
"Pleau Pierre Louis","K1H","493.17","-","1400",""
"Biaut Gerard","K1H","511.57","-","1488",""
"Charles Redon","K1H","558.55","-","1713",""
"Gilly Benoit","K1H","620.26","-","2008",""
"Djanikian Gregoire","K1H","834.49","-","3032",""
"Michelet Julien","K1H","899.21","-","3341",""
"Bertin Franck","K1H","1035.45","-","3992",""
"Cunin Marvin","K1H","1245.89","-","4998",""
