"Championnat Régional - Vinon sur Verdon - Course 1 | Qualification - 2014-11-15","Course 1 | Qualification","2014-11-15","Régional","161"
"Pioerre-calixte Gaydon-ohl","K1H","167.12","591.6","1061.43",""
"Olivier Kremer","K1H","167.93","-","1071.1",""
"Valentin Rozand","K1H","205.41","-","1518.6",""
"Pierre Courtois","K1H","233.87","-","1858.4",""
"Valentin Augnacs","K1H","236.22","-","1886.46",""
"Marc Scognamiglio","K1H","Abs","-","-",""
"Timothee Olla","K1H","Abs","-","-",""
"Romain Berthon","K1H","Des","-","-",""
"Sebastien Chilard","K1H","Des","-","-",""
"Yvannick Moisan","K1H","Des","-","-",""
"Lucien Goulet","K1H","Des","-","-",""
"Axel Kournwsky","K1H","Abs","-","-",""
"Enzo Briffa","K1H","Abs","-","-",""
"Camille Sahuc","K1H","Abs","-","-",""
"Arthur Gaudron","K1H","Abs","-","-",""
"Nowan Bertin","K1H","Abs","-","-",""
"Alexandre Lismonde","K1H","Des","-","-",""
"Adrien Maire","K1H","Abs","-","-",""
"Matteo Licoine","K1H","Abs","-","-",""
"Adam Wronski","K1H","Abs","-","-",""
"Julien Nutte","K1H","Des","-","-",""
"Henri Bergognon","K1HM","108.16","-","-",""
"Jules Silvin","K1HM","110.48","335.73","385.17",""
"Kawan Thomas","K1HM","110.49","346.06","385.29",""
"Samuel Bonella","K1HM","110.75","328.7","388.39",""
"Tom Benini","K1HM","113.44","423.78","420.51",""
"Pierre Grapotte","K1HM","115.01","383.05","439.26",""
"Jules Cresp","K1HM","116.35","369.82","455.26",""
"Gawaine Chikh","K1HM","120.4","-","-",""
"Raphael Olla","K1HM","121.38","410.06","515.31",""
"Jeremie Palazy","K1HM","122.15","-","-",""
"Thomas Courtois","K1HM","122.16","577.44","524.63",""
"Valentin Parasme","K1HM","122.96","-","534.18",""
"Alexandre Goujon","K1HM","128.5","-","-",""
"Gael Adisson","K1HM","128.97","-","-",""
"Nayl Tazi-sidqui","K1HM","131.9","525.67","640.92",""
"Louis Scalbert","K1HM","134.07","-","666.83",""
"Luca Barone","K1HM","137.6","-","708.97",""
"Valentin Lacor","K1HM","146.8","-","-",""
"Maxime Melmont","K1HM","155.48","-","-",""
"Charlie Genovese","K1HM","156.5","-","-",""
"Baptiste Bounekir","K1HM","157.6","-","947.77",""
"Julian Guglielmo","K1HM","173.18","-","1133.79",""
"Baptiste Marcellot","K1HM","173.18","-","-",""
"Nour Ait Kaddour","K1HM","191.49","-","-",""
"Marceau Hugues","K1HM","231.6","-","1831.3",""
"Aymeric Rivier","K1HM","Des","-","-",""
"Loan Paumier","K1HM","Abd","-","-",""
"Paul Lebrasseur","K1HM","Abs","-","-",""
