"Nationale 2 - L'Argentière - La Bessée - 2012-09-16","Course 2","2012-09-16","Nationale 2","118"
"Jeremy Wagner","K1H","101.38","87.87","130.6",""
"Thibaut Chariot","K1H","101.84","107.67","135.1",""
"Anthony Thuillier","K1H","102.04","86.14","137.06",""
"Antoine Lebastard","K1H","102.35","120.7","140.09",""
"Baptiste Granger","K1H","102.39","123.5","140.48",""
"Mathurin Madore","K1H","102.46","112.99","141.17",""
"Virgile Pigache-donnet","K1H","102.73","67.44","143.81",""
"Gael Wassmer","K1H","102.83","123.06","144.79",""
"Aubry Bertin","K1H","102.98","93.16","146.25",""
"Nicolas Burgi","K1H","102.99","114.31","146.35",""
"Romain Bertrand","K1H","103.25","109.24","148.9",""
"Mehdi Rouich","K1H","103.28","90.53","149.19",""
"Tristan Bronsard","K1H","103.32","78.2","149.58",""
"Stephane Broute","K1H","103.33","120.15","149.68",""
"Jean Baptiste Thiel","K1H","103.45","122.81","150.85",""
"Pascal Ferry","K1H","103.52","94.88","151.54",""
"Emeric Vibert","K1H","103.7","95.43","153.3",""
"Fabien Tournadre","K1H","104.38","55.28","159.95",""
"Willy Hugedet","K1H","106.71","73.25","182.75",""
"Charlie Barbier","K1H","106.88","119.21","184.41",""
"Francois Bonnet","K1H","109.89","135.16","213.87",""
"Thibaut Bernot","K1H","154.54","128.47","650.74",""
"Hugo Andre","K1H","Nt","-","-",""
"Yohann Biglia","K1H","Nt","-","-",""
"Nicolas Mangeolle","K1H","Nt","-","-",""
"Rodolphe Rodrigue","K1H","Nt","-","-",""
"Armand Rakowski","K1H","Nt","-","-",""
"Billel Khenchouche","K1H","Nt","-","-",""
"Alexis Lozachmeur","K1H","Nt","-","-",""
"Maxime Tilhet","K1H","Nt","-","-",""
"Nikolas Stanik","K1H","Nt","-","-",""
"Maxence Grandadam","K1H","Nt","-","-",""
"Arnaud Gallois","K1H","Nt","-","-",""
