"Sélectif Régional de slalom - Bassin Epinal - Course n°1 | Finale - 2015-09-26","Course n°1 | Finale","2015-09-26","Régional","206"
"Lucas Latimier","K1H","99.32","257.82","237.12","Course n°1 | Finale A"
"Florient Tagnon","K1H","100.35","-","249.76","Course n°1 | Finale A"
"Axel Sleebus","K1H","100.96","-","257.24","Course n°1 | Finale A"
"Nicolas Mangeolle","K1H","101.14","241.52","259.45","Course n°1 | Finale A"
"Lucas Galmiche","K1H","101.78","197.81","267.3","Course n°1 | Finale A"
"Guillaume Armbruster","K1H","103.14","354.1","283.99","Course n°1 | Finale A"
"Arthur Favennec","K1H","103.8","254.02","292.08","Course n°1 | Finale A"
"Paul Aubert","K1H","103.96","366.5","294.05","Course n°1 | Finale A"
"Yann Zaepffel","K1H","103.99","268.7","294.41","Course n°1 | Finale A"
"Robin Pottelette","K1H","104.02","233.31","294.78","Course n°1 | Finale A"
"Olivier Urbain","K1H","104.3","314.44","298.22","Course n°1 | Finale A"
"Erwan Rouch","K1H","104.5","210.71","300.67","Course n°1 | Finale A"
"Charles Fernandes De Oliveira","K1H","104.95","252.64","306.19","Course n°1 | Finale A"
"Lucas Gillet","K1H","105.06","277.11","307.54","Course n°1 | Finale A"
"Julian Othenin-girard","K1H","105.13","-","308.4","Course n°1 | Finale A"
"Christophe Billaud","K1H","105.27","354.37","310.12","Course n°1 | Finale A"
"Romain Viry","K1H","105.45","289.88","312.32","Course n°1 | Finale A"
"Raphael Ricci Miege","K1H","106.1","-","320.3","Course n°1 | Finale A"
"Silvere Desongins","K1H","106.29","210.34","322.63","Course n°1 | Finale A"
"Corentin Monasse","K1H","106.78","-","328.64","Course n°1 | Finale A"
"Vincent Morabito","K1H","107.02","283.16","331.58","Course n°1 | Finale A"
"Loic Thielen","K1H","107.17","321.39","333.42","Course n°1 | Finale A"
"Yann Becker","K1H","108.34","333.87","347.78","Course n°1 | Finale A"
"Valentin Serrurier","K1H","108.63","366.22","351.34","Course n°1 | Finale A"
"Dyclan Plessis","K1H","108.98","430.41","355.63","Course n°1 | Finale A"
"Antoine Saul","K1H","110.2","310.45","370.6","Course n°1 | Finale A"
"Marcantoine Hacquart","K1H","116.17","-","443.83","Course n°1 | Finale A"
"Anthony Rouhier","K1H","116.18","491.06","443.96","Course n°1 | Finale A"
"Yanis Delacour","K1H","125.7","467.15","560.75","Course n°1 | Finale A"
"Damien Ganthier","K1H","148.53","198.66","840.82","Course n°1 | Finale A"
"Felix Jeanningros","K1H","148.81","173.97","844.26","Course n°1 | Finale A"
"Gauthier Klauss","K1H","150.61","-","866.34","Course n°1 | Finale A"
"Martin Daviet","K1H","152.32","64.54","887.32","Course n°1 | Finale A"
"Jules Bernardet","K1H","156.62","293.93","940.07","Course n°1 | Finale A"
"Thomas L'huillier","K1HM","106.34","-","323.24","Course n°1 | Finale A"
"Jean Charles Hacquart","K1HM","111.26","-","-","Course n°1 | Finale A"
"Guerlain Robin","K1HM","113.69","-","413.41","Course n°1 | Finale A"
"Titouan Auriol","K1HM","115.42","-","434.63","Course n°1 | Finale A"
"Claire Gaigeot","C1D","126.94","-","321.41","Course n°1 | Finale B"
"Tifenn Primet","C1D","131.33","468.35","366.3","Course n°1 | Finale B"
"Julie Rufet","C1D","154.51","-","603.26","Course n°1 | Finale B"
"Emma Vaubourg","C1D","158.88","-","647.94","Course n°1 | Finale B"
"Marine Constant-haldric","C1D","163.61","735.41","696.3","Course n°1 | Finale B"
"Sophie Staudt","C1D","166.17","-","722.47","Course n°1 | Finale B"
"Sarah Rothenbuhler","C1D","173.1","813.19","793.31","Course n°1 | Finale B"
"Justine Clerc","C1D","242.52","-","1503.01","Course n°1 | Finale B"
"David Besancon","C1H","115.22","392.97","369.87","Course n°1 | Finale B"
"Clement Travert","C1H","116.63","-","386.34","Course n°1 | Finale B"
"Guillaume Picavet","C1H","117.47","352.8","396.16","Course n°1 | Finale B"
"Antonin Dreit","C1H","117.51","443.77","396.62","Course n°1 | Finale B"
"Alexis Collin","C1H","118.62","356.33","409.59","Course n°1 | Finale B"
"Bastien Caillet","C1H","126.43","604.48","500.85","Course n°1 | Finale B"
"Hugo Simon","C1H","128.28","-","522.45","Course n°1 | Finale B"
"Yann Becker","C1H","128.66","708.19","526.89","Course n°1 | Finale B"
"Baptiste Nanet","C1H","130.39","604.28","547.11","Course n°1 | Finale B"
"Anthony Giurlando","C1H","130.59","584.65","549.44","Course n°1 | Finale B"
"Alexis Pacholak","C1H","135.47","-","606.46","Course n°1 | Finale B"
"Victor Hennin","C1H","136.05","644.87","613.24","Course n°1 | Finale B"
"Loric Bertrand Delorme","C1H","137.44","711.65","629.48","Course n°1 | Finale B"
"Arthur Favennec","C1H","141.72","-","679.48","Course n°1 | Finale B"
"Anthony Rouhier","C1H","143.62","1036.96","701.69","Course n°1 | Finale B"
"Nicolas Gallais","C1H","158.04","822.15","870.16","Course n°1 | Finale B"
"Felix Jeanningros","C1H","Nt","-","-","Course n°1 | Finale B"
"Jules Andrien","C1H","Des","-","-","Course n°1 | Finale B"
"Pierre Biagui","C1H","Abd","-","-","Course n°1 | Finale B"
"Erwan Rouch","C1H","Nt","-","-","Course n°1 | Finale B"
"Valentin Serrurier","C1H","Nt","-","-","Course n°1 | Finale B"
"Philippe Thevenin-Olivier Urbain","C2H","123.31","416.78","398.91","Course n°1 | Finale B"
"Lucas Gillet-Guillaume Picavet","C2H","131.65","-","491.92","Course n°1 | Finale B"
"Valentin Serrurier-Hugo Simon","C2H","134.12","-","519.46","Course n°1 | Finale B"
"Arthur Favennec-Felix Jeanningros","C2H","140.46","-","590.17","Course n°1 | Finale B"
"Thomas Descotes-Baptiste Nanet","C2H","145.94","-","651.29","Course n°1 | Finale B"
"Nicolas Gallais-Loric Bertrand Delorme","C2H","155.68","928.74","759.91","Course n°1 | Finale B"
"Julien Gaspard-Nathalie Latimier Ragot","C2M","141.39","-","469.14","Course n°1 | Finale B"
"Jade Robin-Robin Pottelette","C2M","145.13","-","507.38","Course n°1 | Finale B"
"Gaelle Aumer-Olivier Urbain","C2M","148.44","-","541.21","Course n°1 | Finale B"
"Julia Budzinski","K1D","120.6","558.66","332.98","Course n°1 | Finale B"
"Charlotte Lubineau","K1D","122.9","675.33","357.94","Course n°1 | Finale B"
"Brigitte Marechal","K1D","124.75","418.47","378.03","Course n°1 | Finale B"
"Marilyn Giroux","K1D","130.63","-","441.87","Course n°1 | Finale B"
"Emma Vaubourg","K1D","132.91","598.77","466.61","Course n°1 | Finale B"
"Pascaline Evrot","K1D","133.8","-","476.28","Course n°1 | Finale B"
"Stassy Legendre","K1D","135.13","529.52","490.72","Course n°1 | Finale B"
"Lou-anne Cointin","K1D","140.18","-","545.54","Course n°1 | Finale B"
"Sophie Staudt","K1D","141.18","-","556.4","Course n°1 | Finale B"
"Heloise Stemmelen","K1D","144.29","-","590.16","Course n°1 | Finale B"
"Sarah Rothenbuhler","K1D","145.35","-","601.67","Course n°1 | Finale B"
"Justine Clerc","K1D","149.08","-","642.16","Course n°1 | Finale B"
"Maurine Laugel","K1D","149.32","-","644.78","Course n°1 | Finale B"
"Carole Dolmaire","K1D","152","828.17","673.86","Course n°1 | Finale B"
"Julie Rufet","K1D","171.66","475.64","887.3","Course n°1 | Finale B"
"Marine Constant-haldric","K1D","175.15","-","925.19","Course n°1 | Finale B"
"Tifenn Primet","K1D","180.43","438.33","982.52","Course n°1 | Finale B"
"Hugo Simon","K1H","103.03","218.95","287.64","Course n°1 | Finale B"
"Antoine Runet","K1H","105.15","258.53","313.64","Course n°1 | Finale B"
"Charles Vallet","K1H","106.79","281.15","333.76","Course n°1 | Finale B"
"Thomas Descotes","K1H","107.78","419.34","345.91","Course n°1 | Finale B"
"Benjamin Dodane","K1H","108.11","349.88","349.96","Course n°1 | Finale B"
"Francois Durand","K1H","108.9","277.72","359.65","Course n°1 | Finale B"
"Lilian Querry","K1H","109.26","276.15","364.06","Course n°1 | Finale B"
"Damien Burteaux","K1H","109.44","376.7","366.27","Course n°1 | Finale B"
"Damien Siegfried","K1H","109.55","414.41","367.62","Course n°1 | Finale B"
"Antoine Leroy","K1H","109.65","-","368.85","Course n°1 | Finale B"
"Gabriel De Coster","K1H","109.99","-","373.02","Course n°1 | Finale B"
"Florent Tamburini","K1H","110.25","409.82","376.21","Course n°1 | Finale B"
"Matthieu Walfard","K1H","110.96","378.24","384.92","Course n°1 | Finale B"
"Loic Joly","K1H","111.94","335.78","396.94","Course n°1 | Finale B"
"Eddy Cassard","K1H","112.02","365.69","397.92","Course n°1 | Finale B"
"Alexis Pacholak","K1H","112.23","531.98","400.5","Course n°1 | Finale B"
"Jules Andrien","K1H","114.15","556.55","424.05","Course n°1 | Finale B"
"Alexandre Mathis","K1H","114.24","-","425.16","Course n°1 | Finale B"
"Audren Schiel","K1H","114.28","507.54","425.65","Course n°1 | Finale B"
"Johann Thevenin","K1H","114.54","512.81","428.84","Course n°1 | Finale B"
"Patrick Gass","K1H","114.57","435.08","429.21","Course n°1 | Finale B"
"Guillaume Goury","K1H","116.97","508.97","458.65","Course n°1 | Finale B"
"Antonin Dreit","K1H","117.3","525.89","462.7","Course n°1 | Finale B"
"Antoine Loppion","K1H","119.39","639.84","488.34","Course n°1 | Finale B"
"Victor Hennin","K1H","119.95","555.74","495.21","Course n°1 | Finale B"
"Bastien Caillet","K1H","121.12","559","509.56","Course n°1 | Finale B"
"Loric Bertrand Delorme","K1H","121.24","594.11","511.03","Course n°1 | Finale B"
"Anthony Grasso","K1H","121.27","-","511.4","Course n°1 | Finale B"
"Pierre Biagui","K1H","121.9","864.17","519.13","Course n°1 | Finale B"
"Etienne Rougeron","K1H","122.41","-","525.39","Course n°1 | Finale B"
"Alexandre L'huillier","K1H","123.36","-","537.04","Course n°1 | Finale B"
"Florent Dubois","K1H","125.09","625.42","558.26","Course n°1 | Finale B"
"Paul Aubertin","K1H","125.68","-","565.5","Course n°1 | Finale B"
"Nicolas Gallais","K1H","127.36","648.68","586.11","Course n°1 | Finale B"
"Christophe Leone","K1H","145.5","-","808.65","Course n°1 | Finale B"
"Ludovic Mazimann","K1H","245.42","-","2034.45","Course n°1 | Finale B"
"Benjamin Gerondi","K1H","Des","-","-","Course n°1 | Finale B"
"Marvin Tulpin","K1HM","118.17","-","473.37","Course n°1 | Finale B"
"Maxime Aubertin","K1HM","122.61","-","527.84","Course n°1 | Finale B"
"Vivien Stemmelen","K1HM","197.53","-","-","Course n°1 | Finale B"
