"Sélectif régional - Slalom du Fier - Annecy - 2009-04-04","Course 1","2009-04-04","Régional","126"
"Awena Jouannic","K1D","Abs","-","-",""
"Julia Freire","K1D","Abs","-","-",""
"Etienne Daille","K1H","167.84","20","33",""
"Yann Gudefin","K1H","170.67","26","51",""
"Jimy Bercon","K1H","173.57","45","68",""
"Hugo Hager","K1H","175.79","25","83",""
"Cedric Bron","K1H","175.81","37","83",""
"Andy Pajani","K1H","175.98","39","84",""
"Davy Egraz","K1H","178.27","66","97",""
"Nicolas Abbal","K1H","178.42","78","98",""
"Hafiz Ali Hassan","K1H","181.53","119","118",""
"Romain Pallud","K1H","183.22","112","128",""
"Adrien Chabbey","K1H","183.24","92","128",""
"Remy Alonso","K1H","183.71","-","131",""
"Laurent Brissaud","K1H","186.91","148","151",""
"Sylvain Dandel","K1H","187.78","151","156",""
"Jeremy Vibert","K1H","187.83","115","157",""
"Jean Philippe Winiarski","K1H","188.66","246","162",""
"Vincent Gerdeaux","K1H","188.77","-","162",""
"Remi Baudot","K1H","188.85","120","163",""
"Bertrand Bercon","K1H","188.95","122","163",""
"Pascal Ferry","K1H","190.35","136","173",""
"Boris Chenal","K1H","192.10","146","183",""
"Nicolas Detheve","K1H","194.11","180","196",""
"Olivier Hardonniere","K1H","194.30","312","197",""
"Thomas Dandel","K1H","195.96","187","207",""
"Armand Rakowski","K1H","198.39","272","222",""
"Guillaume Gery","K1H","198.63","288","223",""
"Romain Musy","K1H","199.36","199","228",""
"Anthony Deschamps","K1H","200.41","208","235",""
"Frederic Blanrue","K1H","202.02","307","244",""
"Corentin Metral","K1H","202.51","325","247",""
"Lois Guillermond","K1H","203.70","279","255",""
"Pascal Hunault","K1H","204.39","255","260",""
"Olivier Bourgey","K1H","204.40","219","260",""
"Alain Ferry","K1H","205.80","272","268",""
"Kevin Deschamps","K1H","208.66","330","286",""
"Anthony Colin","K1H","209.03","240","288",""
"Sylvain Ferry","K1H","209.66","256","292",""
"Matthieu Basset","K1H","210.81","200","299",""
"Martin Daviet","K1H","213.44","326","316",""
"Sebastien Thevard","K1H","213.89","288","318",""
"Florian Fillon","K1H","213.96","-","319",""
"Jean Baptiste Thiel","K1H","217.51","292","340",""
"Robin Dupras","K1H","217.71","382","341",""
"Yoann Aupee","K1H","221.34","-","364",""
"David Berthillier","K1H","223.04","-","375",""
"Pedro Farias Barbas","K1H","224.03","534","381",""
"Felix Balas","K1H","224.71","412","385",""
"Romain Delachenal","K1H","224.75","489","385",""
"Adrien Kaiser","K1H","227.70","405","404",""
"Elie Pauget","K1H","228.80","408","410",""
"Hugues Peyret","K1H","229.67","516","416",""
"Colas Geier","K1H","236.97","361","460",""
"Maxime Bottex","K1H","237.96","461","467",""
"Cyril Gisbert","K1H","238.29","224","469",""
"Joen Saint Requier","K1H","245.72","497","515",""
"Pierrick Bonnefoy","K1H","252.31","507","556",""
"Jonathan Gautier","K1H","265.84","571","639",""
"Alexandre Bordas","K1H","268.21","278","654",""
"Hippolyte Brunier","K1H","273.71","-","688",""
"Remi Vallin","K1H","280.26","424","728",""
"Dylan Bard","K1H","304.71","-","879",""
"Stephane Gibert","K1H","308.11","-","900",""
"Jeremy Pitton","K1H","314.91","-","943",""
"Francois Emin","K1H","334.09","-","1062",""
"Florent Bernard","K1H","369.30","-","1279",""
"Clement Gourmelon","K1H","Abs","-","-",""
"Sebastien De Kerleau","K1H","Abs","-","-",""
"Mathieu Chossat","K1H","Abs","-","-",""
"Theo Olinger","K1H","Abs","-","-",""
"Kevin Giannini","K1H","Abs","-","-",""
"Eloi Seemann","K1H","Abs","-","-",""
"Timothee Vananty","K1H","Des","-","-",""
"Thibault Gibert","K1H","Abs","-","-",""
"Jules Marragou","K1H","Abs","-","-",""
