"Championnat Régional de Slalom - 77420 Champs Sur Marne - Finale - 2020-09-27","Finale","2020-09-27","Régional","161"
"Romain Huguenin","K1H","90.03","349.09","385.95","Finale A"
"Ianis Fleury","K1H","90.98","338.41","400.15","Finale A"
"Mathis Piepho","K1H","91.09","397.42","401.8","Finale A"
"Helwann Rachdi","K1H","91.87","370.98","413.45","Finale A"
"Leo Fournier","K1H","91.9","500.59","413.9","Finale A"
"Yohan Marck","K1H","93.61","306.32","439.46","Finale A"
"Jeremy Huguenin","K1H","93.64","511.24","439.91","Finale A"
"Antoine Huger","K1H","93.89","386.11","443.65","Finale A"
"Tom Barthelemy","K1H","95.36","364.31","465.62","Finale A"
"Lucas Correia","K1H","95.74","427.69","471.3","Finale A"
"Paul Cascarino","K1H","97.72","395.83","500.89","Finale A"
"Julien Fougeron","K1H","99.14","509.03","522.11","Finale A"
"Paul Pesant","K1H","99.71","478.19","530.63","Finale A"
"Pierre-louis Mingasson","K1H","100.07","642.16","536.01","Finale A"
"Louis Marvillet","K1H","101.27","538.89","553.95","Finale A"
"Hugo Hernoux","K1H","102.28","766.11","569.05","Finale A"
"Florian Perenchio","K1H","102.8","424.39","576.82","Finale A"
"Theo Siguret","K1H","102.96","563.83","579.21","Finale A"
"Antoine Lebastard","K1H","106.05","564.47","625.39","Finale A"
"Francois Durand","K1H","107.13","505.55","641.54","Finale A"
"Denis Parizia","K1H","107.22","350.19","642.88","Finale A"
"Alois Brucher","K1HM","99.86","498.61","532.88","Finale A"
"Matheo Senechault","K1HM","109.6","697.52","678.45","Finale A"
"Anas Renoux","K1HM","117.4","632.37","795.03","Finale A"
"Valerian Descot","K1HM","118.22","479.24","807.29","Finale A"
"Enzo Marchand","K1HM","127.81","866.5","950.63","Finale A"
"Teo Tester","K1HM","128.96","670.98","967.81","Finale A"
"Souhayla Khattabi","C1D","144.24","546.29","841.88","Finale B"
"Laura Demuru","C1D","146.59","621.74","871.15","Finale B"
"Alina Rassel","C1D","173.3","891.65","1203.84","Finale B"
"Celine Kalwarowski","C1D","202.68","2354.47","1569.77","Finale B"
"Solene Cantet","C1D","Des","-","-","Finale B"
"Alexy Wengler","C1H","112.07","590.4","640.6","Finale B"
"Pierre-yves Bernard","C1H","117.82","656.79","722.46","Finale B"
"Olivier Gesbert","C1H","118.08","451.08","726.15","Finale B"
"Francois Durand","C1H","119,64","637.38","748.32","Finale B"
"Hugo Hernoux","C1H","124.27","802.05","814.26","Finale B"
"Clement Brault","C1H","126.39","695.61","844.44","Finale B"
"Ludovic Cravoisier","C1H","137.62","602.82","1004.31","Finale B"
"Axel Linssen","C1H","141.9","2055.14","1065.23","Finale B"
"Paul Le Galliard","C1H","151.53","1227.09","1202.3","Finale B"
"Xavier Perreau","C1H","171.79","791.22","1490.7","Finale B"
"Alain Brucher","C1H","181.81","885.85","1633.32","Finale B"
"Pierre-louis Mingasson","C1H","206.42","726.9","1983.64","Finale B"
"Anas Renoux","C1HM","127.73","888.24","863.53","Finale B"
"Enzo Marchand","C1HM","132.54","932.91","932","Finale B"
"Alexandre Fallourd-marec","C1HM","168.87","1145.62","1449.14","Finale B"
"Maxime Cousin-Joseph Simonpietri","C2H","165.6","1258.84","1295.43","Finale B"
"Theo Siguret-Clement Brault","C2H","191.87","1117.94","1652.38","Finale B"
"Axel Linssen-Paul Le Galliard","C2H","280.05","1480.53","2850.54","Finale B"
"Souhayla Khattabi","K1D","114.04","492.44","553.72","Finale B"
"Lynda Heroui","K1D","145.56","816.81","970.63","Finale B"
"Solene Cantet","K1D","147.71","599.99","999.07","Finale B"
"Maryse Viseur","K1D","153.08","807.67","1070.1","Finale B"
"Celine Garcia","K1D","153.46","898.46","1075.12","Finale B"
"Christine Darchez","K1D","159.38","919.29","1153.43","Finale B"
"Maelle Froment","K1D","178.23","1171.19","1402.76","Finale B"
"Whitney Pickett","K1D","435.24","5347.22","4802.19","Finale B"
"Jade Perrin-rodrigues","K1DM","167.61","1233.87","1262.28","Finale B"
"Fany Marck","K1DM","211.29","798.99","1840.03","Finale B"
"Hanalei Le Du","K1DM","539.89","-","6186.38","Finale B"
"Clement Brault","K1H","101.21","554","558.05","Finale B"
"Axel Girard","K1H","104.06","439.31","600.65","Finale B"
"Maixent De Poucques","K1H","106.73","593.62","640.56","Finale B"
"Valentin Fleury","K1H","111.04","552.04","704.98","Finale B"
"Ibrahim Ben-belgacem","K1H","113.46","704.81","741.15","Finale B"
"Thomas Gaud","K1H","114.96","588.97","763.57","Finale B"
"Robin Le Mazurier","K1H","115.57","700.46","772.68","Finale B"
"Philippe Valeri","K1H","116.01","611.6","779.26","Finale B"
"Philippe Piat","K1H","116.48","799.4","786.28","Finale B"
"Stephane Brice","K1H","118.79","665.02","820.81","Finale B"
"Joris Bonine","K1H","121.62","604.88","863.11","Finale B"
"Yves Souchal","K1H","125.18","821.37","916.32","Finale B"
"Alain Brucher","K1H","125.78","901.73","925.28","Finale B"
"Esteban Saussereau","K1H","126.47","711.89","935.6","Finale B"
"Thibault Dhennin","K1H","127.52","933.59","951.29","Finale B"
"Theotime Plumet","K1H","127.61","866.24","952.64","Finale B"
"Mathieu Benkaroun","K1H","128.8","918.53","970.42","Finale B"
"Maxence Bernardo","K1H","134.99","958.52","1062.94","Finale B"
"Martin Schneider","K1H","136.59","997.05","1086.85","Finale B"
"Marc Sanchez","K1H","137.57","871.7","1101.5","Finale B"
"Axel Tempier","K1H","137.67","758.52","1103","Finale B"
"Jorge Govea Martinez","K1H","137.87","1097.98","1105.99","Finale B"
"Francois Vuillermot","K1H","140.64","759.6","1147.39","Finale B"
"Vincent Renaudie","K1H","142.8","1137.31","1179.67","Finale B"
"Joseph Simonpietri","K1H","143.48","770.14","1189.84","Finale B"
"Marc-olivier Dufour","K1H","144.11","918.16","1199.25","Finale B"
"Tom Gala","K1H","144.94","936.08","1211.66","Finale B"
"Denis Marrocos","K1H","147.27","892.95","1246.48","Finale B"
"Victor Cauet","K1H","149.88","1598.34","1285.49","Finale B"
"Franz Barth","K1H","161.07","1032.19","1452.74","Finale B"
"Elouan Le Poulain","K1H","168.89","2360.06","1569.62","Finale B"
"Adrien Andre","K1H","175.71","1040.27","1671.56","Finale B"
"Kylian Correia","K1H","238.92","1374.71","2616.31","Finale B"
"Mathias Devriese","K1H","356.38","6329.08","4371.91","Finale B"
"Arnaud Godefroy","K1H","Des","-","-","Finale B"
"Kavishan Kulatunga","K1HM","110.98","625.12","704.08","Finale B"
"Gaspard Vincent","K1HM","130.58","879.1","997.03","Finale B"
"Alexandre Fallourd-marec","K1HM","137.75","955.01","1104.19","Finale B"
"Guillaume Borowicz","K1HM","161.94","1483.51","1465.74","Finale B"
"Victor Berland Laporte","K1HM","165.66","961.33","1521.34","Finale B"
"Kernius Kvietelaitis","K1HM","233.97","3372.97","2542.33","Finale B"
"Noa Accot","K1HM","312.7","1872.9","3719.06","Finale B"
