"Championnat d'Aquitaine de slalom - Tonneins - 2008-02-10","Course 1","2008-02-10","Régional","145"
"Alexandre Marteau","K1H","292.70","-","602",""
"Jerome Dorizon","K1H","300.55","-","645",""
"Valentin Rouge","K1H","302.04","699","653",""
"Max Trouve","K1H","302.74","-","658",""
"Jean-daniel Bost","K1H","306.09","329","675",""
"Jean Bernard Lacave","K1H","309.42","560","694",""
"Antony Alves","K1H","310.52","686","700",""
"Quentin Hostens","K1H","317.30","-","738",""
"Pierre-antoine Comby","K1H","317.71","-","740",""
"Florian Campagnole","K1H","317.97","-","741",""
"Nasser Belabdi","K1H","319.02","384","747",""
"Loic Gibert","K1H","320.51","-","755",""
"Jean Luc Pessoni","K1H","323.15","720","770",""
"Clement Guiraud","K1H","327.63","-","794",""
"Ambroise Roustit","K1H","328.00","493","796",""
"Pierre Adrien Plantion","K1H","332.53","-","821",""
"Loic Pierre","K1H","333.79","412","828",""
"Gurgen Brun","K1H","337.19","424","847",""
"Xavier Auneau","K1H","339.76","631","862",""
"Pailhassar Pierre","K1H","342.93","474","878",""
"Florian Fargier","K1H","347.06","-","901",""
"Michel Moreau","K1H","348.91","-","912",""
"Walter Roore","K1H","349.97","-","918",""
"Elie Compain","K1H","370.50","-","1030",""
"Robin Bourianne","K1H","373.55","-","1048",""
"Simon Berard","K1H","384.41","461","1107",""
"Aurelien Penicaud","K1H","386.03","1070","1117",""
"Ludovic Carniaux","K1H","389.62","-","1136",""
"Kevin Deborde","K1H","393.60","-","1158",""
"Colin Nerestan","K1H","418.31","-","1295",""
"Anthony Ruiz","K1H","421.48","-","1311",""
"Lucas Pazat","K1H","427.04","-","1342",""
"Igor Verdy","K1H","430.20","377","1359",""
"Maxime Vinel","K1H","445.81","-","1445",""
"Remy Bardou","K1H","464.94","-","1551",""
"Thomas Justin","K1H","542.54","-","1978",""
"Anthony Royneau","K1H","554.05","-","2042",""
"Joseph Robert","K1H","640.70","-","2520",""
"Corto Castelli Mege","K1H","681.95","-","2746",""
"Paul Bousquet","K1H","722.46","-","2970",""
"Guesnier Mathieu","K1H","872.94","-","3799",""
