"SÈlectif RÈgional Slalom (Double) - Manche n∞3 et Finale de la Coupe RÈgionale Grand Est & Championnat RÈgional Grand Est par Èquipe - 57000 Metz - Course n∞2 | Finale - 2020-09-27","Course n∞2 | Finale","2020-09-27","RÈgional","212"
"Leonard Painteaux","K1H","117.59","326.82","518.1","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","120.28","191.14","551.44","Course n∞2 | Finale A"
"Thomas Michel","K1H","122.17","530.56","574.86","Course n∞2 | Finale A"
"Sebastien De Berchem","K1H","122.38","294.24","577.46","Course n∞2 | Finale A"
"Nils Jakobs","K1H","122.4","562.08","577.71","Course n∞2 | Finale A"
"Baptiste Podor","K1H","122.93","353.67","584.28","Course n∞2 | Finale A"
"Matthieu Koffel","K1H","124.63","301.94","605.35","Course n∞2 | Finale A"
"Gael Ettwiller","K1H","126.01","318.9","622.45","Course n∞2 | Finale A"
"Remy Perrin","K1H","126.95","428.99","634.1","Course n∞2 | Finale A"
"Thomas Stutzmann","K1H","127.56","558.03","641.66","Course n∞2 | Finale A"
"Robin Pottelette","K1H","127.57","306.2","641.79","Course n∞2 | Finale A"
"Jules Ferber","K1H","127.63","397.74","642.53","Course n∞2 | Finale A"
"Jorg Blees","K1H","128.37","584.91","651.7","Course n∞2 | Finale A"
"Valentin Bostoen","K1H","129.58","479.1","666.7","Course n∞2 | Finale A"
"Clement Fremy","K1H","129.9","659.02","670.66","Course n∞2 | Finale A"
"Victor Henry","K1H","130.6","412.24","679.34","Course n∞2 | Finale A"
"Nicolas Mangeolle","K1H","130.95","387.75","683.67","Course n∞2 | Finale A"
"Florent Tamburini","K1H","131.56","443.41","691.23","Course n∞2 | Finale A"
"Alexis Gombert","K1H","133.34","448.02","713.29","Course n∞2 | Finale A"
"Julien Saguet","K1H","137.6","340.24","766.09","Course n∞2 | Finale A"
"Antonin Robert","K1H","138.52","221.38","777.49","Course n∞2 | Finale A"
"Theo Reby","K1H","157.69","219.83","1015.07","Course n∞2 | Finale A"
"Maxime Devis","K1H","175.55","346.35","1236.41","Course n∞2 | Finale A"
"Jules Andrien","K1H","175.57","280.34","1236.66","Course n∞2 | Finale A"
"Nathan Frison","K1H","177.32","342.61","1258.35","Course n∞2 | Finale A"
"Paul Bostoen","K1H","181.29","275.39","1307.55","Course n∞2 | Finale A"
"Victor Eduardo Carneiro Gomes","K1H","183.46","453.81","1334.44","Course n∞2 | Finale A"
"Romain Moret","K1H","203.91","356.4","1587.88","Course n∞2 | Finale A"
"Smail Mouhoub","K1H","231.72","524.83","1932.54","Course n∞2 | Finale A"
"Lucas Jamart","K1H","253.21","396.45","2198.87","Course n∞2 | Finale A"
"Aurelien Cossin","K1HM","124.55","576.43","604.36","Course n∞2 | Finale A"
"Colin Floch","K1HM","125.62","558.92","617.62","Course n∞2 | Finale A"
"Leo-paul Cassin","K1HM","129.53","483.79","666.08","Course n∞2 | Finale A"
"Noe Crapart","K1HM","133.22","572.09","711.81","Course n∞2 | Finale A"
"Teo Mullerheddar","K1HM","139.18","782.49","785.67","Course n∞2 | Finale A"
"Julien Tassotti","K1HM","139.37","742.57","788.03","Course n∞2 | Finale A"
"Hugo Robinet","K1HM","141.44","650.56","813.68","Course n∞2 | Finale A"
"Eliot Gompel","K1HM","177.43","677.89","1259.71","Course n∞2 | Finale A"
"Yuha Egraz","K1HM","181.32","523.03","1307.92","Course n∞2 | Finale A"
"Jan Gabin Pischek","K1HM","191.99","570.37","1440.16","Course n∞2 | Finale A"
"Elorri Erdois","C1D","142.33","652.53","535.72","Course n∞2 | Finale B"
"Sophie Staudt","C1D","158.88","794.24","706.64","Course n∞2 | Finale B"
"Margot Perrin","C1D","163.62","505.12","755.6","Course n∞2 | Finale B"
"Kassandra Wagnier","C1D","231.96","706.93","1461.39","Course n∞2 | Finale B"
"Caroline Scherer","C1D","Abs","-","-","Course n∞2 | Finale B"
"Justine Haton","C1DM","188.76","880.21","1015.24","Course n∞2 | Finale B"
"Loann Delle Dananchet","C1H","121.62","435.47","501.28","Course n∞2 | Finale B"
"Maxime Forcadette","C1H","123.77","382.34","526.65","Course n∞2 | Finale B"
"Jeancharles Reby","C1H","127.22","492.02","567.37","Course n∞2 | Finale B"
"Valentin Bostoen","C1H","127.66","494.4","572.56","Course n∞2 | Finale B"
"Maxime Devis","C1H","128.62","534.67","583.89","Course n∞2 | Finale B"
"Salim Jemai","C1H","131.28","578.17","615.29","Course n∞2 | Finale B"
"Adrien Gaillot","C1H","133.73","605.15","644.21","Course n∞2 | Finale B"
"Ludovic Kessler","C1H","144.58","639.28","772.27","Course n∞2 | Finale B"
"Adrien Dierstein","C1H","149.17","618.18","826.45","Course n∞2 | Finale B"
"Alexandre L'huillier","C1H","162.88","856.84","988.27","Course n∞2 | Finale B"
"Alexis Sevrez","C1H","164.48","385","1007.16","Course n∞2 | Finale B"
"Nils Jakobs","C1H","182.45","623.57","1219.25","Course n∞2 | Finale B"
"Paul Gstalter","C1H","184.87","1227.77","1247.82","Course n∞2 | Finale B"
"Maxime Paumier","C1H","196.58","618.82","1386.03","Course n∞2 | Finale B"
"Anthony Menissier","C1H","386.55","510.39","3628.26","Course n∞2 | Finale B"
"Antoine Dusard","C1H","Abd","-","-","Course n∞2 | Finale B"
"Maxence Jambois Ruche","C1HM","147.73","819.34","809.45","Course n∞2 | Finale B"
"Noe Crapart","C1HM","160.68","675.36","962.3","Course n∞2 | Finale B"
"Gr…goire Fontan","C1HM","190.03","1249.11","1308.72","Course n∞2 | Finale B"
"Etienne Ermel","C1HM","406.23","1643.07","3860.55","Course n∞2 | Finale B"
"Baptiste Albert","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Antoine Schroetter-Simon Bouchot","C2H","204.11","1464.36","1365.41","Course n∞2 | Finale B"
"Oskar Hillion-Maxime Forcadette","C2H","394.15","1117","3506.5","Course n∞2 | Finale B"
"Louis Sibille-Alexis Sevrez","C2H","725.02","1522.02","7234.27","Course n∞2 | Finale B"
"Mylene Guilcher","K1D","125.06","404.61","437.38","Course n∞2 | Finale B"
"Lou-anne Cointin","K1D","128.68","773.35","477.07","Course n∞2 | Finale B"
"Charlotte Chauvey","K1D","138.35","472.43","583.13","Course n∞2 | Finale B"
"Zelie Wendling","K1D","143.75","450.97","642.35","Course n∞2 | Finale B"
"Kassandra Wagnier","K1D","143.9","581.6","644","Course n∞2 | Finale B"
"Elorri Erdois","K1D","144.26","602.9","647.95","Course n∞2 | Finale B"
"Marine Primet","K1D","157.34","649","791.4","Course n∞2 | Finale B"
"Agathe Portmann","K1D","157.37","863.61","791.72","Course n∞2 | Finale B"
"Pauline Primm","K1D","159.66","556.99","816.85","Course n∞2 | Finale B"
"Maude Dominique","K1D","167.81","1105.3","906.23","Course n∞2 | Finale B"
"Charlotte Doucet","K1D","172.44","780.31","957.01","Course n∞2 | Finale B"
"Kelly Capitaine","K1D","193.79","672.29","1191.17","Course n∞2 | Finale B"
"Lola Malais…","K1D","238.56","1271.98","1682.18","Course n∞2 | Finale B"
"Emmy Tamburini","K1D","406.97","981.84","3529.2","Course n∞2 | Finale B"
"Elodie Berrot","K1D","423.71","507.39","3712.81","Course n∞2 | Finale B"
"Satine Meranger","K1DM","214.23","761.76","1415.34","Course n∞2 | Finale B"
"S…l»ne Driget","K1DM","371.88","1103.07","3144.35","Course n∞2 | Finale B"
"Juliette Formet","K1DM","Abd","-","-","Course n∞2 | Finale B"
"Anthony Rouhier","K1H","115.05","290.02","491.62","Course n∞2 | Finale B"
"Jerome Olhagaray","K1H","115.21","225.58","493.61","Course n∞2 | Finale B"
"Jean Christophe Boivin","K1H","120.74","349","562.14","Course n∞2 | Finale B"
"Loric Bertrand Delorme","K1H","124.67","233.06","610.84","Course n∞2 | Finale B"
"Antoine Paumier","K1H","125.51","414.44","621.26","Course n∞2 | Finale B"
"Thibaut Boudier","K1H","130.03","462.69","677.27","Course n∞2 | Finale B"
"Michel Ragot","K1H","132.41","638.97","706.77","Course n∞2 | Finale B"
"Antoine Leroy","K1H","134.31","751.66","730.32","Course n∞2 | Finale B"
"Quentin Dierstein","K1H","135.78","587.03","748.53","Course n∞2 | Finale B"
"Audren Schiel","K1H","141.49","919.44","819.3","Course n∞2 | Finale B"
"Robin Giurlando","K1H","141.73","618.79","822.27","Course n∞2 | Finale B"
"Loris Allamachere","K1H","143.02","522.95","838.26","Course n∞2 | Finale B"
"Patrick Gass","K1H","146.63","522.74","883","Course n∞2 | Finale B"
"Evan Trenchant","K1H","147.88","636.77","898.49","Course n∞2 | Finale B"
"Adrien Gaillot","K1H","148.6","457.47","907.41","Course n∞2 | Finale B"
"Philippe Potier","K1H","149.09","677.33","913.49","Course n∞2 | Finale B"
"Yann Becker","K1H","149.79","491.29","922.16","Course n∞2 | Finale B"
"Ludovic Kessler","K1H","150.7","541.57","933.44","Course n∞2 | Finale B"
"Gabin Belot","K1H","154.46","843.76","980.04","Course n∞2 | Finale B"
"Gabin Beraud","K1H","154.99","670.67","986.61","Course n∞2 | Finale B"
"Paul Bornier","K1H","156.15","661.79","1000.98","Course n∞2 | Finale B"
"Paul Gstalter","K1H","157.46","420.5","1017.22","Course n∞2 | Finale B"
"Antoine Dusard","K1H","157.84","628.96","1021.93","Course n∞2 | Finale B"
"Andre Kempf","K1H","158.29","1093.88","1027.51","Course n∞2 | Finale B"
"Lucas Gamain","K1H","160.71","905.83","1057.5","Course n∞2 | Finale B"
"Moritz Adler","K1H","162.22","1059.74","1076.21","Course n∞2 | Finale B"
"Emile Babel","K1H","167.68","814.34","1143.88","Course n∞2 | Finale B"
"Mael Thierus","K1H","170.85","730.75","1183.16","Course n∞2 | Finale B"
"Thomas Danjou","K1H","172.24","966.16","1200.39","Course n∞2 | Finale B"
"Marc Perlade","K1H","172.62","665.57","1205.1","Course n∞2 | Finale B"
"Antoine Schroetter","K1H","172.63","661.2","1205.22","Course n∞2 | Finale B"
"Simon Bouchot","K1H","174.19","753.96","1224.56","Course n∞2 | Finale B"
"Eric Formet","K1H","174.28","1321.91","1225.67","Course n∞2 | Finale B"
"Alexandre L'huillier","K1H","177.07","1014.15","1260.25","Course n∞2 | Finale B"
"Paul Frommer","K1H","178.57","890.29","1278.84","Course n∞2 | Finale B"
"Sacha L ","K1H","180.89","941.71","1307.59","Course n∞2 | Finale B"
"Valentin Clement","K1H","184.42","1144.5","1351.34","Course n∞2 | Finale B"
"Anthony Menissier","K1H","194.59","718.18","1477.38","Course n∞2 | Finale B"
"Alexandre Lambert","K1H","196.32","1018.96","1498.82","Course n∞2 | Finale B"
"Loic Bourgeois","K1H","211.98","388.62","1692.9","Course n∞2 | Finale B"
"Maxime Forcadette","K1H","213.35","855.13","1709.88","Course n∞2 | Finale B"
"Lilian Bayer","K1H","234.48","966.68","1971.74","Course n∞2 | Finale B"
"Gaetan Cornu","K1H","305.36","1704.1","2850.18","Course n∞2 | Finale B"
"Louis Sibille","K1H","334.6","505.87","3212.55","Course n∞2 | Finale B"
"Est…ban Esposito","K1H","Abd","-","-","Course n∞2 | Finale B"
"Nathan Drouet","K1HM","136.64","697.85","759.19","Course n∞2 | Finale B"
"Maxence Jambois Ruche","K1HM","144.95","772.36","862.18","Course n∞2 | Finale B"
"Simon Sossi","K1HM","169.79","966.71","1170.03","Course n∞2 | Finale B"
"Mathys Henry","K1HM","193.87","1544.25","1468.46","Course n∞2 | Finale B"
"Nathan Beck","K1HM","197.93","3495.85","1518.77","Course n∞2 | Finale B"
"Etienne Flavier","K1HM","228.5","1028.19","1897.63","Course n∞2 | Finale B"
"Lucien Schmidt","K1HM","229.66","1195.49","1912.01","Course n∞2 | Finale B"
"Jules Dolisy","K1HM","231.55","911.75","1935.43","Course n∞2 | Finale B"
"Gabriel Hubert","K1HM","Abd","-","-","Course n∞2 | Finale B"
