"Double SÈlectif Slalom Pont Des Grottes de Betharram - Pont Des Grottes De Betharram - Course n∞1 | Finale - 2016-11-12","Course n∞1 | Finale","2016-11-12","RÈgional","212"
"Maxime Reubrez","K1HM","127.81","601.14","667.38","Course n∞1 | Finale A"
"Baptiste San Nicolas","K1HM","137.06","591.48","787.42","Course n∞1 | Finale A"
"Matt Vidou","K1HM","147.25","676.69","919.65","Course n∞1 | Finale A"
"Oceane Baylacq","C1D","127.44","391.47","391.94","Course n∞1 | Finale B"
"C…cilia Bourgeois","C1D","133.82","450.43","460.94","Course n∞1 | Finale B"
"Lea Baldoni","C1D","161.61","-","761.47","Course n∞1 | Finale B"
"Cleo Santini","C1D","178.77","-","947.04","Course n∞1 | Finale B"
"Laurine Salesse","C1DM","157.45","720.91","716.48","Course n∞1 | Finale B"
"Leo Vuitton","C1H","110.77","382.38","382.79","Course n∞1 | Finale B"
"Martin Jouves","C1H","111.04","364.51","386.13","Course n∞1 | Finale B"
"Clement Ravoteur","C1H","111.44","-","391.07","Course n∞1 | Finale B"
"Theau Le Loch","C1H","115.21","384.49","437.67","Course n∞1 | Finale B"
"Marc Sarramea","C1H","121.51","412.68","515.54","Course n∞1 | Finale B"
"Yanis Clerc","C1H","124.94","-","557.92","Course n∞1 | Finale B"
"Leo Dujourd'hui","C1H","127.7","385.83","592.04","Course n∞1 | Finale B"
"Gauthier Beyneix","C1H","129.39","506.98","612.93","Course n∞1 | Finale B"
"Violaine Truche","K1D","109.94","291.02","276.34","Course n∞1 | Finale B"
"Lea Baldoni","K1D","119.36","372.01","384.52","Course n∞1 | Finale B"
"C…cilia Bourgeois","K1D","121.47","375.09","408.76","Course n∞1 | Finale B"
"Agathe Gewiss","K1D","122.93","398.86","425.53","Course n∞1 | Finale B"
"Camille Santa Cruz","K1D","131.98","387.7","529.45","Course n∞1 | Finale B"
"Jeanne Pecot","K1D","133.15","457.08","542.89","Course n∞1 | Finale B"
"Helene Courtel","K1D","135.16","554.8","565.98","Course n∞1 | Finale B"
"Cleo Santini","K1D","135.75","566.99","572.75","Course n∞1 | Finale B"
"Emma Angladette","K1D","135.89","539.29","574.36","Course n∞1 | Finale B"
"Lyse Brichet","K1D","136.11","630.06","576.88","Course n∞1 | Finale B"
"Carla Voineau","K1D","143.43","476.68","660.95","Course n∞1 | Finale B"
"Lucile Cans","K1D","147.89","629.26","712.17","Course n∞1 | Finale B"
"Clarisse Hoogland","K1D","161.89","552.96","872.94","Course n∞1 | Finale B"
"Lea Hubert","K1D","199.19","586.67","1301.3","Course n∞1 | Finale B"
"Ismaella Khattou","K1D","341.52","704.41","2935.85","Course n∞1 | Finale B"
"Solene Lafitte","K1DM","142.17","456.35","646.48","Course n∞1 | Finale B"
"Youlia Estanguet","K1DM","143.25","652.19","658.88","Course n∞1 | Finale B"
"Pauline Rouilhet","K1DM","174.96","637.25","1023.05","Course n∞1 | Finale B"
"Aurore Poirot","K1DM","315.4","1067.67","2635.88","Course n∞1 | Finale B"
"Tom Deconchy","K1H","94.41","211.08","238.94","Course n∞1 | Finale B"
"Pierre Campagne","K1H","102.02","283.31","337.7","Course n∞1 | Finale B"
"Pascal Dongarra","K1H","104.42","422.11","368.84","Course n∞1 | Finale B"
"Marc Sarramea","K1H","105.6","386.97","384.16","Course n∞1 | Finale B"
"Nicolas Corbin","K1H","105.64","378.91","384.68","Course n∞1 | Finale B"
"Felix Praderie","K1H","105.74","435.11","385.97","Course n∞1 | Finale B"
"Marc Cordier","K1H","108.36","339.21","419.97","Course n∞1 | Finale B"
"Manuel Legros","K1H","109.24","356.23","431.39","Course n∞1 | Finale B"
"Lionel Blank","K1H","109.55","-","435.42","Course n∞1 | Finale B"
"Baptiste Riviere","K1H","110.1","452.78","442.55","Course n∞1 | Finale B"
"Florian Giraud","K1H","110.36","392.84","445.93","Course n∞1 | Finale B"
"Dylan Tonnellier","K1H","111","468.5","454.23","Course n∞1 | Finale B"
"Bastien Daniel","K1H","111.1","414.92","455.53","Course n∞1 | Finale B"
"Jean Yves Courtiade","K1H","111.34","529.58","458.65","Course n∞1 | Finale B"
"Julien Delaleux","K1H","111.87","305.15","465.52","Course n∞1 | Finale B"
"Guilhem Viguier","K1H","113.14","400.78","482","Course n∞1 | Finale B"
"Frederic Reus","K1H","113.29","458.27","483.95","Course n∞1 | Finale B"
"Leo Dujourd'hui","K1H","113.31","552.14","484.21","Course n∞1 | Finale B"
"Robin Julier","K1H","113.59","572.63","487.84","Course n∞1 | Finale B"
"Stephane Perilhou","K1H","114.82","461.76","503.81","Course n∞1 | Finale B"
"Kenae Brassier","K1H","115.6","453.85","513.93","Course n∞1 | Finale B"
"Gauthier Sanchou","K1H","115.7","527.73","515.23","Course n∞1 | Finale B"
"Maxime Pourret","K1H","116.89","597.12","530.67","Course n∞1 | Finale B"
"Eric Vidou","K1H","116.99","426.92","531.97","Course n∞1 | Finale B"
"Jules Besson","K1H","119.89","562.18","569.6","Course n∞1 | Finale B"
"Pierre Adrien Plantion","K1H","121.64","494.11","592.31","Course n∞1 | Finale B"
"Robin Genty","K1H","121.68","511.27","592.83","Course n∞1 | Finale B"
"Lucas Mauer","K1H","122.53","552.99","603.86","Course n∞1 | Finale B"
"Loan Jioux","K1H","123.5","562.93","616.45","Course n∞1 | Finale B"
"Alexandre Dubrous","K1H","123.52","603.49","616.71","Course n∞1 | Finale B"
"Compton Cruickshank","K1H","125.65","533.51","644.35","Course n∞1 | Finale B"
"Jean Dayraut","K1H","125.77","585.64","645.91","Course n∞1 | Finale B"
"Antonin Beyneix","K1H","126.61","528.38","656.81","Course n∞1 | Finale B"
"Jeremy Rouchereau","K1H","126.64","406.6","657.2","Course n∞1 | Finale B"
"Iyelmo Padova","K1H","127.95","533.06","674.2","Course n∞1 | Finale B"
"Denis Vintrou","K1H","128.02","661.88","675.1","Course n∞1 | Finale B"
"Camille Poirot","K1H","128.91","624.05","686.65","Course n∞1 | Finale B"
"Renaud Clerc","K1H","130.12","639.04","702.36","Course n∞1 | Finale B"
"Alexis Goussebayle","K1H","130.44","732.86","706.51","Course n∞1 | Finale B"
"Damien Caillard","K1H","130.61","583.77","708.71","Course n∞1 | Finale B"
"Samuel Taillefer","K1H","131.91","456.7","725.59","Course n∞1 | Finale B"
"Theo Laudrin","K1H","134.13","-","754.39","Course n∞1 | Finale B"
"Clement Sempe","K1H","135.46","817.1","771.65","Course n∞1 | Finale B"
"Franck Vanhoutteghem","K1H","140.84","948.54","841.47","Course n∞1 | Finale B"
"Bastien Darmayan","K1H","141.83","755.62","854.32","Course n∞1 | Finale B"
"Tom Gonzales","K1H","145.97","604.49","908.04","Course n∞1 | Finale B"
"Daniel Lafitte","K1H","158.25","786.73","1067.4","Course n∞1 | Finale B"
"Anthony Jonot","K1H","163.73","-","1138.52","Course n∞1 | Finale B"
"Mateo Gaudin","K1H","185.08","-","1415.58","Course n∞1 | Finale B"
"Matthieu Desbons","K1H","Des","-","-","Course n∞1 | Finale B"
"David Acero Blondin","K1H","Des","-","-","Course n∞1 | Finale B"
"Adrien Mesmoudi","K1HM","105.09","336.09","377.54","Course n∞1 | Finale B"
"Hugo Crespo","K1HM","123.44","823.15","615.67","Course n∞1 | Finale B"
"Julien Dubarry","K1HM","127.14","620.06","663.68","Course n∞1 | Finale B"
"Cyprien Cail","K1HM","128.47","904.27","680.94","Course n∞1 | Finale B"
"Thomas Fernandez","K1HM","131.23","669.82","716.76","Course n∞1 | Finale B"
"Romain Guichet","K1HM","136.68","838.86","787.49","Course n∞1 | Finale B"
"Julien Coric","K1HM","136.97","790.26","791.25","Course n∞1 | Finale B"
"Thomas Terr…","K1HM","139.21","781.3","820.32","Course n∞1 | Finale B"
"Lohan Wyon","K1HM","139.63","894.88","825.77","Course n∞1 | Finale B"
"Baptiste Mondin","K1HM","144.82","823.79","893.12","Course n∞1 | Finale B"
"Alex Baldoni","K1HM","145.36","920.51","900.13","Course n∞1 | Finale B"
"Th…o Palumbo","K1HM","169.42","-","1212.36","Course n∞1 | Finale B"
"Baptiste Delemotte","K1HM","170.5","570.34","1226.37","Course n∞1 | Finale B"
"Julian Luce","K1HM","174.8","821.93","1282.17","Course n∞1 | Finale B"
"Fran«ois Binh-cirlot","K1HM","249.9","-","2256.75","Course n∞1 | Finale B"
"Pierre Arsuffi","K1HM","274.68","1688.15","2578.33","Course n∞1 | Finale B"
"Jules Maitre","K1HM","313.56","-","3082.88","Course n∞1 | Finale B"
