"Sélectif N3 Nord Est - Ancerville - 2004-03-27","Course 1","2004-03-27","Nationale 3","186"
"Thomas Rollot","K1H","236.50","370","513",""
"Courtier Jeremy","K1H","236.68","507","514",""
"Gerard Lafargue","K1H","237.28","511","518",""
"Hitou Sofiane","K1H","239.39","555","531",""
"Lagache Jean Christophe","K1H","240.03","641","535",""
"Bajolet Julien","K1H","240.82","727","540",""
"Richard Carpentier","K1H","243.10","501","554",""
"Barnavon Guillaume","K1H","243.44","576","556",""
"Vincent Bajolot","K1H","244.31","700","561",""
"Gautherot Mathieu","K1H","244.49","617","563",""
"Barnavon Nicolas","K1H","246.80","587","577",""
"Tosser Roussey Loic","K1H","248.88","502","589",""
"Benjamin Defrocourt","K1H","250.63","515","601",""
"Treiber Edouard","K1H","250.90","670","602",""
"Drisch Nicolas","K1H","250.95","609","603",""
"Aubert Louis","K1H","251.54","743","606",""
"Diemert Maxime","K1H","252.13","505","609",""
"Parmentelat Steve","K1H","252.18","590","610",""
"Nicolas Mangeolle","K1H","252.95","312","615",""
"Bietry Julien","K1H","253.68","641","620",""
"Depreck Josselin","K1H","256.61","782","637",""
"Gaetan Kieffert","K1H","257.23","565","641",""
"Charlot Bertrand","K1H","259.51","600","655",""
"Wendling Valentin","K1H","260.74","543","663",""
"Eric Louis","K1H","261.22","623","666",""
"Frering Gilles","K1H","261.28","661","666",""
"Collet Timothe","K1H","263.09","659","677",""
"Laurent Guyot","K1H","263.57","586","680",""
"Bolzani Fabien","K1H","264.61","685","686",""
"Sassatelli Nicolas","K1H","264.73","630","687",""
"Pollet Manu","K1H","265.42","432","691",""
"Thomas Monvoisin","K1H","266.09","629","696",""
"Bourgain Olivier","K1H","270.42","734","722",""
"Denis Dimitri","K1H","276.26","724","758",""
"Arthur Veber","K1H","281.50","788","790",""
"Gautier Boudat","K1H","281.52","637","790",""
"Billel Khenchouche","K1H","283.26","555","801",""
"Romain Viry","K1H","291.08","491","849",""
"Guillaume Carpentier","K1H","294.99","600","873",""
"Renaut Brice","K1H","307.10","641","948",""
"Pahin Thomas","K1H","308.93","661","959",""
"Nicolas Dinquer","K1H","324.67","767","1056",""
"Boutter Victor","K1H","462.71","614","1905",""
