"Sélectif N2 - Epinal - 2002-03-24","Course 1","2002-03-24","Nationale 2","138"
"Pierre Bourliaud","K1H","200.02","119","150",""
"Jean Charles Creusot Walter","K1H","203.12","120","165",""
"Frederic Leclerc","K1H","205.34","198","175",""
"Gregory Busson","K1H","205.43","108","175",""
"Guillaume Provost","K1H","205.96","197","178",""
"Grandemange Jeanleonard","K1H","205.97","148","179",""
"Damien Boudet","K1H","207.29","124","184",""
"Mehdi Amini","K1H","207.60","156","186",""
"Sebastien Combot","K1H","207.65","219","186",""
"Michel Ragot","K1H","207.94","166","187",""
"Stern Guillaume","K1H","207.96","192","187",""
"Bercon Mathieu","K1H","208.87","176","192",""
"Michel Gombert","K1H","209.14","224","193",""
"Jonathan Chapatte","K1H","209.25","199","194",""
"Lambert Guillaume","K1H","209.27","192","194",""
"Michael Guyon","K1H","209.51","183","195",""
"Julien Beltrami","K1H","209.67","212","196",""
"Bertrand Bercon","K1H","210.77","159","201",""
"Philippe Daumont","K1H","210.77","203","201",""
"Benjamin Buys","K1H","210.89","216","201",""
"Thibault Bellembois","K1H","211.30","226","203",""
"Sylvain Herrbach","K1H","212.22","198","208",""
"Sebastien Thevenin","K1H","213.28","205","213",""
"Fabien Hantz","K1H","213.33","112","213",""
"Christophe Siffert","K1H","213.50","161","213",""
"Douillet Guilhem","K1H","214.23","203","217",""
"Christophe Gosselin","K1H","214.74","236","220",""
"Thomas Masuy","K1H","215.08","184","221",""
"Gregory Booth","K1H","215.11","168","221",""
"Macrel Loic","K1H","215.77","235","224",""
"Basquin Jeanbaptiste","K1H","216.22","144","226",""
"Gall Philippe","K1H","216.71","259","228",""
"Sebastien Lepaulard","K1H","216.78","151","229",""
"Jeanmaire Cyril","K1H","216.84","210","229",""
"Franck Dessaint","K1H","217.88","232","234",""
"Xavier Marie","K1H","218.14","172","235",""
"Dalla-Zuana Christophe","K1H","220.17","214","245",""
"Cedric Mace","K1H","220.17","213","245",""
"Boris Lutinier","K1H","220.25","230","245",""
"Romain Bove","K1H","220.66","210","247",""
"Bertrand Dubiez","K1H","220.69","214","247",""
"Benoit Letellier","K1H","221.48","207","251",""
"Sullivan Porcher","K1H","221.57","170","251",""
"Maxime Faivre","K1H","222.01","224","254",""
"Jerome Dorizon","K1H","222.38","237","255",""
"Moratelli Loic","K1H","223.77","162","261",""
"Saint Girons Thomas","K1H","224.13","159","264",""
"Palix Lorin","K1H","224.83","193","267",""
"Antoine Lebastard","K1H","225.11","211","268",""
"Soete Arnaud","K1H","225.36","215","269",""
"Charlot Thibaut","K1H","225.82","146","272",""
"Lambert Kevin","K1H","228.63","240","284",""
"Weber Nicolas","K1H","233.62","213","308",""
"Bruet Aurelien","K1H","235.72","220","318",""
"Mickael Louchard","K1H","236.58","239","322",""
"Patrick Gass","K1H","238.73","296","332",""
"Berthiaud Gregory","K1H","242.31","238","349",""
"Antoine Dufrene","K1H","248.00","217","376",""
"Christophe Billaud","K1H","249.78","228","384",""
"Alexandre Schall","K1H","254.23","155","405",""
"Jean Guyot","K1H","255.02","408","408",""
"Bigand Baptiste","K1H","265.88","230","460",""
"Philippe Valeri","K1H","269.31","334","476",""
"Despax Cedric","K1H","272.12","147","489",""
"Philippe Chapatte","K1H","273.76","341","497",""
"Medjeberg Jeremy","K1H","468.77","174","1413",""
