"Sélectif Régional de Slalom - SsLALOM BERTRAND - Réals - Finale - 2017-10-08","Finale","2017-10-08","Régional","116"
"Louis Midy","K1H","91.33","-","301.92","Finale A"
"Guilhem Viguier","K1H","91.43","378.55","303.34","Finale A"
"Gregoire Pouille","K1H","91.45","324.65","303.62","Finale A"
"Jean Charles Creusot Walter","K1H","92.67","359.53","320.97","Finale A"
"Clement Guiraud","K1H","92.82","-","323.11","Finale A"
"Marceau Faget","K1H","92.99","310.14","325.53","Finale A"
"Ludovic Gaignon","K1H","94.61","377.54","348.57","Finale A"
"Valentin Berland","K1H","94.85","335.3","351.98","Finale A"
"Nathan Pavot","K1H","95.57","358.48","362.22","Finale A"
"Marc Sarramea","K1H","96.31","389.67","372.75","Finale A"
"Esteban Illido","K1H","96.37","355.08","373.6","Finale A"
"Felix Praderie","K1H","96.63","339.8","377.3","Finale A"
"Natan Brule","K1H","96.67","207.94","377.87","Finale A"
"Nicolas Saurat","K1H","98.5","292.69","403.89","Finale A"
"Benoit Guiraud","K1H","98.67","-","406.31","Finale A"
"Maxime Charron","K1H","98.84","-","408.73","Finale A"
"Frederic Reus","K1H","98.95","449.31","410.29","Finale A"
"Samuel Taillefer","K1H","99.07","393.41","412","Finale A"
"Guillaume Affortit","K1H","99.52","366.55","418.4","Finale A"
"Robin Andre","K1H","100.24","372.76","428.64","Finale A"
"Pablo Chaminade","K1H","102.42","415.92","459.65","Finale A"
"Thierry Raimbault","K1H","104.17","-","484.54","Finale A"
"Felix Sperandio","K1H","105.38","438.67","501.75","Finale A"
"Jose Pereira","K1H","106.12","478.57","512.27","Finale A"
"David Bernardeau","K1H","106.51","504.61","517.82","Finale A"
"Baptiste Dumas","K1H","108.85","606.86","551.1","Finale A"
"Matthieu Blois","K1H","109.36","-","558.35","Finale A"
"Valentin Affortit","K1H","119.52","494.87","702.86","Finale A"
"Leo Vuitton","K1H","138.08","215.75","966.83","Finale A"
"Joachim Saussol","K1H","153.52","442.73","1186.43","Finale A"
"Cyprien Cail","K1HM","101.97","444.37","453.25","Finale A"
"Felix Sperandio","C1H","116.03","589.92","579.64","Finale B"
"Arthur Cousty","C1H","118.21","610.98","609.16","Finale B"
"Loic Leymonerie","C1H","120.19","873.55","635.99","Finale B"
"Thibault Wulveryck","C1H","145.11","815.63","973.54","Finale B"
"Raphael Wiche","C1H","147.54","-","1006.45","Finale B"
"Francois Mouttou","C1H","184.11","665","1501.82","Finale B"
"Hugo Crespo","C1HM","131.87","-","794.19","Finale B"
"Raphael Herzlich","C1HM","276.35","-","2751.24","Finale B"
"Clemence Lartigue","K1D","100.73","239.93","275.79","Finale B"
"Annie Ughetto","K1D","113.1","511.25","431.48","Finale B"
"Camille Santa Cruz","K1D","117.32","405.19","484.6","Finale B"
"Lorene Scalbert","K1D","123.74","-","565.4","Finale B"
"Marianne Tuytten","K1D","124.83","558.72","579.13","Finale B"
"Aurore Poirot","K1D","134.57","1021.36","701.71","Finale B"
"Helene Merlet","K1D","141.69","-","791.33","Finale B"
"Eva Silvester","K1D","Des","-","-","Finale B"
"Pauline Rouilhet","K1DM","125.56","474.94","588.31","Finale B"
"Lea Dupre","K1DM","201.02","-","1538.1","Finale B"
"Tino Forgues","K1H","95.52","320.49","366.51","Finale B"
"Arthur Cousty","K1H","96.51","420.44","380.59","Finale B"
"Gabriel Saul","K1H","105.69","473.71","511.16","Finale B"
"Yannis Dast","K1H","106.43","522.95","521.68","Finale B"
"Benoit Pacteau","K1H","108.98","-","557.95","Finale B"
"Denis Vintrou","K1H","110.59","511.87","580.85","Finale B"
"Abel Boidron","K1H","111.04","564.26","587.25","Finale B"
"Jules Besson","K1H","114.07","472.51","630.34","Finale B"
"Romain Cadiot","K1H","115.17","-","645.99","Finale B"
"Bilal Robert Caldini","K1H","119.64","-","-","Finale B"
"Quentin Escudero","K1H","120.06","912.9","715.54","Finale B"
"Valentin Jossemit","K1H","122.38","-","748.53","Finale B"
"ThÉo Palumbo","K1H","125.34","1070.52","790.63","Finale B"
"Florian Malaval","K1H","125.47","-","-","Finale B"
"Loic Leymonerie","K1H","127.52","680.83","821.64","Finale B"
"Mireau Appel","K1H","128.56","-","836.43","Finale B"
"Eric Vuiet","K1H","128.86","693.86","840.7","Finale B"
"Aurelien Lauze","K1H","134.06","-","914.66","Finale B"
"Yanis Delmas","K1H","134.19","642.07","916.5","Finale B"
"Remi Mazet","K1H","138.31","796.66","975.1","Finale B"
"Simon Fourestier","K1H","144.85","-","1068.12","Finale B"
"Louis Scalbert","K1H","161.05","486.93","1298.53","Finale B"
"Francois Mouttou","K1H","191","803.04","1724.5","Finale B"
"Pierrick Bresson","K1HM","107.14","-","531.78","Finale B"
"Lohan Wyon","K1HM","110.66","815.93","581.84","Finale B"
"Remi Dolcin Tillant","K1HM","117.67","-","681.54","Finale B"
"Clement Guyon","K1HM","120.75","708.09","725.35","Finale B"
"Matteo Roubaud","K1HM","121.57","-","737.01","Finale B"
"Clement Claret","K1HM","123.34","-","762.19","Finale B"
"Hugo Crespo","K1HM","154.47","619.73","1204.94","Finale B"
"Alexandre Weiler","K1HM","160.19","765.86","1286.3","Finale B"
"Antonin Bretecher","K1HM","162.13","-","1313.89","Finale B"
"Gabriel Felenc","K1HM","166.65","-","1378.18","Finale B"
"Raphael Herzlich","K1HM","227.87","-","2248.9","Finale B"
