"Sélectif Régional - Cergy - Finale - 2014-02-09","Finale","2014-02-09","Régional","199"
"Andy Pajani","K1H","96.92","73.8","162.06","Finale A"
"Quentin Bove","K1H","97.96","61.24","174.47","Finale A"
"Quentin Moreaux","K1H","97.99","137.65","174.83","Finale A"
"Eric Lamour","K1H","98.58","114.24","181.87","Finale A"
"Jules Guilbaud","K1H","99.14","169.43","188.55","Finale A"
"Robin Pilard","K1H","99.76","165.34","195.95","Finale A"
"Adrien Picco","K1H","99.78","224.43","196.19","Finale A"
"Etienne Carpentier","K1H","99.89","147.34","197.5","Finale A"
"Fabien Tournadre","K1H","99.96","91.14","198.34","Finale A"
"Romain Bove","K1H","100.9","210.04","209.55","Finale A"
"Bastien Meslet","K1H","101.19","216.73","213.01","Finale A"
"Mathieu Delorme","K1H","101.38","256.69","215.28","Finale A"
"Stephane Broute","K1H","101.47","162.78","216.35","Finale A"
"Philippe Daumont","K1H","101.73","206.9","219.45","Finale A"
"Arnaud Gallois","K1H","102.08","154.46","223.63","Finale A"
"Bertrand Avril","K1H","102.66","204.66","230.55","Finale A"
"Ludovic Ngo","K1H","103.04","241.45","235.09","Finale A"
"Nathan Aubert","K1H","103.31","234.54","238.31","Finale A"
"Mikael Maupin","K1H","103.38","195.56","239.14","Finale A"
"Tom Barthelemy","K1H","103.46","227.36","240.1","Finale A"
"Adrien Suardana","K1H","103.66","243.59","242.48","Finale A"
"Childeric Thoreau","K1H","104.87","284.64","256.92","Finale A"
"Xavier Chantry","K1H","105.05","291.47","259.07","Finale A"
"Francois Durand","K1H","105.28","245.63","261.81","Finale A"
"Kevin Lucas Mendes","K1H","105.47","226.66","264.08","Finale A"
"Guillaume Doutreix","K1H","105.55","209.25","265.03","Finale A"
"Jacques Precigout","K1H","105.61","232.72","265.75","Finale A"
"Nathan Boudaillez","K1H","106.3","270.8","273.98","Finale A"
"Matthieu Walfard","K1H","107.12","321.43","283.77","Finale A"
"Thomas Postaire","K1H","107.19","279.49","284.6","Finale A"
"Guillaume De Fierville","K1H","107.47","289.86","287.94","Finale A"
"Clement Carbonnel","K1H","107.47","322.77","287.94","Finale A"
"Jeremy Grippon","K1H","107.81","342.95","292","Finale A"
"Maxime Poupart","K1H","108.04","327.48","294.74","Finale A"
"Jerome Lacire","K1H","108.41","-","299.16","Finale A"
"Yani Ferhaoui","K1H","108.69","339.34","302.5","Finale A"
"Corentin Desenclos","K1H","108.85","354.7","304.41","Finale A"
"Yohan Marck","K1H","109.19","269.3","308.47","Finale A"
"Bastien Darcillon","K1H","109.28","-","309.54","Finale A"
"Romain Bertrand","K1H","110.13","185.1","319.68","Finale A"
"Maxence Nevo Pinto","K1H","110.17","287.67","320.16","Finale A"
"Michel Gombert","K1H","110.67","-","326.13","Finale A"
"Lucas Gillet","K1H","111.28","348.02","333.4","Finale A"
"Guillaume Arnaud","K1H","112.01","293.39","342.11","Finale A"
"Francois Pech","K1H","112.73","366.99","350.7","Finale A"
"Louison Laumondais","K1H","115.52","395.98","383.99","Finale A"
"Samuel Lhegu","K1H","118.73","69.77","422.3","Finale A"
"Philippe Valeri","K1H","121.81","383.28","459.05","Finale A"
"Jorg Blees","K1H","153.56","305.54","837.88","Finale A"
"Thomas Durand","K1H","157.73","311.61","887.64","Finale A"
"Aaron Penning","K1HM","114.62","-","-","Finale A"
"Vincent Delahaye","K1HM","114.93","-","-","Finale A"
"Tristan Licoine Mercy","K1HM","129.4","-","-","Finale A"
"Aymeric Theatre","K1HM","133.02","-","-","Finale A"
"Valentin Fleury","K1HM","141.72","-","-","Finale A"
"Thibault Gigan","K1HM","Nt","-","-","Finale A"
"Augustin Francois","K1HM","Nt","-","-","Finale A"
"Charles Dampeyrou","C1H","103.77","169.08","189.84","Finale B"
"Guillaume Sellier","C1H","115.85","-","327.1","Finale B"
"Raphael Licoine-mercy","C1H","116.53","321.9","334.84","Finale B"
"Romain Bertrand","C1H","119.51","268.13","368.7","Finale B"
"Francois Durand","C1H","120.41","292.05","378.92","Finale B"
"Matthieu Walfard","C1H","122.3","403.26","400.4","Finale B"
"Nicolas Ducrocq","C1H","122.34","420.95","400.86","Finale B"
"Julien Fougeron","C1H","122.59","276.46","403.69","Finale B"
"Adam Collin","C1H","126.53","452.78","448.48","Finale B"
"Robin Dheilly","C1H","130.21","466.19","490.3","Finale B"
"Loic Bourgeois","C1H","131.6","358.92","506.08","Finale B"
"Jeremy Grippon","C1H","132.39","376.04","515.07","Finale B"
"Adrien Barlier","C1H","147.41","614.31","685.74","Finale B"
"Pierre Ferrand","C1H","156.22","-","785.86","Finale B"
"Damien Jacques","C1H","182.66","420.72","1086.32","Finale B"
"Luca Dos Santos","C1H","Nt","-","-","Finale B"
"Yani Ferhaoui","C1H","Nt","-","-","Finale B"
"Loic Bourgeois-Antoine Harlaut","C2H","135.3","785.05","478.24","Finale B"
"Damien Jacques-Teddy Poulard","C2H","139.54","384.63","524.24","Finale B"
"Adam Collin -Maxence Nevo Pinto","C2H","Nt","-","-","Finale B"
"Romain Bertrand-Ludovic Ngo","C2H","Nt","-","-","Finale B"
"Lucie Cecile","K1D","122.86","382.15","307.93","Finale B"
"Juliette Pitrey","K1D","122.93","374.03","308.67","Finale B"
"Adele Charlaigre","K1D","128.1","346.73","363.26","Finale B"
"Ilhame Siraj","K1D","128.28","571.75","365.15","Finale B"
"Sandrine Arnal","K1D","142.56","512.05","515.94","Finale B"
"Marion Taviaux","K1D","152.19","646.71","617.62","Finale B"
"Julie Dequeant","K1D","157.93","471.68","678.23","Finale B"
"Manon Borde","K1D","174.3","911.68","851.09","Finale B"
"Louise Muller","K1D","211.94","515.02","1248.54","Finale B"
"Natacha Giraud","K1D","407.33","372.34","3311.69","Finale B"
"Mallaury Bour","K1D","Nt","-","-","Finale B"
"Nicolas Feuillard","K1H","100.82","102.07","213.6","Finale B"
"Luca Dos Santos","K1H","103.44","332.15","244.86","Finale B"
"Julien Fougeron","K1H","106.71","215.54","283.88","Finale B"
"Louis Vandeville","K1H","107.76","316.05","296.4","Finale B"
"Aymeric Dollat","K1H","110.6","401.34","330.29","Finale B"
"Nicolas Arnoult","K1H","110.73","442.66","331.84","Finale B"
"Nicolas Tanguier","K1H","111.04","-","335.54","Finale B"
"Robin Dheilly","K1H","113.43","392.66","364.06","Finale B"
"Quentin Mannier","K1H","113.75","289.52","367.88","Finale B"
"Martin Rohaut","K1H","113.93","405.04","370.02","Finale B"
"Pierre Ferrand","K1H","115.19","429.46","385.06","Finale B"
"Benjamin Pre","K1H","115.69","419.58","391.02","Finale B"
"Son Bui","K1H","115.88","421.39","393.29","Finale B"
"Nicolas Leconte","K1H","116.95","403.57","406.06","Finale B"
"Antoine Saul","K1H","116.98","491.74","406.42","Finale B"
"Theo Zilber","K1H","119.4","399.08","435.29","Finale B"
"Gerard Lafargue","K1H","119.61","375.28","437.8","Finale B"
"Daniel Jasinski","K1H","119.72","918.09","439.11","Finale B"
"Guillaume Sellier","K1H","122.46","-","471.8","Finale B"
"Antoine Martin","K1H","124.16","559.85","492.09","Finale B"
"Antoine Harlaut","K1H","124.94","535.59","501.39","Finale B"
"Maxime Pilard","K1H","125.27","394.12","505.33","Finale B"
"Yann Castryck- -genereux","K1H","125.28","608.91","505.45","Finale B"
"Joseph Peineau","K1H","126.73","-","522.75","Finale B"
"Arnaud Prouin","K1H","129.42","-","554.85","Finale B"
"Benjamin Soroka","K1H","130.73","381.25","570.48","Finale B"
"Mickael Dubois","K1H","130.99","494.56","573.58","Finale B"
"Guillaume Arnoult","K1H","133.71","-","606.03","Finale B"
"Nicolas Castagnetti","K1H","135.62","587.68","628.82","Finale B"
"Frederic Ametonou","K1H","135.97","454.56","633","Finale B"
"Leonard Legroux","K1H","136.86","-","643.62","Finale B"
"Johan Floquet","K1H","142.85","-","715.09","Finale B"
"Remi Blaud","K1H","144.58","928.47","735.73","Finale B"
"Adrien Barlier","K1H","146.55","458.62","759.24","Finale B"
"Nicolas Candieu","K1H","148.64","693.23","784.18","Finale B"
"Quentin Deparpe","K1H","152.44","-","829.52","Finale B"
"Baptiste Podor","K1H","158.72","281.52","904.45","Finale B"
"Joseph Enguehard","K1H","160.36","353.11","924.02","Finale B"
"Paul Beteille","K1H","168.37","626.5","1019.59","Finale B"
"Nicolas Chainay","K1H","175.99","1052.19","1110.51","Finale B"
"Lucas Gamain","K1H","189.01","-","1265.87","Finale B"
"Thiebault Marteau","K1H","189.15","-","1267.54","Finale B"
"Benjamin Chausson","K1H","205.85","777.11","1466.8","Finale B"
"Guillaume Bonichon","K1H","224.01","-","1683.48","Finale B"
"Louis Pechuzal","K1H","241.43","-","1891.33","Finale B"
"Emmanuel Queven","K1H","258.49","748.92","2094.89","Finale B"
"Fabian Yung","K1H","Nt","-","-","Finale B"
"Thomas Dos Santos","K1H","Nt","-","-","Finale B"
"Nicolas Dequeant","K1H","Nt","-","-","Finale B"
"Kevin Rancon","K1H","Nt","-","-","Finale B"
"Valentin Bonnot","K1H","Nt","-","-","Finale B"
"Charles Dampeyrou","K1H","Nt","-","-","Finale B"
"Damien Jacques","K1H","Nt","-","-","Finale B"
"Thomas Descotes","K1HM","144.5","-","-","Finale B"
"Louis Prezeau","K1HM","145.68","-","-","Finale B"
"Alban Morel","K1HM","297.08","-","-","Finale B"
"Angelino Castagnetti","K1HM","318.7","-","-","Finale B"
"Anthony Dubois","K1HM","431.22","-","-","Finale B"
"Djimy Kar","K1HM","Nt","-","-","Finale B"
