"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course 1 - Finale - 2015-04-04","Course 1 - Finale","2015-04-04","Régional","124"
"Juliette Bonetti","K1D","151.87","-","548.91","Course 1 - Finale A"
"Lucie Adisson","K1D","152.24","421.48","552.55","Course 1 - Finale A"
"Elena Hugues","K1DM","148.19","-","-","Course 1 - Finale A"
"Eva Pietracha","K1DM","149.08","-","-","Course 1 - Finale A"
"Marion Pasquali","K1DM","158.19","-","-","Course 1 - Finale A"
"Camille Berson","K1DM","184.83","-","-","Course 1 - Finale A"
"Luc Doye","K1H","106.96","219.52","244.17","Course 1 - Finale A"
"Mathieu Monier","K1H","109.07","207.87","267.6","Course 1 - Finale A"
"Theo Viens","K1H","112.35","337.37","304.03","Course 1 - Finale A"
"Yohann Biglia","K1H","112.96","287.02","310.81","Course 1 - Finale A"
"Tom Deconchy","K1H","113.63","268.51","318.25","Course 1 - Finale A"
"Pablo Guillem","K1H","113.81","290.6","320.25","Course 1 - Finale A"
"Dimitri Durannot","K1H","115.72","259.83","341.46","Course 1 - Finale A"
"Ronan Cordier","K1H","116.99","365.02","355.57","Course 1 - Finale A"
"Jules Cresp","K1H","118.46","353.38","371.89","Course 1 - Finale A"
"Maxime Lignereux","K1H","118.73","325.39","374.89","Course 1 - Finale A"
"Kawan Thomas","K1H","120.28","340.7","392.11","Course 1 - Finale A"
"Fabien Leist","K1H","120.43","376.24","393.77","Course 1 - Finale A"
"Mathieu Lions","K1H","120.92","332.26","399.21","Course 1 - Finale A"
"Quentin Duhamel","K1H","121.28","-","403.21","Course 1 - Finale A"
"Yoann Mourier","K1H","121.37","-","404.21","Course 1 - Finale A"
"Lucien Goulet","K1H","121.6","438.33","406.77","Course 1 - Finale A"
"Adrien Reinard","K1H","121.67","411.17","407.54","Course 1 - Finale A"
"Julien Nutte","K1H","122.29","-","414.43","Course 1 - Finale A"
"Cedric Castel","K1H","122.61","423.87","417.99","Course 1 - Finale A"
"Mahe Dersoir","K1H","122.86","373.65","420.76","Course 1 - Finale A"
"Alexis Cordier","K1H","123.08","266.22","423.21","Course 1 - Finale A"
"Antoine Monternier","K1H","123.43","-","427.09","Course 1 - Finale A"
"Baptiste Tappero","K1H","124.59","-","439.98","Course 1 - Finale A"
"Stephane Marcellot","K1H","126.82","449.34","464.74","Course 1 - Finale A"
"Fabien Jouet","K1H","127.04","-","467.19","Course 1 - Finale A"
"Marc Delli Zuani","K1H","127.92","392.89","476.96","Course 1 - Finale A"
"Lucas Di Martino","K1H","129.72","-","496.95","Course 1 - Finale A"
"Cyril Audoit","K1H","131.11","405.23","512.39","Course 1 - Finale A"
"Mikael Clanchin","K1H","134.34","482.22","548.27","Course 1 - Finale A"
"Hugo Andre","K1H","136.63","363.23","573.7","Course 1 - Finale A"
"Lucas Maurin","K1H","139.09","538.33","601.02","Course 1 - Finale A"
"Alexandre Goujon","K1HM","133.12","-","-","Course 1 - Finale A"
"Adrien Fischer","K1HM","134.47","-","-","Course 1 - Finale A"
"Tao Semeria","K1HM","155.97","-","-","Course 1 - Finale A"
"Aymeric Rivier","K1HM","158.58","-","-","Course 1 - Finale A"
"Robin Andre","K1HM","159.68","-","-","Course 1 - Finale A"
"Antonin Dustou","K1HM","170.79","-","-","Course 1 - Finale A"
"Gael Adisson","K1HM","182.81","-","-","Course 1 - Finale A"
"Lorene Scalbert","C1D","Abd","-","-","Course 1 - Finale B"
"Thomas Thieblemont","C1H","136.74","-","507.61","Course 1 - Finale B"
"Lucas Di Martino","C1H","139.09","369.79","532.46","Course 1 - Finale B"
"Marc Delli Zuani","C1H","139.13","-","532.89","Course 1 - Finale B"
"Mathieu Monier","C1H","151.58","379.19","664.58","Course 1 - Finale B"
"Cyril Audoit","C1H","156.93","464.36","721.16","Course 1 - Finale B"
"Kawan Thomas","C1H","164.68","655.42","803.14","Course 1 - Finale B"
"Fabien Leist","C1H","210.69","-","1289.82","Course 1 - Finale B"
"Pablo Guillem","C1H","Abs","-","-","Course 1 - Finale B"
"Alexis Mercoirol","C1H","Abs","-","-","Course 1 - Finale B"
"Charlotte Issagarre","K1D","133.6","456.49","374.34","Course 1 - Finale B"
"Laura Rocher","K1D","140.46","189.95","441.77","Course 1 - Finale B"
"Julie Fauroux","K1D","142.88","388.05","465.55","Course 1 - Finale B"
"Clemence Pacher","K1D","147.42","510.35","510.17","Course 1 - Finale B"
"Lorene Scalbert","K1D","150.11","440.61","536.62","Course 1 - Finale B"
"Juliette Rousset","K1D","156.6","535.18","600.4","Course 1 - Finale B"
"Amandine CrÉgut","K1D","302.06","-","2030.11","Course 1 - Finale B"
"Thomas Thieblemont","K1H","111.94","330.99","304.48","Course 1 - Finale B"
"Adrien Tappero","K1H","124.77","-","446.98","Course 1 - Finale B"
"Nayl Tazi-sidqui","K1H","130.06","474.46","505.73","Course 1 - Finale B"
"Thomas Courtois","K1H","130.55","473.47","511.17","Course 1 - Finale B"
"Valentin Bonnot","K1H","131","382.67","516.17","Course 1 - Finale B"
"Hugo Polard","K1H","133.33","537.67","542.05","Course 1 - Finale B"
"Louis Scalbert","K1H","135.86","503.74","570.15","Course 1 - Finale B"
"Ollivier Paumier","K1H","136.36","466.87","575.7","Course 1 - Finale B"
"Gilles Lovera","K1H","137.86","506.2","592.36","Course 1 - Finale B"
"Jean Beillard","K1H","138.97","-","604.69","Course 1 - Finale B"
"Yann Tabone","K1H","139.01","483.16","605.13","Course 1 - Finale B"
"Alan Bellot","K1H","142.47","527.66","643.56","Course 1 - Finale B"
"Hugo Avril","K1H","142.84","679.89","647.67","Course 1 - Finale B"
"Valentin Affortit","K1H","143.4","526.9","653.89","Course 1 - Finale B"
"Lucas Ferro","K1H","145.09","600.05","672.66","Course 1 - Finale B"
"Pierre Courtois","K1H","146.6","738.87","689.43","Course 1 - Finale B"
"Luca Barone","K1H","146.89","626.51","692.65","Course 1 - Finale B"
"Anton Gille","K1H","150.22","668.07","729.64","Course 1 - Finale B"
"Enzo Briffa","K1H","151.15","809","739.97","Course 1 - Finale B"
"Gregoire Michel","K1H","151.23","752.79","740.86","Course 1 - Finale B"
"Seraphin Margot","K1H","152.99","557.66","760.4","Course 1 - Finale B"
"Ange Bernard","K1H","153.52","767.63","766.29","Course 1 - Finale B"
"Robin Plancade","K1H","156.7","593.97","801.61","Course 1 - Finale B"
"Morgan Hoarau","K1H","164.2","551.12","884.91","Course 1 - Finale B"
"Ivan Olivier","K1H","164.93","-","893.02","Course 1 - Finale B"
"Dominique Polard","K1H","186.95","563.21","1137.59","Course 1 - Finale B"
"Gauthier Fiorentino","K1H","378.78","1163.11","3268.17","Course 1 - Finale B"
"Bastien Cothenet","K1H","467.49","-","4253.44","Course 1 - Finale B"
"Marc Cordier","K1H","Abs","-","-","Course 1 - Finale B"
"Alexis Mercoirol","K1H","Abs","-","-","Course 1 - Finale B"
"Romaric Moreno","K1HM","119.64","-","-","Course 1 - Finale B"
"Baptiste Marcellot","K1HM","150.69","-","-","Course 1 - Finale B"
"Enzo Guillarme","K1HM","157.12","-","-","Course 1 - Finale B"
"Simon Del Negro","K1HM","294.76","-","-","Course 1 - Finale B"
"Kilian Cottet","K1HM","Abd","-","-","Course 1 - Finale B"
