"1ère manche - Coupe Régional Centre-Val de Loire  - Stade D'eau Vive De Veigné - Course n°2 | Qualification - 2016-11-27","Course n°2 | Qualification","2016-11-27","Régional","200"
"Victor Lagleyze","K1HM","133.36","701.49","727.39",""
"Theo Douady","K1HM","133.58","532.35","730.14",""
"Hugo Bardot","K1HM","135.29","1021.88","751.49",""
"Armand Fougere","K1HM","140","542.36","810.3",""
"Carmin Douillard","K1HM","142.16","-","837.27",""
"Kilian Berlu","K1HM","146.34","-","889.46",""
"Romain Brouard","K1HM","146.45","862.16","890.83",""
"Yoann Chipeau","K1HM","156.71","805.71","1018.94",""
"Yann Mercier","K1HM","165.51","852.18","1128.81",""
"Mael Le Goff","K1HM","167.44","557.64","1152.91",""
"Simon Labet","K1HM","169.13","1072.3","1174.01",""
"Colin Dobigny","K1HM","216.83","1120.03","1769.59",""
