"Championnat Régional de Slalom - Sélestat - Finale - 2015-09-27","Finale","2015-09-27","Régional","134"
"Christophe Dalla-zuana","K1H","108.34","255.83","364.49","Finale A"
"Felix Rochlitz","K1H","108.51","-","366.61","Finale A"
"William Boutet","K1H","108.57","-","367.36","Finale A"
"Jan Rohrer","K1H","109.33","479.04","376.85","Finale A"
"Benjamin Hene","K1H","110.42","405.78","390.47","Finale A"
"Etienne Baudu","K1H","110.57","-","392.35","Finale A"
"Antoine Esseric","K1H","110.88","398.56","396.22","Finale A"
"Christophe Godinat","K1H","111.96","403.71","409.71","Finale A"
"Thomas Michel","K1H","112.49","-","416.33","Finale A"
"Nicolas Fritsch","K1H","112.72","-","419.21","Finale A"
"Christophe Siffert","K1H","112.91","357.03","421.58","Finale A"
"Michael Didier","K1H","113.46","-","428.45","Finale A"
"Pierre Aubry","K1H","113.49","-","428.83","Finale A"
"Kyle Gelb","K1H","114.03","436.23","435.57","Finale A"
"Dylan Hirtz","K1H","115.36","-","452.19","Finale A"
"Pascal Philip","K1H","115.37","395.62","452.32","Finale A"
"Leo Peter","K1H","115.53","470.52","454.31","Finale A"
"Maxence Grandadam","K1H","115.59","356.64","455.06","Finale A"
"Dyclan Plessis","K1H","116.48","408.04","466.18","Finale A"
"Rafael Pawlus","K1H","118.69","475.75","493.79","Finale A"
"William Pawlus","K1H","126.18","545.61","587.37","Finale A"
"Anne Traband","C1D","139.77","-","471.12","Finale B"
"Celia Grandadam","C1D","141.88","585.05","493.08","Finale B"
"Anais Mouhoub","C1D","149.93","-","576.9","Finale B"
"Clotilde Lecoester","C1D","Abd","-","-","Finale B"
"Anthony Ulrich","C1H","125.68","625.71","511.35","Finale B"
"Simon Hene","C1H","135.95","-","633.55","Finale B"
"Paul Frommer","C1H","140.27","655.87","684.95","Finale B"
"Benjamin Hene","C1H","141.86","-","703.88","Finale B"
"Antoine Esseric","C1H","143.44","700.15","722.68","Finale B"
"Leo Peter","C1H","Abd","-","-","Finale B"
"Eliot Wendling","C1H","Abd","-","-","Finale B"
"Irenee Jaujay","C1HM","142.96","-","716.96","Finale B"
"Loic Trenchant","C1HM","144.7","-","-","Finale B"
"Pierre-louis Gstalter","C1HM","147.36","-","769.32","Finale B"
"Titouan Auriol","C1HM","150","-","800.73","Finale B"
"Victor Henry","C1HM","158.19","-","898.17","Finale B"
"Leo Peter-Eli Haug","C2H","142.39","698.58","633.16","Finale B"
"Felix Rochlitz-Jan Rohrer","C2H","146.3","-","677.58","Finale B"
"Paul Frommer-Kyle Gelb","C2H","149.67","-","715.86","Finale B"
"Pierre Carisey-Julien Carisey","C2H","157.4","-","803.65","Finale B"
"Charles Billon-Dyclan Plessis","C2H","170.1","-","947.89","Finale B"
"Clotilde Lecoester","K1D","126.09","718.69","410.01","Finale B"
"Maeva Auriol","K1D","140.34","470.45","567.57","Finale B"
"Stassy Legendre","K1D","141.59","516.26","581.39","Finale B"
"Manon Bucher","K1D","184.96","-","1060.89","Finale B"
"Sarah Kambic","K1D","189.16","-","1107.33","Finale B"
"Agathe Niazi","K1D","Abd","-","-","Finale B"
"Manon Louis","K1D","Abd","-","-","Finale B"
"Lucine Tellier","K1DM","246.66","-","1743.06","Finale B"
"Augustin Jaujay","K1H","112.17","604.08","417.34","Finale B"
"Gilles Barthelemy","K1H","116.48","584.21","471.18","Finale B"
"Eliot Wendling","K1H","117.16","-","479.68","Finale B"
"Jules Gastaud","K1H","120.03","545.84","515.54","Finale B"
"Jean Guyot","K1H","120.77","466.29","524.78","Finale B"
"Julien Carisey","K1H","121.51","-","534.03","Finale B"
"Eli Haug","K1H","122.65","486.16","548.27","Finale B"
"Gilles Schweitzer","K1H","125.44","-","583.13","Finale B"
"Jacques Mischler","K1H","125.79","-","587.5","Finale B"
"David Matchavariani","K1H","125.9","-","588.87","Finale B"
"Bryan Wolffer","K1H","129.26","-","630.85","Finale B"
"Philippe Koffel","K1H","134.18","-","692.32","Finale B"
"Eric Louis","K1H","140.94","-","776.78","Finale B"
"Gaetan Gagner","K1H","142.81","-","800.14","Finale B"
"Pierre Carisey","K1H","145.46","-","833.25","Finale B"
"Frederic Bracker","K1H","162.73","-","1049.01","Finale B"
"Simon Vernier","K1H","166.08","-","1090.86","Finale B"
"Guillaume Schneider","K1H","227.06","-","1852.72","Finale B"
"Charles Billon","K1H","Abd","-","-","Finale B"
"Yael Leleu","K1H","Abd","-","-","Finale B"
"Lucas Wietrich","K1H","Abd","-","-","Finale B"
"Pierre-louis Gstalter","K1HM","120.36","-","519.66","Finale B"
"Titouan Auriol","K1HM","121.94","-","539.4","Finale B"
"Paul Bostoen","K1HM","123.83","-","-","Finale B"
"Hugo Courtin","K1HM","125.01","-","577.75","Finale B"
"Loic Trenchant","K1HM","126.53","-","-","Finale B"
"Irenee Jaujay","K1HM","126.79","-","599.99","Finale B"
"Victor Henry","K1HM","128.48","-","621.11","Finale B"
"Lars Bingert","K1HM","129.05","-","628.23","Finale B"
"Nicolas Leport","K1HM","155.24","-","955.43","Finale B"
"Anatole Fuchs","K1HM","161.83","-","1037.77","Finale B"
"CÉlestin Vernier","K1HM","206.89","-","-","Finale B"
