"Sélectif Régional de Slalom - Bassin De Slalom De Pont Querra - Finale - 2017-10-15","Finale","2017-10-15","Régional","107"
"Alexandra Rochard","K1DM","127.9","532.6","469.49","Finale A"
"Adele Le Duc","K1DM","139.31","989.99","598.91","Finale A"
"Nicolas Mevel","K1H","89.75","156.91","169.07","Finale A"
"Malo Quemeneur","K1H","89.82","68.94","169.97","Finale A"
"Sami Rocher","K1H","90.71","80.3","181.38","Finale A"
"Malo Legrand","K1H","93.76","199.11","220.48","Finale A"
"Luc Hellard","K1H","94.95","198.61","235.73","Finale A"
"Youn Aubry","K1H","96.18","220.15","251.5","Finale A"
"Nathan Flageul","K1H","96.36","224.16","253.8","Finale A"
"Quentin Le Duc","K1H","96.71","264.34","258.29","Finale A"
"Jeremy Lecollinet","K1H","98.28","328.04","278.42","Finale A"
"Alan Mahe","K1H","99.49","202.59","293.93","Finale A"
"Mathis Daniel","K1H","100.42","282.56","305.85","Finale A"
"Ewen Berrest","K1H","101.01","335.59","313.41","Finale A"
"Brice Derrien","K1H","101.74","321.3","322.77","Finale A"
"Lionel Tinevez","K1H","104.18","294.99","354.04","Finale A"
"Come Le Gal","K1H","105.31","379.07","368.53","Finale A"
"Paul-antoine Henry","K1H","106.02","-","377.63","Finale A"
"Alan Olivo","K1H","106.03","341.59","377.76","Finale A"
"Simon Rolland","K1H","106.07","378.41","378.27","Finale A"
"Valentino Le Guesclou","K1H","106.53","333.68","384.17","Finale A"
"Aurelien Le Duc","K1H","106.65","339.81","385.71","Finale A"
"Dorian Ollivier","K1H","107.93","286.2","402.11","Finale A"
"Tom Seguillon","K1H","108.12","398.09","404.55","Finale A"
"Benoit Ricard","K1H","154.68","-","1001.38","Finale A"
"Oscar Donval","K1HM","103.59","392.86","346.48","Finale A"
"Louis Brocard","K1HM","107.15","436.26","392.11","Finale A"
"Jules Roos","K1HM","109.92","522.37","427.62","Finale A"
"Ylan Penvenne","K1HM","113.69","-","475.95","Finale A"
"Adrien Le Collinet","K1HM","117.39","541.48","523.38","Finale A"
"Cesar Le Berder","K1HM","118.74","594.22","540.68","Finale A"
"Nicolas Bidault","K1HM","123.92","679.01","607.08","Finale A"
"Victor Robert","K1HM","124.33","683.71","612.34","Finale A"
"Ewann Hervouet","K1HM","128.13","798.99","661.05","Finale A"
"Stevan Chauvel","K1HM","132.91","-","722.32","Finale A"
"Youn Aubry","C1H","120.39","371.24","493.34","Finale B"
"Thomas Ollivo","C1H","127.69","538.01","582.47","Finale B"
"Yannis Houze","C1H","128.81","-","596.13","Finale B"
"Ewen Berrest","C1H","129.55","-","605.17","Finale B"
"Maxime Rannou","C1H","135.92","626.88","682.94","Finale B"
"Hugo Robert","C1H","136.69","710.86","692.34","Finale B"
"Simon Rolland","C1H","139.4","588.63","725.42","Finale B"
"Gaetan Le Jeune","C1H","140.21","611.74","735.3","Finale B"
"Come Le Gal","C1H","140.54","-","739.34","Finale B"
"Taelle Cardin","K1D","129.83","514.48","496.38","Finale B"
"Veronique Vourch","K1D","130.55","395.31","504.55","Finale B"
"Bleuenn Le Foll","K1D","132.53","574.7","527","Finale B"
"Louann Le Fer","K1D","166.23","830.08","909.29","Finale B"
"Martin Le Morvan","K1H","102.48","-","337.25","Finale B"
"Gurvan Huet","K1H","106.41","427.18","387.63","Finale B"
"Valentin Rault","K1H","107.14","377.81","396.99","Finale B"
"Daneric Ollivier","K1H","107.59","406.75","402.75","Finale B"
"Erwann Le Jeune","K1H","108.54","415.12","414.93","Finale B"
"Yannis Houze","K1H","109.21","439.1","423.52","Finale B"
"Mael Monjaret","K1H","112.19","457.53","461.72","Finale B"
"Elouan Le Fournis","K1H","113.86","468.91","483.13","Finale B"
"Hugo Eouzan-chaffotec","K1H","115.34","-","502.1","Finale B"
"Luck Thomas","K1H","116.91","554.19","522.22","Finale B"
"Yoann Donval","K1H","117.13","390.03","525.04","Finale B"
"Thibault Hamon","K1H","118.56","622.87","543.37","Finale B"
"Enzo Lemaitre","K1H","121.56","-","581.83","Finale B"
"Titouan Le Jeune","K1H","122.92","680.67","599.26","Finale B"
"Marius Benard","K1H","124.72","587.78","622.34","Finale B"
"Julien Buors","K1H","125.91","598.68","637.59","Finale B"
"Samuel Piton","K1H","126.42","561.29","644.13","Finale B"
"Hugo Robert","K1H","126.5","536.07","645.15","Finale B"
"Flavien Denniel","K1H","127.34","-","655.92","Finale B"
"Adrien Brulon Lecrenn","K1H","129.78","578.26","687.2","Finale B"
"Matteo Herve","K1H","131.05","-","703.48","Finale B"
"Gaetan Le Jeune","K1H","133.83","-","739.11","Finale B"
"Antoine Demarest","K1HM","125.77","-","635.79","Finale B"
"Juan Riu","K1HM","131.06","-","703.6","Finale B"
"Baptiste Bernard","K1HM","135.76","-","763.85","Finale B"
"Florian Szabo","K1HM","136.8","-","777.18","Finale B"
"Vincent Donval","K1HM","141.02","-","831.28","Finale B"
"Esteban Perreton","K1HM","143.95","-","868.83","Finale B"
"Anthony Genissel","K1HM","150.41","-","951.64","Finale B"
