"SÈlectif RÈgional Slalom (Double) - 42520 St Pierre De Boeuf - Course n∞1 | Finale - 2019-10-12","Course n∞1 | Finale","2019-10-12","RÈgional","290"
"Katia Talbot","K1D","235.67","765.23","1442.14","Course n∞1 | Finale B"
"Fantine Hortolan","K1D","240","956.01","1486.46","Course n∞1 | Finale B"
"Maœa Raoul","K1D","256.13","1315.46","1651.6","Course n∞1 | Finale B"
"Jade Isner","K1D","298.68","754.91","2087.22","Course n∞1 | Finale B"
"Valentine Mathieu","K1D","301.74","-","2118.55","Course n∞1 | Finale B"
"Lux Debruyne","K1D","324.04","539.86","2346.85","Course n∞1 | Finale B"
"Aurelie Cabrera","K1D","330.41","691","2412.06","Course n∞1 | Finale B"
"Nina Emery","K1D","612.11","1630.93","5296.05","Course n∞1 | Finale B"
"Emma Fauriel","K1D","Abd","-","-","Course n∞1 | Finale B"
"Maya Georgel","K1DM","157.34","514.01","640.21","Course n∞1 | Finale B"
"Chlo… Guyon Blanc","K1DM","179.41","633.87","866.15","Course n∞1 | Finale B"
"Jeanne Mazard","K1DM","197.95","941.7","1055.96","Course n∞1 | Finale B"
"Sidonie Duterage","K1DM","201.76","653.16","1094.97","Course n∞1 | Finale B"
"Camille Coulonval","K1DM","265.54","645.89","1747.93","Course n∞1 | Finale B"
"S…r…na Guibane","K1DM","266.41","666.11","1756.84","Course n∞1 | Finale B"
"Leonie Reichert","K1DM","321.43","1015.01","2320.12","Course n∞1 | Finale B"
"Etienne Wiche","K1H","104.49","165.54","238.2","Course n∞1 | Finale B"
"Edouard Chenal","K1H","105.19","188.68","246.3","Course n∞1 | Finale B"
"Jean Philippe Roche","K1H","111.02","317.32","313.75","Course n∞1 | Finale B"
"Samuel Tahaafe","K1H","112.78","456.86","334.11","Course n∞1 | Finale B"
"Remy Beal","K1H","114.32","458.46","351.92","Course n∞1 | Finale B"
"Maxime Devis","K1H","115.2","401.44","362.11","Course n∞1 | Finale B"
"Yann Leruste","K1H","115.78","377.59","368.81","Course n∞1 | Finale B"
"Gabin Chenal","K1H","116.23","376.86","374.02","Course n∞1 | Finale B"
"Loic Bourgeois","K1H","116.56","434.79","377.84","Course n∞1 | Finale B"
"Raphael Bonnard","K1H","116.75","429.69","380.04","Course n∞1 | Finale B"
"Matis Cote","K1H","117.72","449.49","391.26","Course n∞1 | Finale B"
"Antonin Castille","K1H","119.09","450.66","407.11","Course n∞1 | Finale B"
"Sebastien Lepaulard","K1H","119.27","377.11","409.19","Course n∞1 | Finale B"
"Ulysse Brunel","K1H","121.22","415.85","431.75","Course n∞1 | Finale B"
"Emmanuel Triomphe","K1H","122.6","438.04","447.71","Course n∞1 | Finale B"
"Sebastien Chapatte","K1H","122.81","493.88","450.14","Course n∞1 | Finale B"
"Clement Blancgras","K1H","123.17","746.73","454.31","Course n∞1 | Finale B"
"Pierre Escuret","K1H","123.83","450.84","461.94","Course n∞1 | Finale B"
"Guillaume Gery","K1H","125.76","394.61","484.27","Course n∞1 | Finale B"
"Mattheo Szkuta","K1H","125.86","660.24","485.43","Course n∞1 | Finale B"
"Ludovic Couture","K1H","126.87","527.48","497.11","Course n∞1 | Finale B"
"Mathys Rene","K1H","126.93","609.16","497.81","Course n∞1 | Finale B"
"Romain Magnier","K1H","127.05","489.65","499.19","Course n∞1 | Finale B"
"Maxence Violy","K1H","128.06","807.34","510.88","Course n∞1 | Finale B"
"Simon Lescaut","K1H","128.58","1249.29","516.89","Course n∞1 | Finale B"
"Florent Vallier","K1H","129.52","507.29","527.77","Course n∞1 | Finale B"
"Isaac Pinneau","K1H","129.92","638.19","532.4","Course n∞1 | Finale B"
"Xavier Rat","K1H","133.84","547.26","577.75","Course n∞1 | Finale B"
"Thibaud Chovin","K1H","135.53","498.05","597.3","Course n∞1 | Finale B"
"Jeremy Rouet","K1H","136.53","508.68","608.87","Course n∞1 | Finale B"
"Laurent Brossat","K1H","139.46","542.84","642.76","Course n∞1 | Finale B"
"Damien Chamblay","K1H","140.29","482.94","652.36","Course n∞1 | Finale B"
"Jean-marc Suarez","K1H","140.56","604.66","655.49","Course n∞1 | Finale B"
"Yves Masson","K1H","141.12","535.97","661.97","Course n∞1 | Finale B"
"Jonathan Ferreira","K1H","141.17","488.95","662.54","Course n∞1 | Finale B"
"Denis Cote","K1H","142.46","513.69","677.47","Course n∞1 | Finale B"
"Charlie Bouvier","K1H","144.7","674.91","703.38","Course n∞1 | Finale B"
"Oscar Pasteur","K1H","147.92","510.29","740.63","Course n∞1 | Finale B"
"Clement Innocenti","K1H","149.61","698.13","760.18","Course n∞1 | Finale B"
"Maxime Benay","K1H","151.06","693.38","776.96","Course n∞1 | Finale B"
"Eloœc Porte","K1H","153.11","1050.16","800.68","Course n∞1 | Finale B"
"Baptiste Dumas","K1H","157.41","523.2","850.42","Course n∞1 | Finale B"
"Hugo Ausseresse","K1H","163.63","756.99","922.38","Course n∞1 | Finale B"
"Matthieu Rousseau","K1H","168.83","552.54","982.54","Course n∞1 | Finale B"
"Emilien Charrier","K1H","174.94","745.24","1053.22","Course n∞1 | Finale B"
"Claude Flouret","K1H","175.61","627.3","1060.97","Course n∞1 | Finale B"
"Corentin Amand","K1H","175.85","1383.11","1063.75","Course n∞1 | Finale B"
"Gabin Beraud","K1H","179.95","767","1111.18","Course n∞1 | Finale B"
"Frederic Brissaud","K1H","187.5","549.84","1198.52","Course n∞1 | Finale B"
"William Varela","K1H","199.97","858.15","1342.79","Course n∞1 | Finale B"
"Matthieu Fontanez","K1H","200.05","576.07","1343.71","Course n∞1 | Finale B"
"Mathieu Meilier","K1H","202.12","587.9","1367.66","Course n∞1 | Finale B"
"Sacha Caron","K1H","202.93","594.82","1377.03","Course n∞1 | Finale B"
"Francisco Lafarga","K1H","216.16","739.17","1530.08","Course n∞1 | Finale B"
"Clement Quaeghebeur","K1H","216.76","1539.98","1537.02","Course n∞1 | Finale B"
"Eric Pouradier","K1H","216.77","782.65","1537.14","Course n∞1 | Finale B"
"Remi Hervieux","K1H","225.79","789.76","1641.49","Course n∞1 | Finale B"
"Aymeric Fumex","K1H","228.33","583.36","1670.87","Course n∞1 | Finale B"
"Adrien Jacquemet","K1H","239.81","925.22","1803.68","Course n∞1 | Finale B"
"Anael Audouin","K1H","258.29","609.56","2017.47","Course n∞1 | Finale B"
"Mathieu Caron","K1H","303.48","3444.54","2540.26","Course n∞1 | Finale B"
"Alban Crochet","K1H","335.6","2054.67","2911.85","Course n∞1 | Finale B"
"Theo Leroy","K1H","443.03","3279.11","4154.68","Course n∞1 | Finale B"
"Ethan Vilardell","K1H","Abd","-","-","Course n∞1 | Finale B"
"Bryan Bertrand","K1H","Abs","-","-","Course n∞1 | Finale B"
"Gabin Belot","K1H","Abd","-","-","Course n∞1 | Finale B"
"Othis Dabin","K1H","Abd","-","-","Course n∞1 | Finale B"
"Loris Allamachere","K1HM","135.85","679.77","601","Course n∞1 | Finale B"
"Robin Le Fellic","K1HM","140.24","675.6","651.79","Course n∞1 | Finale B"
"Jules Raoul","K1HM","143.35","648.49","687.76","Course n∞1 | Finale B"
"Jules Beauvais","K1HM","153.47","1101.05","804.84","Course n∞1 | Finale B"
"R…mi Teillerie","K1HM","159.64","849.61","876.22","Course n∞1 | Finale B"
"Gael Rivier","K1HM","161.77","826.63","900.86","Course n∞1 | Finale B"
"Victorien Pittion","K1HM","164.86","787.88","936.61","Course n∞1 | Finale B"
"Soad Brachet-lefevre","K1HM","168.34","1364.25","976.87","Course n∞1 | Finale B"
"Jules Roussel","K1HM","171.87","853.71","1017.7","Course n∞1 | Finale B"
"Rafael Parnotte","K1HM","191.39","746.76","1243.53","Course n∞1 | Finale B"
"Tinael Yahiaoui","K1HM","199.12","2652.94","1332.95","Course n∞1 | Finale B"
"Dorian Oriol","K1HM","201.32","722.83","1358.4","Course n∞1 | Finale B"
"Pierre Renault Bleeker","K1HM","234.87","720.3","1746.53","Course n∞1 | Finale B"
"Sacha L ","K1HM","302.77","2084.91","2532.05","Course n∞1 | Finale B"
"Warren Varela","K1HM","446.11","1682.55","4190.31","Course n∞1 | Finale B"
