"Sélectif N2 - Lavancia - 2004-04-17","Course 1","2004-04-17","Nationale 2","182"
"Anais Couturier","K1D","250.71","281","274",""
"Sixtine Malaterre","K1D","252.15","301","280",""
"Audrey Astier Perret","K1D","253.14","327","284",""
"Paviot Laetitia","K1D","253.72","289","287",""
"Roumet Alix","K1D","254.08","250","288",""
"Barthelme Anne-France","K1D","254.13","193","289",""
"Vernier Perrine","K1D","254.19","288","289",""
"Ceccarelli Anais","K1D","258.39","303","308",""
"Cornevin Maud","K1D","259.46","337","313",""
"Sarah Michel","K1D","263.03","303","329",""
"Cornevin Angelique","K1D","264.59","306","337",""
"Lyon Gaelle","K1D","266.63","321","345",""
"Schweitzer Pascale","K1D","293.65","-","468",""
"Elise Escourrou","K1D","303.70","272","514",""
"Tanet Lucie","K1D","315.02","224","565",""
"Paoletti Camille","K1D","319.71","254","586",""
"Morere Julia","K1D","383.42","280","876",""
"Renaud Doby","K1H","189.60","119","82",""
"Michael Guyon","K1H","192.19","113","95",""
"Benoit Molinier","K1H","193.51","115","102",""
"Benjamin Buys","K1H","193.85","121","104",""
"Pierre Pans","K1H","193.87","113","104",""
"Guillaume Picco","K1H","194.20","128","105",""
"Colliex Olivier","K1H","194.68","97","108",""
"Di Lauro Maxime","K1H","196.18","123","115",""
"Alexandre Schall","K1H","196.32","120","116",""
"Johan De Mareuil","K1H","196.57","113","117",""
"Portelli Yoann","K1H","198.56","108","127",""
"Nivel Cyril","K1H","199.22","142","130",""
"Bluy Alexandre","K1H","199.46","100","131",""
"Christophe Siffert","K1H","199.72","161","133",""
"Wadel Florian","K1H","200.08","171","135",""
"De Berchen Sebastien","K1H","200.91","159","139",""
"Lemaire Maxime","K1H","201.54","176","142",""
"Sylvain Herrbach","K1H","201.85","155","143",""
"Thomas Bersinger","K1H","202.21","146","145",""
"Julien Beltrami","K1H","202.42","171","146",""
"Jonathan Chapatte","K1H","202.85","167","149",""
"Jeremy Moureaux","K1H","203.06","158","149",""
"Coiffe Florion","K1H","203.34","153","151",""
"Sarazin Emmanuel","K1H","203.56","150","152",""
"Florian Berail","K1H","203.69","128","153",""
"Olivier Blanc","K1H","204.24","192","155",""
"Oswald Besch","K1H","205.12","169","160",""
"Florian Gosselin","K1H","205.75","150","163",""
"Ciaran Heurteau","K1H","205.95","138","164",""
"Perrin Alexandre","K1H","206.09","208","165",""
"Bazin Patryce","K1H","206.26","120","166",""
"Kudla Romain","K1H","206.41","230","166",""
"Philippe Daumont","K1H","206.84","190","168",""
"Kevin Schultz","K1H","206.99","208","169",""
"Yann Gudefin","K1H","207.31","193","171",""
"Cedric Bron","K1H","207.53","-","172",""
"Kevine Cliquet","K1H","208.03","209","174",""
"Renaud Metereau","K1H","208.26","189","175",""
"Pascal Ferry","K1H","208.90","222","179",""
"Medjeberg Jeremy","K1H","209.03","198","180",""
"Florent Boulet","K1H","209.21","172","180",""
"Colin Molinier","K1H","209.44","218","181",""
"Olivier Hardonniere","K1H","209.71","177","182",""
"Jeremy Wagner","K1H","209.92","180","184",""
"Lebourgeois Alexis","K1H","209.93","223","184",""
"Maxime Faivre","K1H","210.14","205","185",""
"Ysern Renaud","K1H","210.33","204","186",""
"Ludovic Pinchon","K1H","210.37","234","186",""
"Serret Mathieu","K1H","210.58","177","187",""
"Xavier Jourdain","K1H","210.84","118","188",""
"Louis Philippe Rigal","K1H","210.94","157","189",""
"Bertrand Dubiez","K1H","211.82","207","193",""
"Macrel Loic","K1H","212.12","243","194",""
"Sebastien Lepaulard","K1H","212.16","191","195",""
"Luc Doye","K1H","212.24","160","195",""
"Hugo Hager","K1H","212.65","209","197",""
"Hafiz Ali Hassan","K1H","212.74","189","198",""
"Louis Georges Lafont","K1H","213.66","209","202",""
"Christophe Gosselin","K1H","213.78","231","203",""
"Bourgeois Cedric","K1H","213.98","204","204",""
"Bernhardt Christophe","K1H","214.24","234","206",""
"Guillaume Provost","K1H","214.52","161","206",""
"Saint Girons Thomas","K1H","214.82","202","208",""
"Alain Ferry","K1H","214.99","254","209",""
"Arthur Georges","K1H","215.23","243","210",""
"Benoit Fer","K1H","215.31","149","211",""
"Bastien Dantin","K1H","215.62","217","212",""
"Bertrand Lamy","K1H","215.71","161","212",""
"Delfs Yann","K1H","216.04","222","214",""
"Remi Wolf","K1H","216.85","219","218",""
"Antoine Lebastard","K1H","216.93","214","218",""
"Court Germain","K1H","217.17","194","220",""
"Beltrami Denis","K1H","217.22","239","220",""
"Keller Paco","K1H","217.23","288","220",""
"Molinier Vincent","K1H","217.30","212","220",""
"Frederic Tinchant","K1H","217.34","213","221",""
"Marc Laborde","K1H","217.41","198","221",""
"Jeremy Vibert","K1H","219.19","259","230",""
"Michel Gombert","K1H","219.61","159","232",""
"David Beyer","K1H","220.37","197","236",""
"Jeanluc Nitard","K1H","222.22","214","245",""
"Daumas Jeremy","K1H","223.98","258","254",""
"Guillaume Maraquin","K1H","225.06","241","259",""
"Mehdi Amini","K1H","226.66","142","267",""
"Demange Marc","K1H","228.03","-","274",""
"Andy Pajani","K1H","231.45","198","291",""
"Labouille Yannick","K1H","232.49","234","296",""
"Antoine Dufrene","K1H","233.40","247","300",""
"Verchere Thibault","K1H","233.89","252","303",""
"Palix Lorin","K1H","233.96","249","304",""
"Yannick Besse","K1H","237.98","220","324",""
"Jerome Olhagaray","K1H","258.23","198","425",""
"Serre Eric","K1H","278.68","201","527",""
"Veronel Patrice","K1H","293.82","230","602",""
"Nicolas Labat","K1H","299.70","111","631",""
