"Compétition Régionale de Slalom - Réals - Finale - 2015-01-25","Finale","2015-01-25","Régional","149"
"Jules Cresp","K1H","121.82","353.38","610.87","Finale A"
"Jean Baptsite Cans","K1H","122.55","408.74","620.33","Finale A"
"Adam Wronski","K1H","126.44","418.29","670.72","Finale A"
"Romain Gayral","K1H","127.61","475.21","685.88","Finale A"
"Damien Laborde","K1H","140.1","119.43","847.69","Finale A"
"Jonathan Delagnes","K1H","143.45","103.26","891.09","Finale A"
"Louis Masson","K1H","144.19","199.97","900.67","Finale A"
"Leo Fournier","K1H","145.9","197.75","922.83","Finale A"
"Olivier Cail","K1H","159.04","321.11","1093.06","Finale A"
"Antoine Monternier","K1H","163.29","-","1148.12","Finale A"
"Theo Viens","K1H","180.12","338.74","1366.15","Finale A"
"Jeremie Palazy","K1HM","116.43","-","-","Finale A"
"Arthur Perez","K1HM","122.82","-","-","Finale A"
"Nour Ait Kaddour","K1HM","136.22","-","-","Finale A"
"Guilhem Viguier","K1HM","150.72","-","-","Finale A"
"Henri Bergognon","K1HM","151.14","-","-","Finale A"
"Alice Evlachev","C1D","272.76","1173.35","1982.37","Finale B"
"Nil Georgel","C1H","113.29","305.47","435.47","Finale B"
"Fabrice Roy","C1H","125.69","416.62","588.47","Finale B"
"Hippolyte Cail","C1H","125.82","462.04","590.07","Finale B"
"David Bernardeau","C1H","135.34","-","707.53","Finale B"
"Jeremy Tabourin","C1H","135.76","477.74","712.71","Finale B"
"Francois Mouttou","C1H","138.29","571.35","743.93","Finale B"
"Pablo Guillem","C1H","149.02","1322.47","876.32","Finale B"
"Alexis Mercoirol","C1H","167.59","400.29","1105.44","Finale B"
"Guillaume Gonseth","C1H","175.05","374.89","1197.48","Finale B"
"Louis Masson","C1H","179.18","520.47","1248.44","Finale B"
"Cyril Audoit","C1H","Abs","-","-","Finale B"
"Pierre Courtois-Enzo Briffa","C2H","Des","-","-","Finale B"
"Marion Delorme","K1D","112.49","304.54","327.34","Finale B"
"Alysson Goyat","K1D","132.67","508.36","558.7","Finale B"
"HeloÏse Dumoulin","K1D","212.43","-","1473.12","Finale B"
"Laure Poux","K1D","232.72","847.18","1705.74","Finale B"
"Marine Izac","K1D","235.65","336","1739.34","Finale B"
"Clementine Colle","K1D","235.83","-","1741.4","Finale B"
"Valentine Russic","K1D","245.72","-","1854.78","Finale B"
"Lila Cassan","K1DM","182.18","-","-","Finale B"
"Maeva Bachelot","K1DM","211.61","-","-","Finale B"
"Lucile Cans","K1DM","256.16","-","-","Finale B"
"Stephane Marcellot","K1H","109.92","686.72","461.7","Finale B"
"Marc Scognamiglio","K1H","111.47","489.86","481.78","Finale B"
"Julien Nutte","K1H","112.27","-","492.15","Finale B"
"Kawan Thomas","K1H","113.85","340.7","512.62","Finale B"
"Hugo Andre","K1H","115.05","363.23","528.16","Finale B"
"Teo Deconchy","K1H","115.15","530.3","529.46","Finale B"
"Louis Foissac","K1H","115.57","496.11","534.9","Finale B"
"Franck Leroy","K1H","119.35","508.28","583.87","Finale B"
"Thomas Courtois","K1H","119.61","495.77","587.24","Finale B"
"Lucas Maurin","K1H","121.05","560.2","605.89","Finale B"
"Mikael Clanchin","K1H","121.55","567.72","612.37","Finale B"
"Valentin Affortit","K1H","122.21","526.9","620.92","Finale B"
"Yann Tabone","K1H","126.05","520.99","670.67","Finale B"
"Philip Beadsworth","K1H","126.86","517.42","681.16","Finale B"
"Julian Guglielmo","K1H","129.37","607.38","713.68","Finale B"
"Nayl Tazi-sidqui","K1H","130.64","474.46","730.13","Finale B"
"Lucas Ferro","K1H","130.88","600.05","733.24","Finale B"
"Romain Berthon","K1H","131.56","658.29","742.05","Finale B"
"RomÉo Bex","K1H","131.89","-","746.33","Finale B"
"Gregoire Michel","K1H","133.87","991.52","771.98","Finale B"
"Paul Lebrasseur","K1H","135.86","684.27","797.76","Finale B"
"Seraphin Margot","K1H","136.74","557.66","809.16","Finale B"
"Nicolas Caussanel","K1H","139.27","163.36","841.94","Finale B"
"Louis Scalbert","K1H","140","503.74","851.39","Finale B"
"Hugo Avril","K1H","146.15","783.25","931.07","Finale B"
"Jules Azelie","K1H","147.24","-","945.19","Finale B"
"Hugo Nerisson","K1H","148.45","-","960.86","Finale B"
"Fabien Leist","K1H","159.84","376.24","1108.42","Finale B"
"Pierre Courtois","K1H","165.92","862.77","1187.19","Finale B"
"Paul Badache","K1H","168.17","659.15","1216.34","Finale B"
"Robin Plancade","K1H","171.3","593.97","1256.89","Finale B"
"Cyril Audoit","K1H","172.5","397.28","1272.43","Finale B"
"Kilian Torti","K1H","174.38","537.5","1296.79","Finale B"
"Alexei Evlachev","K1H","177.72","-","1340.06","Finale B"
"Guillaume Viguier","K1H","183.02","484.9","1408.72","Finale B"
"Marceau Hugues","K1H","189.47","653.87","1492.28","Finale B"
"Enzo Briffa","K1H","197.79","902.2","1600.07","Finale B"
"Gael Villar","K1H","201.43","648.97","1647.22","Finale B"
"Leon Mammar","K1H","281.65","-","2686.48","Finale B"
"Samuel De Severac","K1H","Des","-","-","Finale B"
"Tom Zanfini","K1HM","113.42","-","-","Finale B"
"Felix Praderie","K1HM","135.15","-","-","Finale B"
"Tao Semeria","K1HM","184.3","-","-","Finale B"
"Samuel Taillefer","K1HM","225.18","-","-","Finale B"
"Simeon Althabegoity","K1HM","374.82","-","-","Finale B"
