"Championnat Interrégional Slalom Nord (N3) - Beaurainville - Demi-finale - 2018-06-10","Demi-finale","2018-06-10","Nationale 3","97"
"Matheo Dupont","K1H","100.8","395.89","368.05",""
"Romain Bezies","K1H","100.83","366.27","368.46",""
"Melvin Queudeville","K1H","101.57","327.98","378.46",""
"Baptiste Duboc","K1H","102.3","434.38","388.33",""
"Quentin Angot","K1H","102.54","346.9","391.57",""
"Florent Bernard","K1H","103.28","405.34","401.58",""
"Hugo Pidoux","K1H","103.86","392.83","409.42",""
"Arnaud Delattre","K1H","103.91","434.1","410.1",""
"Jean Aussant","K1H","104.95","342.7","424.16",""
"Theo Moalic","K1H","105.66","358.6","433.75",""
"Nathan Huguenin","K1H","105.7","456.29","434.29",""
"Marceau Decarsin","K1H","105.76","394.25","435.11",""
"Alexandre Bluy","K1H","106.1","381.79","439.7",""
"Alan Le Goff","K1H","106.25","413.67","441.73",""
"Basile Drapier","K1H","106.48","421.02","444.84",""
"Nicolas Candieu","K1H","106.54","379.74","445.65",""
"Dante Bourlet De La Vallee","K1H","106.74","490.94","448.35",""
"Mathis Piepho","K1H","106.85","427.7","449.84",""
"Estephe Decarsin","K1H","107.88","407.29","463.77",""
"Helwann Rachdi","K1H","109.11","398.11","480.39",""
"Titouan Aussant","K1H","109.24","469.72","482.15",""
"Robin Dheilly","K1H","110.35","412.07","497.16",""
"Fabien Bonvalet","K1H","112.59","469.83","527.44",""
"Hugo Tellier","K1H","114.13","535.19","548.26",""
"Quentin Mannier","K1H","114.41","329.99","552.04",""
"Valentin Fleury","K1H","116.83","428.62","584.76",""
"Edouard Gracias","K1H","120.38","390.88","632.75",""
