"Séletif National 3 Slalom Est - Base Nautique Ancerville - Finale - 2017-03-19","Finale","2017-03-19","Nationale 3","169"
"Kilian Godart","K1H","96.82","379.92","458.11","Finale A"
"Luca Gabelli","K1H","97.5","493.44","468.22","Finale A"
"Christophe Billaud","K1H","97.69","408.6","471.05","Finale A"
"Damien Burteaux","K1H","98.31","344.74","480.27","Finale A"
"Pierre Biagui","K1H","98.32","387.3","480.42","Finale A"
"Dyclan Plessis","K1H","98.32","377.38","480.42","Finale A"
"Titouan Auriol","K1H","98.94","454.15","489.64","Finale A"
"Antoine Pas","K1H","99.46","415.17","497.37","Finale A"
"Antonin Robert","K1H","100.04","479.65","505.99","Finale A"
"Simon Munch","K1H","100.11","524.2","507.04","Finale A"
"Guerlain Robin","K1H","100.29","376.4","509.71","Finale A"
"Loic Petel","K1H","100.85","350.29","518.04","Finale A"
"Tanguy Malingre","K1H","102.47","527.66","542.13","Finale A"
"Nicolas Castagnetti","K1H","104.68","514.6","575","Finale A"
"Guillaume Schneider","K1H","105.54","492.15","587.79","Finale A"
"Michiel Wijckmans","K1H","106.97","-","609.05","Finale A"
"Louison Tanet","K1H","107.41","319.63","615.6","Finale A"
"Hugo Courtin","K1H","107.47","515.51","616.49","Finale A"
"Djimy Kar","K1H","107.59","385.54","618.27","Finale A"
"Jules Andrien","K1H","111.69","339.97","679.24","Finale A"
"Vivien Stemmelen","K1H","114.76","523.48","724.9","Finale A"
"Aurelien Merieux Danneaux","K1H","117.09","422.48","759.55","Finale A"
"Axel Guilleret","K1H","140.74","315.54","1111.25","Finale A"
"Matheo Dejonghe","K1H","148.87","481.2","1232.16","Finale A"
"Arthur Dupont","K1H","149.18","367.94","1236.77","Finale A"
"Robin Giurlando","K1H","199.73","-","1988.51","Finale A"
"Emma Vaubourg","C1D","125.82","567.66","582.52","Finale B"
"Margot Perrin","C1D","129.55","569.31","628.74","Finale B"
"Maurine Laugel","C1D","135.79","679.32","706.07","Finale B"
"Coline Husson","C1D","136.16","573.86","710.67","Finale B"
"Eva Klipfel","C1D","140.5","567.86","764.44","Finale B"
"Mylene Guilcher","C1D","148.02","573.65","857.64","Finale B"
"MaÏa Gombert","C1D","Nt","-","-","Finale B"
"Vincent Idriss Achaoui","C1H","110.6","419.94","589.71","Finale B"
"Dyclan Plessis","C1H","112.47","647.45","616.19","Finale B"
"Angelino Castagnetti","C1H","113.56","585.21","631.63","Finale B"
"Aurelien Merieux Danneaux","C1H","116.4","528.25","671.86","Finale B"
"Titouan Auriol","C1H","117.68","1050.05","689.98","Finale B"
"Michel Bert","C1H","118.47","670.1","701.18","Finale B"
"Jules Latimier","C1H","119.79","568.05","719.88","Finale B"
"Tanguy Malingre","C1H","120.18","739.04","725.39","Finale B"
"Guerlain Robin","C1H","123.17","468.05","767.75","Finale B"
"Laurel Hartmann","C1H","128.52","917.76","843.51","Finale B"
"Christophe Billaud","C1H","129.42","571.95","856.26","Finale B"
"Nicolas Gallais","C1H","132.48","749.74","899.59","Finale B"
"Pierre-louis Gstalter","C1H","162.98","720.3","1331.57","Finale B"
"Victor Henry","C1H","184.62","941.31","1638.07","Finale B"
"Hugo Courtin","C1H","191.8","727.12","1739.76","Finale B"
"Alexis Sevrez","C1H","193.35","804.47","1761.71","Finale B"
"Loric Bertrand Delorme-Pierre Biagui","C2H","135.47","544.01","854.74","Finale B"
"Maeva Auriol-Charles Billon","C2M","141.13","642.45","772.25","Finale B"
"Fiona Gille","K1D","111.55","484.9","491.32","Finale B"
"Julie Munch","K1D","113.38","492.07","515.4","Finale B"
"Mylene Guilcher","K1D","117.9","487.06","574.88","Finale B"
"Maude Dominique","K1D","118.7","544.66","585.41","Finale B"
"Lucille Meunier-cheyssac","K1D","123.69","495.45","651.08","Finale B"
"Margaux Mourlon","K1D","126.42","710.78","687.01","Finale B"
"Kelly Capitaine","K1D","128.16","533.53","709.91","Finale B"
"Margaux Barbier","K1D","129.76","591.27","730.97","Finale B"
"Ludivine Jeanray","K1D","131.58","800.78","754.91","Finale B"
"Agathe Caillet","K1D","145.85","549","942.72","Finale B"
"Heloise Stemmelen","K1D","176.89","589.86","1351.22","Finale B"
"Eva Klipfel","K1D","180.49","503.62","1398.6","Finale B"
"Yann Becker","K1H","84.79","265.69","284.21","Finale B"
"Paul Bostoen","K1H","92.84","441.61","403.92","Finale B"
"Loic Trenchant","K1H","95.54","442.46","444.07","Finale B"
"Mathieu Deloffre","K1H","96.96","641.63","465.19","Finale B"
"Nicolas Gallais","K1H","100.33","466.23","515.31","Finale B"
"Guillaume Cochut","K1H","101.07","484.04","526.31","Finale B"
"Lois Pignon","K1H","101.74","553.82","536.28","Finale B"
"Xavier Rat","K1H","101.86","448.05","538.06","Finale B"
"Matthew Vuillard","K1H","102.56","573.71","548.47","Finale B"
"Quentin Henri","K1H","103.39","671.62","560.81","Finale B"
"Lucas Gamain","K1H","103.51","542.39","562.6","Finale B"
"Victor Henry","K1H","103.67","606.39","564.98","Finale B"
"Louis Gasser","K1H","104.6","551.33","578.81","Finale B"
"Gilles Barthelemy","K1H","105.53","528.43","592.64","Finale B"
"Cyprien Dufour","K1H","106.52","664.03","607.36","Finale B"
"Maxime Pilard","K1H","107.15","557.81","616.73","Finale B"
"Alexis Sevrez","K1H","107.45","613.09","621.19","Finale B"
"Alexandre L'huillier","K1H","107.93","536.27","628.33","Finale B"
"Flavien Portier","K1H","107.98","484.96","629.07","Finale B"
"Michel Bert","K1H","108.28","559.59","633.53","Finale B"
"Quentin Decotte","K1H","108.67","543.3","639.33","Finale B"
"Charles Billon","K1H","108.91","565.33","642.9","Finale B"
"Emrys Meddour","K1H","109.51","764.22","651.82","Finale B"
"Oscar Pasteur","K1H","109.53","698.19","652.12","Finale B"
"Jules Latimier","K1H","109.84","493.07","656.73","Finale B"
"Samuel Tahaafe","K1H","110.15","613.06","661.34","Finale B"
"Jonathan Ferreira","K1H","111.35","699.31","679.19","Finale B"
"Laurel Hartmann","K1H","111.42","616.53","680.23","Finale B"
"Leonard Painteaux","K1H","114.24","544.52","722.17","Finale B"
"Stanislas Ledore","K1H","114.95","671.28","732.72","Finale B"
"Kevin Vienny","K1H","115.31","758.32","738.08","Finale B"
"Etienne Rougeron","K1H","115.81","621.89","745.51","Finale B"
"Angelino Castagnetti","K1H","115.86","642.5","746.26","Finale B"
"Danil Buneev","K1H","116.2","728.26","751.31","Finale B"
"Antoine Paumier","K1H","119.17","577.01","795.48","Finale B"
"Andre Kempf","K1H","119.19","647.19","795.78","Finale B"
"Gerald Oudin","K1H","125.25","774.05","885.9","Finale B"
"Yann Mercier","K1H","129.28","817.48","945.83","Finale B"
"Theophile Didierjean","K1H","134.25","743.86","1019.74","Finale B"
"Quentin Henry","K1H","174.65","803.21","1620.54","Finale B"
"Erwan Degreve","K1H","Nt","-","-","Finale B"
