"Sélectif Régional Slalom (Double) - 14690 Pont D Ouilly - Course n°2 | Finale - 2019-02-03","Course n°2 | Finale","2019-02-03","Régional","168"
"Zoe Dronne","K1DM","236.42","1621.79","1927.93","Course n°2 | Finale B"
"Lea Paupardin","K1DM","338.49","5052.71","3166.24","Course n°2 | Finale B"
"Orlane Colmant","K1DM","349.62","866.03","3301.26","Course n°2 | Finale B"
"Sebastien Delaunay","K1H","100.93","508.43","443.37","Course n°2 | Finale B"
"Kevin Tanay","K1H","107.53","572.84","533.85","Course n°2 | Finale B"
"Jess Masson","K1H","110.29","521.5","571.69","Course n°2 | Finale B"
"Sebastien Masseline","K1H","113.03","717.34","609.25","Course n°2 | Finale B"
"Beranger Doulle","K1H","113.46","891.57","615.14","Course n°2 | Finale B"
"Philippe Valeri","K1H","114.4","558.44","628.03","Course n°2 | Finale B"
"Louison Laumondais","K1H","114.6","535.57","630.77","Course n°2 | Finale B"
"Yann Castryck- -genereux","K1H","116.03","667.92","650.38","Course n°2 | Finale B"
"Cosme Duboc","K1H","117.08","545.34","664.77","Course n°2 | Finale B"
"Paul Lecomte","K1H","119.51","636.64","698.08","Course n°2 | Finale B"
"Dante Bourlet De La Vallee","K1H","119.95","474.25","704.12","Course n°2 | Finale B"
"Mathis Andrieu","K1H","120.57","644.54","712.62","Course n°2 | Finale B"
"Dimitri Houlier","K1H","122.62","562.44","740.72","Course n°2 | Finale B"
"Franck Cahagne","K1H","125.63","649.63","781.98","Course n°2 | Finale B"
"Alain Regnier","K1H","126.92","1197.81","799.67","Course n°2 | Finale B"
"Loan Guyomarch","K1H","128.3","629.42","818.59","Course n°2 | Finale B"
"Vincent Dorchat","K1H","131.69","712.02","865.06","Course n°2 | Finale B"
"Thomas Brunet","K1H","138.9","838.83","963.9","Course n°2 | Finale B"
"Lucas Ferloni","K1H","139.45","726.49","971.44","Course n°2 | Finale B"
"Theo Griffit","K1H","142.11","910.04","1007.91","Course n°2 | Finale B"
"Yoann Turowsky","K1H","163.92","514.74","1306.9","Course n°2 | Finale B"
"Mathis Pomares","K1H","164.29","659.14","1311.97","Course n°2 | Finale B"
"Leo Tellier","K1H","205.63","735.06","1878.7","Course n°2 | Finale B"
"Tom Raynaud","K1H","216.63","781.87","2029.5","Course n°2 | Finale B"
"Enzo Hecquet","K1H","253.13","754.09","2529.88","Course n°2 | Finale B"
"Elias Schieber","K1H","279.2","1362.81","2887.28","Course n°2 | Finale B"
"Guillaume Coutellier","K1H","305.38","5107.01","3246.18","Course n°2 | Finale B"
"Brieuc Aubron","K1H","349.22","1033.21","3847.18","Course n°2 | Finale B"
"Louis Marescot","K1H","Abs","-","-","Course n°2 | Finale B"
"Denis Marrocos","K1H","Des","-","-","Course n°2 | Finale B"
"Martin Dubus","K1H","Des","-","-","Course n°2 | Finale B"
"Lubin Brionne","K1HM","134.58","765.56","904.68","Course n°2 | Finale B"
"Quentin Dubelloy","K1HM","148.29","1193.8","1092.63","Course n°2 | Finale B"
"Sacha Lebertre","K1HM","151.48","1048.58","1136.36","Course n°2 | Finale B"
"Rubens Figueiredo Alves","K1HM","174.15","2454.52","1447.14","Course n°2 | Finale B"
"Jonas Huet","K1HM","176.09","1919.09","1473.74","Course n°2 | Finale B"
"Nino Lechevallier","K1HM","199.7","1130.46","1797.41","Course n°2 | Finale B"
"Guillaume Cahagne","K1HM","Des","-","-","Course n°2 | Finale B"
"Sullivan Leblanc","K1HM","Abs","-","-","Course n°2 | Finale B"
