"Manche 3 de la Coupe de France National 1 Slalom - 95000 Cergy - Finale - 2019-03-23","Finale","2019-03-23","Nationale 1","152"
"Angele Hug","K1D","122.26","89.57","131.72","Finale A"
"Fanchon Janssen","K1D","122.38","94.77","132.65","Finale A"
"Lucie Prioux","K1D","125.92","68.2","160.11","Finale A"
"Flora Huvelin","K1D","138.4","63.89","256.93","Finale A"
"Marjorie Delassus","K1D","162.23","47.45","441.79","Finale A"
"Eva Pietracha","K1D","224.53","154.62","925.1","Finale A"
"Simon Hene","K1H","96.62","44.93","30.25","Finale A"
"Pol Oulhen","K1H","97.99","51.97","42.26","Finale A"
"Martin Dougoud","K1H","98.02","31.6","42.52","Finale A"
"Mathurin Madore","K1H","98.41","27.84","45.94","Finale A"
"Quentin Burgi","K1H","101.6","36.13","73.91","Finale A"
"Lukas Werro","K1H","101.71","60.93","74.87","Finale A"
"Guillaume Graille","K1H","103.02","53.36","86.36","Finale A"
"Paul Cornut-chauvinc","K1H","106.91","77.96","120.46","Finale A"
"Lucas Latimier","K1H","107.38","80.6","124.58","Finale A"
"Malo Quemeneur","K1H","144.82","20.28","452.78","Finale A"
"Doriane Delassus","C1D","146.89","205.46","261.31","Finale B"
"Azenor Philip","C1D","149.25","209.3","278.56","Finale B"
"Anne-lise Moisan-ehrwein","C1D","162.1","212.64","372.43","Finale B"
"Julia Budzinski","C1D","163.05","239.82","379.37","Finale B"
"Elena Hugues","C1D","177","295.24","481.28","Finale B"
"Amaurie Guilleret","C1D","178.45","295.96","491.87","Finale B"
"Lea Grison","C1D","185.26","311.75","541.61","Finale B"
"Tifenn Primet","C1D","196.27","261.96","622.04","Finale B"
"Charline Berger Martin","C1D","205.45","274.34","689.11","Finale B"
"Oceane Baylacq","C1D","215.83","247.37","764.93","Finale B"
"Lucas Roisin","C1H","104.35","44.4","59.46","Finale B"
"Edern Le Ruyet","C1H","105.55","66.68","69.48","Finale B"
"Corentin Oulhen","C1H","111.09","99.66","115.73","Finale B"
"Hector Combes","C1H","112.6","116","128.33","Finale B"
"Adrien Fischer","C1H","112.67","133.52","128.92","Finale B"
"Thibault Blaise","C1H","114.08","85.63","140.69","Finale B"
"Emilien Kempf","C1H","114.45","108.7","143.78","Finale B"
"Thomas L'huillier","C1H","114.74","166.26","146.2","Finale B"
"Nicolas Scianimanico","C1H","115.2","97.2","150.04","Finale B"
"Nathan Hossin","C1H","115.74","133.75","154.55","Finale B"
"Baptiste Delaplace","C1H","116.48","105.15","160.72","Finale B"
"Theo Roisin","C1H","116.48","108.99","160.72","Finale B"
"Yann Rivallant","C1H","118.26","131.2","175.59","Finale B"
"Marvin Tulpin","C1H","118.54","178.88","177.92","Finale B"
"Jean Pierre Bourhis","C1H","118.58","156.49","178.25","Finale B"
"Sebastien De Kerleau","C1H","119.3","71.22","184.27","Finale B"
"Hugo Latimier","C1H","120.04","123.51","190.45","Finale B"
"Anthony Roux","C1H","122.33","147.02","209.57","Finale B"
"Yohann Senechault","C1H","123.72","129.98","221.17","Finale B"
"Thibaud Vielliard","C1H","124.61","129.56","228.6","Finale B"
"Loic Trenchant","C1H","124.67","177.26","229.1","Finale B"
"Charly Chassigneux","C1H","126.87","151.39","247.47","Finale B"
"Baptiste Le Poncin","C1H","127.82","152.2","255.4","Finale B"
"Maxime Perron","C1H","132.57","409.6","295.06","Finale B"
"Johan Pucheou","C1H","178.59","202.51","679.27","Finale B"
"Luc Sarramea","C1H","198.63","103.17","846.57","Finale B"
"Jules Bernardet","C1H","209.31","71.64","935.74","Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","319.77","439.09","1524.24","Finale B"
"Camille Prigent","K1D","112.9","36.08","64.11","Finale B"
"Joey Bercon","K1D","121.92","133.82","134.08","Finale B"
"Lisa Mouffle","K1D","124.36","85.1","153.01","Finale B"
"Mylene Ferry","K1D","128.08","169.55","181.87","Finale B"
"Laurene Roisin","K1D","128.69","168.98","186.6","Finale B"
"Joana Palermo","K1D","129.84","90.8","195.52","Finale B"
"Manon Prioux","K1D","130.32","173.45","199.24","Finale B"
"Alexane Galmiche","K1D","133.97","167.05","227.56","Finale B"
"Anais Bernardy","K1D","137.28","151.81","253.24","Finale B"
"Doriane Delassus","K1D","147.92","138.81","335.78","Finale B"
"Julie Neime","K1D","169.01","53.48","499.39","Finale B"
"Emma Vuitton","K1D","174.65","107.37","543.15","Finale B"
"Charline Berger Martin","K1D","180.49","170.07","588.45","Finale B"
"Natacha Delassus","K1D","181.77","103.07","598.38","Finale B"
"Viviana Daille","K1D","197.49","145.13","720.33","Finale B"
"Alixe Degremont","K1D","199.97","97.69","739.57","Finale B"
"Estelle Hellard","K1D","213.03","207.57","840.88","Finale B"
"Solene Graille","K1D","230.76","94.83","978.43","Finale B"
"Yves Prigent","K1H","99.44","37.75","59.97","Finale B"
"Alan Dollo","K1H","100.55","67.88","69.7","Finale B"
"Ludovic Di Nisi","K1H","102.61","51.9","87.76","Finale B"
"Thomas Durand","K1H","102.61","47.14","87.76","Finale B"
"Nicolas Baudoin","K1H","102.7","72.63","88.55","Finale B"
"Hugo Regnier","K1H","102.78","79.65","89.25","Finale B"
"Corentin Monasse","K1H","102.93","134.94","90.57","Finale B"
"Gelindo Chiarello","K1H","104.2","111.56","101.7","Finale B"
"Loic Bertoia","K1H","104.83","84.92","107.22","Finale B"
"Theo Desvignes","K1H","105.05","82.12","109.15","Finale B"
"Robin Pottelette","K1H","105.14","90.64","109.94","Finale B"
"Anatole Delassus","K1H","105.33","66.01","111.61","Finale B"
"Benoit Guillaume","K1H","105.42","70.78","112.39","Finale B"
"Benjamin Jacon","K1H","106.13","67.07","118.62","Finale B"
"Hugo Crepeau","K1H","106.91","92.38","125.46","Finale B"
"Thomas Bersinger","K1H","106.99","70.17","126.16","Finale B"
"Charlie Barbier","K1H","107.21","64.72","128.09","Finale B"
"Aaron Penning","K1H","107.69","108.89","132.29","Finale B"
"Isaac Dufrene","K1H","107.7","78.7","132.38","Finale B"
"Mathis Soudi","K1H","107.92","97.1","134.31","Finale B"
"Titouan Dupras","K1H","108.02","73","135.19","Finale B"
"Raphael Olla","K1H","108.04","131.88","135.36","Finale B"
"Vincent Delahaye","K1H","108.17","54.83","136.5","Finale B"
"Tom Deconchy","K1H","109.3","120.65","146.41","Finale B"
"Manuel Munsch","K1H","110.23","110.41","154.56","Finale B"
"Tom Bouchardon","K1H","110.24","133.57","154.65","Finale B"
"Noe Perreau","K1H","110.26","106.63","154.82","Finale B"
"Julien Pajaud","K1H","110.47","57.25","156.66","Finale B"
"Gregoire Guerin","K1H","110.96","87.34","160.96","Finale B"
"Martin Daviet","K1H","110.98","65.27","161.13","Finale B"
"Hippolyte Cail","K1H","111.39","126.03","164.73","Finale B"
"Edgar Prigent","K1H","111.65","59.4","167.01","Finale B"
"Quentin Bove","K1H","111.68","120.45","167.27","Finale B"
"William Desnos","K1H","112.3","114.16","172.71","Finale B"
"Tom Babin","K1H","112.57","138.8","175.07","Finale B"
"Sami Rocher","K1H","112.76","79.12","176.74","Finale B"
"Pierre Grapotte","K1H","112.82","75.57","177.26","Finale B"
"Etienne Daille","K1H","113.58","43.44","183.93","Finale B"
"Pierre-louis Saussereau","K1H","115.16","69.22","197.78","Finale B"
"Jean Charles Hacquart","K1H","115.27","120.73","198.74","Finale B"
"Kendaor Le Huitou","K1H","115.35","121.48","199.44","Finale B"
"Valentin Brindeau","K1H","116.94","141.21","213.38","Finale B"
"Florian Busson","K1H","119.09","109.29","232.23","Finale B"
"Maxime Bottex","K1H","120.81","76.08","247.31","Finale B"
"Pierre Giudicelli","K1H","153.12","70.35","530.54","Finale B"
"Leo Vuitton","K1H","161.6","126.16","604.88","Finale B"
"Gurgen Brun","K1H","163.53","81.07","621.8","Finale B"
"Raphael Lassechere","K1H","167.98","124.87","660.81","Finale B"
"Clement Travert","K1H","203.8","56.14","974.81","Finale B"
