"Championnat de France Slalom par Equipe de Clubs - L'argentière - Course par équipe - 2017-07-13","Course par équipe","2017-07-13","Championnats de France","128"
"Etienne Daille-Titouan Dupras-Maxime Bottex","EKH","95.69","-","3000",""
"Edgar Prigent-Tom Scianimanico-Guillaume Graille","EKH","96.89","-","2971",""
"Manuel Munsch-Julien Haberland-Lukas Werro","EKH","97.07","-","2941",""
"Christophe Marechal-Thomas Durand-Benjamin Buys","EKH","97.54","-","2912",""
"Gurgen Brun-Benjamin Jacon-Nicolas Baudoin","EKH","97.62","-","2882",""
"Pierre Marie Roussel-Quentin Burgi-Charlie Barbier","EKH","98.08","-","2853",""
"Pierre Bourliaud-Thomas Rosset-Benjamin Travostino","EKH","98.86","-","2824",""
"Emmanuel Walczak-Enrick Cunsolo-Mathieu Doby","EKH","99.55","-","2794",""
"Sebastien Nouvel-Thomas Schmitt-Antoine Gaillard","EKH","100.39","-","2765",""
"Theo Desvignes-Antoine Launay-Pierre Giudicelli","EKH","100.6","-","2735",""
"Arthur Mizzi-Nicolas Bernardy-Hugo Regnier","EKH","100.69","-","2706",""
"Romain Guyomard-Benoit Guillaume-Alan Dollo","EKH","100.71","-","2676",""
"Louison Turmeau-Jonas Turmeau-Thibault Marchand","EKH","102.28","-","2647",""
"Valentin Brindeau-Nicolas Mevel-Pol Euzenes","EKH","104.46","-","2618",""
"Lucas Correia-Aaron Penning-Andreas Dupuy","EKH","105.44","-","2588",""
"Anthony Drouhin-Pierre Audouin-David Mingasson","EKH","106.3","-","500",""
"Jules Bevalot-Anthony Thuillier-Vincent Hannedouche","EKH","107.33","-","2529",""
"Henri Chenu-Zeph Scamps-Florentin Saumon","EKH","107.85","-","500",""
"Teo Bouvier-Matthieu Le Gall-Valentin Vibert","EKH","107.89","-","2471",""
"Jeremy Wagner-Emilie Fer-Sylvain Curinier","EKH","108.59","-","2441",""
"Jonathan Chapatte-Alexis Caspar-Charles Fernandes De Oliveira","EKH","109.76","-","500",""
"Pitt Rohrer-Simon Munch-Loic Trenchant","EKH","111.4","-","500",""
"Samuel Bonella-Raphael Olla-Maxime Gaillard","EKH","111.49","-","2353",""
"Johan De Mareuil-Camille Hurez-Nicolas Mangeolle","EKH","112.44","-","2324",""
"Alexis Dorey-Maxence Merpillat-Raphael Lassechere","EKH","112.63","-","500",""
"Aubry Bertin-Loan Queffelec-Simon Cognard","EKH","112.93","-","500",""
"Dylan Sourbe-Ludovic Di Nisi-Benjamin Cariou","EKH","112.98","-","2235",""
"Lucas Latimier-Clement Travert-Martin Daviet","EKH","113.32","-","2206",""
"Leo Peter-Celia Grandadam-Joris Schaffner","EKH","113.47","-","500",""
"Anthony Rouhier-Lucas Galmiche-Erwan Rouch","EKH","114.62","-","500",""
"Hugo Mouffle-Florent Iraundegui-Robin Vandenbossche","EKH","115.23","-","500",""
"RaphaËl Massot-Nino Chailan-Henri Bergognon","EKH","115.36","-","500",""
"Thomas Ukalovic-Florian Sauvage-Lucas Augu","EKH","116.85","-","500",""
"Leo Tasset-Youn Aubry-Alan Mahe","EKH","116.99","-","2029",""
"Mathis Daniel-Dorian Ollivier-Alan Olivo","EKH","118.07","-","500",""
"Thibaud Collaert-Benoit Guernic-Lucas Jacob","EKH","118.47","-","1971",""
"GaËtan De Greef-Romain Bruneau-Romain Branjauneau","EKH","118.49","-","1941",""
"Quentin Brillaut-Lucas Hives - Sorin-Lorin Dumont","EKH","118.61","-","1912",""
"Nicolas Candieu-Simon Dubosc-Quentin Angot","EKH","118.81","-","1882",""
"Andrea Gratwohl-Laurent Starck-Azenor Philip","EKH","118.84","-","500",""
"Xavier Chantry-Vincent Ablin-Jules Guilbaud","EKH","119.04","-","500",""
"Ianis Fleury-Eden Quevremont-Romain Bezies","EKH","120.21","-","500",""
"Bertrand Avril-Quentin Mannier-Isidore Dubuisson","EKH","120.99","-","500",""
"Hugo Martin -laemle-Sebastien Routhier-Jules Silvin","EKH","121.22","-","500",""
"Jonathan Himpens-Julien Saguet-Joey Bercon","EKH","121.65","-","500",""
"Gedeon Cothias-faure-Anatole Delassus-Adrien Mesmoudi","EKH","121.86","-","500",""
"Pierrealain Clerc-Herve Clerc-Patrick Clerc","EKH","122.83","-","1647",""
"Martin Dougoud-Loic Joly-Benjamin Dodane","EKH","123","-","1618",""
"Loic Petel-Maxime Aubertin-Corentin Monasse","EKH","123.07","-","500",""
"Laurent Le Touze-Maxime Lignereux-Franck Delachair","EKH","123.49","-","1559",""
"Esteban Illido-Tom Bouchardon-Pablo Chaminade","EKH","124.09","-","500",""
"Mael Monjaret-Daneric Ollivier-Come Le Gal","EKH","124.33","-","500",""
"Bertrand Dubiez-Emmanuel Triomphe-Cedric Mace","EKH","124.87","-","1471",""
"Arthur Guillot-le Goff-Camille Fontaine-Fabien De Almeida","EKH","125.93","-","1441",""
"Marion Pasquali-Tanguy Adisson-Gael Adisson","EKH","126.57","-","1412",""
"Jeremie Palazy-Nour Ait Kaddour-Tom Zanfini","EKH","127.52","-","1382",""
"Olivier Urbain-Eddy Cassard-Quentin Robert","EKH","128.61","-","1353",""
"Brice Derrien-Valentino Le Guesclou-Elouan Le Fournis","EKH","129.4","-","500",""
"Alexis Agent-Alexandre Ghirardi-Vladimir Krsmanovic","EKH","130.53","-","500",""
"Kilian Cottet-Aymeric Rivier-Alexandre Goujon","EKH","130.62","-","1265",""
"Margot Beziat-Felix Sperandio-Arthur Cousty","EKH","132.1","-","1235",""
"Yannis Houze-Ewen Berrest-Simon Rolland","EKH","132.53","-","500",""
"Vincent Reiter-Emilie Hernandez-brossard-Tom Maffeis","EKH","133.68","-","500",""
"Guillaume Doutreix-Benjamin Soroka-Edouard Gracias","EKH","134.75","-","1147",""
"Theo Soulier-Gino Benini-Theo Zembalia","EKH","136.27","-","500",""
"Elian Giondini-Thibault Clerc-Martin Jouves","EKH","138.11","-","500",""
"Antoine Rambeau-Tanguy Zaninotto-Tom Delens","EKH","138.61","-","500",""
"Oscar Donval-Tom Seguillon-Yoann Donval","EKH","140.21","-","500",""
"Jeremie Hepner-Mathis Piepho-Mathilde Guillot-le Goff","EKH","140.27","-","500",""
"Amaury Brucher-Enzo Claeys-Basile Drapier","EKH","140.48","-","500",""
"Cedric Landreau-Matt Vidou-Baptiste Delemotte","EKH","143.24","-","500",""
"Bastien Cothenet-Mikael Clanchin-Luca Barone","EKH","146.59","-","912",""
"Cyprien Dufour-Amaurie Guilleret-Emrys Meddour","EKH","150.8","-","882",""
"Benjamin Guyon-Noe Monier-Mohamed SaÏd Bekkadour","EKH","156.31","-","500",""
"Alberic Carpentier-Simon Philibert-Thibaut Evrard","EKH","162.14","-","500",""
"Charles Billon-Loic Thielen-Maeva Auriol","EKH","164.31","-","794",""
"Djendy Simeant-Gabin Siau-Edouard Chenal","EKH","166.71","-","500",""
"Felix Praderie-Laurene Roisin-Samuel Taillefer","EKH","167.23","-","735",""
"Thibault Lamour-Martin Dubois-Clement Dubois","EKH","169.17","-","500",""
"Benjamin Harreau-Emeric Bussonnais-Arthur Lagleyze","EKH","171.09","-","500",""
"Felix Balas-Elise Carbon-Anneline Triomphe","EKH","193.81","-","500",""
"Clemence Lartigue-Yanis Clerc-Renaud Clerc","EKH","196.9","-","500",""
"Malo Marquet-Francois Bonthonnou-Marin Salmon","EKH","198.26","-","588",""
"Tanguy Rolland-Paul Gestin-Pascal Marrec","EKH","200.57","-","500",""
"Leo Collard-Thomas L'huillier-Agathe Caillet","EKH","203.95","-","500",""
"Pierre Biagui-Robin Pottelette-Loric Bertrand Delorme","EKH","226.48","-","500",""
