"Sélectif N3 Nord Est - Beaurainville - 2003-03-30","Course 1","2003-03-30","Nationale 3","114"
"Fontaine Vincent","K1H","202.43","621","507",""
"Decaux Louis","K1H","203.48","693","514",""
"Malboze Jerome","K1H","204.53","550","522",""
"Eric Marmet","K1H","205.06","457","526",""
"Romain Viry","K1H","206.28","618","535",""
"Drosseau Simon","K1H","206.80","484","539",""
"Miler Thomas","K1H","209.14","498","556",""
"Hayot Sylvain","K1H","209.84","370","561",""
"Johann Beldame","K1H","210.16","510","564",""
"Hamann Damien","K1H","210.47","528","566",""
"Soulon Florian","K1H","211.11","487","571",""
"Poix Stanislas","K1H","211.76","645","576",""
"Ospitalier Vincent","K1H","212.60","676","581",""
"Lepine Sylvain","K1H","214.86","711","598",""
"Gilles Lucas","K1H","215.89","502","606",""
"Courtier Jeremy","K1H","216.53","705","611",""
"Blondeau Julien","K1H","219.77","410","634",""
"Di Majo Romain","K1H","222.23","603","651",""
"Meunier Logan","K1H","226.93","801","686",""
"Benjamin Defrocourt","K1H","227.34","548","689",""
"Duparcq Romain","K1H","227.39","651","689",""
"Philippe Gendraux","K1H","231.75","299","721",""
"Sassatelli Nicolas","K1H","242.64","760","801",""
"Barnavon Guillaume","K1H","244.00","766","810",""
"Collinet Matthieu","K1H","245.36","486","820",""
"Yves Moreno","K1H","249.64","485","852",""
"Lantenois Mickael","K1H","252.30","582","872",""
"Tachet Xavier","K1H","255.72","710","896",""
"Renoux Franck","K1H","259.61","602","925",""
"Granger Terence","K1H","263.60","717","954",""
"Pascal Sallot","K1H","284.81","638","1108",""
