"Manche 1 de la Coupe de France National 1 Slalom - 29300 Guilligomarc H - Qualification - 2020-02-29","Qualification","2020-02-29","Nationale 1","172"
"Carole Bouzidi","K1D","144.68","38.96","176.75",""
"Eva Pietracha","K1D","145.19","134.57","180.38",""
"Angele Hug","K1D","145.44","54.17","182.15",""
"Lucie Prioux","K1D","150.69","121.46","219.41",""
"Alixe Degremont","K1D","150.91","89.65","220.98",""
"Charline Berger Martin","K1D","151.99","170.56","228.64",""
"Estelle Mangin","K1D","153.17","162","237.02",""
"Lolita Seguy","K1D","161.05","198.79","292.94",""
"Laurine Salesse","K1D","164.1","203.09","314.59",""
"Viviana Daille","K1D","170.85","146.63","362.5",""
"Laurene Roisin","K1D","174.12","143.78","385.71",""
"Solene Grenier","K1D","176.73","210.71","404.23",""
"Mae Bianco","K1D","184.03","326.08","456.04",""
"Sophie Colbus","K1D","193.2","287.1","521.13",""
"Iana Gonseth","K1D","194.72","347.03","531.92",""
"Emma Vuitton","K1D","196.49","93.41","544.48",""
"Marjorie Delassus","K1D","200.5","53.12","572.95",""
"Mylene Ferry","K1D","206.72","162.72","617.09",""
"Doriane Delassus","K1D","217.12","124.21","690.91",""
"Emilie Delahaye","K1D","242.46","329.85","870.75",""
"Manon Prioux","K1D","248.21","192.56","911.57",""
"Perrine Joubert","K1D","268.21","251.06","1053.52",""
"Clemence Lartigue","K1D","269.54","220.45","1062.96",""
"Tiphaine Duboc","K1D","270.85","198.5","1072.25",""
"Camille Castryck","K1D","284.5","225.93","1169.14",""
"Ilona Martin -laemle","K1D","313.12","186.13","1372.27",""
"Kesia Georgel","K1D","327.11","309.06","1471.57",""
"Natacha Delassus","K1D","353.48","119.17","1658.73",""
"Elena Hugues","K1D","357.01","277.59","1683.78",""
"Zoe Bruchon","K1D","367.93","239.79","1761.29",""
"Coline Charel","K1D","431.22","77.24","2210.5",""
"Anouk Alberti","K1D","438.39","284.37","2261.39",""
"Alexane Galmiche","K1D","544.91","180.62","3017.41",""
"Lea Baldoni","K1D","Des","-","-",""
"Marie Amelie Silvin","K1D","Des","-","-",""
"Marie-zelia Lafont","K1D","Abs","-","-",""
"Adeline Roux","K1D","Des","-","-",""
"Pol Oulhen","K1H","112.04","35.71","48.47",""
"Benjamin Renia","K1H","114.06","14.18","64.67",""
"Pierre Giudicelli","K1H","116.38","75.03","83.28",""
"Benoit Guillaume","K1H","116.73","113.08","86.08",""
"Mathieu Biazizzo","K1H","117.5","41.2","92.26",""
"Mathurin Madore","K1H","118.41","10.39","99.56",""
"Leo Vuitton","K1H","119.22","115.65","106.05",""
"Alan Dollo","K1H","119.28","105.11","106.54",""
"Hugo Regnier","K1H","119.62","64.36","109.26",""
"Thomas Durand","K1H","119.88","34.57","111.35",""
"Paul Cornut-chauvinc","K1H","120.86","56.97","119.21",""
"Arthur Mizzi","K1H","122.12","137.06","129.31",""
"Anatole Delassus","K1H","122.16","39.91","129.63",""
"Benoit Chantry","K1H","122.74","176.49","134.29",""
"Loic Bertoia","K1H","122.96","88.43","136.05",""
"Theo Desvignes","K1H","123.98","88","144.23",""
"Tom Babin","K1H","124.22","99.22","146.16",""
"Julien Pajaud","K1H","126.98","85.43","168.29",""
"Djendy Simeant","K1H","127.17","146.2","169.81",""
"Matheo Lebaindre","K1H","128.73","157.15","182.33",""
"Jeremie Palazy","K1H","129.35","151.48","187.3",""
"Edouard Chenal","K1H","130.34","172.81","195.24",""
"William Desnos","K1H","131.66","146.12","205.83",""
"Sam Traquet","K1H","133.18","162.99","218.02",""
"Arnaud Verrons","K1H","136.19","153.31","242.16",""
"Gael Adisson","K1H","137.09","122.61","249.38",""
"Corentin Monasse","K1H","139.7","101.47","270.31",""
"Nicolas Baudoin","K1H","142.91","95.78","296.05",""
"Lucas Latimier","K1H","143.23","73.83","298.62",""
"Maxime Bottex","K1H","145","120.68","312.82",""
"Hugo Crepeau","K1H","147.33","119.35","331.5",""
"Paul Gestin","K1H","147.95","189.44","336.48",""
"Charlie Barbier","K1H","148.18","81.14","338.32",""
"Alex Louveau","K1H","149","162.2","344.9",""
"Hippolyte Cail","K1H","149.04","116.71","345.22",""
"Romain Branjauneau","K1H","155.08","169.06","393.66",""
"Noe Perreau","K1H","171.07","88.18","521.9",""
"Pierre-louis Saussereau","K1H","173.21","55.67","539.07",""
"Valentin Brindeau","K1H","173.53","132.46","541.63",""
"Malo Quemeneur","K1H","173.86","15.82","544.28",""
"Gelindo Chiarello","K1H","175.72","112.21","559.2",""
"Benjamin Jacon","K1H","181.21","57.9","603.23",""
"Yves Prigent","K1H","187.39","38.51","652.79",""
"Nathanael Pedron","K1H","193.05","176.33","698.19",""
"Samuel Bonella","K1H","195.08","175.7","714.47",""
"Clement Travert","K1H","197.57","66.61","734.44",""
"Gregoire Guerin","K1H","228.13","128.44","979.54",""
"Tom Deconchy","K1H","230.89","112.69","1001.68",""
"LoÏc Winiarski","K1H","233.52","138.39","1022.77",""
"Valentin Courtiade","K1H","253.51","166.17","1183.09",""
"Robin Pottelette","K1H","254.44","108.74","1190.55",""
"Jules Cresp","K1H","261.92","181.72","1250.54",""
"Jean Charles Hacquart","K1H","274.42","103.3","1350.8",""
"Etienne Daille","K1H","274.7","32.31","1353.04",""
"Isaac Dufrene","K1H","282.92","84.62","1418.97",""
"Mathis Soudi","K1H","284.67","71.64","1433.01",""
"Martin Daviet","K1H","297.14","78.26","1533.02",""
"Pierre Grapotte","K1H","378.13","75.59","2182.58",""
"Lucas Augu","K1H","393.94","143","2309.38",""
"Edgar Prigent","K1H","469.82","67.03","2917.96",""
"Gurgen Brun","K1H","470.05","120.76","2919.8",""
"Simon Hene","K1H","559.54","16.18","3637.53",""
"Vincent Delahaye","K1H","Abs","-","-",""
