"Manche 2 de la Coupe de France National 1 Slalom - 29300 Guilligomarc H - Finale - 2020-03-01","Finale","2020-03-01","Nationale 1","157"
"Eva Marchand","C1D","127.19","309.93","243.07","Finale B"
"Doriane Delassus","C1D","129.9","154.91","267.86","Finale B"
"Laurine Salesse","C1D","138.51","228.19","346.62","Finale B"
"Julia Budzinski","C1D","151.27","224.43","463.34","Finale B"
"Perrine Joubert","C1D","154.1","237.79","489.23","Finale B"
"Tifenn Primet","C1D","159.61","267.24","539.63","Finale B"
"Elena Hugues","C1D","167.94","292.15","615.83","Finale B"
"Azenor Philip","C1D","393.13","252.53","2675.74","Finale B"
"Lucille Meunier-cheyssac","C1D","472.92","260.29","3405.62","Finale B"
"Lucas Roisin","C1H","95","64.92","72.76","Finale B"
"Emilien Kempf","C1H","99.2","96.69","116.67","Finale B"
"Hugo Latimier","C1H","99.24","89.07","117.08","Finale B"
"Liam Jegou","C1H","99.7","125.56","121.89","Finale B"
"Mewen Debliquy","C1H","100.09","177.38","125.97","Finale B"
"Thomas L'huillier","C1H","100.5","127.75","130.26","Finale B"
"Nathan Hossin","C1H","101.47","133.47","140.4","Finale B"
"Marvin Tulpin","C1H","102.98","137.85","156.18","Finale B"
"Hector Combes","C1H","103.57","125.9","162.35","Finale B"
"Charly Chassigneux","C1H","103.93","182.79","166.11","Finale B"
"Marc Sarramea","C1H","105.15","153.07","178.87","Finale B"
"Adrien Fischer","C1H","106.11","123.83","188.9","Finale B"
"Faysal Ali Zazou","C1H","106.39","199.02","191.83","Finale B"
"Tomy Dandonneau","C1H","108.07","219.79","209.4","Finale B"
"Glen Le Meur","C1H","108.31","174.14","211.9","Finale B"
"Nicolas Ducrocq","C1H","109.11","143.49","220.26","Finale B"
"Henri Despont","C1H","109.33","200.13","222.57","Finale B"
"Timothee Cornu","C1H","109.81","164.71","227.59","Finale B"
"Terence Saramandif","C1H","110.71","177.04","236.99","Finale B"
"Tanguy Adisson","C1H","113.48","203.01","265.95","Finale B"
"Aurelien Merieux Danneaux","C1H","118.16","277.86","314.87","Finale B"
"Loic Trenchant","C1H","122.64","147.5","361.71","Finale B"
"Corentin Oulhen","C1H","154.46","102.23","694.37","Finale B"
"Thibault Blaise","C1H","157.02","74.89","721.13","Finale B"
"Baptiste Le Poncin","C1H","162.82","177.31","781.77","Finale B"
"Gaspard Perrio","C1H","163.11","157.86","784.8","Finale B"
"Martin Daviet","C1H","163.96","211.55","793.68","Finale B"
"Julien Mizzi","C1H","229.63","237.56","1480.21","Finale B"
"Cedric Joly","C1H","Abs","-","-","Finale B"
"Romane Bronchet-Romain Bruneau","C2M","Des","-","-","Finale B"
"Doriane Delassus","K1D","109.45","124.21","142.82","Finale B"
"Romane Prigent","K1D","110.31","76","151.17","Finale B"
"Eva Pietracha","K1D","111","135.62","157.87","Finale B"
"Mylene Ferry","K1D","111.13","162.72","159.13","Finale B"
"Natacha Delassus","K1D","113.36","119.17","180.8","Finale B"
"Charline Berger Martin","K1D","117.44","170.56","220.43","Finale B"
"Ilona Martin -laemle","K1D","117.57","186.13","221.69","Finale B"
"Laurene Roisin","K1D","120.41","143.78","249.29","Finale B"
"Laurine Salesse","K1D","122.2","203.09","266.67","Finale B"
"Manon Prioux","K1D","122.2","192.56","266.67","Finale B"
"Tiphaine Duboc","K1D","124.27","198.5","286.77","Finale B"
"Lolita Seguy","K1D","124.32","198.79","287.27","Finale B"
"Alexane Galmiche","K1D","130.81","180.62","350.31","Finale B"
"Elena Hugues","K1D","131.38","277.59","355.84","Finale B"
"Zoe Bruchon","K1D","131.87","239.79","360.6","Finale B"
"Anouk Alberti","K1D","135.81","284.37","398.88","Finale B"
"Emilie Delahaye","K1D","136.01","325.92","400.82","Finale B"
"Iana Gonseth","K1D","160.72","347.03","640.86","Finale B"
"Kesia Georgel","K1D","163.82","309.06","670.97","Finale B"
"Sophie Colbus","K1D","164.08","287.1","673.5","Finale B"
"Camille Castryck","K1D","172.14","225.93","751.79","Finale B"
"Perrine Joubert","K1D","192.78","251.06","952.3","Finale B"
"Lea Baldoni","K1D","196.52","272.59","988.62","Finale B"
"Mae Bianco","K1D","203.01","326.08","1051.67","Finale B"
"Solene Grenier","K1D","218.97","210.71","1206.71","Finale B"
"Adeline Roux","K1D","283.75","200.25","1835.98","Finale B"
"Malo Quemeneur","K1H","88.53","15.12","51.39","Finale B"
"Etienne Daille","K1H","89.55","32.31","62.59","Finale B"
"Pierre-louis Saussereau","K1H","91.03","55.67","78.84","Finale B"
"Benoit Guillaume","K1H","91.27","81.82","81.47","Finale B"
"Theo Desvignes","K1H","91.86","86.02","87.95","Finale B"
"Leo Vuitton","K1H","91.91","105.3","88.5","Finale B"
"Isaac Dufrene","K1H","92.23","84.62","92.01","Finale B"
"Tom Babin","K1H","92.26","99.22","92.34","Finale B"
"Edgar Prigent","K1H","92.33","67.03","93.11","Finale B"
"Pol Oulhen","K1H","93.68","35.71","107.93","Finale B"
"Corentin Monasse","K1H","93.98","101.47","111.22","Finale B"
"Loic Bertoia","K1H","94.39","74.74","115.72","Finale B"
"Valentin Brindeau","K1H","94.42","132.46","116.05","Finale B"
"Arthur Mizzi","K1H","94.51","113.03","117.04","Finale B"
"Lucas Latimier","K1H","94.89","71.41","121.21","Finale B"
"Paul Gestin","K1H","95.76","189.44","130.76","Finale B"
"Martin Daviet","K1H","95.78","98.07","130.98","Finale B"
"Jean Charles Hacquart","K1H","96.07","103.3","134.16","Finale B"
"Edouard Chenal","K1H","96.09","171.75","134.38","Finale B"
"Tom Deconchy","K1H","96.24","116.9","136.03","Finale B"
"LoÏc Winiarski","K1H","96.24","138.39","136.03","Finale B"
"Julien Pajaud","K1H","96.43","105.21","138.11","Finale B"
"William Desnos","K1H","96.67","143.2","140.75","Finale B"
"Lucas Augu","K1H","96.72","139.97","141.3","Finale B"
"Benoit Chantry","K1H","96.77","155.89","141.84","Finale B"
"Gurgen Brun","K1H","96.91","120.76","143.38","Finale B"
"Matheo Lebaindre","K1H","97.31","149.13","147.77","Finale B"
"Hugo Crepeau","K1H","97.47","114.79","149.53","Finale B"
"Djendy Simeant","K1H","97.57","146.2","150.63","Finale B"
"Sam Traquet","K1H","98.29","160.39","158.53","Finale B"
"Nathanael Pedron","K1H","98.44","176.33","160.18","Finale B"
"Maxime Bottex","K1H","99.05","118.96","166.87","Finale B"
"Hippolyte Cail","K1H","99.28","119.01","169.4","Finale B"
"Nicolas Baudoin","K1H","99.82","91.72","175.32","Finale B"
"Paul Cornut-chauvinc","K1H","100.07","55.51","178.07","Finale B"
"Romain Branjauneau","K1H","100.66","169.06","184.55","Finale B"
"Arnaud Verrons","K1H","102.77","145.18","207.71","Finale B"
"Samuel Bonella","K1H","103.01","173.16","210.34","Finale B"
"Robin Pottelette","K1H","103.11","122.48","211.44","Finale B"
"Valentin Courtiade","K1H","103.69","166.17","217.81","Finale B"
"Jules Cresp","K1H","110.57","173.75","293.33","Finale B"
"Mathis Soudi","K1H","141.12","71.64","628.67","Finale B"
"Pierre Grapotte","K1H","141.79","78.79","636.03","Finale B"
"Noe Perreau","K1H","142.92","90.13","648.43","Finale B"
"Pierre Giudicelli","K1H","144.04","72.87","660.73","Finale B"
"Alan Dollo","K1H","144.41","99.32","664.79","Finale B"
"Gregoire Guerin","K1H","151.71","117.18","744.92","Finale B"
"Alex Louveau","K1H","153.34","157.27","762.81","Finale B"
"Jeremie Palazy","K1H","159.45","149.94","829.88","Finale B"
"Charlie Barbier","K1H","191.57","87.71","1182.46","Finale B"
