"Sélectif N2 - Annemasse - 2003-04-13","Course 1","2003-04-13","Nationale 2","182"
"Cornevin Maud","K1D","235.97","184","243",""
"Octobre Valerie","K1D","236.18","-","244",""
"Leleu Sophie","K1D","240.85","252","267",""
"Lyon Gaelle","K1D","240.96","319","268",""
"Jihane Samlal","K1D","241.20","203","269",""
"Bervet Gaelle","K1D","241.86","223","272",""
"Caroline Bourry","K1D","242.73","292","276",""
"Celine Denizon","K1D","242.95","309","277",""
"Zoe Anxionnaz","K1D","243.00","276","278",""
"Roumet Marie","K1D","243.67","306","280",""
"Riesenmey Caroline","K1D","244.00","313","282",""
"Camille Salgues","K1D","245.33","243","289",""
"Audrey Metz","K1D","246.03","239","292",""
"Vanderkam Buisson Maelle","K1D","246.28","279","293",""
"Cornevin Angelique","K1D","247.26","254","299",""
"Sohy Laurence","K1D","247.72","277","300",""
"Apert Maia","K1D","247.76","324","300",""
"Barroso Cyrielle","K1D","247.88","286","301",""
"Melina Letellier","K1D","247.95","282","301",""
"Marie Borlet","K1D","248.43","287","304",""
"Piechaczyk Laure","K1D","248.94","298","307",""
"Harmony Thery","K1D","251.09","251","317",""
"Paoletti Camille","K1D","251.49","337","319",""
"Leger Alicia","K1D","252.44","276","323",""
"Besch Eulalie","K1D","252.59","323","324",""
"Paviot Laetitia","K1D","252.68","300","325",""
"Mylene Renaud","K1D","253.14","255","327",""
"Sarah Michel","K1D","254.50","336","333",""
"Anais Couturier","K1D","258.93","324","355",""
"Demol Brindille","K1D","259.28","309","357",""
"Lahousse Perrine","K1D","260.04","338","361",""
"Sylvie Metz","K1D","260.70","192","364",""
"Schweitzer Pascale","K1D","264.54","234","382",""
"Dejours Elsa","K1D","265.79","329","389",""
"Morere Julia","K1D","267.64","346","398",""
"Leonard Julie","K1D","281.47","294","465",""
"Fanny Mino-vercellio","K1D","281.95","166","468",""
"Anais Bouchet","K1D","292.34","256","519",""
"Damien Boudet","K1H","188.49","108","103",""
"Jean Charles Creusot Walter","K1H","190.26","109","113",""
"Gregory Busson","K1H","191.18","120","117",""
"Benoit Molinier","K1H","193.80","157","132",""
"Johan De Mareuil","K1H","193.86","112","132",""
"Nivel Cyril","K1H","194.84","156","137",""
"Renaud Doby","K1H","195.66","137","142",""
"Grandemange Jeanleonard","K1H","195.69","133","142",""
"Lambert Guillaume","K1H","195.80","129","142",""
"Nicolas Durand","K1H","196.39","143","146",""
"Alexandre Schall","K1H","196.74","140","147",""
"Bazin Patryce","K1H","197.34","136","150",""
"Di Lauro Maxime","K1H","197.37","181","151",""
"Benoit Letellier","K1H","197.65","162","152",""
"Bruno Madier","K1H","197.85","114","153",""
"Serre Eric","K1H","198.06","178","155",""
"Bertrand Lamy","K1H","198.11","158","155",""
"Astier Perret Vincent","K1H","198.22","153","156",""
"Lismonde Alexandre","K1H","199.45","145","162",""
"Bertrand Bercon","K1H","199.71","153","163",""
"Trzeciak Vincent","K1H","200.61","137","168",""
"Ragot Laurent","K1H","200.65","145","168",""
"Sarazin Emmanuel","K1H","200.72","215","168",""
"Xavier Jourdain","K1H","201.12","137","171",""
"Serret Mathieu","K1H","201.22","159","171",""
"Romain Bove","K1H","201.70","205","174",""
"Nizar Samlal","K1H","202.27","174","178",""
"Saint Girons Thomas","K1H","202.77","191","180",""
"Lemaire Maxime","K1H","202.91","239","180",""
"Christophe Siffert","K1H","202.97","169","181",""
"Benjamin Buys","K1H","203.01","143","181",""
"Benoit Fer","K1H","203.02","145","181",""
"Medjeberg Jeremy","K1H","203.07","176","181",""
"Manoussos Nicolas","K1H","203.10","-","182",""
"Julien Beltrami","K1H","203.28","197","183",""
"Thomas Bersinger","K1H","203.31","203","183",""
"Jeremy Moureaux","K1H","203.77","234","185",""
"Michel Ragot","K1H","204.29","155","188",""
"Macrel Loic","K1H","204.57","210","189",""
"Olivier Hardonniere","K1H","204.76","171","190",""
"Guillaume Provost","K1H","204.78","171","190",""
"Ciaran Heurteau","K1H","205.04","198","192",""
"Pascal Hunault","K1H","205.11","220","192",""
"Maxime Faivre","K1H","205.28","195","193",""
"Wadel Florian","K1H","205.35","205","194",""
"Massias Aurelien","K1H","205.56","189","195",""
"De Berchen Sebastien","K1H","205.68","218","196",""
"Charlot Thibaut","K1H","205.68","165","196",""
"Pala Mathieu","K1H","205.69","164","196",""
"Frederic Tinchant","K1H","205.75","228","196",""
"Luc Doye","K1H","205.92","177","197",""
"Michel Gombert","K1H","205.95","198","197",""
"Sylvain Herrbach","K1H","206.10","173","198",""
"Gregory Booth","K1H","206.30","153","198",""
"Nicolas Ciemniewski","K1H","206.48","231","199",""
"Hafiz Ali Hassan","K1H","206.73","260","201",""
"Coiffe Florion","K1H","207.76","205","207",""
"Florian Berail","K1H","208.11","175","208",""
"Philippe Daumont","K1H","208.11","198","208",""
"Sebastien Lepaulard","K1H","208.68","189","211",""
"Kevine Cliquet","K1H","209.35","234","215",""
"Demange Marc","K1H","209.72","182","218",""
"Christophe Gosselin","K1H","209.83","224","218",""
"Di Lauro Alexandre","K1H","210.18","215","219",""
"Ludovic Pinchon","K1H","210.23","232","220",""
"Xavier Marie","K1H","210.50","-","221",""
"Boris Lutinier","K1H","210.61","190","222",""
"Jeanluc Nitard","K1H","210.76","250","223",""
"Sebastien Racault","K1H","210.80","226","223",""
"David Beyer","K1H","212.15","230","230",""
"Piermay Mathieu","K1H","212.33","250","231",""
"David Breton","K1H","212.60","264","233",""
"Palix Lorin","K1H","212.87","190","234",""
"Veronel Patrice","K1H","213.33","207","237",""
"Bernhardt Christophe","K1H","213.85","242","239",""
"Olivier Blanc","K1H","214.15","208","241",""
"Vincent Reiter","K1H","214.75","222","244",""
"Yves Debailleul","K1H","215.17","220","247",""
"Beltrami Denis","K1H","215.89","220","250",""
"Soete Arnaud","K1H","216.49","303","254",""
"Sebastien Thevenin","K1H","218.27","229","263",""
"Remi Wolf","K1H","218.42","201","264",""
"Verchere Thibault","K1H","220.19","259","273",""
"Renaud Metereau","K1H","221.16","194","279",""
"Riou Sebastien","K1H","222.51","284","286",""
"Christophe Billaud","K1H","223.39","266","290",""
"Lisbonne Denis","K1H","228.30","249","317",""
"Bertrand Dubiez","K1H","251.52","180","442",""
"Florian Gosselin","K1H","252.29","207","446",""
"Ysern Renaud","K1H","266.92","215","524",""
"Laroque Jeanchristophe","K1H","278.54","259","587",""
