"Slalom sélectif N2 Châteauneuf sur cher 2009 - Châteauneuf Sur Cher - 2009-05-09","Course 1","2009-05-09","Nationale 2","175"
"Anthony Mottais","K1H","194.36","103","106",""
"Loic Jeanningros","K1H","194.60","162","107",""
"Gregory Busson","K1H","194.89","103","109",""
"Paul Aubert","K1H","195.41","140","111",""
"Laurent Rigaud","K1H","195.42","87","111",""
"Jeremy Lehning","K1H","195.49","135","111",""
"Mathieu Haberland","K1H","197.23","99","120",""
"Melaine Pichard","K1H","197.28","106","120",""
"Jonathan Chapatte","K1H","197.35","109","120",""
"Julien Daumont","K1H","197.53","132","121",""
"Joffrey Lemeux","K1H","197.54","125","121",""
"Nathan Barbier","K1H","201.46","145","140",""
"Michel Gombert","K1H","202.19","157","143",""
"Boris Chenal","K1H","202.94","138","147",""
"Florient Tagnon","K1H","203.32","150","149",""
"Pierre Bontoux","K1H","203.88","124","151",""
"Fabien Tournadre","K1H","204.90","81","156",""
"Quentin Moreaux","K1H","205.07","171","157",""
"Pascal Ferry","K1H","206.02","136","161",""
"Jean Yves Prigent","K1H","206.63","172","165",""
"Axel Marais","K1H","206.68","160","165",""
"Stephane Odot","K1H","207.70","185","169",""
"Vincent Froger","K1H","207.81","152","170",""
"Thomas Dandel","K1H","208.82","181","175",""
"Sylvain Herrbach","K1H","208.90","204","175",""
"Stephane Broute","K1H","208.91","183","175",""
"Mickael Louchard","K1H","210.20","194","182",""
"Arthur Georges","K1H","210.26","130","182",""
"Stefan Stanik","K1H","210.32","204","182",""
"Jerome Trousson","K1H","210.60","167","183",""
"Philippe Daumont","K1H","210.89","176","185",""
"Romain Lecrenais-perrel","K1H","212.45","168","192",""
"Manuel Coquelin","K1H","212.76","183","194",""
"Sebastien Lepaulard","K1H","213.12","158","196",""
"Loic Gobert","K1H","213.15","157","196",""
"Christophe Siffert","K1H","213.28","175","197",""
"Simon Boulan","K1H","214.00","183","200",""
"Jacques Despierres","K1H","214.08","214","200",""
"Nicolas Burgi","K1H","214.86","161","204",""
"Julien Bley","K1H","215.47","207","206",""
"Emmanuel Moreau","K1H","216.98","205","214",""
"Guillaume Huppert","K1H","219.12","201","224",""
"Vincent Lemonnier","K1H","220.81","166","232",""
"Thibaut Chariot","K1H","222.09","186","238",""
"Cyril Gisbert","K1H","224.15","224","248",""
"Valentin Casse","K1H","226.34","194","258",""
"Valentin Cazin","K1H","227.60","214","264",""
"Guillaume Arnaud","K1H","228.26","210","268",""
"Eric Lamour","K1H","228.42","206","269",""
"Romain Musy","K1H","228.99","196","271",""
"Christophe Billaud","K1H","230.67","241","279",""
"Ludovic Lino","K1H","236.12","187","305",""
"Simon Despres","K1H","238.12","114","314",""
"Xavier Jourdain","K1H","239.08","90","319",""
"Erwan Cadio","K1H","239.67","78","322",""
"Enrick Cunsolo","K1H","240.12","55","324",""
"Mael Othenin Girard","K1H","246.00","137","352",""
"Remi Baudot","K1H","248.31","120","363",""
"Yves Lecointe","K1H","252.18","147","382",""
"Maxime Faivre","K1H","254.49","142","392",""
"Thomas Monvoisin","K1H","255.13","183","395",""
"Xavier Marie","K1H","262.01","179","428",""
"Nicolas Feuillard","K1H","262.59","149","431",""
"Tangui Quemeneur","K1H","268.06","244","457",""
"Paul Poulet","K1H","268.88","201","461",""
"Louison Tanet","K1H","278.49","-","507",""
"Mathieu Godin","K1H","287.49","175","549",""
"Jeansebastien Simonklein","K1H","295.38","230","587",""
"Frederic Tinchant","K1H","303.01","173","623",""
"Matthieu Walfard","K1H","305.42","234","635",""
"Mathieu Cheze","K1H","316.16","226","685",""
"Nikolas Stanik","K1H","316.24","201","686",""
"Julien Fougeron","K1H","319.21","218","700",""
"Etienne Legeay","K1H","324.51","195","725",""
"Clement Burel","K1H","325.61","197","730",""
"Bertrand Gutierrez","K1H","350.73","116","850",""
"Bastien Belembert","K1H","373.09","157","956",""
"Mehdi Amini","K1H","441.00","153","1280",""
"Vincent Reiter","K1H","623.18","63","2147",""
"Yves Debailleul","K1H","700.52","192","2514",""
"Simon Philibert","K1H","Abs","-","-",""
