"SLALOM DE CHAPPES - Chappes - 2005-11-11","Course 1","2005-11-11","Régional","130"
"Gaelle Delaborde","K1D","279.13","407","393",""
"Morel Adeline","K1D","280.18","-","399",""
"Lise Cliquet","K1D","281.47","-","406",""
"Bourbon Julie","K1D","282.17","465","410",""
"Gerbaut Suzanne","K1D","286.17","914","430",""
"Pauline Pillion","K1D","289.24","500","447",""
"Sophie Balmossiere","K1D","308.91","693","549",""
"Bergdoll Clemence","K1D","326.56","-","640",""
"Le Blanc Camille","K1D","457.21","-","1318",""
"Aubert Anastasia","K1D","508.20","-","1582",""
"Bazin Patryce","K1H","214.07","60","200",""
"Mehdi Amini","K1H","216.27","178","213",""
"Kudla Romain","K1H","216.71","176","217",""
"Quentin Vallee","K1H","217.73","183","222",""
"Emile Devaux","K1H","217.83","169","223",""
"Sylvain Herrbach","K1H","220.52","161","238",""
"Kevin Burgi","K1H","223.24","243","255",""
"Florent Tamburini","K1H","224.07","234","259",""
"Perrin Alexandre","K1H","226.88","209","276",""
"Tachet Xavier","K1H","228.02","353","283",""
"Bajolet Julien","K1H","228.35","315","285",""
"Clement Martin","K1H","228.66","364","286",""
"Piermay Mathieu","K1H","228.82","259","287",""
"Ladouce Romain","K1H","229.57","245","291",""
"Nicolas Leclerc","K1H","232.85","280","311",""
"Stefan Stanik","K1H","233.06","258","312",""
"Xavier Rat","K1H","233.27","315","313",""
"Vincent Bajolot","K1H","234.35","251","320",""
"Leclerc Jerome","K1H","242.61","416","368",""
"Julien Bley","K1H","243.21","196","372",""
"Sebastien Thevenin","K1H","244.36","-","378",""
"Quentin Moreaux","K1H","244.87","630","381",""
"Jerome Mailfait","K1H","246.43","-","390",""
"Benjamin Fourmet","K1H","246.52","451","391",""
"Nicolas Burgi","K1H","247.72","395","398",""
"Sidney Malgras","K1H","249.02","-","405",""
"Germain Carre","K1H","249.68","451","410",""
"Jerome Lacire","K1H","250.00","-","412",""
"Aurelien Desgrez","K1H","250.95","445","417",""
"De Berchen Sebastien","K1H","253.41","110","431",""
"Romain Chane","K1H","253.49","486","431",""
"Nikolas Stanik","K1H","254.07","549","436",""
"Loic Gobert","K1H","255.07","485","441",""
"Yann Tosser  Roussey","K1H","257.29","-","454",""
"Thevenin Johann","K1H","258.51","-","462",""
"Gautier Boudat","K1H","259.69","594","468",""
"Vallee Mathieu","K1H","259.95","437","469",""
"Audren Schiel","K1H","260.04","505","470",""
"Mickael Faure","K1H","261.34","553","478",""
"Pierron Aurelien","K1H","269.39","676","525",""
"Joel Ramillon","K1H","271.73","-","539",""
"Mathieu Faure","K1H","271.82","572","540",""
"Dupin Nicolas","K1H","272.14","628","541",""
"Fagnere Anthony","K1H","273.09","-","546",""
"Juillet Edouard","K1H","275.38","719","560",""
"Geoffroy Schwentzel","K1H","281.45","308","596",""
"Brivot Victorien","K1H","282.55","-","603",""
"Laurent Remi","K1H","283.45","-","607",""
"Scarano Yoann","K1H","283.60","-","608",""
"Camille Simonin","K1H","285.13","-","617",""
"Pierre Emmanuel Ravet","K1H","286.62","-","627",""
"Aurelien Noiret","K1H","287.30","1974","630",""
"Paul Baldi","K1H","289.22","-","642",""
"Ronc Teddy","K1H","294.71","-","673",""
"Aimeric Brouillard","K1H","303.17","948","723",""
"Brouillard Aurelien","K1H","303.52","812","725",""
"Piffre Antoine","K1H","309.95","-","763",""
"Arnaud Delachaux","K1H","313.03","-","781",""
"Jules Argentini","K1H","314.34","-","788",""
"Henriot Thomas","K1H","316.43","563","801",""
"Anthony Jouannic","K1H","317.46","-","807",""
"Carbillet Pierre","K1H","319.35","-","818",""
"Christophe Simonin","K1H","320.86","-","827",""
"Francis Duchiron","K1H","332.60","-","896",""
"Socier Marian","K1H","334.15","-","905",""
"Prignitz Arnaud","K1H","334.48","-","907",""
"Galibert Guillaume","K1H","354.92","-","1027",""
"Martin Romain","K1H","465.58","-","1676",""
"Revel Kevin","K1H","625.98","-","2616",""
"Lebrun Benjamin","K1H","646.36","-","2736",""
