"SÈlectif National 3 Slalom Sud-Ouest - Bassin De Slalom De Jarnac  - Finale - 2017-04-16","Finale","2017-04-16","Nationale 3","228"
"Julien Coric","K1H","127.19","772.8","803.85","Finale B"
"Fabrice Le Bras","K1H","127.63","671.07","809.99","Finale B"
"Joseph Di Nisi","K1H","128.49","740.2","822","Finale B"
"David Acero Blondin","K1H","128.5","739.19","822.14","Finale B"
"Matthieu Desbons","K1H","130.74","805.18","853.4","Finale B"
"Theo Jeanlouis","K1H","160.58","549.19","1269.88","Finale B"
"Paul Gobert","K1H","161.09","530.41","1277","Finale B"
"Nicolas Peyroux","K1H","166.02","932.26","1345.81","Finale B"
"Nathanael Bordes","K1H","171.2","979.07","1418.11","Finale B"
"Ludovik Fresnel","K1H","Abs","-","-","Finale B"
