"SELECTION REGIONALE & COUPE D'AQUIT - Pau - 2002-12-15","Course 1","2002-12-15","Régional","162"
"Julien Coudert","K1H","199.45","156","233",""
"Kevine Cliquet","K1H","200.33","237","238",""
"Adrien Ponassie","K1H","200.35","305","238",""
"Pala Mathieu","K1H","200.73","155","240",""
"Bastien Dantin","K1H","200.86","235","241",""
"Jeremy Wagner","K1H","200.87","186","241",""
"Gregory Ponassie","K1H","201.91","261","247",""
"Florent Boulet","K1H","202.89","253","253",""
"Le Menu Cedric","K1H","204.24","371","261",""
"Veronel Patrice","K1H","205.00","236","266",""
"Colin Molinier","K1H","205.38","241","268",""
"Francois Giondini","K1H","205.49","302","269",""
"Pascal Dongarra","K1H","205.77","280","271",""
"Lucien Delfour","K1H","206.19","336","273",""
"Benjamin Reig","K1H","206.80","242","278",""
"Barthes Julien","K1H","207.50","300","282",""
"Boris Lesimple","K1H","207.78","275","284",""
"Frederic Lascourreges","K1H","208.23","265","286",""
"Laroque Jeanchristophe","K1H","209.01","274","291",""
"Reyes Pascal","K1H","209.95","-","297",""
"Marc Laborde","K1H","210.80","310","302",""
"Frederic Descot","K1H","213.55","331","318",""
"Lemoule Pierre","K1H","214.67","327","325",""
"Sylvain Follenfant","K1H","216.70","324","337",""
"Olivier Cain","K1H","216.94","214","339",""
"Hugo Biso","K1H","219.49","-","355",""
"Pomies Raphael","K1H","219.92","275","358",""
"Aguiar Jimmy","K1H","221.57","354","368",""
"Eric Vidou","K1H","222.99","406","376",""
"Delphine Fabrice","K1H","225.88","354","394",""
"Jose Pereira","K1H","227.31","251","402",""
"Courtiade Jean Yves","K1H","227.83","-","405",""
"Louis Georges Lafont","K1H","228.74","373","411",""
"Hugues Lesimple","K1H","230.30","331","421",""
"Tony Deshayes","K1H","231.86","399","431",""
"Nicolas Le Provost","K1H","233.35","344","440",""
"Benjamin Wagner","K1H","233.35","512","440",""
"Picco Pierre","K1H","233.38","-","440",""
"Del Negro Alexis","K1H","235.48","-","452",""
"Valerian Boulet","K1H","241.00","474","487",""
"Chicane Guylain","K1H","241.04","452","487",""
"Thomas Rollot","K1H","242.92","-","498",""
"Pourtau Stephane","K1H","243.53","461","502",""
"Samuel Hernanz","K1H","243.87","125","504",""
"Jean Luc Pessoni","K1H","246.95","495","522",""
"Nicolas Durand","K1H","247.68","144","527",""
"Court Germain","K1H","254.92","-","571",""
"Julien Lenaour","K1H","255.17","207","573",""
"Faugeres Jonathan","K1H","257.13","355","585",""
"Molinier Vincent","K1H","258.08","256","590",""
"Lemaire Martin","K1H","258.32","-","592",""
"Renoux Franck","K1H","260.71","-","606",""
"Cabot Julien","K1H","263.24","808","621",""
"Herry Yohan","K1H","264.88","-","632",""
"Tapia Joseph","K1H","265.64","-","637",""
"Lafitte Daniel","K1H","265.77","-","638",""
"Doat Francois","K1H","266.45","699","642",""
"Saint Cricq Sebastien","K1H","269.69","604","661",""
"Manuel Legros","K1H","272.75","322","680",""
"Jonot Anthony","K1H","280.45","451","727",""
"Naves Pierre","K1H","282.90","-","742",""
"Maxime Mitaut","K1H","299.11","995","841",""
"Guillaume Wyart","K1H","317.16","-","951",""
"Lanusse Maxime","K1H","318.25","828","957",""
"Lafitte Florian","K1H","318.59","-","959",""
"Denjean Patrice","K1H","339.07","-","1084",""
"Fourcade Thomas","K1H","343.80","-","1114",""
"Van Kalsbeek Elwin","K1H","349.91","-","1151",""
"Peyregne Fabien","K1H","361.84","1382","1223",""
"Kraemer Nicolas","K1H","383.49","-","1356",""
"Jouanolou Remi","K1H","416.18","1633","1555",""
"Damien Mareau","K1H","478.30","-","1934",""
"Mazagot Christophe","K1H","481.75","1229","1956",""
"Caignard Ronan","K1H","499.26","-","2062",""
"Vidal Gael","K1H","710.30","-","3350",""
"Labouyrie Remi","K1H","718.37","-","3399",""
