"Manche de la Coupe de France Nationale 1 slalom - Foix - Finale - 2015-06-07","Finale","2015-06-07","Nationale 1","110"
"Pierre Bourliaud","K1H","100.29","21.17","79.21","Finale A"
"Mathieu Desnos","K1H","101.02","39.72","85.63","Finale A"
"Quentin Burgi","K1H","101.1","22.34","86.33","Finale A"
"Emmanuel Walczak","K1H","102.58","70.62","99.35","Finale A"
"Enrick Cunsolo","K1H","103.09","66.16","103.84","Finale A"
"Louison Turmeau","K1H","103.18","77.88","104.63","Finale A"
"Boris Chenal","K1H","103.74","54.94","109.55","Finale A"
"Quentin Mignard","K1H","106.06","94.99","129.96","Finale A"
"Pol Oulhen","K1H","108","52.97","147.02","Finale A"
"Benoit Peschier","K1H","108.06","19.76","147.55","Finale A"
"Mathurin Madore","K1H","109.48","87.67","160.04","Finale A"
"Martin Daviet","K1H","201.35","64.54","968.14","Finale A"
"Laurine Naveau","C1D","135.99","193.25","198.86","Finale B"
"Annaelle Meheut","C1D","140","108.35","228.26","Finale B"
"Fanchon Janssen","C1D","140.23","210.01","229.94","Finale B"
"Azenor Philip","C1D","141.35","220.1","238.16","Finale B"
"Marjorie Delassus","C1D","141.82","247.06","241.6","Finale B"
"Lucas Roisin","C1H","105.55","75.32","86.26","Finale B"
"Jason Brothier","C1H","106.21","84.86","91.79","Finale B"
"Thibault Blaise","C1H","109.89","59.06","122.62","Finale B"
"Jean Pierre Bourhis","C1H","110.13","97.16","124.63","Finale B"
"Antoine Roux","C1H","112.53","137.4","144.73","Finale B"
"Marc Biazizzo","C1H","112.66","90.61","145.82","Finale B"
"Emilien Kempf","C1H","113.94","94.05","156.55","Finale B"
"Corentin Oulhen","C1H","114.05","150.55","157.47","Finale B"
"Thibaut Perroteau","C1H","117.16","179.25","183.52","Finale B"
"Thomas Rosset","C1H","117.18","131.5","183.69","Finale B"
"Julian Othenin-girard","C1H","118.84","186.09","197.6","Finale B"
"Alexandre Paulais","C1H","123.44","149.37","236.13","Finale B"
"Lucas Vancon","C1H","124.27","144.77","243.08","Finale B"
"Yann Rivallant","C1H","124.9","140.31","248.36","Finale B"
"Solene Graille","K1D","116.35","99.47","107.74","Finale B"
"Caroline Loir","K1D","120.59","87.92","140.74","Finale B"
"Claire Gaigeot","K1D","122.61","114.4","156.46","Finale B"
"Annaelle Meheut","K1D","123.71","139.65","165.03","Finale B"
"Lea Turmeau","K1D","124.45","121.66","170.79","Finale B"
"Maria Ferekidi","K1D","126.61","116.46","187.6","Finale B"
"Lea Gaigeot","K1D","129.09","133.78","206.9","Finale B"
"Lea Wetzel","K1D","168.28","114.7","511.96","Finale B"
"Yann Le Govic","K1H","98.9","34.58","71.98","Finale B"
"Malo Quemeneur","K1H","99.17","74.54","74.35","Finale B"
"Sami Rocher","K1H","99.49","91.1","77.17","Finale B"
"Renaud Doby","K1H","99.62","25.85","78.31","Finale B"
"Benjamin Buys","K1H","99.9","61.51","80.78","Finale B"
"Jonas Turmeau","K1H","100.63","67.33","87.2","Finale B"
"Bertrand Gutierrez","K1H","101.41","89.87","94.06","Finale B"
"Alexandre Dherbilly","K1H","102.26","96.32","101.53","Finale B"
"Samuel Lhegu","K1H","102.7","85.18","105.4","Finale B"
"Christophe Marechal","K1H","102.73","88.95","105.67","Finale B"
"Ewen Legrand","K1H","102.77","98.56","106.02","Finale B"
"Gael Prodeau","K1H","102.79","84.66","106.2","Finale B"
"Louis Philippe Rigal","K1H","102.84","132.24","106.64","Finale B"
"Guillaume Graille","K1H","103.22","107.03","109.98","Finale B"
"Clement Travert","K1H","103.47","92.73","112.18","Finale B"
"Jonathan Delagnes","K1H","103.7","114.76","114.2","Finale B"
"James Duvernoy","K1H","103.88","86.81","115.78","Finale B"
"Romain Faurie","K1H","103.92","106.79","116.14","Finale B"
"Maxime Bottex","K1H","104.09","123.7","117.63","Finale B"
"Damien Laborde","K1H","104.41","114.32","120.45","Finale B"
"Nicolas Feuillard","K1H","104.89","127.45","124.67","Finale B"
"Andy Pajani","K1H","105.41","95.54","129.24","Finale B"
"Nicolas Baudoin","K1H","106.34","81.73","137.42","Finale B"
"Alexandre Lucas","K1H","107.46","120.35","147.27","Finale B"
"Jonathan Chapatte","K1H","110.63","116.44","175.16","Finale B"
