"SELECTIF REGIONAL DE SLALOM - Isle De La Serre - 2002-12-01","Course 1","2002-12-01","Régional","169"
"Lalauze Charly","K1H","235.47","355","331",""
"Alain Ferry","K1H","238.23","300","350",""
"Michel Yannick","K1H","238.26","336","350",""
"Jeremiah Mosch","K1H","238.38","402","350",""
"Ploix Kevin","K1H","239.03","448","355",""
"Hager Yoan","K1H","243.41","393","383",""
"Danneyrolles Eric","K1H","243.51","442","383",""
"Vernotte Vincent","K1H","244.32","305","389",""
"Aupee Eric","K1H","245.61","354","398",""
"Biard Adrien","K1H","246.80","-","405",""
"Prost Mathieu","K1H","246.86","417","405",""
"Pouillard Quentin","K1H","247.59","404","410",""
"Bornet Timothee","K1H","247.78","-","411",""
"Olivier Bourgey","K1H","250.09","443","426",""
"Henrard Romain","K1H","250.94","-","432",""
"Descharrieres Bruno","K1H","251.95","408","438",""
"Bessiere Florian","K1H","255.05","565","458",""
"Vadeboin Mathias","K1H","255.62","-","463",""
"Del Negro Alexis","K1H","258.79","-","483",""
"Delgrange Sebastien","K1H","260.36","-","494",""
"Baude Francois","K1H","260.88","-","496",""
"Cottet Gaydon Francois","K1H","260.90","448","496",""
"Vahine Patrick","K1H","261.04","-","498",""
"Thomas Burnoud","K1H","273.53","567","579",""
"Faivre-Pierret Nicolas","K1H","274.27","-","584",""
"Chassain Nathael","K1H","275.73","-","594",""
"Alix Pouillard","K1H","276.04","-","595",""
"Tissot Fabien","K1H","278.73","-","613",""
"Dietz Charles","K1H","281.47","-","630",""
"Liguori Arnaud","K1H","281.86","-","633",""
"Chappet Gary","K1H","282.05","-","634",""
"Zurek Vincent","K1H","287.79","-","672",""
"Philippe Jules","K1H","288.26","-","675",""
"Rety Simon","K1H","295.49","1075","721",""
"Friboulet Mickael","K1H","295.81","706","724",""
"Jackson Douglas","K1H","297.75","-","736",""
"Vallet Florian","K1H","299.76","-","750",""
"Balhat Youcef","K1H","300.93","-","757",""
"Prost Clement","K1H","302.75","-","769",""
"Gros Mickael","K1H","349.07","-","1071",""
"Colombet Jeremy","K1H","359.89","-","1141",""
"Fatou Clement","K1H","383.16","-","1292",""
"David Berthillier","K1H","526.58","-","2225",""
