"Finale N3 Est - Sélestat - 2009-06-07","Course 1","2009-06-07","Nationale 3","167"
"Yann Maignant","K1H","259.34","350","343",""
"Paolo Willmann Rosso","K1H","259.50","373","344",""
"Romain Delachenal","K1H","261.01","388","352",""
"Kevin Deschamps","K1H","261.01","312","352",""
"Elie Pauget","K1H","263.01","395","363",""
"Vivien Tirole","K1H","263.48","378","366",""
"Therence Bernard","K1H","264.14","380","369",""
"Lois Guillermond","K1H","264.36","255","370",""
"Jules Marragou","K1H","266.41","404","380",""
"Robin Guebey","K1H","267.62","466","387",""
"Laurent Graillot","K1H","270.37","440","401",""
"Andre Kempf","K1H","272.90","434","415",""
"Mickael Lefuel","K1H","272.92","604","415",""
"Loick Aupee","K1H","272.98","428","415",""
"Pierre Aubry","K1H","274.37","481","422",""
"Morgan Merel","K1H","275.23","439","426",""
"Jean Guyot","K1H","278.82","392","446",""
"Bastien Roy","K1H","285.74","535","482",""
"Elie Voltz","K1H","287.41","597","491",""
"Gilles Barthelemy","K1H","287.93","529","493",""
"Luka Neel","K1H","289.40","536","501",""
"Lucas Ferraina","K1H","292.02","178","514",""
"Franck Hiffler","K1H","293.93","490","524",""
"Benoit Mercier","K1H","299.76","679","555",""
"Tom Jackson","K1H","299.82","335","555",""
"Laurent Starck","K1H","301.25","291","563",""
"Nolan Miton","K1H","305.29","682","584",""
"Thomas Rollot","K1H","306.14","361","589",""
"Mathieu Douillet","K1H","307.88","294","597",""
"Eric Louis","K1H","308.88","628","602",""
"Nicolas Fritsch","K1H","310.57","272","611",""
"Lucas Saudon","K1H","312.61","666","622",""
"Florent Bronchain","K1H","313.16","343","625",""
"Joen Saint Requier","K1H","314.42","494","632",""
"Adrien Kaiser","K1H","317.09","393","645",""
"Alexandre Montabonnet","K1H","321.74","448","670",""
"Gerard Cartier","K1H","321.98","706","671",""
"Simon Barthelemy","K1H","323.80","424","681",""
"Clement Martin","K1H","325.01","389","687",""
"Gauthier Ruspini","K1H","327.87","480","702",""
"Claude Breuzard","K1H","328.10","555","703",""
"Dylan Bard","K1H","330.52","780","716",""
"Marco Rodrigues","K1H","331.18","697","720",""
"Even Perot","K1H","332.92","423","728",""
"Jason Bauge","K1H","335.64","480","743",""
"Alexandre Lambert","K1H","354.89","748","844",""
"Pedro Farias Barbas","K1H","357.65","420","857",""
"Clement Gourmelon","K1H","359.95","517","870",""
"Colas Geier","K1H","364.51","327","894",""
"Edouard Grosjean","K1H","376.19","343","954",""
"Marc Le Morvan","K1H","396.38","797","1061",""
"Thomas Stutzmann","K1H","544.40","240","1834",""
"Romain Buchot","K1H","Abs","-","-",""
"David Pierson","K1H","Des","-","-",""
"Xavier Sucker","K1H","Abs","-","-",""
