"Slalom Régional - Championnat Départemental - Servon Sur Vilaine - 2005-10-16","Course 1","2005-10-16","Régional","152"
"Christofides Pierre Etienne","K1H","298.23","-","595",""
"Dubrul Julien","K1H","298.34","-","595",""
"Brouder Titouan","K1H","299.14","-","600",""
"Thomas Richer","K1H","300.30","-","607",""
"Didelot Paul","K1H","300.90","-","611",""
"Dubois-Lefebvre Frederic","K1H","301.03","-","612",""
"Loiret Thomas","K1H","301.27","-","614",""
"Chollet Jules","K1H","302.00","-","617",""
"Paulet François","K1H","303.78","-","628",""
"Boleis Amaury","K1H","306.09","-","642",""
"Davost Brieuc","K1H","307.42","-","650",""
"Grousset Sylvain","K1H","309.17","-","661",""
"Gomeriel Pierre","K1H","316.62","-","705",""
"Benjamin Duchene","K1H","318.78","-","719",""
"Jolly Valentin","K1H","320.96","-","731",""
"Aubin Valentin","K1H","320.97","-","731",""
"Lescouarc'h Loic","K1H","321.77","-","736",""
"Kister Raphaël","K1H","326.29","-","763",""
"Jambu Jeremy","K1H","327.00","-","768",""
"Huckert Regis","K1H","329.94","-","785",""
"Houdaille Loic","K1H","342.64","-","862",""
"Couette Gaetan","K1H","347.38","-","890",""
"Pourchasse Nicolas","K1H","358.22","-","955",""
"Chopin Simon","K1H","363.06","-","984",""
"Marsolier Maxime","K1H","378.05","-","1074",""
"Nivol Baptiste","K1H","381.02","-","1092",""
