"Sélectif Régional - Pont d'Ouilly - Finale - 2014-02-02","Finale","2014-02-02","Régional","120"
"Axel Meheust","K1H","104.5","354.25","397.02","Finale A"
"Ronan Gac","K1H","104.78","380.45","400.62","Finale A"
"Thibault Joncret","K1H","104.83","299.02","401.26","Finale A"
"Yoann Deschemaeker","K1H","106.05","334.89","416.94","Finale A"
"Teddy Poulard","K1H","106.38","341.6","421.18","Finale A"
"Adrien Legrand","K1H","109.11","400.12","456.27","Finale A"
"David Breton","K1H","109.15","346.61","456.78","Finale A"
"Romain Laporte","K1H","109.84","-","465.65","Finale A"
"Olivier Dulouard","K1H","110.88","350.67","479.02","Finale A"
"Tristan Robin","K1H","111.74","-","490.07","Finale A"
"Nicolas Ducrocq","K1H","113.68","461.77","515.01","Finale A"
"Christophe Gergaud","K1H","116.93","-","556.78","Finale A"
"Corentin Douady","K1H","139.68","241.87","849.18","Finale A"
"Hugo Durand","K1H","170.74","-","1248.39","Finale A"
"Lucas Chancerel","K1H","224.18","-","1935.25","Finale A"
"Mehdi Rouich","K1H","Nt","-","-","Finale A"
"Simon Dubosc","K1HM","108.4","-","-","Finale A"
"Florian Busson","K1HM","114.29","-","-","Finale A"
"Ugo Pean","K1HM","126.93","-","-","Finale A"
"Leo Demazeau","K1HM","142.8","-","-","Finale A"
"Baptiste Brunet","K1HM","162.49","-","-","Finale A"
"Remi Catherine","K1HM","171.71","-","-","Finale A"
"Quentin Maillet","K1HM","Nt","-","-","Finale A"
"Tiphaine Duboc","C1D","Nt","-","-","Finale B"
"Guillaume Doutreix","C1H","99.96","246.17","282.49","Finale B"
"Guillaume Sellier","C1H","111.02","-","417.87","Finale B"
"Nicolas Ducrocq","C1H","116.21","420.95","481.4","Finale B"
"Adrien Loiseau","C1H","122.84","431.83","562.55","Finale B"
"Esteban Lebrun","C1H","161.93","469.61","1041.05","Finale B"
"Romain Bouillon","C1H","194.93","738.38","1445","Finale B"
"Antoine Cruard","C1H","202.4","770.5","1536.44","Finale B"
"Erwan Gautrelet","C1H","207.03","550.17","1593.11","Finale B"
"Geoffroy Lauth","C1H","Nt","-","-","Finale B"
"Axel Lepenant","C1H","Nt","-","-","Finale B"
"Antoine Martin","C1H","Nt","-","-","Finale B"
"Olivier Dulouard-Jean-francois Dulouard","C2H","149.43","596.11","799.89","Finale B"
"Chloe Gatuingt","K1D","120.88","295.95","433.8","Finale B"
"Dominique Badie-kallou","K1D","Nt","-","-","Finale B"
"Anne Lambert","K1D","Nt","-","-","Finale B"
"Benjamin Chartrain","K1H","103.27","-","386.21","Finale B"
"Louison Laumondais","K1H","108.57","425.42","454.33","Finale B"
"Damien Jacques","K1H","111.74","385.42","495.07","Finale B"
"Guillaume Sellier","K1H","112.54","-","505.36","Finale B"
"Erwan Gautrelet","K1H","114.27","412.55","527.59","Finale B"
"Paul Besnard","K1H","115.89","465.75","548.41","Finale B"
"Esteban Lebrun","K1H","116.26","429.04","553.17","Finale B"
"Theo Lecointe","K1H","119.43","565.61","593.91","Finale B"
"Sebastien Masseline","K1H","120.05","559.41","601.88","Finale B"
"Romain Bouillon","K1H","123.62","549.79","647.77","Finale B"
"Jean-francois Dulouard","K1H","124.12","588.95","654.19","Finale B"
"Antoine Martin","K1H","132.73","559.85","764.86","Finale B"
"Camille Boitier","K1H","144.96","762.96","922.05","Finale B"
"Mathieu Cruard","K1H","145.3","968.19","926.42","Finale B"
"Vladimir Bonhomme","K1H","147.26","710.53","951.61","Finale B"
"Jean Noel Degraeve","K1H","150.96","785.05","999.16","Finale B"
"Niels Beaumont","K1H","151.71","-","1008.8","Finale B"
"Ludovic Garnier","K1H","161.1","446.14","1129.49","Finale B"
"Yacine Meddour","K1H","178.62","-","1354.67","Finale B"
"Nicolas Candieu","K1H","184.21","693.23","1426.52","Finale B"
"Corentin Arrou","K1H","190.86","-","1511.99","Finale B"
"Antoine Repussard","K1H","192.99","-","1539.37","Finale B"
"Alexandre Catherine","K1H","198.52","1035.37","1610.45","Finale B"
"Killian Charton","K1H","200.74","1256.08","1638.98","Finale B"
"Remi Blaud","K1H","208.95","928.47","1744.5","Finale B"
"Alan Le Goff","K1H","212.55","-","1790.77","Finale B"
"Quentin Marie","K1H","212.96","778.32","1796.04","Finale B"
"Lilian Lepenant","K1H","216.49","760.17","1841.41","Finale B"
"Scotty Lacroix","K1H","431.14","-","4600.28","Finale B"
"Alexandre Mauger","K1H","505.76","-","5559.36","Finale B"
"Paul Hervieu","K1H","Nt","-","-","Finale B"
"Antonin Collobert","K1H","Nt","-","-","Finale B"
"Isidore Dubuisson","K1H","Nt","-","-","Finale B"
"Maxime Robin","K1HM","146.03","-","-","Finale B"
"Pablo Ramirez","K1HM","170.62","-","-","Finale B"
"Alexis Pitres","K1HM","186.26","-","-","Finale B"
"Nicolas Maurel","K1HM","289.68","-","-","Finale B"
"Michael Philibert","K1HM","Nt","-","-","Finale B"
