"Selectif Régional Slalom - Chelles - 2007-10-06","Course 1","2007-10-06","Régional","187"
"Emile Devaux","K1H","195.24","122","127",""
"Vincent Reiter","K1H","195.36","107","127",""
"Jeremy Cremonesi","K1H","196.17","130","132",""
"Xavier Jourdain","K1H","197.80","86","141",""
"Julien Daumont","K1H","198.41","127","145",""
"Gregory Busson","K1H","199.73","85","152",""
"Fabien Tournadre","K1H","200.11","123","154",""
"Florian Perenchio","K1H","202.46","192","168",""
"Loic Monbel","K1H","202.65","180","169",""
"Michel Gombert","K1H","203.51","165","174",""
"Philippe Daumont","K1H","208.13","145","200",""
"Nicolas Feuillard","K1H","209.75","277","209",""
"Yves Lecointe","K1H","211.30","182","219",""
"Samuel Lhegu","K1H","212.27","160","224",""
"Bertrand Avril","K1H","212.69","208","227",""
"Venceslas Viseur","K1H","215.63","134","243",""
"Jeremy Bretteville","K1H","216.35","271","247",""
"Mathieu Godin","K1H","216.82","-","250",""
"Bastien Darcillon","K1H","217.14","271","252",""
"Julien Signarbieux","K1H","217.29","274","252",""
"Quentin Moreaux","K1H","218.82","208","261",""
"Denis Parizia","K1H","218.84","346","261",""
"Yves Debailleul","K1H","219.22","223","263",""
"Matthieu Walfard","K1H","219.67","245","267",""
"Benoit Monvoisin","K1H","220.03","-","269",""
"Julien Fougeron","K1H","220.36","246","271",""
"Loic Gobert","K1H","220.38","228","271",""
"Romain Content","K1H","221.03","267","274",""
"Alexandre Guerinet","K1H","221.36","-","276",""
"Didier Niel","K1H","221.44","202","277",""
"Thomas Monvoisin","K1H","222.06","214","280",""
"Nicolas Durand","K1H","222.14","-","281",""
"Ludovic Lino","K1H","223.33","335","287",""
"Valentin Casse","K1H","223.47","279","288",""
"Guillaume Arnaud","K1H","223.64","236","289",""
"Quentin Vallee","K1H","225.82","227","301",""
"Alexandre Peslin","K1H","226.14","460","303",""
"Simon Deboysson","K1H","226.24","348","304",""
"Germain Carre","K1H","226.70","290","306",""
"Nicolas Arnoult","K1H","227.22","-","309",""
"Mehdi Rouich","K1H","231.64","342","335",""
"Stephane Broute","K1H","231.97","276","337",""
"Jerome Trousson","K1H","232.02","232","337",""
"Matthieu Basset","K1H","233.06","284","343",""
"Philippe Valeri","K1H","234.24","302","349",""
"Thibault Dhennin","K1H","234.69","346","352",""
"Romain Lemaire","K1H","235.47","338","356",""
"Yves Moreno","K1H","236.47","-","362",""
"Bastien Pailler","K1H","236.52","-","362",""
"Alban Planchais","K1H","240.34","-","385",""
"Thomas Viratelle","K1H","240.70","402","387",""
"Vincent Richard","K1H","241.29","390","390",""
"Jerome Urbanczyk","K1H","246.08","480","417",""
"Roberge Sebastien","K1H","246.92","374","422",""
"Jean-loup Bachmann","K1H","247.25","-","423",""
"Calmon Tom","K1H","247.96","330","428",""
"Monbel Romain","K1H","249.86","497","439",""
"Etienne Carpentier","K1H","249.96","473","440",""
"Romaric Baron","K1H","252.03","437","451",""
"Jeremy Huguenin","K1H","254.67","510","466",""
"Jerome Mailfait","K1H","254.81","372","467",""
"Stephane Helle","K1H","254.91","-","467",""
"Camille Mege","K1H","257.27","-","482",""
"Le Nevanic Gerald","K1H","257.41","401","482",""
"Nicolas Girault","K1H","258.50","-","489",""
"Aurelien Noiret","K1H","259.49","419","494",""
"Domenger Paul","K1H","259.65","453","495",""
"Maxime Thoreau","K1H","260.24","579","498",""
"Cheron Valentin","K1H","262.23","450","509",""
"Nicolas Leclerc","K1H","262.38","-","510",""
"Franck Leray","K1H","262.58","-","511",""
"Arnaud Delachaux","K1H","262.91","633","513",""
"Gilles Lucas","K1H","263.84","819","518",""
"Guilherme Goncalves Maghin","K1H","264.69","-","523",""
"Jeremy Harel","K1H","267.60","894","541",""
"Villeneuve Vincent","K1H","268.18","-","544",""
"Antoine Beaudoin","K1H","269.57","-","552",""
"Sergepatrick Viseur","K1H","271.19","625","561",""
"Romain Bertrand","K1H","272.35","1133","567",""
"Guilhem Goubert","K1H","275.73","-","587",""
"Damien Jacques","K1H","279.31","-","607",""
"Samuel Hun","K1H","279.55","-","609",""
"Clerc Romain","K1H","281.31","-","618",""
"Thomas Van Craenenbroeck","K1H","281.67","-","620",""
"Frechon Camille","K1H","283.08","617","628",""
"Patrick Hun","K1H","286.88","-","651",""
"Nicolas Leconte","K1H","287.36","825","653",""
"Benjamin Millet Naas","K1H","288.00","591","657",""
"Paul Batrel","K1H","293.61","699","689",""
"Maxime Nares","K1H","295.86","-","702",""
"Laurent Ernou","K1H","300.63","701","729",""
"Dominique Odile","K1H","306.31","550","762",""
"Wilhelm Heimburger","K1H","314.01","876","806",""
"Kronovsek Patrick","K1H","315.79","897","816",""
"Clement Pierron","K1H","317.64","-","826",""
"Claude Breuzard","K1H","324.51","729","866",""
"Brouillard Aurelien","K1H","333.13","686","915",""
"Mathieu Monvoisin","K1H","333.28","-","916",""
"Benon Louis","K1H","334.59","-","923",""
"Valentin Millet Naas","K1H","341.28","-","962",""
"Tristan Breuilly","K1H","359.97","-","1068",""
"Christophe Dufresne","K1H","370.11","-","1126",""
"Paul Moutinho","K1H","371.74","-","1135",""
"Aimeric Brouillard","K1H","375.23","836","1155",""
"Boches Joffrey","K1H","407.60","-","1341",""
"Louka Bachmann","K1H","425.90","-","1445",""
"Pak Jonathan","K1H","453.07","-","1601",""
"Troquenet Philippe","K1H","551.08","-","2161",""
"Pierre Gulli","K1H","575.79","-","2302",""
"Elie Mahfouz","K1H","578.46","-","2318",""
"Postal Stephane","K1H","610.91","-","2503",""
"Julien Garin","K1H","639.87","-","2668",""
"Bayor","K1H","1088.31","-","5232",""
