"Sélectif Régional vinon - Vinon Sur Verdon - 2009-04-04","Course 1","2009-04-04","Régional","150"
"Julie Labarelle","K1D","214.39","104","148",""
"Laure Udari","K1D","215.99","91","156",""
"Melanie Konig","K1D","220.90","190","182",""
"Amelie Lutz","K1D","223.66","168","196",""
"Elise Escourrou","K1D","223.93","78","198",""
"Aurelie Divoux","K1D","235.95","275","261",""
"Marlene Rio","K1D","245.25","268","309",""
"Marion Delorme","K1D","246.73","233","317",""
"Alice Janecek","K1D","251.47","347","341",""
"Coralie Yebenes","K1D","252.43","219","346",""
"Candice Lauretta","K1D","269.94","314","437",""
"Alysson Goyat","K1D","271.37","484","444",""
"Annaelle Meheut","K1D","272.94","188","453",""
"Clara Gache","K1D","274.64","307","461",""
"Lucile Delorme","K1D","279.41","-","486",""
"Amelie Lagorio","K1D","296.92","213","577",""
"Soriana Dupire","K1D","309.65","232","643",""
"Claire Michelet","K1D","319.46","688","694",""
"Olivia Bertolotti","K1D","319.86","-","697",""
"Marie Troyano","K1D","333.69","1390","768",""
"Amandine Massot","K1D","368.37","950","948",""
"Valerie Ferrier","K1D","466.10","1365","1456",""
"Annie Ughetto","K1D","660.25","685","2463",""
"Orlane Anselmoz","K1D","792.06","-","3148",""
"Lena Baux","K1D","Abd","-","-",""
"Virginie Soulie","K1D","Des","-","-",""
"Flore Muller","K1D","Abd","-","-",""
"Romain Chabrol","K1H","184.83","104","120",""
"Paul Graton","K1H","185.40","126","123",""
"Bryan Seiler","K1H","187.53","120","135",""
"Thibaud Lacour","K1H","191.57","111","159",""
"Boris Doye","K1H","193.65","139","171",""
"Jeremy Wagner","K1H","195.64","110","183",""
"Benoit Fer","K1H","195.70","106","183",""
"Florian Ordonneau","K1H","198.48","130","200",""
"Olivier Blanc","K1H","200.93","127","214",""
"Yannick Besse","K1H","201.79","167","219",""
"Valentin Pahon","K1H","204.33","263","234",""
"Thibault Gache","K1H","204.51","194","235",""
"Sylvain Viallon","K1H","210.15","247","268",""
"Baptiste Tappero","K1H","213.57","229","289",""
"Ludovic Pinchon","K1H","213.80","232","290",""
"Sylvain Follenfant","K1H","213.85","271","290",""
"Florent Lagorio","K1H","214.62","304","295",""
"Guillaume Pit","K1H","216.37","306","305",""
"Adrien Tamas","K1H","216.49","343","306",""
"Alexis Lozachmeur","K1H","221.93","299","337",""
"Adrien Quillet","K1H","222.03","314","338",""
"Laurent Fieschi","K1H","222.03","339","338",""
"Adrien Tappero","K1H","223.05","289","344",""
"Camille Sahuc","K1H","224.57","284","353",""
"Olivier Bret","K1H","226.60","359","364",""
"Pierre-adrien Vignal","K1H","226.72","350","365",""
"Clement Rombi","K1H","227.17","382","368",""
"Xavier Gensse","K1H","227.20","-","368",""
"Bernard Delorme","K1H","235.09","-","415",""
"Pierre Lagarde","K1H","238.07","406","432",""
"Lois Desroches","K1H","241.77","153","454",""
"Yoann Mourier","K1H","244.07","432","468",""
"Jolan Konig","K1H","247.65","420","489",""
"Florent Bret","K1H","248.88","439","496",""
"Kevin Gix","K1H","249.14","-","497",""
"Stephane Simonpietri","K1H","251.20","454","510",""
"Dariuch Bodin","K1H","260.10","827","561",""
"Paul De Salve De Bruneton","K1H","261.44","838","569",""
"Jorys Plissot","K1H","261.54","469","570",""
"Theo Hascoet","K1H","263.16","302","579",""
"Mattieu Villeuneuve","K1H","271.90","-","631",""
"Ludovic Smal","K1H","271.95","320","631",""
"Olivier Kremer","K1H","273.84","628","642",""
"Florian Guillebeaud","K1H","278.62","-","670",""
"Guillaume Gonzalez","K1H","282.32","655","692",""
"Eloi Seemann","K1H","285.31","-","709",""
"Laurent Roux","K1H","290.76","553","741",""
"Bruno Martins","K1H","294.18","480","761",""
"Gauthier Vanden  Abeele","K1H","295.24","833","767",""
"Frederic Bordier","K1H","308.90","483","848",""
"Hugues Lesimple","K1H","314.96","219","884",""
"Alexandre Rozand","K1H","315.96","-","890",""
"Cedric Pawlowski","K1H","316.36","-","892",""
"Quentin Duhamel","K1H","322.94","555","930",""
"Quentin Ducrot","K1H","326.32","529","950",""
"Romain Barrau","K1H","329.47","-","968",""
"Damien Chammings","K1H","330.33","-","973",""
"Pascal Ravaux","K1H","331.11","-","978",""
"Johan Morales","K1H","351.55","-","1097",""
"Sebastien Disdier","K1H","362.76","704","1164",""
"Ronan Lecouturier","K1H","373.72","655","1228",""
"Thibault Goguet","K1H","393.09","-","1341",""
"Alexis Reigne","K1H","436.54","636","1597",""
"Manuel Pinault","K1H","471.05","-","1799",""
"Matthieu Allamand","K1H","667.47","-","2952",""
"Franck Creuzet","K1H","680.75","-","3029",""
"Sylvain Colonnier","K1H","Abs","-","-",""
"Jeanluc Nitard","K1H","Abs","-","-",""
"Cedric Mace","K1H","Abs","-","-",""
"Dimitri Durannot","K1H","Abs","-","-",""
"Wolfgang Schulz","K1H","Abs","-","-",""
"Emmanuel Baclet","K1H","Abs","-","-",""
"Baptiste Smagghe","K1H","Abs","-","-",""
"Mathieu Gueguen","K1H","Abs","-","-",""
"Leo Dumont","K1H","Abs","-","-",""
"Camille Dumont","K1H","Abs","-","-",""
"Stefan Tupek","K1H","Abd","-","-",""
"Clement Ardaillou","K1H","Abs","-","-",""
"Matthieu Chauvel","K1H","Abs","-","-",""
"Julien Cukierman","K1H","Abs","-","-",""
"Benjamin Wagner","K1H","Abs","-","-",""
"Mathieu Cataldo","K1H","Abs","-","-",""
"Simon Dosiere","K1H","Abs","-","-",""
"Denis Desmoineaux","K1H","Abs","-","-",""
"Antoine Ristaino","K1H","Abd","-","-",""
"Timothee Bernard","K1H","Abs","-","-",""
"Alexia Mannent","K1H","Abs","-","-",""
"Cedric Cordone","K1H","Abs","-","-",""
