"Championnat Interr?gional Slalom Sud-Ouest (finale N3) - Bassin D'orthez - Demi-finale - 2017-06-18","Demi-finale","2017-06-18","Nationale 3","95"
"Samuel Taillefer-Felix Praderie","C2H","128.19","565.01","545.58",""
"Thibault Alcaras-Ulysse Giel","C2H","131.4","576.71","583.86",""
"Tom Bouchardon-Martin Jouves","C2H","139.63","470.08","681.97",""
"Gedeon Cothias-faure-Cedric Landreau","C2H","141.28","626.72","701.64",""
"Elian Giondini-Clemence Lartigue","C2M","141.9","428.37","568.06",""
"Emma Vuitton","K1D","112.3","213.88","320.61",""
"Laurine Salesse","K1D","115.3","351.57","355.42",""
"Oceane Dorval","K1D","116.76","339.48","372.37",""
"CÉcilia Bourgeois","K1D","117.79","336.55","384.32",""
"Maeva Bachelot","K1D","119.76","340.6","407.18",""
"Youlia Estanguet","K1D","121.38","473.31","425.99",""
"Perrine Joubert","K1D","124.82","376.51","465.9",""
"Helene Courtel","K1D","129.58","434.54","521.15",""
"Laurence Pessoni","K1D","134.73","384.14","580.91",""
"Amelie Leclercq","K1D","137.7","459.48","615.37",""
"Cleo Santini","K1D","139.9","526.03","640.91",""
"Solene Lafitte","K1D","142.14","397.76","666.91",""
"Emma Angladette","K1D","148.79","525.6","744.09",""
"Lea Pages","K1D","148.96","503.31","746.05",""
"Lea Hubert","K1D","150.58","488.57","764.86",""
"Marie Charbonneau","K1D","158.83","374.79","860.6",""
"Camille Santa Cruz","K1D","172.15","367.64","1015.17",""
"Lea Baldoni","K1D","180.23","326.77","1108.95",""
"Jeanne Pecot","K1D","197.21","441.46","1305.99",""
"Quentin Robert","K1H","95.89","341.44","274.84",""
"Tanguy Zaninotto","K1H","98.36","256.53","307.23",""
"Matheo Gillaizeau","K1H","98.7","286.63","311.69",""
"Valentin Berland","K1H","98.78","346.87","312.74",""
"Thibault Alcaras","K1H","99.38","314.85","320.61",""
"Herve Clerc","K1H","99.84","356.54","326.64",""
"Fabien Paleau","K1H","100.01","317.05","328.87",""
"Vincent Garcia","K1H","100.42","293.13","334.24",""
"Jean Christophe Erdois","K1H","100.91","330.45","340.67",""
"Vincent Menager","K1H","100.96","311.92","341.32",""
"Adrien Mesmoudi","K1H","101.61","288.39","349.85",""
"Marceau Faget","K1H","102.73","300.81","364.54",""
"Arnaud Verrons","K1H","103.12","294.17","369.65",""
"Tino Forgues","K1H","103.12","320.49","369.65",""
"Tom Zanfini","K1H","103.45","312","373.98",""
"Sam Traquet","K1H","104.8","316.27","391.68",""
"Stephane Odot","K1H","105.33","342.67","398.63",""
"Henri Chenu","K1H","105.81","369.15","404.93",""
"Elliot Perez","K1H","106.19","284.4","409.91",""
"Dimitri Thauvin","K1H","106.27","343.23","410.96",""
"Ulysse Giel","K1H","106.9","347.37","419.22",""
"Cedric Landreau","K1H","107.52","377.26","427.35",""
"Philippe Babin","K1H","108.15","333.46","435.61",""
"Thibault Clerc","K1H","109.53","342.5","453.71",""
"Felix Praderie","K1H","110.36","339.8","464.59",""
"Etienne Chauvin","K1H","111.11","373","474.43",""
"Theo Ducasse","K1H","111.36","304.22","477.71",""
"Kevin Sponem","K1H","111.91","336.51","484.92",""
"Marc Cordier","K1H","112.8","328.69","496.59",""
"Esteban Illido","K1H","118.44","355.69","570.55",""
"Tom Babin","K1H","148.56","301.15","965.54",""
"Sebastien Mouyen Bie","K1H","150.7","279.93","993.6",""
"Antoine Laye","K1H","151.78","296.74","1007.76",""
"Karl Bouthegourd","K1H","153.16","354.65","1025.86",""
"Nour Ait Kaddour","K1H","154.73","340.55","1046.45",""
"Ludovic Gaignon","K1H","156.54","377.54","1070.18",""
"Valentin Alliot","K1H","159.39","304.3","1107.56",""
"Pascal Dongarra","K1H","161.07","316.96","1129.59",""
"NaËl Rajoub","K1H","162.35","319.49","1146.37",""
"Antonin Maystre","K1H","163.26","353.71","1158.31",""
