"Sélectif N3 Nord Est - Beaurainville - 2001-03-18","Course 1","2001-03-18","Nationale 3","146"
"Hachimi Ahmed","K1H","200.65","-","414",""
"Nicolas Leclerc","K1H","200.82","-","415",""
"Viellard Amaury","K1H","200.82","-","415",""
"Coiffe Florion","K1H","201.12","-","417",""
"Machecourt Jerome","K1H","203.01","-","430",""
"Kudla Romain","K1H","204.67","-","441",""
"Balducci Hugo","K1H","206.17","-","451",""
"Lacour Jerome","K1H","206.45","-","453",""
"Lefebvre Ludovic","K1H","207.92","-","463",""
"Thibaud Kudla","K1H","208.36","-","465",""
"Cespedes Thomas","K1H","209.47","-","473",""
"Eric Formet","K1H","209.72","-","475",""
"Pouillard Quentin","K1H","210.6","-","480",""
"David Sebastien","K1H","211.00","-","483",""
"Delavigne David","K1H","211.62","-","487",""
"Emmanuel Colajanni","K1H","212.55","-","494",""
"Racoussot Lionel","K1H","213.34","-","499",""
"Vallee Mathieu","K1H","213.37","-","499",""
"Zimmermann Julien","K1H","213.63","-","501",""
"Berlise David","K1H","214.26","-","505",""
"Pierre Aubry","K1H","214.88","-","509",""
"Chevalier Benjamin","K1H","216.03","-","517",""
"Stephane Helle","K1H","216.74","-","522",""
"Dubois Maxime","K1H","216.79","-","522",""
"Dubois Sebastien","K1H","217.73","-","528",""
"Nicolas Mangeolle","K1H","221.27","-","552",""
"Tuypens Vincent","K1H","221.28","-","552",""
"Ansel Antoine","K1H","221.75","-","555",""
"Auberger Florent","K1H","221.8","-","556",""
"Jerome Olhagaray","K1H","222.87","-","563",""
"Danel Nicolas","K1H","225.66","-","581",""
"Dameron Antoine","K1H","227.21","-","592",""
"Stephane Sagnier","K1H","228.59","-","601",""
"Viratelle Vincent","K1H","230.04","-","611",""
"Marx Julien","K1H","233.31","-","633",""
"Brouillot Mathieu","K1H","234.36","-","640",""
"Thomas Michel","K1H","234.54","-","641",""
"Noel Jeremie","K1H","238.57","-","668",""
"Alban Planchais","K1H","243.58","-","702",""
"Sassier Guillaume","K1H","243.73","-","703",""
"Doury Jean-Francois","K1H","243.8","-","703",""
"Jodar Sebastien","K1H","244.98","-","711",""
"Accart Mathieu","K1H","247.04","-","725",""
"Sergent Sylvain","K1H","254.5","-","775",""
"Lombard Julien","K1H","256.64","-","789",""
"Pion Xavier","K1H","273.99","-","905",""
"Malderez Sebastien","K1H","274.9","-","912",""
"Hamann Damien","K1H","279.29","-","941",""
"Piermay Mathieu","K1H","285.01","-","979",""
"Jacquemot Thomas","K1H","288.79","-","1005",""
"Douillot Nicolas","K1H","293.21","-","1034",""
"Boullet Stephane","K1H","305.61","-","1117",""
"Philippe Cedric","K1H","345.59","-","1386",""
"Thenon Gregori","K1H","397.11","-","1731",""
"Drosseau Simon","K1H","403.25","-","1772",""
"Bourcier Julien","K1H","455.13","-","2120",""
"Dubreuil Christopher","K1H","486.5","-","2330",""
"Girault Mathieu","K1H","655.79","-","3465",""
