"Championnat de France des Clubs - Epinal - Course patrouille | Qualification - 2014-10-04","Course patrouille | Qualification","2014-10-04","Championnats de France","74"
"Lea Wetzel-Joey Bercon-Deborah Bouchenot","EKD","151.16","-","-",""
"Ilhame Siraj-Manon Durand-Laurene Cougnet","EKD","155.4","-","-",""
"Elodie Le Nechet-Enora Bronsard-Zoe Huet","EKD","171.61","-","-",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKD","207.45","-","-",""
"Mathurin Madore-Vincent Ablin-Benoit Chantry","EKH","108.62","-","-",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","108.87","-","-",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","109.5","-","-",""
"Clement Travert-Mathieu Biazizzo-Martin Daviet","EKH","109.79","-","-",""
"Jean Philippe Winiarski-Emmanuel Walczak-Enrick Cunsolo","EKH","109.88","-","-",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","110.5","-","-",""
"Benjamin Buys-Paul Brier-Janos Peterlin","EKH","110.89","-","-",""
"Alexis Pernelle-Samuel Lhegu-Pierre Audouin","EKH","114.79","-","-",""
"Tristan Bronsard-Nicolas Coudert-Yann Le Govic","EKH","115.54","-","-",""
"Jerome Olhagaray-Silvere Desongins-Florient Tagnon","EKH","115.78","-","-",""
"Lucas Ferraina-Damiens Ganthier-Bertrand Gutierrez","EKH","118.8","-","-",""
"Julien Tous-Louis Burignat-Alain Ferry","EKH","135.69","-","-",""
"Mathieu Desnos-Thomas Bersinger-Tom Scianimanico","EKH","157.91","-","-",""
