"Championnat Nationale 2 Slalom - Bassin De Yenne - Qualification - Manche 2 - 2016-07-02","Qualification - Manche 2","2016-07-02","Nationale 2","226"
"Maxime Texier","C1H","107.69","-","-",""
"Riwan Guillermic","C1H","107.7","-","-",""
"Merwan Fliou","C1H","108.4","-","-",""
"Charles Bre","C1H","108.62","-","-",""
"Joris Santoro","C1H","109.52","-","-",""
"Timothee Olla","C1H","110.2","-","-",""
"Faysal Ali Zazou","C1H","110.29","-","-",""
"Matthieu Le Gall","C1H","111.12","-","-",""
"Martin Rohaut","C1H","113.79","-","-",""
"Guillaume Doutreix","C1H","115.05","-","-",""
"Timothee Cornu","C1H","115.92","-","-",""
"Johan Pucheou","C1H","118.3","-","-",""
"Jeancharles Reby","C1H","118.36","-","-",""
"Maxime Kabir","C1H","119.53","-","-",""
"Nicolas Bernardy","C1H","154.43","-","-",""
"Luc Hellard","C1H","158.45","-","-",""
"Addwyn Martinez","C1H","161.58","-","-",""
"Maxime Bottex","C1H","163.54","-","-",""
"Theo Foucher","C1H","237.83","-","-",""
"Louis Vandeville","C1H","365.8","-","-",""
"Jules Bernardet","C1H","448.17","-","-",""
"Eloi Seemann","C1H","Abs","-","-",""
"Samuel Lhegu","C1H","Dsq","-","-",""
"Hugo Regnier-Arthur Mizzi","C2H","115.39","-","-",""
"Maxime Bottex-Titouan Dupras","C2H","118.96","-","-",""
"Hugo Mouffle-Theau Le Loch","C2H","119.28","-","-",""
"Benjamin Soroka-Edouard Gracias","C2H","122.2","-","-",""
"Alexis Bobon-Jonas Godevin","C2H","123.13","-","-",""
"Lucas Latimier-Robin Pottelette","C2H","124.72","-","-",""
"Eloi Seemann-Charles Bre","C2H","127.39","-","-",""
"Louis Midy-Hippolyte Cail","C2H","130.18","-","-",""
"Teo Bouvier-Hugo Martin -laemle","C2H","132.92","-","-",""
"Guillaume Doutreix-Teddy Poulard","C2H","140.82","-","-",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","170.82","-","-",""
"Florian Busson-Alex Louveau","C2H","178.53","-","-",""
"Claude Menissier-Gerard Menissier","C2H","188.74","-","-",""
"Nicolas Rouleaud-Alexandre Dupas","C2H","362.99","-","-",""
"Thibault Blaise-Charlotte Lubineau","C2M","128.45","-","-",""
"Tiphaine Drouin-Benjamin Harreau","C2M","244.12","-","-",""
"Doriane Delassus","K1D","103.49","-","-",""
"Morgane Quemerais","K1D","105.5","-","-",""
"Axelle Armanini","K1D","106.62","-","-",""
"Alice Azam","K1D","106.78","-","-",""
"Julie Labarelle","K1D","107.58","-","-",""
"Angele Hug","K1D","107.61","-","-",""
"Angelique Guilcher","K1D","108.38","-","-",""
"Thais Francois","K1D","108.51","-","-",""
"Alexane Galmiche","K1D","108.55","-","-",""
"Camille Hurez","K1D","108.56","-","-",""
"Cindy Coat","K1D","108.93","-","-",""
"Mylene Ferry","K1D","109.1","-","-",""
"Manon Durand","K1D","110","-","-",""
"Violaine Vennin","K1D","110.08","-","-",""
"Coline Charel","K1D","111","-","-",""
"Zoe Huet","K1D","112.1","-","-",""
"Lisa Robin","K1D","112.11","-","-",""
"Emilie Delahaye","K1D","112.14","-","-",""
"Lea Grison","K1D","112.38","-","-",""
"Charline Berger Martin","K1D","113.01","-","-",""
"Coline Bertin","K1D","113.05","-","-",""
"Charlotte Issagarre","K1D","113.06","-","-",""
"Auregane Philip","K1D","113.15","-","-",""
"Marie-amelie Jullien","K1D","114.62","-","-",""
"Lucie Cecile","K1D","115","-","-",""
"Laura Rocher","K1D","115.53","-","-",""
"Alicia Gallot","K1D","115.59","-","-",""
"Marion Grangeon","K1D","116.78","-","-",""
"Alina Rassel","K1D","117.24","-","-",""
"Eva Dauvergne","K1D","117.41","-","-",""
"Celia Grandadam","K1D","118.44","-","-",""
"Lise Denat","K1D","118.52","-","-",""
"Sabine Kleinhenz","K1D","118.55","-","-",""
"Elodie Delavelle","K1D","119.11","-","-",""
"Marion Delorme","K1D","120.63","-","-",""
"Marie Hilger","K1D","121.02","-","-",""
"Emilie Hernandez-brossard","K1D","121.2","-","-",""
"Raphaelle Hovine","K1D","122.79","-","-",""
"Athenais Reby","K1D","123.04","-","-",""
"Coralie Yebenes","K1D","124.63","-","-",""
"Clemence Lartigue","K1D","126.34","-","-",""
"Violaine Truche","K1D","129.62","-","-",""
"Marine Izac","K1D","130.69","-","-",""
"Oriane Guichet","K1D","133.11","-","-",""
"Adele Charlaigre","K1D","133.22","-","-",""
"Eva Pietracha","K1D","142.27","-","-",""
"Zoe Bruchon","K1D","165.81","-","-",""
"Laurene Roisin","K1D","171.07","-","-",""
"Marianne Bercon","K1D","172.65","-","-",""
"Melina Letellier","K1D","174.65","-","-",""
"Tiphaine Drouin","K1D","176.95","-","-",""
"Marie Juquelier","K1D","188.15","-","-",""
"Lucie Robin","K1D","213.36","-","-",""
"Lucie Bercon","K1D","232.23","-","-",""
"Anna Marvillet","K1D","419.13","-","-",""
"Louise Bichet","K1D","Abs","-","-",""
"Meryl Steinmann","K1D","Abd","-","-",""
"Julien Haberland","K1H","87.58","-","-",""
"Laurent Starck","K1H","88.06","-","-",""
"Simon Hene","K1H","88.8","-","-",""
"Robin Vandenbossche","K1H","89.56","-","-",""
"Leo Fournier","K1H","89.61","-","-",""
"Romain Guyomard","K1H","89.67","-","-",""
"Vincent Delahaye","K1H","90.09","-","-",""
"Anthony Drouhin","K1H","90.12","-","-",""
"Anthony Thuillier","K1H","90.46","-","-",""
"Benoit Letellier","K1H","90.49","-","-",""
"Benjamin Thiboust","K1H","90.55","-","-",""
"Otello Willmann Rosso","K1H","90.55","-","-",""
"Jonathan Chapatte","K1H","90.59","-","-",""
"Matheo Lebaindre","K1H","90.6","-","-",""
"Vincent Ablin","K1H","90.63","-","-",""
"Yani Ferhaoui","K1H","90.97","-","-",""
"Matthieu Le Gall","K1H","91.05","-","-",""
"Pierre Grapotte","K1H","91.66","-","-",""
"Aaron Penning","K1H","91.89","-","-",""
"Jules Bevalot","K1H","92.26","-","-",""
"Theo Desvignes","K1H","92.88","-","-",""
"Luca Dos Santos","K1H","92.9","-","-",""
"Clement Cierocki","K1H","92.98","-","-",""
"Tom Deconchy","K1H","93.13","-","-",""
"Nicolas Rouleaud","K1H","93.17","-","-",""
"Romain Bertrand","K1H","93.21","-","-",""
"Luc Hellard","K1H","93.25","-","-",""
"Mathieu Monier","K1H","93.26","-","-",""
"Paul Gestin","K1H","93.33","-","-",""
"Nicolas Mangeolle","K1H","93.36","-","-",""
"Axel Sleebus","K1H","93.67","-","-",""
"Nathan Boudaillez","K1H","93.77","-","-",""
"Damien Ganthier","K1H","93.79","-","-",""
"Etienne Carpentier","K1H","94.05","-","-",""
"Lucas Latimier","K1H","94.22","-","-",""
"Antoine Saul","K1H","95.53","-","-",""
"Youn Aubry","K1H","95.62","-","-",""
"Denis Guilmard","K1H","95.63","-","-",""
"Florient Tagnon","K1H","95.96","-","-",""
"Paul Pradalie","K1H","95.97","-","-",""
"Jean Philippe Winiarski","K1H","96","-","-",""
"Simon Boulan","K1H","96.02","-","-",""
"Andreas Dupuy","K1H","96.03","-","-",""
"David Mingasson","K1H","96.14","-","-",""
"Paul Commenges","K1H","96.2","-","-",""
"Remi Vinet","K1H","96.3","-","-",""
"Florent Iraundegui","K1H","96.37","-","-",""
"Maxence Merpillat","K1H","96.46","-","-",""
"Hugo Mouffle","K1H","96.72","-","-",""
"Guilhem Douillet","K1H","96.78","-","-",""
"Kawan Thomas","K1H","97.02","-","-",""
"Jeremy Wagner","K1H","97.49","-","-",""
"Herve Busson","K1H","97.77","-","-",""
"Louis Midy","K1H","98.03","-","-",""
"Hugo Simon","K1H","98.06","-","-",""
"Jeanmichel Regnier","K1H","98.06","-","-",""
"Jonas Godevin","K1H","98.18","-","-",""
"Alan Mahe","K1H","98.18","-","-",""
"Quentin Clerc","K1H","98.23","-","-",""
"Yann Zaepffel","K1H","98.51","-","-",""
"Jules Guilbaud","K1H","98.56","-","-",""
"Yanis Rainaud","K1H","98.79","-","-",""
"Pascal Marrec","K1H","99.01","-","-",""
"Timothee Le Mort","K1H","99.21","-","-",""
"Florian Busson","K1H","99.63","-","-",""
"Ludovic Ngo","K1H","99.66","-","-",""
"Adrien Picco","K1H","99.77","-","-",""
"Benjamin Harreau","K1H","99.87","-","-",""
"Erwan Rouch","K1H","99.98","-","-",""
"Lucas Galmiche","K1H","100.51","-","-",""
"Johann Loiseau","K1H","101.84","-","-",""
"Samuel Bonella","K1H","101.93","-","-",""
"Yohan Marck","K1H","102.69","-","-",""
"Olivier Cain","K1H","104.32","-","-",""
"Olivier Cail","K1H","106.02","-","-",""
"Aubry Bertin","K1H","107.46","-","-",""
"Martin Belliot","K1H","108.14","-","-",""
"Jules Silvin","K1H","109.6","-","-",""
"Guillaume De Fierville","K1H","110.04","-","-",""
"Lilian Querry","K1H","115.54","-","-",""
"Edouard Lecomte","K1H","116.18","-","-",""
"Louis Georges Lafont","K1H","141.98","-","-",""
"Silvere Desongins","K1H","143.13","-","-",""
"Robin Pottelette","K1H","144.14","-","-",""
"Zeph Scamps","K1H","148.6","-","-",""
"Bertrand Avril","K1H","149.82","-","-",""
"Charles Edouard Dherment","K1H","151.23","-","-",""
"Corentin Douady","K1H","199.79","-","-",""
"Sebastien De Kerleau","K1H","207.53","-","-",""
"Fabien Lanao","K1H","621.25","-","-",""
"Thomas Monier","K1H","Abs","-","-",""
