"Sélectif Régional - Guise - 2012-03-11","Course 2","2012-03-11","Régional","123"
"Justine Bibre","K1D","141.45","-","501.48",""
"Catherine Boulan","K1D","143.82","456.58","526.95",""
"Clothilde Charbeaux","K1D","157.75","445.92","676.72",""
"Pauline Ferreira De Abreu","K1D","169.4","749.74","801.96",""
"Melanie Grenier","K1D","178.25","-","897.11",""
"Cloe Grenier","K1D","295.42","-","2156.8",""
"Marion Martel","K1D","360.92","-","2860.98",""
"Emile Devaux","K1H","88.83","63.26","59.91",""
"Quentin Bove","K1H","89.05","18.04","62.59",""
"Jerome Olhagaray","K1H","92.03","40","98.79",""
"Nizar Samlal","K1H","95.95","105.9","146.41",""
"Romain Bove","K1H","96.38","121.48","151.64",""
"Mehdi Rouich","K1H","98.77","115.94","180.67",""
"Jonathan Matern","K1H","100.19","167.92","197.92",""
"Quentin Moreaux","K1H","100.9","143.96","206.55",""
"Julien Antide","K1H","101.08","199.23","208.73",""
"Matthieu Walfard","K1H","104.7","241.94","252.71",""
"Louison Tanet","K1H","106.54","175.54","275.07",""
"Johann Beldame","K1H","108.04","342.59","293.29",""
"Jerome Lacire","K1H","109.58","280.53","312",""
"Nicolas Castryck","K1H","110.03","-","317.46",""
"Robin Dheilly","K1H","110.5","385.94","323.17",""
"Mederic Larrive","K1H","112.92","315.7","352.57",""
"Clement Sannier","K1H","113.5","332.66","359.62",""
"Guillaume Cochut","K1H","116.39","327.91","394.73",""
"Clement Carbonnel","K1H","116.4","337.44","394.85",""
"Aymeric Dollat","K1H","118.23","424.47","417.08",""
"Benjamin Dubert","K1H","118.4","405.41","419.15",""
"Pierre Francois","K1H","118.57","304.83","421.21",""
"Josselin Laurain","K1H","119.06","455.9","427.17",""
"Guillaume Lourette","K1H","119.13","400.02","428.02",""
"Jerome Mailfait","K1H","119.28","363.02","429.84",""
"Clement Bekaert","K1H","120","427.49","438.58",""
"Kilian Guenier","K1H","124.15","-","489",""
"Emmanuel Salze","K1H","124.24","-","490.09",""
"Andre Kempf","K1H","124.8","415.39","496.9",""
"Jeremy Grippon","K1H","125.31","468.48","503.09",""
"Aurelien Coiffeteau","K1H","126.16","615.92","513.42",""
"Benjamin Pre","K1H","126.25","535.21","514.51",""
"Benjamin Alexandre","K1H","127.26","594.18","526.78",""
"Nathan Aubert","K1H","129.03","545.88","548.29",""
"Alban Petit","K1H","132.4","562.37","589.23",""
"Paul Hincelin","K1H","132.44","-","589.71",""
"Yann Castryck- -genereux","K1H","134.3","758.56","612.31",""
"Andreas Pintaux","K1H","134.65","787.71","616.56",""
"Gaetan Laperle","K1H","137.3","682.56","648.75",""
"Arthur Barrachin","K1H","139.39","500.84","674.15",""
"Brice Dejonghe","K1H","163.56","595.05","967.78",""
"Anthony Codemo","K1H","174.3","748.08","1098.25",""
"Pascal Andrieux","K1H","175.57","519.43","1113.68",""
"Thierry Veronese","K1H","240.6","-","1903.7",""
"Ibrahim Lagbouri","K1H","244.03","-","1945.37",""
"Jeremy Boulenger","K1H","251.49","-","2036",""
"Nicolas Kopp","K1H","329.52","-","2983.95",""
"Marvin Baudelot","K1H","Nt","-","-",""
"Olivier Alexandre","K1H","Nt","-","-",""
"Jeremy Coiffeteau","K1H","Nt","-","-",""
"Adrien Helbert","K1H","Nt","-","-",""
"Clement Jacqueline","K1H","Nt","-","-",""
"Clement Deneux","K1H","Nt","-","-",""
"Melvin Deneux","K1H","Nt","-","-",""
"Arnaud Guilleret","K1H","Nt","-","-",""
"Antoine Petit","K1H","Nt","-","-",""
"Batiste Morin","K1H","Nt","-","-",""
"Nicolas Abel","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Florian Crette","K1H","Nt","-","-",""
"Romain Di Majo","K1H","Nt","-","-",""
"Luc Wojtasiak","K1H","Nt","-","-",""
"Yoann Hautecloche","K1H","Nt","-","-",""
