"Sélectif Régional - Vinon sur Verdon - 2012-10-28","Course 2","2012-10-28","Régional","138"
"Mathias Levy","K1H","114.62","305.81","304.29",""
"Alain Ferry","K1H","114.97","187.29","308.23",""
"Quentin Ducrot","K1H","115.46","318.27","313.75",""
"Benoit Renaudier","K1H","116.41","366.85","324.45",""
"Germain Court","K1H","116.87","-","329.63",""
"Pacome Ricciardi","K1H","119.03","370.22","353.96",""
"Sebastien Manteau","K1H","119.1","305.5","354.75",""
"Samuel Itkine","K1H","120.02","-","365.12",""
"Alexis Del Negro","K1H","120.32","-","368.5",""
"Stephane Marcellot","K1H","120.56","530.11","371.2",""
"Bernard Delorme","K1H","121.41","396.67","380.77",""
"Hugo Lelieur","K1H","122.64","423.79","394.63",""
"Ollivier Paumier","K1H","124.22","357.36","412.43",""
"Wolfgang Schulz","K1H","124.41","-","414.57",""
"Nathaniel Levy","K1H","124.58","538.94","416.48",""
"Pierre Louis Debuigne","K1H","125.03","459.73","421.55",""
"Mathieu Zorn","K1H","125.39","209.81","425.61",""
"Kevin Lecot","K1H","125.91","-","431.46",""
"Vincent Cedolini","K1H","128.17","356.24","456.92",""
"Luis Brisson","K1H","129.1","-","467.4",""
"Anthony Broc","K1H","134.8","-","531.61",""
"Valentin Mannent","K1H","137.01","589.04","556.5",""
"Simon Bolla","K1H","137.47","-","561.68",""
"Paul Roubaud","K1H","137.92","584.86","566.75",""
"Fabien Leist","K1H","139.25","-","581.73",""
"Morgan Hoarau","K1H","145.47","525.94","651.8",""
"Alan Bellot","K1H","145.89","-","656.53",""
"Victor Grimaud","K1H","146.87","-","667.57",""
"Alexis Cordier","K1H","151.79","127.9","722.99",""
"Baptiste Tappero","K1H","155.08","156.04","760.05",""
"Dimitri Durannot","K1H","155.16","176.58","760.95",""
"Leo Fournier","K1H","158.64","161.78","800.15",""
"Alexis Saut","K1H","162.97","258.59","848.93",""
"Kevin Gix","K1H","166.62","-","890.04",""
"Maxence Amata","K1H","225.08","-","1548.56",""
"Marc Pucher","K1H","Nt","-","-",""
"Remi Passerat De Silans","K1H","Nt","-","-",""
"Alban Mahier","K1H","Nt","-","-",""
"Clement Kindig","K1H","Nt","-","-",""
"Julien Dretz","K1H","Nt","-","-",""
"Corentin Dalmais","K1H","Nt","-","-",""
"Emmanuel Andre","K1H","Nt","-","-",""
"Ayoub Roger","K1H","Nt","-","-",""
"Frederic Bordier","K1H","Nt","-","-",""
"Cyril Audoit","K1H","Nt","-","-",""
"Aurelien Fualdes","K1H","Nt","-","-",""
"Paul Graton","K1H","Nt","-","-",""
"Marc Scognamiglio","K1H","Nt","-","-",""
"Arnaud Deletraz","K1H","Nt","-","-",""
"Galaad Pereyron","K1H","Nt","-","-",""
"David Dih","K1H","Nt","-","-",""
"Alexis Mercoirol","K1H","Nt","-","-",""
"Ludovic Smal","K1H","Nt","-","-",""
"Cedric Castel","K1H","Nt","-","-",""
"Adrien Reinard","K1H","Nt","-","-",""
"Ronan Cordier","K1H","Nt","-","-",""
"Thibault Gache","K1H","Nt","-","-",""
"Leo Bernard","K1H","Nt","-","-",""
"Valentin Bigonet","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Paul Jean","K1H","Nt","-","-",""
