"Coupe Régionale - ANCERVILLE - 2013-04-21","Course 2","2013-04-21","Régional","132"
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","113.1","336.24","329.11",""
"Alexis Collin-Remi Thomas","C2H","117.51","275.07","383.56",""
"Julien Arribe-Jeancharles Reby","C2H","117.6","-","384.67",""
"Valentin Serrurier-Hugo Simon","C2H","127.74","387.85","509.86",""
"Nikolas Stanik-Lucas Ferraina","C2H","128.21","-","515.67",""
"Clement Travert-Lucas Galmiche","C2H","128.98","335.74","525.19",""
"Emilien Kempf-Silvere Desongins","C2H","Nt","-","-",""
"Vincent Idriss Achaoui-Foulques Gidoin","C2H","Nt","-","-",""
"Anice Benhacine-Guillaume Goury","C2H","Nt","-","-",""
"Thibault Blaise-Julian Othenin-girard","C2H","Nt","-","-",""
"Davy Egraz-Mylene Ferry","C2M","119.56","-","308.79",""
"Alicia Gallot-Hugo Simon","C2M","126.11","-","384.18",""
"Erwan Guenier-Caroline Scherer","C2M","132.41","-","456.7",""
"Axelle Armanini-Valentin Serrurier","C2M","133.58","-","470.16",""
"Marine Constant-haldric-Arthur Favennec","C2M","136.82","501.92","507.45",""
"Anne-lise Moisan-ehrwein-Clement Travert","C2M","137.63","-","516.78",""
"Oscar Imbault-Camille Hurez","C2M","202.19","-","1259.84",""
"Cyril Gagneret-Hind Jamili","C2M","232.08","-","1603.87",""
"Mylene Ferry","K1D","106.16","81.15","208.62",""
"Angelique Guilcher","K1D","108.77","119.35","240",""
"Alicia Gallot","K1D","115.1","260.29","316.07",""
"Hind Jamili","K1D","116.11","283.99","328.22",""
"Charlotte Paulien","K1D","120.9","263.38","385.79",""
"Caroline Scherer","K1D","123.65","196.31","418.84",""
"Zelie Wendling","K1D","124.12","224.26","424.49",""
"Emma Maujean","K1D","125.53","277.76","441.43",""
"Julie Paulien","K1D","126.26","350","450.21",""
"Margaux Bandel","K1D","129.84","308.9","493.24",""
"Carla Menigoz","K1D","130.79","663.16","504.65",""
"Camille Hurez","K1D","136.13","-","568.84",""
"Beatrice Favre","K1D","137.05","-","579.89",""
"Axelle Armanini","K1D","153.13","187.43","773.16",""
"Manon Piette","K1D","307.45","-","2627.95",""
"Melanie Ragaru","K1D","Nt","-","-",""
"Charlotte Abba","K1D","Nt","-","-",""
"Bertrand Gutierrez","K1H","88.22","32.35","130.84",""
"Davy Egraz","K1H","91.94","54.03","181.37",""
"Julien Arribe","K1H","92.97","99.93","195.35",""
"Florient Tagnon","K1H","93.43","83.03","201.6",""
"Remi Thomas","K1H","93.64","93.47","204.46",""
"Nikolas Stanik","K1H","96.68","70.67","245.74",""
"Lucas Ferraina","K1H","96.84","132.48","247.92",""
"Nicolas Mangeolle","K1H","98.64","125.89","272.36",""
"Emilien Kempf","K1H","99.15","157","279.29",""
"Thibault Blaise","K1H","99.51","48.94","284.18",""
"Hugo Simon","K1H","102.55","225.11","325.47",""
"Valentin Serrurier","K1H","102.76","219.72","328.32",""
"Louis Savart","K1H","103.4","169.47","337.01",""
"Corentin Dalmais","K1H","103.49","262.17","338.24",""
"Damien Burteaux","K1H","103.65","168.9","340.41",""
"Pierre Baudoin","K1H","104.37","-","350.19",""
"Erwan Rouch","K1H","104.46","231.16","351.41",""
"Erwan Guenier","K1H","105.27","213.43","362.41",""
"Yann Becker","K1H","105.47","229.33","365.13",""
"Arthur Favennec","K1H","106.15","192.44","374.36",""
"Antoine Leroy","K1H","106.28","206.02","376.13",""
"Gregory Ganthier","K1H","107.93","-","398.54",""
"Guillaume Armbruster","K1H","108.76","245.21","409.81",""
"Stephane Rousse","K1H","108.81","267.79","410.48",""
"Florent Tamburini","K1H","110.88","253.29","438.6",""
"Vincent Herrenberger","K1H","112.75","294.99","464",""
"Emre Avci","K1H","113.47","332.47","473.77",""
"Jocelyn Racape","K1H","113.92","425.88","479.89",""
"Jean Baudoin","K1H","116.19","-","510.72",""
"Vincent Fanoi","K1H","116.8","-","519",""
"Cyril Gagneret","K1H","117.2","383.73","524.44",""
"Valentin Bonnot","K1H","117.43","511.97","527.56",""
"Clement Come","K1H","117.64","-","530.42",""
"Louis Depuydt","K1H","117.91","423.5","534.08",""
"Jules Marchal","K1H","118.68","420.17","544.53",""
"Philippe Potier","K1H","118.93","-","547.93",""
"Enrique Billet","K1H","121.31","469.9","580.26",""
"Yohan Wantz","K1H","121.54","-","583.38",""
"Quentin Maillier","K1H","121.93","488.01","588.68",""
"Vincent Idriss Achaoui","K1H","122.84","-","601.04",""
"Antoine Loppion","K1H","124.23","-","619.91",""
"Gaetan Consigny","K1H","131.54","-","719.2",""
"Christophe Simonin","K1H","132.94","504.92","738.21",""
"Nicolas Castagnetti","K1H","134.57","1173.35","760.35",""
"Hugo Thiery","K1H","138.5","-","813.72",""
"Oscar Imbault","K1H","140.11","-","835.59",""
"Xavier Richard","K1H","142.48","-","867.78",""
"Clement Travert","K1H","147.32","68.71","933.52",""
"Mael Othenin Girard","K1H","156.99","-","1064.85",""
"Louis Collin","K1H","159.08","-","1093.24",""
"Jerome Burignat","K1H","164.03","658.25","1160.46",""
"Guillaume Goury","K1H","167.55","-","1208.27",""
"Jerome Olhagaray","K1H","Nt","-","-",""
"Silvere Desongins","K1H","Nt","-","-",""
"Christophe Despres","K1H","Nt","-","-",""
"Foulques Gidoin","K1H","Nt","-","-",""
"Anice Benhacine","K1H","Nt","-","-",""
"Youcef Ould-braham","K1H","Nt","-","-",""
