"Sélectif régional de Huningue - Huningue - 2006-11-12","Course 1","2006-11-12","Régional","133"
"Venceslas Viseur","K1H","201.93","74","164",""
"Jimy Bercon","K1H","202.52","195","167",""
"Emmanuel Walczak","K1H","202.70","111","168",""
"Douillet Guilhem","K1H","204.49","148","178",""
"Johan De Mareuil","K1H","205.64","46","184",""
"Julien Haberland","K1H","208.46","179","200",""
"Christophe Siffert","K1H","209.04","172","202",""
"Alexis Caspar","K1H","209.68","168","206",""
"Mehdi Amini","K1H","212.23","144","220",""
"Maxime Faivre","K1H","215.54","215","238",""
"Thomas Rosset","K1H","215.76","104","239",""
"Florent Tamburini","K1H","216.03","206","240",""
"Mathieu Biazizzo","K1H","216.43","183","242",""
"Nicolas Ciemniewski","K1H","216.62","192","243",""
"Mathieu Haberland","K1H","216.97","225","245",""
"Quentin Burgi","K1H","217.35","249","247",""
"Sylvain Herrbach","K1H","217.90","173","250",""
"William Boutet","K1H","220.16","293","262",""
"Romain Viry","K1H","220.33","229","263",""
"Von Schulthess Craig","K1H","222.58","257","276",""
"Fabien Fritsch","K1H","226.01","314","294",""
"Nathan Barbier","K1H","226.10","225","295",""
"Nicolas Burgi","K1H","227.99","287","304",""
"Christophe Billaud","K1H","230.47","237","318",""
"Marc Biazizzo","K1H","232.20","-","327",""
"Antoine Devillez","K1H","233.05","246","332",""
"Frederic Walczak","K1H","233.46","18","334",""
"Martin Dougoud","K1H","235.10","269","342",""
"Guillaume Carpentier","K1H","235.87","264","347",""
"Benjamin Maubert","K1H","236.47","388","350",""
"Jeremy Lehning","K1H","236.60","330","351",""
"Arthur Veber","K1H","237.84","382","358",""
"Paul Aubert","K1H","239.75","308","368",""
"Pierson Cyril","K1H","240.20","-","370",""
"Philippe Devillers","K1H","240.41","309","371",""
"Diochet Yannick","K1H","241.02","-","375",""
"Loic Jeanningros","K1H","241.93","578","379",""
"Pahin Thomas","K1H","244.85","337","395",""
"Olivier Urbain","K1H","246.51","235","404",""
"Stephane Ferrignio","K1H","247.16","403","408",""
"Benjamin Travostino","K1H","247.24","89","408",""
"Yann Tosser  Roussey","K1H","248.74","368","416",""
"Dougoud Adrien","K1H","251.87","380","433",""
"Gabriel Schnetz","K1H","252.42","417","436",""
"Pierre Cassin","K1H","253.09","605","439",""
"Adrien Chabbey","K1H","253.14","-","439",""
"Thibaut Chariot","K1H","255.81","313","454",""
"Mael Othenin Girard","K1H","258.30","342","467",""
"Florian Balhuizen","K1H","259.03","415","472",""
"Boris Chenal","K1H","259.31","412","473",""
"Maxime Lambert","K1H","262.72","557","491",""
"Inouk Berguer","K1H","266.60","-","512",""
"Jeremy Poux","K1H","271.56","196","539",""
"Lutinier Ugo","K1H","272.07","415","541",""
"Frederic Caillet","K1H","278.68","447","578",""
"Munschina Vincent","K1H","282.04","931","596",""
"Moritz Luscher","K1H","299.29","107","688",""
"Emmanuel Triomphe","K1H","304.18","334","715",""
"Becker Benjamin","K1H","315.85","485","778",""
"Jules Bagot","K1H","333.87","-","874",""
"Won Schultess Marc","K1H","338.55","-","899",""
"Romain Magnolo","K1H","346.31","1166","941",""
"Muller Jean-Christophe","K1H","349.30","-","958",""
"Suss Bertrand","K1H","358.46","-","1006",""
"Gasser Daniel","K1H","360.80","-","1019",""
"Risser Arthur","K1H","399.77","853","1229",""
"Oueslati Pierre-Yves","K1H","420.04","1267","1338",""
"Vernier Thomas","K1H","454.53","-","1523",""
"David Pierson","K1H","481.19","779","1667",""
"Joran Morio","K1H","532.75","-","1944",""
"Seiler Pierre","K1H","752.62","-","3128",""
