"SELECTIF REGIONAL SLALOM DE ST PIERRE DE BOEUF - St Pierre De Boeuf - 2004-03-14","Course 1","2004-03-14","Régional","179"
"Olivia Byrne-sutton","K1D","262.44","310","271",""
"Doby Julie","K1D","264.51","279","281",""
"Magali Blanc","K1D","269.18","364","304",""
"Sixtine Malaterre","K1D","271.05","315","313",""
"Elise Escourrou","K1D","271.51","272","316",""
"Audrey Astier Perret","K1D","278.34","324","349",""
"Anais Couturier","K1D","286.90","294","390",""
"Marie Bourgey","K1D","287.13","431","391",""
"Riesenmey Caroline","K1D","291.58","300","413",""
"Lucie Boutonnet","K1D","294.78","849","429",""
"Paviot Laetitia","K1D","296.72","289","438",""
"Poncelet Frederique","K1D","300.99","-","459",""
"Dejours Elsa","K1D","303.90","354","474",""
"Peyraud Carole","K1D","315.69","-","531",""
"Lefol Emline","K1D","319.18","473","547",""
"Valla Camille","K1D","322.07","378","562",""
"Ponson Justine","K1D","326.65","568","584",""
"Sirerol Gaelle","K1D","335.14","627","625",""
"Valla Justine","K1D","341.42","513","656",""
"Ingrassia Caroline","K1D","364.23","710","768",""
"Sarat Penelope","K1D","364.27","666","768",""
"Chapuis Nathalie","K1D","409.15","748","987",""
"Roux Mathilde","K1D","436.10","618","1118",""
"Esposito Margaux","K1D","515.35","-","1504",""
"Crost Karine","K1D","551.37","1970","1680",""
"Baillon Nicolas","K1H","200.57","33","67",""
"Mathieu Doby","K1H","202.59","43","78",""
"Damien Boudet","K1H","203.62","80","83",""
"Julien Tous","K1H","207.55","53","105",""
"Colliex Olivier","K1H","209.92","110","117",""
"Benjamin Buys","K1H","210.88","131","122",""
"Gregory Busson","K1H","211.82","103","128",""
"Renaud Doby","K1H","212.24","119","130",""
"Venceslas Viseur","K1H","215.07","53","145",""
"Thomas Bersinger","K1H","218.35","152","162",""
"Benoit Fer","K1H","219.86","144","170",""
"Jeremy Wagner","K1H","220.39","183","173",""
"Bertrand Bercon","K1H","220.53","157","174",""
"De Berchen Sebastien","K1H","220.96","159","176",""
"Varis Kalle","K1H","222.62","-","186",""
"Sebastien Lepaulard","K1H","222.74","206","186",""
"Louis Philippe Rigal","K1H","223.21","171","189",""
"Wadel Florian","K1H","223.23","190","189",""
"Olivier Hardonniere","K1H","223.68","173","191",""
"Yann Gudefin","K1H","223.76","202","191",""
"Andy Pajani","K1H","224.95","225","198",""
"Remi Wolf","K1H","225.25","225","199",""
"Guillaume Provost","K1H","227.26","150","210",""
"Julien Beltrami","K1H","227.89","168","214",""
"Bertrand Dubiez","K1H","228.22","191","215",""
"Saint Girons Thomas","K1H","230.95","188","230",""
"Merle Simon","K1H","231.33","-","232",""
"Renaud Metereau","K1H","232.03","197","236",""
"Bernhardt Christophe","K1H","232.36","243","238",""
"Delfs Yann","K1H","234.06","258","247",""
"Pascal Ferry","K1H","234.67","251","250",""
"Ludovic Pinchon","K1H","235.80","224","256",""
"Etienne Daille","K1H","236.73","317","261",""
"Adrien Roussel","K1H","236.78","352","262",""
"Mathieu Cataldo","K1H","237.92","294","268",""
"Benjamin Wagner","K1H","238.90","303","273",""
"Lebourgeois Alexis","K1H","241.37","221","286",""
"Daumas Jeremy","K1H","243.17","251","296",""
"Jeremiah Mosch","K1H","243.68","264","298",""
"Christophe Billaud","K1H","244.57","277","303",""
"Gogois Virgile","K1H","246.18","-","312",""
"Bersinger Sylvain","K1H","246.29","280","313",""
"Ballini Yoann","K1H","247.48","286","319",""
"Palix Lorin","K1H","248.48","211","324",""
"Sylvain Follenfant","K1H","249.96","265","332",""
"Keller Paco","K1H","250.02","243","332",""
"Alain Ferry","K1H","251.18","256","339",""
"Luc Doye","K1H","251.96","160","343",""
"Descharrieres Bruno","K1H","252.74","420","347",""
"Froissard Jonathan","K1H","254.15","316","354",""
"Sebastien Swieton","K1H","254.63","-","357",""
"Demay Romain","K1H","257.82","378","374",""
"Martin Moreau","K1H","258.01","434","375",""
"Pierre Moreau","K1H","258.31","-","377",""
"Delisse Thomas","K1H","258.48","350","378",""
"Collard Aurelien","K1H","258.52","-","378",""
"Martelet Romain","K1H","260.57","284","388",""
"Olivier Bourgey","K1H","264.53","309","410",""
"Capietto Louis","K1H","268.98","388","434",""
"Chirez Pierre","K1H","271.25","395","447",""
"Vaucher Dimitri","K1H","271.93","815","450",""
"Yoann Aupee","K1H","273.68","620","459",""
"Chassain Nathael","K1H","274.89","420","465",""
"Chirez Frederic","K1H","275.71","368","470",""
"Cossou Antoine","K1H","276.25","541","473",""
"Bessiere Florian","K1H","276.29","422","474",""
"Cottet Gaydon Francois","K1H","276.44","448","474",""
"Riou Sebastien","K1H","277.60","278","480",""
"Medjeberg Jeremy","K1H","277.87","173","482",""
"Bos Thierry","K1H","278.19","-","483",""
"De Vathaire Arthur","K1H","281.29","411","500",""
"Stephane Simonpietri","K1H","281.86","374","503",""
"Laurent Wolf","K1H","282.20","530","505",""
"Champeau Laurent","K1H","282.45","540","506",""
"Pascal Hunault","K1H","283.79","220","513",""
"Favre Stephane","K1H","283.98","683","514",""
"Anthony Colin","K1H","285.49","-","522",""
"Del Negro Alexis","K1H","287.92","284","536",""
"Fabrice Madier","K1H","290.33","502","548",""
"Petrau Gay Jacques","K1H","297.97","-","590",""
"Fabrice Magueur","K1H","303.06","-","617",""
"Faugeras Quentin","K1H","303.10","466","617",""
"Montaud Yann","K1H","305.46","766","629",""
"Thomas Burnoud","K1H","305.69","453","630",""
"Descotes Vincent","K1H","307.72","684","642",""
"Sicre Thomas","K1H","308.42","339","646",""
"Guillaume Wyart","K1H","308.98","503","648",""
"Labruyere Christophe","K1H","309.09","-","649",""
"Philippe Jules","K1H","310.45","448","656",""
"Meissner Pierre","K1H","319.39","392","704",""
"Champmartin Michel","K1H","319.55","325","705",""
"Friboulet Mickael","K1H","319.76","544","706",""
"Mickael Cordier","K1H","330.81","677","765",""
"Pierre Alexandre Facon","K1H","331.14","-","768",""
"Balhat Youcef","K1H","332.49","-","775",""
"Godefroy Thierry","K1H","335.61","-","791",""
"Baptista Julien","K1H","340.20","678","816",""
"Lois Desroches","K1H","345.73","605","845",""
"Fatou Clement","K1H","346.81","618","852",""
"Dekerleau Sebastien","K1H","348.75","-","862",""
"Boch Joffrey","K1H","355.09","-","896",""
"Micaleff Guillaume","K1H","365.41","1106","951",""
"Xavier Rat","K1H","371.34","-","983",""
"Camille Sahuc","K1H","371.47","519","984",""
"Zaki Yassine","K1H","374.32","-","999",""
"Vaudaine Antoine","K1H","386.44","1326","1064",""
"Giroguy Victor","K1H","394.36","-","1106",""
"Argaud Thomas","K1H","424.98","902","1270",""
"Teiller Benjamin","K1H","429.31","-","1294",""
"Dorlencourt Richard","K1H","468.61","491","1505",""
"Vallet Florian","K1H","475.68","939","1542",""
"Tom Bar","K1H","480.36","1676","1567",""
"Augnacs Valerian","K1H","495.28","-","1647",""
"Llido Olivier","K1H","504.95","861","1699",""
"Gosset Christopher","K1H","527.37","-","1820",""
