"Championnats de France et Finale N1 - Bourg St Maurice - Haute Isère - Demi-finale N1 - 2010-08-01","Demi-finale N1","2010-08-01","Nationale 1","159"
"Eloi Seemann-Jeremy Wagner","C2H","198.33","63","347",""
"Nils Mosch-Jeremy Vibert","C2H","207.63","181","382",""
"Nicolas Marcus-Sylvain Le Roux","C2H","218.74","210","423",""
"Baptiste Delaplace-Renaud Doby","C2H","233.63","115","479",""
"Benoit Guillaume-Edern Le Ruyet","C2H","Nt","-","-",""
"Luc Doye-Francois Hemidy","C2H","Nt","-","-",""
"Stephane Broute-Xavier Jourdain","C2H","Nt","-","-",""
"Jonathan Chapatte-Alexandre Dimitriou","C2H","Nt","-","-",""
"Christian Boob-Frederic Boob","C2H","Nt","-","-",""
"Charly Chassigneux-Camille Grezard","C2M","209.86","187","337",""
"Carole Bouzidi","K1D","121.43","14","47",""
"Claire Jacquet","K1D","124.44","35","58",""
"Lea Martin","K1D","130.11","52","79",""
"Lucie Baudu","K1D","130.28","66","79",""
"Estelle Hellard","K1D","132.6","62","88",""
"Marie Borlet","K1D","139.58","52","113",""
"Caroline Loir","K1D","171.06","2","228",""
"Laura Combot","K1D","173.33","23","236",""
"Estelle Mangin","K1D","178.39","21","255",""
"Marie-zelia Lafont","K1D","180.54","19","262",""
"Emilie Fer","K1D","181.47","12","266",""
"Pauline Guiet","K1D","187.96","57","290",""
"Marie Gaspard","K1D","194.46","42","313",""
"Sarah Lyphout","K1D","209.64","119","369",""
"Nouria Newman","K1D","218.21","10","400",""
"Elise Pierron","K1D","219.28","52","404",""
"Marlene Rio","K1D","241.14","136","483",""
"Julie Neime","K1D","250.34","152","517",""
"Annaelle Meheut","K1D","331.45","110","812",""
"Anne Boixel","K1D","Nt","-","-",""
"Josepha Longa","K1D","Nt","-","-",""
"Flora Bove","K1D","Nt","-","-",""
"Nelly Tornare","K1D","Nt","-","-",""
"Claire Moal","K1D","Nt","-","-",""
"Peggy Dickens","K1D","Nt","-","-",""
"Elisa Venet","K1D","Nt","-","-",""
"Berenice Kolenc","K1D","Nt","-","-",""
"Emilie Hernandez-brossard","K1D","Nt","-","-",""
"Fabien Lefevre","K1H","96","27","0",""
"Thomas Bersinger","K1H","97.2","3","5",""
"Mathieu Doby","K1H","97.41","3","6",""
"Thomas Rosset","K1H","97.85","17","8",""
"Boris Neveu","K1H","99.01","9","12",""
"Benoit Guillaume","K1H","100.09","8","17",""
"Ludovic Di Nisi","K1H","100.15","19","17",""
"Julien Dekarczyk","K1H","100.73","9","19",""
"Benoit Peschier","K1H","100.81","6","20",""
"Ciaran Heurteau","K1H","101.3","73","22",""
"Vivien Colober","K1H","101.51","4","23",""
"Benjamin Buys","K1H","101.99","1","25",""
"Bastien Damiens","K1H","102.37","42","26",""
"Bryan Seiler","K1H","102.97","27","29",""
"Cedric Bron","K1H","103.02","62","29",""
"Yann Gudefin","K1H","103.92","5","33",""
"Andy Pajani","K1H","105.06","24","37",""
"Antoine Launay","K1H","105.47","43","39",""
"Frederic Walczak","K1H","106.1","11","42",""
"Quentin De Fierville","K1H","106.53","53","43",""
"Moritz Luscher","K1H","106.54","68","43",""
"Florian Berail","K1H","106.66","19","44",""
"Nicolas Labat","K1H","107.09","26","46",""
"Mathieu Bandelier","K1H","107.35","57","47",""
"Sebastien Combot","K1H","107.84","12","49",""
"Christophe Augu","K1H","108","31","49",""
"Benjamin Renia","K1H","108.02","5","49",""
"Pierre Bourliaud","K1H","108.29","12","51",""
"Hugo Cailhol","K1H","108.54","21","52",""
"Yann Le Govic","K1H","108.63","26","52",""
"Enrick Cunsolo","K1H","108.83","32","53",""
"Arnaud Lapeze","K1H","108.92","34","53",""
"Jonathan Delagnes","K1H","110.87","33","61",""
"Paul Aubert","K1H","110.92","93","61",""
"Romain Chabrol","K1H","111.76","68","65",""
"Benjamin Travostino","K1H","111.94","11","66",""
"Benjamin Thiboust","K1H","112.1","86","66",""
"Nicolas Abbal","K1H","112.2","53","67",""
"Jeremy Lehning","K1H","112.33","93","67",""
"Thibaud Lacour","K1H","112.7","81","69",""
"Mathieu Biazizzo","K1H","112.97","16","70",""
"Johan De Mareuil","K1H","113.1","29","70",""
"Quentin Burgi","K1H","113.35","17","72",""
"Louis Georges Lafont","K1H","113.75","19","73",""
"Julien Haberland","K1H","114.77","18","77",""
"Boris Chenal","K1H","115.44","86","80",""
"Alexis Caspar","K1H","116.39","46","84",""
"Adrien Chabbey","K1H","116.48","80","84",""
"Kevin Schultz","K1H","118.52","108","93",""
"Herve Busson","K1H","118.6","85","93",""
"Benoit Jouan","K1H","124.22","81","116",""
"Xavier Jourdain","K1H","125.49","82","121",""
"Nicolas Coudert","K1H","161.8","65","271",""
"Christophe Marechal","K1H","163.29","28","277",""
"Thibault Gibert","K1H","168.49","93","298",""
"Boris Sacre","K1H","168.81","100","300",""
"Pascal Ferry","K1H","174.48","115","323",""
"Fabien Tournadre","K1H","179.69","76","345",""
"Romain Faurie","K1H","186.29","88","372",""
"Louis Philippe Rigal","K1H","219.53","44","509",""
"Laurent Rigaud","K1H","261.43","62","681",""
"Louis-maxime Main","K1H","261.5","71","682",""
"Bertrand Bercon","K1H","270.59","105","719",""
"Davy Egraz","K1H","447.43","56","1447",""
"Virgile Pigache-donnet","K1H","Nt","-","-",""
