"Championnat Régional de Slalom - Plemet - Finale - 2017-11-12","Finale","2017-11-12","Régional","333"
"Matheo Lebaindre","K1H","93.77","152.41","152.48","Finale A"
"Anthony Drouhin","K1H","95.05","174.63","167.93","Finale A"
"Titouan Dupras","K1H","95.49","73.38","173.25","Finale A"
"Arthur Mizzi","K1H","95.72","196.61","176.02","Finale A"
"Hugo Regnier","K1H","95.81","139.01","177.11","Finale A"
"Clement Le Collinet","K1H","96.39","206.13","184.12","Finale A"
"Pol Euzenes","K1H","96.65","148.37","187.26","Finale A"
"Malo Legrand","K1H","96.83","198.76","189.43","Finale A"
"Luca Dos Santos","K1H","96.97","169.28","191.12","Finale A"
"Theo Foucher","K1H","97.45","118.66","196.92","Finale A"
"Nicolas Bernardy","K1H","97.62","140.06","198.97","Finale A"
"Timothee Cornu","K1H","98.05","195.75","204.16","Finale A"
"Paul Gestin","K1H","98.1","226.83","204.77","Finale A"
"Nathan Flageul","K1H","99.07","249.23","216.48","Finale A"
"Youn Aubry","K1H","100.51","212.71","233.87","Finale A"
"Joris Hello","K1H","101.1","301.85","241","Finale A"
"Alan Mahe","K1H","101.13","192.67","241.36","Finale A"
"Johann Loiseau","K1H","101.17","227.67","241.84","Finale A"
"Nathanael Pedron","K1H","101.2","236.37","242.2","Finale A"
"Quentin Le Duc","K1H","101.5","266.29","245.83","Finale A"
"Fabien Le Nechet","K1H","101.96","155.99","251.38","Finale A"
"Nicolas Coudert","K1H","102.22","238.82","254.52","Finale A"
"Ewen Berrest","K1H","102.29","321.61","255.37","Finale A"
"David Mingasson","K1H","102.67","168.59","259.96","Finale A"
"Dorian Ollivier","K1H","103.48","325","269.74","Finale A"
"Jeremy Lecollinet","K1H","103.99","353.45","275.9","Finale A"
"Simon Seuru","K1H","104.03","358.07","276.38","Finale A"
"Aurelien Le Duc","K1H","104.33","344.12","280","Finale A"
"Nicolas Gestin","K1H","104.34","278.64","280.13","Finale A"
"Antoine Hirbec","K1H","105.55","447.43","294.74","Finale A"
"Sebastien Routhier","K1H","105.68","245.24","296.31","Finale A"
"Gwenael Marquer","K1H","106.47","308.06","305.85","Finale A"
"Come Le Gal","K1H","106.97","367.06","311.89","Finale A"
"Brice Derrien","K1H","107.11","315.57","313.58","Finale A"
"Valentino Le Guesclou","K1H","107.15","332.26","314.06","Finale A"
"Bertrand Avril","K1H","107.43","298.16","317.44","Finale A"
"Guillaume Maillot","K1H","107.48","299.38","318.05","Finale A"
"Romain Bruneau","K1H","107.98","356.22","324.08","Finale A"
"Quentin Angot","K1H","108.12","336.94","325.78","Finale A"
"Leo Tasset","K1H","108.45","257.79","329.76","Finale A"
"Daneric Ollivier","K1H","108.71","390.69","332.9","Finale A"
"Riwal Le Berre","K1H","109.12","345.5","337.85","Finale A"
"Paul-antoine Henry","K1H","110.07","362.73","349.32","Finale A"
"Louis Forgeard","K1H","110.38","335.74","353.07","Finale A"
"Gurvan Huet","K1H","111.25","392.14","363.57","Finale A"
"Tom Seguillon","K1H","111.32","412.2","364.42","Finale A"
"Lubin Huet","K1H","111.75","387.46","369.61","Finale A"
"Simon Rolland","K1H","112.61","369.87","380","Finale A"
"Steven Henry","K1H","113.14","205.87","386.4","Finale A"
"Frederic Castryck","K1H","114.06","301.93","397.51","Finale A"
"Mael Monjaret","K1H","114.91","456.65","407.78","Finale A"
"Killian Flegeau","K1H","115.34","274.37","412.97","Finale A"
"Fabien Dulyse","K1H","115.77","432.9","418.16","Finale A"
"Adrien Pierre","K1H","116.98","422.54","432.77","Finale A"
"Franck Delachair","K1H","117.76","332.75","442.19","Finale A"
"Tanguy Odot","K1H","118.56","495.48","451.85","Finale A"
"Bastien Demorieux","K1H","120.23","604.24","472.02","Finale A"
"Stephane Debliquy","K1H","120.77","394.89","478.54","Finale A"
"Yoann Donval","K1H","122.47","390.03","499.07","Finale A"
"Hugo Robert","K1H","122.56","542.89","500.16","Finale A"
"Jean Yves Prigent","K1H","123.23","469.39","508.25","Finale A"
"Malo Marquet","K1H","127.41","399.67","558.73","Finale A"
"Francois Bonthonnou","K1H","127.74","507.53","562.72","Finale A"
"Samuel Piton","K1H","131.53","561.29","608.49","Finale A"
"Maxime Berthaut","K1H","153.1","363.97","868.98","Finale A"
"Simon Cognard","K1H","153.79","304.94","877.31","Finale A"
"Yannis Houze","K1H","163.69","429.03","996.87","Finale A"
"Louis Beaumois","K1H","166.15","478.84","1026.58","Finale A"
"Oscar Donval","K1HM","107.22","389.28","314.91","Finale A"
"Mewen Debliquy","K1HM","111.85","418.22","370.82","Finale A"
"Julien Mizzi","K1HM","113.32","464.72","388.57","Finale A"
"Rafael Lerusse","K1HM","118.42","532.25","450.16","Finale A"
"Louis Brocard","K1HM","120.03","418.75","469.61","Finale A"
"Nicolas Bidault","K1HM","120.16","581.01","471.18","Finale A"
"Nathan Corfmat","K1HM","120.36","475.7","473.59","Finale A"
"Ylan Penvenne","K1HM","123.49","544.19","511.39","Finale A"
"Fabien Bonvalet","K1HM","124.06","501.87","518.28","Finale A"
"Adrien Le Collinet","K1HM","126.52","533.05","547.98","Finale A"
"Noe Gorvo","K1HM","126.63","580.67","549.31","Finale A"
"Victor Robert","K1HM","127.18","702.39","555.96","Finale A"
"Matheo Morin","K1HM","127.51","677.91","559.94","Finale A"
"Corentin Beaumois","K1HM","127.63","584.39","561.39","Finale A"
"Jules Roos","K1HM","129","475.64","577.93","Finale A"
"Juan Riu","K1HM","134.94","673.01","649.67","Finale A"
"Thomas Heslouis","K1HM","138.55","626.27","693.27","Finale A"
"Morgane Quemerais","C1D","147.36","619.17","508.06","Finale B"
"Romane Regnier","C1DM","149.33","517.55","527.89","Finale B"
"Eva Marchand","C1DM","153.61","573.3","570.95","Finale B"
"Lucie Broudic","C1DM","157.69","731.15","612.02","Finale B"
"Jeanne Bonthonnou","C1DM","184.79","1299.63","884.75","Finale B"
"Matheo Lebaindre","C1H","117.31","320.67","374.3","Finale B"
"Malo Legrand","C1H","118.95","338.7","393.16","Finale B"
"Nicolas Bernardy","C1H","121.03","325.53","417.09","Finale B"
"Julien Rocaboy","C1H","123.23","416.79","442.39","Finale B"
"Johann Loiseau","C1H","123.31","363.65","443.31","Finale B"
"Jeremie Gouello","C1H","123.36","346.23","443.88","Finale B"
"Florian Lohezic","C1H","124.9","483.59","461.59","Finale B"
"Julien Caillarec","C1H","125.43","482.82","467.69","Finale B"
"Pascal Marrec","C1H","126.31","403.45","477.81","Finale B"
"Adrien Brulon Lecrenn","C1H","126.64","528.83","481.61","Finale B"
"Riwal Le Berre","C1H","130.18","567.95","522.32","Finale B"
"Yannis Houze","C1H","133.18","562.5","556.83","Finale B"
"Anthony Drouhin","C1H","136.61","649.43","596.28","Finale B"
"Anthony Guyomard","C1H","137.58","788.67","607.44","Finale B"
"Guillaume Maillot","C1H","138.05","680.97","612.84","Finale B"
"Yann Le Bourser","C1H","138.61","601.7","619.29","Finale B"
"Maxime Rannou","C1H","139.92","612.38","634.35","Finale B"
"Ewen Berrest","C1H","140.93","632.93","645.96","Finale B"
"Gaetan Le Jeune","C1H","141.79","643.73","655.85","Finale B"
"Simon Rolland","C1H","144.13","626.47","682.77","Finale B"
"Maxime Lignereux","C1H","144.45","566.58","686.44","Finale B"
"Hugo Robert","C1H","146.71","724.68","712.44","Finale B"
"Alain Valegeas","C1H","203.09","1266.64","1360.9","Finale B"
"Malo Marquet","C1H","Abs","-","-","Finale B"
"Regis Navinel-dubois","C1H","Abs","-","-","Finale B"
"Thomas Heslouis","C1HM","139.69","746.63","631.7","Finale B"
"Adrien Le Collinet","C1HM","141.69","675.88","654.71","Finale B"
"Rafael Lerusse","C1HM","147.98","686.48","727.05","Finale B"
"Corentin Beaumois","C1HM","150.84","767.7","759.94","Finale B"
"Nicolas Bidault","C1HM","160.42","814.5","870.13","Finale B"
"Kyliann Godin","C1HM","162.67","1439.99","896.01","Finale B"
"Roman Souffez","C1HM","163.22","798.06","902.34","Finale B"
"Noe Gorvo","C1HM","164.91","868.33","921.77","Finale B"
"Nino Poisson","C1HM","210.35","938.58","1444.4","Finale B"
"Chloe Gatuingt","K1D","123.08","390.49","340.44","Finale B"
"Zoe Huet","K1D","126.02","301.76","371.86","Finale B"
"Clothilde Le Louarn","K1D","128.74","350.94","400.93","Finale B"
"Christine Le Gall","K1D","129.26","384.67","406.48","Finale B"
"Maiwenn Le Floc'h","K1D","130.18","434.25","416.33","Finale B"
"Lucie Bercon","K1D","134.18","429.34","459.06","Finale B"
"Enora Bronsard","K1D","134.31","499.78","460.45","Finale B"
"Elena Spindler","K1D","135.27","558.56","470.72","Finale B"
"Bleuenn Le Foll","K1D","136.05","521.57","479.05","Finale B"
"Deborah Larsonneur","K1D","147.37","819.41","600.04","Finale B"
"Lucie Lemetayer","K1D","149.06","647","618.09","Finale B"
"Emma Chevallier","K1D","150.24","843.96","630.71","Finale B"
"Louann Le Fer","K1D","160.24","812.62","737.58","Finale B"
"Oceane Nicolas","K1D","169.05","908.52","831.74","Finale B"
"Auria Lamande","K1D","181.61","1150.15","965.97","Finale B"
"Adele Le Duc","K1DM","144.05","602.83","564.55","Finale B"
"Claire Chaussadas","K1DM","144.9","629.81","573.64","Finale B"
"Lilou Le Roux Divanac'h","K1DM","148.3","600.97","609.97","Finale B"
"Chan Bessuejouls","K1DM","149.82","622.32","626.22","Finale B"
"Jeanne Bonthonnou","K1DM","150.85","662.09","637.23","Finale B"
"Lucie Broudic","K1DM","151.39","789.78","642.99","Finale B"
"Bertille Nivet","K1DM","155.56","662.53","687.57","Finale B"
"Loan Queffelec","K1H","98.99","228.61","220.52","Finale B"
"Lionel Tinevez","K1H","105.91","305.86","304.09","Finale B"
"Nicolas Candieu","K1H","107.68","357.8","325.46","Finale B"
"Alan Olivo","K1H","109.39","358.22","346.11","Finale B"
"Erwann Le Jeune","K1H","109.98","423.91","353.24","Finale B"
"Samuel Le Dean","K1H","111.6","325.2","372.8","Finale B"
"Yann Le Bourser","K1H","112.24","341.35","380.53","Finale B"
"Julien Caillarec","K1H","113.15","399.53","391.52","Finale B"
"Pierre-yves Lebreton","K1H","113.61","418.86","397.08","Finale B"
"Edouard Cozigou","K1H","114.04","462.88","402.27","Finale B"
"Valentin Rault","K1H","114.23","384.11","404.56","Finale B"
"Pascal Marrec","K1H","114.98","322.43","413.62","Finale B"
"Guillaume Caron","K1H","116.67","652.52","434.03","Finale B"
"Corentin Makosso","K1H","116.78","405.24","435.36","Finale B"
"Hoel Carnot","K1H","117.26","411.18","441.16","Finale B"
"Elouan Le Fournis","K1H","117.5","470.5","444.05","Finale B"
"Malo Le Paih","K1H","118.05","442.96","450.7","Finale B"
"Alexandre Bourliaud","K1H","118.26","555.02","453.23","Finale B"
"Louison Laumondais","K1H","118.48","398.96","455.89","Finale B"
"Glen Le Meur","K1H","119.11","491.97","463.5","Finale B"
"Baptiste Loy","K1H","119.53","494.55","468.57","Finale B"
"Yoann Turowsky","K1H","120.07","506.94","475.09","Finale B"
"Maxime Lignereux","K1H","120.18","411.24","476.42","Finale B"
"Amael Samson","K1H","122.22","506.18","501.06","Finale B"
"Brieg Le Paih","K1H","123.02","450.56","510.72","Finale B"
"Vincent Torzec","K1H","124.38","446.88","527.14","Finale B"
"Antoine Aubert","K1H","124.74","546.17","531.49","Finale B"
"Pierre Rochon","K1H","125.39","599.87","539.34","Finale B"
"Tom Milon","K1H","125.99","606.44","546.58","Finale B"
"Anthony Guyomard","K1H","126.09","705.33","547.79","Finale B"
"Charles Temple","K1H","126.27","433.89","549.97","Finale B"
"Valentin Soullard","K1H","126.71","544.55","555.28","Finale B"
"Luc Le Diouron","K1H","127.08","455.79","559.75","Finale B"
"Deverig Cardiec","K1H","127.38","527.15","563.37","Finale B"
"Julien Buors","K1H","129.3","639.74","586.56","Finale B"
"Tom Lallican","K1H","129.41","623.81","587.89","Finale B"
"Baptiste Madic","K1H","129.71","599.47","591.51","Finale B"
"Ronan Le Fer","K1H","130.27","539.74","598.27","Finale B"
"Tanguy Rolland","K1H","130.48","1002.01","600.81","Finale B"
"Youenn Peloil","K1H","131.79","521.17","616.63","Finale B"
"Adrien Brulon Lecrenn","K1H","133.39","604.92","635.95","Finale B"
"Enzo Lemaitre","K1H","133.68","620.09","639.45","Finale B"
"Pierre Zeo","K1H","134.05","651.79","643.92","Finale B"
"Gaetan Le Jeune","K1H","134.74","681.44","652.25","Finale B"
"Benjamin Pagerie","K1H","134.78","747.56","652.74","Finale B"
"Clement Ezanno","K1H","135.33","900.35","659.38","Finale B"
"Regis Navinel-dubois","K1H","135.68","497.92","663.61","Finale B"
"Romain Foulon","K1H","137.02","608.62","679.79","Finale B"
"Jean Christophe Olivo","K1H","138.25","608.35","694.64","Finale B"
"Titouan Le Jeune","K1H","138.53","677.57","698.03","Finale B"
"Mathis Guilleray","K1H","138.76","646.57","700.8","Finale B"
"Gerard Lemonnier","K1H","138.94","703.55","702.98","Finale B"
"Luck Thomas","K1H","139.9","578.86","714.57","Finale B"
"Thibaut Nohe","K1H","141.98","909.56","739.69","Finale B"
"Pierreyves Hellard","K1H","142.37","711.61","744.4","Finale B"
"Thibault Prono","K1H","142.62","3287.32","747.42","Finale B"
"Thomas Hado","K1H","143.24","1901.71","754.91","Finale B"
"Jean-christophe Dubois","K1H","144.36","1292.99","768.43","Finale B"
"Matheo Courgeon","K1H","146.38","731.42","792.83","Finale B"
"Hugo Quistrebert","K1H","146.49","831.33","794.16","Finale B"
"Ewen Meignen","K1H","147.33","974.44","804.3","Finale B"
"Thierry Dugue","K1H","148.21","934.84","814.93","Finale B"
"Nicolas Mevel","K1H","149.23","156.91","827.24","Finale B"
"Leo Degraeve","K1H","163.9","450.75","1004.41","Finale B"
"Alain Valegeas","K1H","167.07","918.13","1042.69","Finale B"
"Loic Perennes","K1H","169.37","1350.98","1070.47","Finale B"
"Arthur Chaumet","K1H","171.3","398.46","1093.78","Finale B"
"Ulysse Guillarm","K1H","231.12","642.61","1816.2","Finale B"
"Titouan Castryck","K1HM","108.33","341.23","333.31","Finale B"
"Mathis Odot","K1HM","127.4","653.4","563.61","Finale B"
"Matisse Anfray","K1HM","130.3","986.92","598.63","Finale B"
"Logan Toubel","K1HM","131.66","944.84","615.06","Finale B"
"Louis Nivet","K1HM","131.82","823.38","616.99","Finale B"
"Antoine Demarest","K1HM","132.08","1074.65","620.13","Finale B"
"Timeo Cornic","K1HM","132.5","710.15","625.2","Finale B"
"Nino Poisson","K1HM","134.44","880.5","648.63","Finale B"
"Ewann Hervouet","K1HM","135.5","660.19","661.43","Finale B"
"Vincent Donval","K1HM","136.3","721.25","671.09","Finale B"
"Florian Szabo","K1HM","137.69","778.51","687.88","Finale B"
"Mael Segaud","K1HM","138.43","758.28","696.82","Finale B"
"Ewen Moreau Delorme","K1HM","139.35","698.14","707.93","Finale B"
"Tristan Lacroix","K1HM","142.09","963.01","741.02","Finale B"
"Yaouen Kerdavid","K1HM","156.76","880.04","918.18","Finale B"
"Paul Perret","K1HM","163.93","1148.36","1004.77","Finale B"
"Nino Simon","K1HM","Abs","-","-","Finale B"
