"1ère manche - Coupe Régional Centre-Val de Loire  - Stade D'eau Vive De Veigné - Course n°2 | Finale - 2016-11-27","Course n°2 | Finale","2016-11-27","Régional","178"
"Jonathan Leproult","C1H","183.14","-","1212.72","Course n°2 | Finale A"
"Terence Saramandif","C1HM","113.31","316.63","389.8","Course n°2 | Finale A"
"Mattis Orchilles","C1HM","161.11","812.99","953.11","Course n°2 | Finale A"
"Victor Lagleyze","C1HM","250.96","-","2011.97","Course n°2 | Finale A"
"Philippe Thevenin-Christophe Marechal","C2H","115.98","-","359.13","Course n°2 | Finale A"
"Christophe Augu-Benjamin Thouvignon","C2H","122.9","-","436.98","Course n°2 | Finale A"
"Kevin Marquais-Nathan Rene Corail","C2H","135.13","-","574.55","Course n°2 | Finale A"
"Vincent Delahaye-Benjamin Harreau","C2H","158.44","-","836.77","Course n°2 | Finale A"
"Florian Busson-Alex Louveau","C2H","179.66","408.89","1075.47","Course n°2 | Finale A"
"Lucas Pagnard - Tissier-Thibault Dobigny","C2H","255.78","-","1931.75","Course n°2 | Finale A"
"Lucas Augu-Terence Saramandif","C2HM","127.91","524.26","493.34","Course n°2 | Finale A"
"Christophe Augu-Claire Landrin","C2M","124.24","-","335.59","Course n°2 | Finale A"
"Claire Landrin","K1D","109.54","257.37","253.98","Course n°2 | Finale A"
"Laurine Naveau","K1D","110.81","250.58","267.89","Course n°2 | Finale A"
"Zoe Bruchon","K1D","125.58","274.31","429.63","Course n°2 | Finale A"
"Tiphaine Drouin","K1D","132.79","345.66","508.57","Course n°2 | Finale A"
"Julie Dequeant","K1D","135.59","453.93","539.24","Course n°2 | Finale A"
"Laetitia Odermatt","K1D","150.54","509.56","702.94","Course n°2 | Finale A"
"Ines Vinet","K1DM","136.35","677.31","547.56","Course n°2 | Finale A"
"Perrine Joubert","K1DM","139.9","408.38","586.43","Course n°2 | Finale A"
"Zoe Marchand","K1DM","203.57","831.13","1283.64","Course n°2 | Finale A"
"Valentine Jussy","K1DM","212.08","-","1376.83","Course n°2 | Finale A"
"Theo Foucher","K1H","92.14","170.92","194.61","Course n°2 | Finale A"
"Christophe Marechal","K1H","93.03","113.78","205.62","Course n°2 | Finale A"
"Antoine Launay","K1H","93.93","74.24","216.76","Course n°2 | Finale A"
"Remi Vinet","K1H","94.19","195.25","219.98","Course n°2 | Finale A"
"Vincent Delahaye","K1H","94.67","160.23","225.92","Course n°2 | Finale A"
"Florian Busson","K1H","95.18","209.63","232.23","Course n°2 | Finale A"
"Pierre Bourdet","K1H","95.8","251.88","239.9","Course n°2 | Finale A"
"Thibaud Lacour","K1H","96.36","219.66","246.83","Course n°2 | Finale A"
"Herve Busson","K1H","98.25","210.93","270.22","Course n°2 | Finale A"
"Benjamin Thouvignon","K1H","98.75","-","276.4","Course n°2 | Finale A"
"Emeric Bussonnais","K1H","99.28","231.28","282.96","Course n°2 | Finale A"
"Lucas Pagnard - Tissier","K1H","100.02","309.31","292.12","Course n°2 | Finale A"
"Romain Branjauneau","K1H","100.21","273.33","294.47","Course n°2 | Finale A"
"Jonas Godevin","K1H","100.31","242.4","295.71","Course n°2 | Finale A"
"Kilian Foulon","K1H","100.64","214.79","299.79","Course n°2 | Finale A"
"Denis Guilmard","K1H","102.66","252.47","324.78","Course n°2 | Finale A"
"Julien Paulais","K1H","103.58","360.6","336.17","Course n°2 | Finale A"
"Killian Flegeau","K1H","103.99","335.39","341.24","Course n°2 | Finale A"
"Benjamin Harreau","K1H","104.95","243.52","353.12","Course n°2 | Finale A"
"Alex Louveau","K1H","105.04","268.11","354.23","Course n°2 | Finale A"
"Jules Heurtin","K1H","105.23","310.14","356.59","Course n°2 | Finale A"
"Thomas Brochard","K1H","105.55","294.43","360.55","Course n°2 | Finale A"
"Arthur Lagleyze","K1H","105.92","290.31","365.12","Course n°2 | Finale A"
"Quentin Robin","K1H","106.55","276.02","372.92","Course n°2 | Finale A"
"Adrien Picco","K1H","106.78","243.47","375.77","Course n°2 | Finale A"
"Florian Torche","K1H","106.81","365.11","376.14","Course n°2 | Finale A"
"Stephane Odot","K1H","107.55","334.75","385.29","Course n°2 | Finale A"
"Baptiste Grosjean","K1H","110.06","-","416.35","Course n°2 | Finale A"
"Gregory Metayer","K1H","110.18","340.45","417.84","Course n°2 | Finale A"
"Francois Durand","K1H","111.75","355.23","437.26","Course n°2 | Finale A"
"Kilian Godart","K1H","115.38","370.74","482.18","Course n°2 | Finale A"
"Yoann Turowsky","K1H","115.47","508.55","483.29","Course n°2 | Finale A"
"Matheo Coquel","K1H","117.1","455.83","503.46","Course n°2 | Finale A"
"Nicolas Leconte","K1H","119.92","464.68","538.36","Course n°2 | Finale A"
"Josquin Dubois","K1H","121.57","-","558.77","Course n°2 | Finale A"
"Gaetan Robin","K1H","123.38","368.05","581.17","Course n°2 | Finale A"
"Jeremy Bretteville","K1H","133.84","416.73","710.6","Course n°2 | Finale A"
"Gregoire Moury","K1H","150.96","-","922.44","Course n°2 | Finale A"
"Fabien Tournadre","K1H","Abs","-","-","Course n°2 | Finale A"
"Lucas Augu","K1HM","97.99","256.63","267","Course n°2 | Finale A"
"Elias Blais","K1HM","109.88","482.59","414.12","Course n°2 | Finale A"
"Joris Hello","K1HM","113.08","469.94","453.72","Course n°2 | Finale A"
"Romain Bruneau","K1HM","115.29","434.89","481.07","Course n°2 | Finale A"
"Terence Saramandif","K1HM","115.34","447.83","481.69","Course n°2 | Finale A"
"Thomas Ukalovic","K1HM","119.61","426.47","534.52","Course n°2 | Finale A"
"Younes Kismi","K1HM","121.67","520.23","560.01","Course n°2 | Finale A"
"Gaston Guilmard","K1HM","123.1","586.49","577.71","Course n°2 | Finale A"
"Noah Fresneda","K1HM","125.81","666.53","611.24","Course n°2 | Finale A"
"Alexandre Fafin","K1HM","126.54","-","620.27","Course n°2 | Finale A"
"Tanguy Odot","K1HM","127.48","563.71","631.9","Course n°2 | Finale A"
"GaËtan De Greef","K1HM","128.07","490.74","639.21","Course n°2 | Finale A"
"Clement Riera","K1HM","131.6","546.27","682.89","Course n°2 | Finale A"
"Alexis Bobon","C1H","105.01","195.45","296.99","Course n°2 | Finale B"
"Samuel Vallienne","C1H","118.16","442.93","451.95","Course n°2 | Finale B"
"Jeremy Bretteville","C1H","120.2","470.74","475.99","Course n°2 | Finale B"
"Adrien Picco","C1H","124.98","357.79","532.33","Course n°2 | Finale B"
"Martin Barbier","C1H","125.66","502.85","540.34","Course n°2 | Finale B"
"Quentin Robin","C1H","126.53","603.1","550.6","Course n°2 | Finale B"
"Killian Flegeau","C1H","132.14","640.6","616.71","Course n°2 | Finale B"
"Emeric Bussonnais","C1H","135.44","1017.69","655.59","Course n°2 | Finale B"
"Jonas Godevin","C1H","135.58","480.26","657.25","Course n°2 | Finale B"
"Jules Heurtin","C1H","150.64","-","834.73","Course n°2 | Finale B"
"Regis Navinel-dubois","C1H","155.54","764.1","892.46","Course n°2 | Finale B"
"Leo Fresneda","C1H","155.97","-","897.54","Course n°2 | Finale B"
"Fabrice Lacoudre","C1H","156.72","552.88","906.37","Course n°2 | Finale B"
"Arthur Lagleyze","C1H","232.61","1117.17","1800.71","Course n°2 | Finale B"
"Vincent TouzÉ-bourguin","C1H","333.35","-","2987.89","Course n°2 | Finale B"
"Fabien Tournadre","C1H","Abs","-","-","Course n°2 | Finale B"
"Tanguy Odot","C1HM","159.73","646.56","941.85","Course n°2 | Finale B"
"Noah Fresneda","C1HM","188.82","-","1284.67","Course n°2 | Finale B"
"Theo Douady","C1HM","Abs","-","-","Course n°2 | Finale B"
"Thomas Ukalovic","C1HM","Abs","-","-","Course n°2 | Finale B"
"Paul Tallet Pinet-Benoit Lecluse","C2H","132.37","559.13","548.51","Course n°2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","154.15","581.55","793.51","Course n°2 | Finale B"
"Romain Branjauneau-Gaetan Robin","C2H","204.01","1160.57","1354.39","Course n°2 | Finale B"
"Herve Busson-Christophe Gergaud","C2H","214.08","488.54","1467.66","Course n°2 | Finale B"
"Olivier Fournier-Johan Piat","C2H","Abd","-","-","Course n°2 | Finale B"
"Lea Riera","K1D","127.8","438.73","458.93","Course n°2 | Finale B"
"Romane Bronchet","K1D","140.87","512.96","602.06","Course n°2 | Finale B"
"Pauline Guenery","K1D","144.92","499.25","646.41","Course n°2 | Finale B"
"Cecile Chiron","K1D","158.56","-","795.77","Course n°2 | Finale B"
"Anais Robineau","K1D","176.41","686.56","991.23","Course n°2 | Finale B"
"Guillaume De Fierville","K1H","97.12","274.37","261.23","Course n°2 | Finale B"
"Guillaume Arnaud","K1H","112.69","438.74","453.89","Course n°2 | Finale B"
"Florent Menard","K1H","114.64","568.96","478.02","Course n°2 | Finale B"
"Collin Pouradier","K1H","115.58","453.67","489.66","Course n°2 | Finale B"
"Erwan Degreve","K1H","116.94","482.28","506.48","Course n°2 | Finale B"
"Ludovic Couture","K1H","118.61","468.29","527.15","Course n°2 | Finale B"
"Christophe Cartault","K1H","119.33","538.68","536.06","Course n°2 | Finale B"
"Yohan Dupont","K1H","120.97","444.09","556.35","Course n°2 | Finale B"
"Paul Farrugio","K1H","129.72","603.19","664.62","Course n°2 | Finale B"
"Yann Dhieux","K1H","130.39","605.15","672.91","Course n°2 | Finale B"
"Leo Fresneda","K1H","131","764.2","680.46","Course n°2 | Finale B"
"Martin Colomb","K1H","131.08","690.49","681.45","Course n°2 | Finale B"
"Reginald Grossin","K1H","132.43","620.07","698.16","Course n°2 | Finale B"
"Alexis Bizon","K1H","132.74","538.48","701.99","Course n°2 | Finale B"
"Hugo Chevalier","K1H","134.67","804.2","725.87","Course n°2 | Finale B"
"Eric Pouradier","K1H","135.47","768.04","735.77","Course n°2 | Finale B"
"Benoit Lecluse","K1H","136.78","613.28","751.98","Course n°2 | Finale B"
"Fabrice Lacoudre","K1H","137.23","686.76","757.55","Course n°2 | Finale B"
"Alexis Jarrige","K1H","138.08","859.9","768.07","Course n°2 | Finale B"
"Olivier Fournier","K1H","142.93","908.64","828.08","Course n°2 | Finale B"
"Thibault Dobigny","K1H","143.35","771.33","833.28","Course n°2 | Finale B"
"Pierre-alexandre Lenain","K1H","144.79","-","851.1","Course n°2 | Finale B"
"Jikael Merlet","K1H","146.89","-","877.08","Course n°2 | Finale B"
"Thomas Roy","K1H","147.74","819.46","887.6","Course n°2 | Finale B"
"Cyrille Gilbert","K1H","148.01","-","890.94","Course n°2 | Finale B"
"Clement Collardez","K1H","155.5","380.45","983.62","Course n°2 | Finale B"
"Nicolas Petipez","K1H","157.14","686.26","1003.91","Course n°2 | Finale B"
"Johan Piat","K1H","159.32","899.01","1030.89","Course n°2 | Finale B"
"Florent Bouderlique","K1H","166.85","-","1124.06","Course n°2 | Finale B"
"Raphael Gomez","K1H","172.09","887.1","1188.9","Course n°2 | Finale B"
"Christophe Gergaud","K1H","174.77","449.74","1222.07","Course n°2 | Finale B"
"Nicolas Dequeant","K1H","185.77","1195.13","1358.18","Course n°2 | Finale B"
"Tudual Telbois","K1H","189.98","1072.4","1410.27","Course n°2 | Finale B"
"Steve Bruniquel","K1H","194.57","770.87","1467.07","Course n°2 | Finale B"
"Hugo Barbotin","K1H","198.12","-","1511","Course n°2 | Finale B"
"Benoit Artu","K1H","242.29","591.77","2057.55","Course n°2 | Finale B"
"Pierre Lijour","K1H","247.99","-","2128.08","Course n°2 | Finale B"
"Nicolas Plume","K1H","264.92","-","2337.57","Course n°2 | Finale B"
"Regis Navinel-dubois","K1H","400.32","507.91","4013","Course n°2 | Finale B"
"Mael Le Goff","K1HM","125.68","557.64","614.63","Course n°2 | Finale B"
"Theo Douady","K1HM","128.43","532.35","648.66","Course n°2 | Finale B"
"Carmin Douillard","K1HM","129.16","-","657.69","Course n°2 | Finale B"
"Romain Brouard","K1HM","135.09","848.55","731.07","Course n°2 | Finale B"
"Victor Lagleyze","K1HM","136.86","695.03","752.97","Course n°2 | Finale B"
"Hugo Bardot","K1HM","141.32","918.55","808.16","Course n°2 | Finale B"
"Kilian Berlu","K1HM","144.06","-","842.06","Course n°2 | Finale B"
"Simon Labet","K1HM","145.59","1029.6","861","Course n°2 | Finale B"
"Yann Mercier","K1HM","158.37","852.18","1019.13","Course n°2 | Finale B"
"Colin Dobigny","K1HM","170.17","1120.03","1165.15","Course n°2 | Finale B"
"Yoann Chipeau","K1HM","198.08","805.48","1510.5","Course n°2 | Finale B"
"Armand Fougere","K1HM","Abs","-","-","Course n°2 | Finale B"
