"Championnat Interrégional Slalom Ouest (finale N3) - Chateauneuf Sur Cher - Qualification - Manche 2 - 2018-06-09","Qualification - Manche 2","2018-06-09","Nationale 3","130"
"Corentin Beaumois","K1H","123.93","-","-",""
"Antoine Aubert","K1H","124.23","-","-",""
"Jerome Talbot","K1H","124.28","-","-",""
"Amael Samson","K1H","125.46","-","-",""
"Adrien Le Collinet","K1H","126.06","-","-",""
"Alexis Carpentey","K1H","126.13","-","-",""
"Noah Fresneda","K1H","126.18","-","-",""
"Clement Ezanno","K1H","126.43","-","-",""
"Aubin Davaic","K1H","126.82","-","-",""
"Tanguy Odot","K1H","126.85","-","-",""
"Olivier Brochard","K1H","127.03","-","-",""
"Victor Robert","K1H","127.18","-","-",""
"Nicolas Leconte","K1H","127.21","-","-",""
"Romain Caburol","K1H","127.59","-","-",""
"Tom Milon","K1H","127.73","-","-",""
"Romain Foulon","K1H","127.79","-","-",""
"Alain Droniou","K1H","128.07","-","-",""
"Mael Segaud","K1H","128.12","-","-",""
"Luck Thomas","K1H","128.81","-","-",""
"Pierre Rochon","K1H","129.27","-","-",""
"Julien Mizzi","K1H","129.89","-","-",""
"Bastien Mailly","K1H","130.14","-","-",""
"Jules Roos","K1H","130.15","-","-",""
"Selyan Bourgognon","K1H","130.84","-","-",""
"Sylvain Premel","K1H","131.65","-","-",""
"Louis Beaumois","K1H","131.87","-","-",""
"Mael Poirier","K1H","132.18","-","-",""
"Juan Riu","K1H","132.31","-","-",""
"Logan Toubel","K1H","132.48","-","-",""
"Romain Magnier","K1H","132.73","-","-",""
"Romain Brouard","K1H","133.33","-","-",""
"Ludovic Couture","K1H","133.56","-","-",""
"Pierre-alexandre Lenain","K1H","134.25","-","-",""
"Simon Seuru","K1H","134.85","-","-",""
"Paul Hosten","K1H","135.3","-","-",""
"Kilian Berlu","K1H","135.43","-","-",""
"Florian Vinet","K1H","137.53","-","-",""
"Hugo Bardot","K1H","137.77","-","-",""
"Simon Labet","K1H","138.41","-","-",""
"Marius Benard","K1H","138.69","-","-",""
"Yann Dhieux","K1H","141.95","-","-",""
"Louis-felix Marchand","K1H","142.86","-","-",""
"Axel Brin","K1H","142.91","-","-",""
"Louis Nivet","K1H","143.06","-","-",""
"Gerard Lemonnier","K1H","144.22","-","-",""
"Leo Hohler","K1H","148.97","-","-",""
"Mallory Brochard","K1H","150.62","-","-",""
"Erwan Launay","K1H","151.24","-","-",""
"Simon Murzeau","K1H","158.82","-","-",""
"Steve Bruniquel","K1H","160.3","-","-",""
"Armand Fougere","K1H","160.48","-","-",""
"Theo Douady","K1H","161.46","-","-",""
"Louis Brocard","K1H","162.27","-","-",""
"Tom Seguillon","K1H","163.19","-","-",""
"Thibault Prono","K1H","178.19","-","-",""
"Titouan Le Jeune","K1H","178.85","-","-",""
"Maxime Lignereux","K1H","181.66","-","-",""
"Cesar Le Berder","K1H","182.97","-","-",""
"Thomas Hado","K1H","186.77","-","-",""
"Leo Front","K1H","189.82","-","-",""
"Jean Christophe Olivo","K1H","190.8","-","-",""
"Eric Pouradier","K1H","193.67","-","-",""
"Nicolas Petipez","K1H","244.19","-","-",""
