"SÈlectif RÈgional de Slalom - Toulouse - Finale - 2017-04-02","Finale","2017-04-02","RÈgional","212"
"Camille Poirot","K1H","130.03","632.8","758.75","Finale B"
"Max Gruby","K1H","130.23","651.25","761.38","Finale B"
"Theophile Prunetfoch","K1H","131.07","601.2","772.42","Finale B"
"Antoine Lizee","K1H","135.06","873.58","824.85","Finale B"
"Eric Vuiet","K1H","137.7","691.96","859.54","Finale B"
"Hugo Lavedan","K1H","142.6","-","923.93","Finale B"
"Felix Bedulho","K1H","143.31","-","933.26","Finale B"
"Quentin Escudero","K1H","144.04","-","942.85","Finale B"
"Angel Campillo","K1H","145.77","1335.3","965.58","Finale B"
"Quentin Rabot","K1H","159.62","795.47","1147.58","Finale B"
"Th…o Palumbo","K1H","159.75","1109.54","1149.28","Finale B"
"Yanis Clerc","K1H","163.67","426.88","1200.79","Finale B"
"Iyelmo Padova","K1H","169.27","523.14","1274.38","Finale B"
"Yanis Delmas","K1H","182.45","668.45","1447.57","Finale B"
"Yoan Dubos","K1H","185","-","1481.08","Finale B"
"Lucas Dongarra","K1H","187.82","-","1518.13","Finale B"
"Samuel Blain","K1H","194.85","641.08","1610.51","Finale B"
"Rupert Wilson-smith","K1H","306.77","1809.85","3081.17","Finale B"
"Noe Villeneuve","K1H","323.59","1359.2","3302.19","Finale B"
"Solal Gaudin","K1H","Abd","-","-","Finale B"
"Guillaume Pradalie","K1HM","130.38","-","763.35","Finale B"
"Thomas Terr…","K1HM","132.64","632.93","793.05","Finale B"
"Marin Saint Macary","K1HM","134.92","749.05","823.01","Finale B"
"Owen Merpillat","K1HM","144.76","-","952.31","Finale B"
"Zaid Benaouali","K1HM","149.86","-","1019.33","Finale B"
"Timeo Canonico","K1HM","163.75","-","1201.85","Finale B"
"Nicolas Leman","K1HM","179.93","-","1414.46","Finale B"
"Jules Maitre","K1HM","272.89","1487.9","2635.98","Finale B"
"J…r…my Nardi","K1HM","303.94","749.07","3043.98","Finale B"
"Arsene Labarthe","K1HM","318.68","-","3237.67","Finale B"
"Hugo Carillo","K1HM","Abd","-","-","Finale B"
