"Challenge Bastien Damien. Beaurainville  sur  Montreuil - 62170 Montreuil - Course n°1 | Finale - 2019-10-12","Course n°1 | Finale","2019-10-12","Régional","115"
"Lucas Jacob","K1H","105.97","161.6","261.5","Course n°1 | Finale A"
"Thibaud Collaert","K1H","106.97","280.31","273.06","Course n°1 | Finale A"
"Loic Monbel","K1H","107.59","228.79","280.23","Course n°1 | Finale A"
"Matheo Dupont","K1H","108.15","314.38","286.7","Course n°1 | Finale A"
"Thibaut Evrard","K1H","112.42","339.52","336.06","Course n°1 | Finale A"
"Vincent Hannedouche","K1H","112.7","299.5","339.3","Course n°1 | Finale A"
"Denis Parizia","K1H","113.25","313.51","345.66","Course n°1 | Finale A"
"Nathan Huguenin","K1H","113.99","342.65","354.21","Course n°1 | Finale A"
"Jean Messialle","K1H","115.85","301.29","375.71","Course n°1 | Finale A"
"Yohan Marck","K1H","115.89","330.32","376.18","Course n°1 | Finale A"
"Quentin Podevin","K1H","118","498.41","400.57","Course n°1 | Finale A"
"Robin Dheilly","K1H","118.56","369.3","407.04","Course n°1 | Finale A"
"Baptiste Duboc","K1H","119.83","403.42","421.72","Course n°1 | Finale A"
"Pierrick Gosselin","K1H","120.25","434.32","426.58","Course n°1 | Finale A"
"Samuel Lhote","K1H","120.74","326.81","432.24","Course n°1 | Finale A"
"Pierre Baux","K1H","122.71","406.3","455.02","Course n°1 | Finale A"
"Pierre Baudouin","K1H","122.9","905.85","457.21","Course n°1 | Finale A"
"Theo Loury","K1H","123.71","316.52","466.58","Course n°1 | Finale A"
"Florent Bernard","K1H","124.33","395.08","473.74","Course n°1 | Finale A"
"Cosme Duboc","K1H","126.64","495.87","500.45","Course n°1 | Finale A"
"Benoit Guernic","K1H","128.27","404.13","519.29","Course n°1 | Finale A"
"Arnaud Delattre","K1H","129.94","467.8","538.59","Course n°1 | Finale A"
"Benjamin Georgin","K1H","130.62","477.22","546.45","Course n°1 | Finale A"
"Yvan Leblond","K1H","152.09","149.32","794.65","Course n°1 | Finale A"
"Leni Perreau","K1HM","116.88","377.86","387.62","Course n°1 | Finale A"
"Pierric Clipet","K1HM","122.93","464.83","457.56","Course n°1 | Finale A"
"Timothee Clep","K1HM","137.6","623.59","627.14","Course n°1 | Finale A"
"Nathan Morris","K1HM","154.72","723.81","825.05","Course n°1 | Finale A"
"Antoine Fournier","K1HM","158.15","877.53","864.7","Course n°1 | Finale A"
"Quentin Dubelloy","K1HM","166.43","840.07","960.42","Course n°1 | Finale A"
"Antonin Costa","K1HM","168.14","1108.13","980.18","Course n°1 | Finale A"
"Thibaut Evrard","C1H","147.46","721.03","664.95","Course n°1 | Finale B"
"Samuel Lhote","C1H","153.9","806","735.85","Course n°1 | Finale B"
"Denis Parizia","C1H","160","699.7","803.01","Course n°1 | Finale B"
"Jean Messialle","C1H","161.63","739.71","820.95","Course n°1 | Finale B"
"Louis Marvillet","C1H","163.75","1079.05","844.29","Course n°1 | Finale B"
"Paul Lecomte","C1H","165.37","556.16","862.13","Course n°1 | Finale B"
"Tom Raynaud","C1H","Abs","-","-","Course n°1 | Finale B"
"Benoit Guernic","C1H","Des","-","-","Course n°1 | Finale B"
"Timothee Clep","C1HM","149.49","923.2","687.3","Course n°1 | Finale B"
"Nathan Morris","C1HM","192.93","1099.23","1165.55","Course n°1 | Finale B"
"Romain Podevin","C1HM","225.97","1324.44","1529.31","Course n°1 | Finale B"
"Pauline Lybrecht","K1D","148.99","591.1","565.67","Course n°1 | Finale B"
"Charline Dole","K1D","172.27","738.16","803.82","Course n°1 | Finale B"
"Angeline Dheilly","K1D","177.58","908.92","858.14","Course n°1 | Finale B"
"Lou-ann Delmotte","K1D","202.23","1479.62","1110.32","Course n°1 | Finale B"
"Blanche Leborgne","K1DM","183.98","1183.49","923.61","Course n°1 | Finale B"
"Laure Prieur","K1DM","186.06","1279.95","944.9","Course n°1 | Finale B"
"Lea Brioiskheroufi","K1DM","287.64","1203.68","1984.06","Course n°1 | Finale B"
"Romain Huguenin","K1H","115.33","309.65","374.7","Course n°1 | Finale B"
"Hugo Tellier","K1H","127.27","435.6","512.73","Course n°1 | Finale B"
"Tom Raynaud","K1H","127.4","527.85","514.23","Course n°1 | Finale B"
"Maxime Cousin","K1H","129.06","2034.11","533.42","Course n°1 | Finale B"
"Louis Marvillet","K1H","131.87","560.14","565.9","Course n°1 | Finale B"
"Maixent De Poucques","K1H","135.87","664.68","612.14","Course n°1 | Finale B"
"Noe Vannier","K1H","135.93","485.7","612.84","Course n°1 | Finale B"
"Rayan Serrakh","K1H","142.09","606.07","684.05","Course n°1 | Finale B"
"Elias Bouddour","K1H","143.31","1162.83","698.15","Course n°1 | Finale B"
"Laurent Babeur","K1H","145.17","744.85","719.65","Course n°1 | Finale B"
"Philippe Valeri","K1H","145.92","583.19","728.32","Course n°1 | Finale B"
"Erwan Laloux","K1H","145.95","540.09","728.67","Course n°1 | Finale B"
"Paul Lecomte","K1H","148.82","615.15","761.85","Course n°1 | Finale B"
"Philippe Podvin","K1H","149.92","848.49","774.56","Course n°1 | Finale B"
"Yann Castryck- -genereux","K1H","152.69","609.76","806.58","Course n°1 | Finale B"
"Pierre Carton","K1H","153.53","744.08","816.29","Course n°1 | Finale B"
"Garvan Boulben","K1H","158.07","685.96","868.77","Course n°1 | Finale B"
"Matteo Figueiredo Alves","K1H","158.46","486.48","873.28","Course n°1 | Finale B"
"Esteban Saussereau","K1H","162.01","2113.36","914.32","Course n°1 | Finale B"
"Esteban De Andres","K1H","164.62","933.72","944.49","Course n°1 | Finale B"
"Julien Dupriez","K1H","176.86","1290.32","1085.98","Course n°1 | Finale B"
"Jean Baptiste Caillieret","K1H","180.67","1146.38","1130.03","Course n°1 | Finale B"
"Guillaume Coutellier","K1H","188.28","3248.85","1218","Course n°1 | Finale B"
"Pascal Levardon","K1H","213.68","1640.66","1511.62","Course n°1 | Finale B"
"Romain Podevin","K1HM","178.28","1249.13","1102.4","Course n°1 | Finale B"
"Nolan Lavignon","K1HM","200.67","1261.24","1361.23","Course n°1 | Finale B"
"Sacha Lebertre","K1HM","220.14","986.14","1586.3","Course n°1 | Finale B"
"Alban Leroy","K1HM","233.6","1673.87","1741.89","Course n°1 | Finale B"
"Ira Bepoix","K1HM","250.87","1133.47","1941.53","Course n°1 | Finale B"
