"Slalom Régional - Moûtiers - 2009-09-12","Course 1","2009-09-12","Régional","220"
"Julie Wassmer","K1D","108.42","328","308",""
"Lucie Boutonnet","K1D","109.80","397","326",""
"Audrey Astier Perret","K1D","111.00","335","341",""
"Tiphanie Borlet","K1D","111.89","277","352",""
"Laura Janeriat","K1D","112.03","433","355",""
"Anais Couturier","K1D","112.31","278","358",""
"Andrea Gratwohl","K1D","112.56","194","361",""
"Michaela Daille","K1D","115.25","604","395",""
"Fanny Faivre-pierret","K1D","116.48","317","411",""
"Margot Ayats","K1D","120.13","-","458",""
"Agnes Daille","K1D","120.66","634","465",""
"Virginie Soulie","K1D","124.69","-","515",""
"Louise Mautret","K1D","130.49","550","589",""
"Laura Ligeon","K1D","131.87","-","607",""
"Juliette Piot","K1D","137.10","-","674",""
"Brigitte Gelloz","K1D","191.33","-","1364",""
"Carlota Guell","K1D","254.48","-","2167",""
"Flore Muller","K1D","325.87","-","3075",""
"Marie Boyer","K1D","362.65","-","3542",""
"Fanny Mino-vercellio","K1D","Nt","-","-",""
"Benjamin Travostino","K1H","77.68","17","47",""
"Yann Gudefin","K1H","78.54","23","59",""
"Jimy Bercon","K1H","79.36","27","71",""
"Adrien Chabbey","K1H","79.38","84","71",""
"Andy Pajani","K1H","79.39","32","71",""
"Julien Haberland","K1H","80.46","49","86",""
"Romain Pallud","K1H","80.96","110","93",""
"Jonathan Chapatte","K1H","81.14","94","96",""
"Davy Egraz","K1H","81.88","44","106",""
"Martin Dougoud","K1H","81.96","85","108",""
"Nicolas Abbal","K1H","82.32","75","113",""
"Loic Jeanningros","K1H","82.91","125","121",""
"Bertrand Bercon","K1H","83.40","125","128",""
"Guillaume Provost","K1H","83.45","168","129",""
"Sylvain Dandel","K1H","83.46","138","129",""
"Remi Baudot","K1H","83.82","118","135",""
"Pascal Ferry","K1H","83.89","144","136",""
"Jeremy Lehning","K1H","84.29","129","141",""
"Jeremy Vibert","K1H","84.31","123","141",""
"Anthony Mottais","K1H","84.66","100","147",""
"Mathieu Haberland","K1H","85.01","108","151",""
"George Meysner","K1H","85.05","154","152",""
"Vincent Gerdeaux","K1H","85.42","178","158",""
"Charles Edouard Dherment","K1H","85.81","135","163",""
"Thibault Gibert","K1H","86.19","122","169",""
"Sebastien De Kerleau","K1H","86.39","-","171",""
"William Desnos","K1H","86.70","111","175",""
"Nicolas Detheve","K1H","87.26","174","184",""
"Laurent Brissaud","K1H","87.66","165","190",""
"Guillaume Gery","K1H","87.93","241","194",""
"Gael Wassmer","K1H","88.78","201","206",""
"Emmanuel Moreau","K1H","88.82","183","206",""
"Olivier Hardonniere","K1H","89.11","197","210",""
"Sebastien Lepaulard","K1H","89.28","159","213",""
"Cyril Gisbert","K1H","89.55","194","217",""
"Julien Beltrami","K1H","89.69","198","219",""
"Matthieu Basset","K1H","89.82","167","220",""
"Anthony Colin","K1H","90.21","230","226",""
"Anthony Deschamps","K1H","91.03","188","238",""
"Romain Musy","K1H","91.33","193","242",""
"Jean Baptiste Thiel","K1H","91.40","245","243",""
"Julien Jeanningros","K1H","91.74","231","248",""
"Laurent Starck","K1H","92.30","291","257",""
"Florian Balhuizen","K1H","92.43","258","258",""
"Armand Rakowski","K1H","92.49","208","259",""
"Kevin Deschamps","K1H","92.49","312","259",""
"Matthieu Chauvel","K1H","92.57","271","260",""
"Simon Bonnet","K1H","92.76","357","263",""
"Theo Moquet","K1H","92.91","215","265",""
"Alain Ferry","K1H","92.99","253","267",""
"Alexandre Bordas","K1H","93.95","215","280",""
"Benjamin Rat","K1H","94.97","400","294",""
"Clement Robet","K1H","95.18","286","297",""
"Clement Gourmelon","K1H","95.41","517","301",""
"Emeric Vibert","K1H","95.55","-","303",""
"Lois Guillermond","K1H","95.75","233","306",""
"Edouard Grosjean","K1H","96.03","289","309",""
"Loic Sieber","K1H","96.12","231","311",""
"Valentin Vibert","K1H","96.26","-","313",""
"Matthias Meyer","K1H","96.87","330","322",""
"Sylvain Ferry","K1H","96.96","243","323",""
"Francois Cottet Gaydon","K1H","96.98","-","324",""
"Robin Dupras","K1H","98.71","320","348",""
"Thomas Bankes","K1H","98.77","400","349",""
"Thomas Schmitt","K1H","98.78","-","349",""
"Yann Maignant","K1H","99.42","343","359",""
"Colas Geier","K1H","99.64","327","361",""
"Nicolas Pinot","K1H","99.88","258","366",""
"Romain Delachenal","K1H","100.43","350","373",""
"Sebastien Thevard","K1H","100.66","252","377",""
"Jean Le Tulzo","K1H","101.02","-","381",""
"Julien Cukierman","K1H","101.03","389","382",""
"Tom Jackson","K1H","101.51","335","389",""
"Lionel Lafay","K1H","102.09","-","396",""
"Matthias Ollivier","K1H","103.01","588","410",""
"Jules Marragou","K1H","103.06","373","411",""
"Paolo Willmann Rosso","K1H","103.62","355","418",""
"Thomas Janeriat","K1H","103.88","-","423",""
"Alexandre Montabonnet","K1H","103.88","448","423",""
"Enzo Seker","K1H","104.22","-","427",""
"Titouan Dupras","K1H","104.39","-","431",""
"Quentin Helaine","K1H","106.12","-","455",""
"Benoit Dubath","K1H","106.43","-","459",""
"Hugues Peyret","K1H","106.81","415","465",""
"Marc Janeriat","K1H","107.10","426","469",""
"Mathieu Zorn","K1H","107.27","-","471",""
"Morgan Merel","K1H","107.52","425","475",""
"Arthur Grizard","K1H","108.96","-","495",""
"Loick Aupee","K1H","108.99","423","497",""
"Jonathan Courduries","K1H","110.52","1361","519",""
"Jules Goutte-toquet","K1H","110.84","-","523",""
"Luka Neel","K1H","111.69","516","535",""
"Antoni Zaki","K1H","112.63","-","548",""
"Pierrick Bonnefoy","K1H","113.31","461","558",""
"Johan Morales","K1H","113.90","-","567",""
"Camille Dumont","K1H","114.42","719","575",""
"Leo Dumont","K1H","116.66","-","607",""
"Thomas Denais","K1H","118.90","-","639",""
"Thibault Goguet","K1H","119.78","-","652",""
"Alexandre Allemang","K1H","119.87","-","653",""
"Nolan Miton","K1H","120.28","644","658",""
"Leo Maisonneuve","K1H","121.83","-","680",""
"Yann Burgod-derrier","K1H","123.80","-","709",""
"Vincent Maire","K1H","125.47","-","733",""
"Francois Emin","K1H","125.60","1681","735",""
"Quentin Trilles","K1H","126.17","-","743",""
"Florian Beliard","K1H","128.56","-","777",""
"Theo Foissard","K1H","129.14","-","786",""
"Stefan Tupek","K1H","133.37","-","846",""
"Myke Dumont","K1H","133.62","-","850",""
"Sebastien Costa","K1H","134.20","-","859",""
"Xavier Monnet","K1H","138.44","-","919",""
"Maxime Farge","K1H","142.31","-","975",""
"Baptiste Provost","K1H","144.14","315","1002",""
"Damien Balistreri","K1H","149.33","-","1076",""
"Nicolas Thiebaut","K1H","154.11","-","1145",""
"Franck Hiffler","K1H","156.92","490","1185",""
"Toni Mancini","K1H","186.11","-","1605",""
"Arthur Gentes","K1H","187.07","-","1618",""
"Timothee Vananty","K1H","190.94","-","1674",""
"Thomas Dandel","K1H","200.10","153","1806",""
"Jimmy Peisey","K1H","204.32","-","1867",""
"Victor Demarez","K1H","339.69","-","3812",""
"Yoann Aupee","K1H","Nt","-","-",""
"Eloi Seemann","K1H","Nt","-","-",""
"Maxime Couvelaire","K1H","Nt","-","-",""
"Eric Marillonnet","K1H","Nt","-","-",""
"Martin Daviet","K1H","Nt","-","-",""
"Joen Saint Requier","K1H","Nt","-","-",""
"Guilhem Courduries","K1H","Nt","-","-",""
"Claude Schmitt","K1H","Nt","-","-",""
"Franck Creuzet","K1H","Nt","-","-",""
"Yann Rivallant","K1H","Nt","-","-",""
"Johan Martin","K1H","Nt","-","-",""
"Thierry Dupras","K1H","Nt","-","-",""
"Laurent Roux","K1H","Nt","-","-",""
"Gabin Repellin","K1H","Nt","-","-",""
