"Sélectif Régional - Amou - 2013-01-27","Course 2","2013-01-27","Régional","160"
"Maud Sourbes","K1D","154.86","-","655.56",""
"Florence Pinault","K1D","162.42","-","739.02",""
"Oceane Mora","K1D","163.67","-","752.82",""
"Julie Paris","K1D","164.36","-","760.43",""
"Clemence Zago","K1D","263.31","-","1852.75",""
"Heloise Simon","K1D","402.02","-","3383.97",""
"Pauline Thebault","K1D","460.98","-","4034.84",""
"Quentin Mignard","K1H","99.16","49.31","183",""
"Louis Georges Lafont","K1H","99.73","29.9","190.11",""
"Florian Campagnole","K1H","101.97","100.6","218.04",""
"Maxime Tilhet","K1H","103.55","103.44","237.75",""
"Olivier Cain","K1H","105.63","113.1","263.7",""
"Erwan Marchais","K1H","107.47","162.28","286.65",""
"Sylvain Mendez","K1H","108.35","208.23","297.63",""
"Alexandre Lucas","K1H","108.36","-","297.76",""
"Edgar Prigent","K1H","108.73","197.77","302.37",""
"Pierre De La Morinerie","K1H","108.96","168.45","305.24",""
"Marc Darribere","K1H","109.09","205.95","306.86",""
"Audrick Ruiz","K1H","109.2","164.19","308.23",""
"Julien Money","K1H","109.84","165.9","316.21",""
"Gaetan Coat","K1H","112.63","181.2","351.02",""
"Lucas Pazat","K1H","113.2","-","358.13",""
"Anthony Poux","K1H","113.94","254.39","367.36",""
"Clement Sempastous","K1H","113.97","270.13","367.74",""
"Mathieu Pouchet","K1H","113.97","-","367.74",""
"Tom Ydoux","K1H","114.07","-","368.98",""
"Antoine Dumaye","K1H","114.09","251.07","369.24",""
"David Pordoy","K1H","114.17","228.57","370.23",""
"Geoffroy Cassagne","K1H","114.55","-","374.97",""
"Theo Celjo","K1H","114.71","-","376.96",""
"Pascal Dongarra","K1H","114.98","-","380.34",""
"Marc Lalande","K1H","115.12","296.4","382.08",""
"Paul Commenges","K1H","115.13","279.77","382.2",""
"Clement Rio","K1H","115.47","238.98","386.45",""
"Flavien San Augustin","K1H","116.82","-","403.28",""
"Julien Toussaint","K1H","117.01","323.73","405.66",""
"Louis Midy","K1H","118.11","-","419.38",""
"Mathieu Marteau","K1H","118.15","347.7","419.88",""
"Jonas Mignard","K1H","118.7","339.52","426.74",""
"Jeremy Lepoutre","K1H","118.73","319.99","427.11",""
"Leon Zaragoza","K1H","118.9","-","429.23",""
"Manuel Legros","K1H","119.55","267.57","437.34",""
"Allan Cousset","K1H","119.73","235.21","439.59",""
"Nicolas Corbin","K1H","119.82","-","440.7",""
"Jerome Muller","K1H","120.13","348.55","444.58",""
"Nasser Belabdi","K1H","121.04","347.69","455.92",""
"Guillaume Itou","K1H","121.6","291.71","462.91",""
"Antoine Marigil","K1H","121.64","-","463.42",""
"Florian Lafitte","K1H","122.16","-","469.9",""
"Francois Giondini","K1H","123.36","-","484.86",""
"Dylan Tonnellier","K1H","123.41","-","485.49",""
"Vincent Laulhe","K1H","123.9","-","491.6",""
"Benoit Lasserre","K1H","124.31","-","496.72",""
"Jeremy Bretteville","K1H","125.59","-","512.68",""
"Nicolas Neveu","K1H","125.67","-","513.68",""
"William Dintillac","K1H","125.68","522.32","513.81",""
"Clement Bosc","K1H","125.9","-","516.56",""
"Matthieu Demarty","K1H","126","-","517.8",""
"Robin Genty","K1H","126.98","500.69","530.02",""
"Pierre Adrien Plantion","K1H","128.81","-","552.85",""
"Jean Baptsite Cans","K1H","129.06","549.37","555.97",""
"Eric Vidou","K1H","129.94","-","566.95",""
"Robin Metra","K1H","132.24","-","595.63",""
"Robin Mougel","K1H","132.72","-","601.62",""
"Jean Luc Pessoni","K1H","132.75","464.6","602",""
"Jean Yves Courtiade","K1H","133.72","-","614.1",""
"Jonathan Prevot","K1H","133.96","-","617.09",""
"Gabriel Chapoulie","K1H","136.58","525.24","649.77",""
"Sebastien Roberge","K1H","136.9","-","653.76",""
"Mathieu Claverie","K1H","137.97","-","667.11",""
"Teddy Dupuy","K1H","141.78","-","714.64",""
"Sebastien Mathieu","K1H","142.11","-","718.75",""
"Lilian Alzuyet","K1H","142.74","-","726.61",""
"Paul Luquet","K1H","144.02","-","742.58",""
"Hippolyte Cail","K1H","146.28","-","770.77",""
"Cedric Thesmier","K1H","146.5","-","773.52",""
"Axel Cazeaux","K1H","146.51","-","773.65",""
"Marco Albistur","K1H","146.69","-","775.88",""
"Paul Ballery","K1H","146.78","-","777.01",""
"Baptiste Lauroua","K1H","149.29","-","808.32",""
"Steven Monclus","K1H","149.85","-","815.3",""
"Florian Giraud","K1H","151.85","-","840.25",""
"Maurice Pubert","K1H","152.11","589.85","843.5",""
"Pierre Campagne","K1H","159.66","658.24","937.67",""
"Jeremy Havet","K1H","163.21","-","981.96",""
"David Dupeyron","K1H","167.57","-","1036.34",""
"Florian Andrieu","K1H","167.8","-","1039.22",""
"Eric Gonzalez","K1H","174.52","-","1123.04",""
"Micael Rodriguez Alves Lato","K1H","186.91","544.32","1277.6",""
"Theo Ducasse","K1H","209.87","-","1564",""
"Marc-antoine Lafargue","K1H","247.17","-","2029.29",""
"Jon Levy","K1H","264.34","-","2243.46",""
"Franck Vanhoutteghem","K1H","Nt","-","-",""
"Nicolas Sauteur","K1H","Nt","-","-",""
"Simon Frealle","K1H","Nt","-","-",""
"Damien Demaison","K1H","Nt","-","-",""
"Komlangan Gassou","K1H","Nt","-","-",""
"Jan Bordenave","K1H","Nt","-","-",""
"Kevin Richard-lubon","K1H","Nt","-","-",""
"Xavier Henry","K1H","Nt","-","-",""
"Anthony Dupuy","K1H","Nt","-","-",""
"Pablo Cabeza  Macuso","K1H","Nt","-","-",""
"Bertrand Gourrat","K1H","Nt","-","-",""
"Ancelin Gourjault","K1H","Nt","-","-",""
"Guillaume Graille","K1H","Nt","-","-",""
"Vincent Alves","K1H","Nt","-","-",""
