"Finale du Championnat Interrégional - Sélestat - Demi - 2014-06-01","Demi","2014-06-01","Nationale 3","185"
"Maxime Di Lauro","K1H","99.21","315.61","308.31","Demi A"
"Thomas Girard","K1H","99.42","317.54","310.98","Demi A"
"Olivier Urbain","K1H","99.46","278.97","311.49","Demi A"
"Julien Beltrami","K1H","99.7","250.54","314.54","Demi A"
"Christophe Siffert","K1H","99.97","293.25","317.98","Demi A"
"Vincent Rat","K1H","100.22","285.58","321.16","Demi A"
"Anthony Ulrich","K1H","100.4","284.24","323.45","Demi A"
"Benoit Lecoester","K1H","100.49","313.04","324.6","Demi A"
"Hugo Simon","K1H","100.57","247.08","325.61","Demi A"
"Alain Ferry","K1H","100.77","280.31","328.16","Demi A"
"Loic Sieber","K1H","100.99","282.04","330.96","Demi A"
"Paul Cornut-chauvinc","K1H","101.37","230.33","335.79","Demi A"
"Baptiste Podor","K1H","102.16","242.65","345.85","Demi A"
"Valentin Serrurier","K1H","102.33","277.37","348.01","Demi A"
"Mathieu Monier","K1H","102.86","221.86","354.75","Demi A"
"Olivier Hardonniere","K1H","103.05","282.71","357.17","Demi A"
"Christophe Billaud","K1H","103.35","302.02","360.99","Demi A"
"Christophe Harding","K1H","103.37","324.26","361.24","Demi A"
"Thomas Denais","K1H","103.48","275.67","362.64","Demi A"
"Alexandre Marin","K1H","103.49","268.24","362.77","Demi A"
"Yann Becker","K1H","104.03","249.96","369.64","Demi A"
"Louis Savart","K1H","104.41","280.53","374.48","Demi A"
"Dylan Hirtz","K1H","104.61","331.77","377.02","Demi A"
"Olivier Bourgey","K1H","104.66","294.11","377.66","Demi A"
"Sebastien Lepaulard","K1H","104.71","271.41","378.3","Demi A"
"Arnaud Jamet","K1H","105.02","330.9","382.24","Demi A"
"Lilian Querry","K1H","105.14","284.58","383.77","Demi A"
"Alexis Chauville","K1H","105.37","354.04","386.69","Demi A"
"Maxence Long","K1H","105.48","312.95","388.09","Demi A"
"Smail Mouhoub","K1H","105.71","274.1","391.02","Demi A"
"Emmanuel Triomphe","K1H","105.75","319.02","391.53","Demi A"
"Erwan Rouch","K1H","105.92","239.19","393.69","Demi A"
"Victor Beau","K1H","106.26","348.29","398.02","Demi A"
"Vincent Herrenberger","K1H","106.62","323.86","402.6","Demi A"
"Philippe Devillers","K1H","108.64","332.39","428.3","Demi A"
"Michael Didier","K1H","108.67","319.35","428.69","Demi A"
"Pascal Philip","K1H","109.77","363.93","442.68","Demi A"
"Robin Pottelette","K1H","113.93","363.05","495.62","Demi A"
"Florent Bernard","K1H","115.74","394.63","518.65","Demi A"
"Paul Frommer","K1H","119.15","349.25","562.04","Demi A"
"Thomas Stutzmann","K1H","121.46","354.59","591.44","Demi A"
"Yann Zaepffel","K1H","122.41","384.27","603.53","Demi A"
"Charles Fernandes De Oliveira","K1H","210.08","269.47","1719.11","Demi A"
"Emilie Lhomme","C1D","125.02","319.91","376.59","Demi B"
"Margaux Bandel","C1D","158.99","576.08","736.82","Demi B"
"Sarah Rothenbuhler","C1D","163.57","648.54","785.38","Demi B"
"Maxence Grandadam","C1H","112.36","-","412.56","Demi B"
"Lionel Borde","C1H","118.29","569.55","484.42","Demi B"
"Pascal Philip","C1H","120.62","466.08","512.66","Demi B"
"Antonin Dreit","C1H","122.7","498.18","537.86","Demi B"
"Hugo Venesque","C1H","127.88","594.58","600.64","Demi B"
"Romain Malgras","C1H","128.61","541.37","609.49","Demi B"
"Yann Becker","C1H","129.02","587.74","614.45","Demi B"
"Kyle Gelb","C1H","134.51","733.63","680.99","Demi B"
"Louis Masson","C1H","135.07","563.29","687.78","Demi B"
"Jules Marchal","C1H","137.08","505.89","712.13","Demi B"
"Lucas Hemmerle","C1H","138.04","496.78","723.77","Demi B"
"Christophe Billaud","C1H","143.55","609.75","790.54","Demi B"
"Dylan Hirtz","C1H","144.34","730.78","800.12","Demi B"
"Vincent Idriss Achaoui","C1H","146.68","773.14","828.47","Demi B"
"Florian Herrenberger","C1H","149.74","874.79","865.57","Demi B"
"Paul Frommer","C1H","191.3","721.99","1369.22","Demi B"
"Nathan Barbier","C1H","Nt","-","-","Demi B"
"Philippe Senechal-Xavier Rat","C2H","126.79","571.64","517.59","Demi B"
"Maxime Gaillard-Timothee Olla","C2H","130.65","-","562.24","Demi B"
"Valentin Serrurier-Hugo Simon","C2H","131.64","556.63","573.7","Demi B"
"Margaux Bandel","K1D","120.69","405.4","409.95","Demi B"
"Brigitte Marechal","K1D","122.45","348.48","429.78","Demi B"
"Mylene Pellizzoni","K1D","125.99","471.24","469.65","Demi B"
"Sarah Rothenbuhler","K1D","132.84","437.81","546.78","Demi B"
"Stassy Legendre","K1D","133.95","487.62","559.28","Demi B"
"Deborah Bouchenot","K1D","134.06","555.99","560.51","Demi B"
"Maeva Auriol","K1D","140.65","549.81","634.73","Demi B"
"Anais Mouhoub","K1D","141.2","441.71","640.92","Demi B"
"Carole Dolmaire","K1D","144.99","708.03","683.6","Demi B"
"Thais Francois","K1D","157.02","466.74","819.07","Demi B"
"Julie Munch","K1D","159.79","868.19","850.26","Demi B"
"Coline Bertin","K1D","187.18","479.33","1158.7","Demi B"
"Annaelle Soulet","K1D","Nt","-","-","Demi B"
"Guillaume Carpentier","K1H","101.91","343.76","347.67","Demi B"
"Florent Tamburini","K1H","102.2","361.46","351.36","Demi B"
"Esteban Le Coz","K1H","106.26","364.37","403.02","Demi B"
"Patrick Gass","K1H","106.36","350.24","404.29","Demi B"
"Jean Philippe Roche","K1H","106.42","473.28","405.05","Demi B"
"Francis Gaillard","K1H","106.49","323.85","405.95","Demi B"
"Kyle Gelb","K1H","106.86","480.13","410.65","Demi B"
"Philippe Thevenin","K1H","107.38","385.47","417.27","Demi B"
"Charles Vallet","K1H","108.72","303.23","434.32","Demi B"
"Benjamin Dodane","K1H","109.08","418.36","438.9","Demi B"
"Thibault Szlamowicz","K1H","109.54","544.88","444.76","Demi B"
"Quentin Madureira","K1H","109.61","304.75","445.65","Demi B"
"Vincent Idriss Achaoui","K1H","110.45","431.16","456.34","Demi B"
"Nicolas Fritsch","K1H","111.22","437.78","466.13","Demi B"
"Sebastien Varin","K1H","111.34","478.28","467.66","Demi B"
"Maxime Gaillard","K1H","111.54","358.92","470.21","Demi B"
"Jules Marchal","K1H","113.24","425.81","491.84","Demi B"
"Loic Thielen","K1H","113.44","337.79","494.38","Demi B"
"Simon Hene","K1H","113.81","529.04","499.09","Demi B"
"Romain Malgras","K1H","114.58","554.75","508.89","Demi B"
"Matteo Licoine","K1H","115.17","409.47","516.4","Demi B"
"Arthur Marraro","K1H","116.38","537.94","531.79","Demi B"
"Louis Sibille","K1H","116.41","533.72","532.18","Demi B"
"Antoine Esseric","K1H","116.81","361.56","537.27","Demi B"
"Boris Rostaing","K1H","117.36","484.77","544.26","Demi B"
"Jean Guyot","K1H","117.47","404.84","545.66","Demi B"
"Jeremie Devillers","K1H","118.68","413","561.06","Demi B"
"Johan Floquet","K1H","118.72","640.78","561.57","Demi B"
"Benjamin Hene","K1H","119.98","580.85","577.6","Demi B"
"Patrick Thevenin","K1H","120.72","536.81","587.02","Demi B"
"Titouan Riviere","K1H","121.59","629.16","598.09","Demi B"
"Louis Lombardi","K1H","122.24","565.11","606.36","Demi B"
"Xavier Richard","K1H","123.15","490.67","617.94","Demi B"
"Antoine Loppion","K1H","123.32","571.72","620.1","Demi B"
"Gilles Barthelemy","K1H","123.43","462.38","621.5","Demi B"
"Benjamin Bergin","K1H","124.04","598.23","629.27","Demi B"
"Vincent Causse","K1H","124.67","597.96","637.28","Demi B"
"Antoine Leroy","K1H","124.74","327.74","638.17","Demi B"
"Eliot Wendling","K1H","125.56","579.84","648.61","Demi B"
"Hugo Venesque","K1H","125.63","526.44","649.5","Demi B"
"Yanis Delacour","K1H","130.65","581.44","713.38","Demi B"
"Eric Louis","K1H","130.74","683.99","714.52","Demi B"
"Rafael Pawlus","K1H","132.04","518","731.07","Demi B"
"Leo Hemmerle","K1H","133.23","474.7","746.21","Demi B"
"William Pawlus","K1H","135.04","600.59","769.24","Demi B"
"Luka Simeant Esprit","K1H","135.6","635.25","776.37","Demi B"
"Florian Herrenberger","K1H","137.71","584.42","803.22","Demi B"
"Claude Breuzard","K1H","142.02","570.85","858.06","Demi B"
"Guillaume Bourgade","K1H","145.14","633.58","897.76","Demi B"
"Sacha Mutschler","K1H","145.74","720.2","905.4","Demi B"
"Xavier Rat","K1H","164.44","374.17","1143.35","Demi B"
"Loic Joly","K1H","165.52","366.74","1157.09","Demi B"
"David Pierson","K1H","Nt","-","-","Demi B"
