"Sélectif Régional de slalom - Isle De La Serre (sault Brénaz) - Course n°2 | Finale - 2015-10-25","Course n°2 | Finale","2015-10-25","Régional","162"
"Phenicia Dupras","K1D","112.34","317.57","288.65","Course n°2 | Finale A"
"Raphaelle Hovine","K1D","114.18","278.17","309.46","Course n°2 | Finale A"
"Fanny Mino-vercellio","K1D","116.76","285.24","338.63","Course n°2 | Finale A"
"Carine Chapuis","K1D","116.81","288.49","339.21","Course n°2 | Finale A"
"Coline Bertin","K1D","119.32","349.17","367.59","Course n°2 | Finale A"
"Zoe Bruchon","K1D","119.91","317.6","374.26","Course n°2 | Finale A"
"Louane Chenal","K1DM","125.07","382.68","432.61","Course n°2 | Finale A"
"Marie Juquelier","K1DM","125.21","440.27","434.2","Course n°2 | Finale A"
"Solen Friconneau","K1DM","134.15","-","-","Course n°2 | Finale A"
"Lucie Fromentoux","K1DM","138.88","679.76","593.81","Course n°2 | Finale A"
"Anouk Alberti","K1DM","150.64","-","-","Course n°2 | Finale A"
"Victoire Guerin","K1DM","206.44","686.19","1352.87","Course n°2 | Finale A"
"Yves Prigent","K1H","83.94","28.44","90.87","Course n°2 | Finale A"
"Benjamin Travostino","K1H","84.54","53.68","98.54","Course n°2 | Finale A"
"Titouan Dupras","K1H","87.35","126.2","134.45","Course n°2 | Finale A"
"Kevin Schultz","K1H","89.43","72.79","161.03","Course n°2 | Finale A"
"Gregoire Guerin","K1H","90.69","163.5","177.13","Course n°2 | Finale A"
"Maxime Bottex","K1H","90.94","89.24","180.33","Course n°2 | Finale A"
"Lucas Latimier","K1H","92.15","222.68","195.79","Course n°2 | Finale A"
"Minhyeong Song","K1H","92.25","225.01","197.07","Course n°2 | Finale A"
"Matthieu Le Gall","K1H","92.69","176.38","202.69","Course n°2 | Finale A"
"Jonathan Chapatte","K1H","93.09","144.92","207.81","Course n°2 | Finale A"
"Davy Egraz","K1H","93.76","183.12","216.37","Course n°2 | Finale A"
"Robin Pilard","K1H","93.91","181.21","218.28","Course n°2 | Finale A"
"Mathieu Monier","K1H","94.29","205.56","223.14","Course n°2 | Finale A"
"Nicolas Caussanel","K1H","95.18","145.86","234.52","Course n°2 | Finale A"
"Sylvain Curinier","K1H","96.81","250.15","255.35","Course n°2 | Finale A"
"Guilhem Douillet","K1H","97.01","-","257.9","Course n°2 | Finale A"
"Erwan Cadio","K1H","97.21","245.1","260.46","Course n°2 | Finale A"
"Pierre Grapotte","K1H","97.47","240.96","263.78","Course n°2 | Finale A"
"Samuel Bonella","K1H","97.79","257.35","267.87","Course n°2 | Finale A"
"Aubry Bertin","K1H","97.89","163.46","269.15","Course n°2 | Finale A"
"Patrice Campioni","K1H","98.96","302.22","282.82","Course n°2 | Finale A"
"Alexis Caspar","K1H","99.89","321.52","294.71","Course n°2 | Finale A"
"Raphael Olla","K1H","101.38","296.06","313.75","Course n°2 | Finale A"
"Jeonghyeon Lee","K1H","102.75","286.62","331.26","Course n°2 | Finale A"
"Sebastien Routhier","K1H","103.01","312.11","334.58","Course n°2 | Finale A"
"Jules Cresp","K1H","103.19","267.37","336.88","Course n°2 | Finale A"
"Lilian Querry","K1H","104.36","259.18","351.83","Course n°2 | Finale A"
"Nicolas Detheve","K1H","106.03","307.79","373.18","Course n°2 | Finale A"
"Jules Silvin","K1H","111","287.88","436.69","Course n°2 | Finale A"
"Robin Pottelette","K1H","145.2","233.31","873.76","Course n°2 | Finale A"
"Jae Hyeong Bak","K1H","153.92","337.1","985.2","Course n°2 | Finale A"
"Emmanuel Triomphe","K1H","159.16","339.98","1052.16","Course n°2 | Finale A"
"Charles Fernandes De Oliveira","K1H","163","261.13","1101.24","Course n°2 | Finale A"
"Adrien Fischer","K1HM","102.53","364.88","328.45","Course n°2 | Finale A"
"Djendy Simeant","K1HM","105.2","-","-","Course n°2 | Finale A"
"Henri Bergognon","K1HM","106.62","276.22","380.72","Course n°2 | Finale A"
"Maxime Melmont","K1HM","112.52","481.55","456.12","Course n°2 | Finale A"
"Noe Monier","K1HM","115.26","-","-","Course n°2 | Finale A"
"Etienne Wiche","K1HM","115.26","-","-","Course n°2 | Finale A"
"Guillaume Belet","K1HM","116.01","-","-","Course n°2 | Finale A"
"Mohamed SaÏd Bekkadour","K1HM","118.63","-","-","Course n°2 | Finale A"
"Louis Mazoyer","K1HM","121.34","503.55","568.83","Course n°2 | Finale A"
"Paul Farrugio","K1HM","146.49","715.85","890.24","Course n°2 | Finale A"
"Titouan Auriol","K1HM","161.64","483.45","1083.86","Course n°2 | Finale A"
"Lucas Dominguez","K1HM","173.47","-","-","Course n°2 | Finale A"
"Margot Blanc","C1D","217.65","1115.24","1341.06","Course n°2 | Finale B"
"Raphael Olla","C1H","111.11","447.96","375.48","Course n°2 | Finale B"
"Beomsoo Kim","C1H","112.61","381.91","393.74","Course n°2 | Finale B"
"Guillaume Gonseth","C1H","114.43","360.21","415.89","Course n°2 | Finale B"
"Patrice Campioni","C1H","116.23","-","437.79","Course n°2 | Finale B"
"Jules Silvin","C1H","116.96","461.72","446.67","Course n°2 | Finale B"
"Yechan Oh","C1H","119.97","365.22","483.31","Course n°2 | Finale B"
"Titouan Dupras","C1H","121.71","392.55","504.49","Course n°2 | Finale B"
"Lucas Barriere","C1H","202.57","608.37","1488.66","Course n°2 | Finale B"
"David Besancon","C1H","Abs","-","-","Course n°2 | Finale B"
"Juliette Rousset","K1D","120.58","436.44","386.84","Course n°2 | Finale B"
"Louise Bichet","K1D","123.9","248.58","424.39","Course n°2 | Finale B"
"Aurelie Le Fee","K1D","125.16","468.67","438.64","Course n°2 | Finale B"
"Sarah Monod","K1D","127.46","484.77","464.64","Course n°2 | Finale B"
"Tifenn Primet","K1D","131.38","409.57","508.98","Course n°2 | Finale B"
"Lise Ducruet","K1D","147.1","1009.27","686.77","Course n°2 | Finale B"
"Stassy Legendre","K1D","147.57","539.36","692.08","Course n°2 | Finale B"
"Elise Carbon","K1D","152.8","817.84","751.23","Course n°2 | Finale B"
"Orlane Gauchet","K1D","162.89","560.16","865.34","Course n°2 | Finale B"
"Marine Brenet","K1D","195.55","2172.73","1234.71","Course n°2 | Finale B"
"Juliette Ribault","K1D","202.49","585.46","1313.2","Course n°2 | Finale B"
"Estelle Mayer","K1D","204.49","601.43","1335.82","Course n°2 | Finale B"
"Julie Roussel","K1D","Abd","-","-","Course n°2 | Finale B"
"Lison Soullier","K1D","Abd","-","-","Course n°2 | Finale B"
"Yann Zaepffel","K1H","96.9","261.53","261.5","Course n°2 | Finale B"
"William Gettliffe","K1H","97.97","352.61","275.17","Course n°2 | Finale B"
"Benjamin Dodane","K1H","98.05","328.96","276.19","Course n°2 | Finale B"
"Pascal Ferry","K1H","98.93","239.13","287.44","Course n°2 | Finale B"
"Thomas Denais","K1H","101.69","304.36","322.71","Course n°2 | Finale B"
"Loic Thielen","K1H","102.72","318.32","335.87","Course n°2 | Finale B"
"Lucas Barriere","K1H","105.67","368.86","373.57","Course n°2 | Finale B"
"Pascal Hunault","K1H","105.69","356.17","373.83","Course n°2 | Finale B"
"Bertrand Dubiez","K1H","106.19","340.49","380.22","Course n°2 | Finale B"
"Jean Philippe Roche","K1H","106.24","284.97","380.86","Course n°2 | Finale B"
"Olivier Barriere","K1H","107.3","339.59","394.41","Course n°2 | Finale B"
"Yanis Delacour","K1H","110.32","437.8","433","Course n°2 | Finale B"
"Tom Benini","K1H","111.43","324.2","447.19","Course n°2 | Finale B"
"Djimy Kar","K1H","111.88","373.22","452.94","Course n°2 | Finale B"
"Dyclan Plessis","K1H","112.69","395.83","463.29","Course n°2 | Finale B"
"Felix Balas","K1H","112.87","-","465.59","Course n°2 | Finale B"
"Kilian Godart","K1H","113.74","425","476.71","Course n°2 | Finale B"
"Yves Masson","K1H","116.35","568.03","510.06","Course n°2 | Finale B"
"Erwan Degreve","K1H","117.41","494.01","523.61","Course n°2 | Finale B"
"Loic Bouvier","K1H","118.11","485.69","532.55","Course n°2 | Finale B"
"Yannick Grizaud","K1H","119.25","429.97","547.12","Course n°2 | Finale B"
"Tom Mazouat","K1H","121.21","671.91","572.17","Course n°2 | Finale B"
"Francois Lecuit","K1H","121.7","550.53","578.43","Course n°2 | Finale B"
"Samuel Gerard","K1H","122.46","542.81","588.15","Course n°2 | Finale B"
"Maxime Pilard","K1H","123.52","438.96","601.69","Course n°2 | Finale B"
"Remi Vallin","K1H","128.96","-","671.21","Course n°2 | Finale B"
"Kilian Hervault","K1H","133.58","612.93","730.26","Course n°2 | Finale B"
"Enzo Mazouat","K1H","134.04","647.15","736.14","Course n°2 | Finale B"
"Marc Jungling","K1H","138.04","674.42","787.25","Course n°2 | Finale B"
"Antoni Zaki","K1H","164.08","430.35","1120.04","Course n°2 | Finale B"
"Harry Shakeshaft","K1H","188.65","-","1434.04","Course n°2 | Finale B"
"Jules Bernardet","K1H","Abs","-","-","Course n°2 | Finale B"
"Nino Chailan","K1HM","131.38","642.69","702.14","Course n°2 | Finale B"
"Benjamin Guyon","K1HM","133.88","-","-","Course n°2 | Finale B"
"Erwann Buthod","K1HM","135.23","-","-","Course n°2 | Finale B"
"Matheo Dejonghe","K1HM","136.41","-","-","Course n°2 | Finale B"
"Raphael Massot","K1HM","140.6","-","-","Course n°2 | Finale B"
"Yazid Koraichi","K1HM","143.58","-","-","Course n°2 | Finale B"
"Charles Culine","K1HM","144.09","829.34","864.57","Course n°2 | Finale B"
"Angelino Castagnetti","K1HM","144.42","958.6","868.79","Course n°2 | Finale B"
"Valentin Renier","K1HM","149.13","-","928.98","Course n°2 | Finale B"
"Luc Primet","K1HM","164.26","-","-","Course n°2 | Finale B"
"Julien Lambert","K1HM","198.52","-","-","Course n°2 | Finale B"
"Thibault Pereira","K1HM","205.94","-","1655","Course n°2 | Finale B"
