"SELECTION REGIONAL 2 -  - 2002-11-24","Course 1","2002-11-24","Régional","126"
"Gallerne Stephane","K1H","200.30","-","393",""
"Yann Lardic","K1H","201.08","416","398",""
"Petitpas Nicolas","K1H","201.85","-","404",""
"Simon Despres","K1H","203.17","-","413",""
"Mahe Alan","K1H","203.18","440","413",""
"Le Breton Arnaud","K1H","203.72","-","417",""
"Thierry Sebastien","K1H","203.77","-","417",""
"Perret Herve","K1H","204.54","588","423",""
"Gardan Benjamin","K1H","205.50","-","430",""
"Rivallain Ludovic","K1H","205.94","469","434",""
"Mathieu Bourdet","K1H","207.26","443","443",""
"Genet Jeanthomas","K1H","207.87","456","448",""
"Debray Damien","K1H","210.21","459","464",""
"Pierre Le Clezio","K1H","211.28","-","471",""
"Le Garrec Julien","K1H","211.33","524","472",""
"Regis Cabel","K1H","212.01","-","476",""
"Stephen Le Diagon","K1H","213.21","490","485",""
"Pannetier Brice","K1H","214.15","-","493",""
"Simon Ddamien","K1H","214.99","-","498",""
"Rossignol Yves","K1H","215.86","512","504",""
"Pierreyves Hellard","K1H","216.01","525","505",""
"Pierre Yves Tanguy","K1H","216.63","-","510",""
"Gallon Anthony","K1H","217.26","-","514",""
"Le Guyader Julien","K1H","218.53","-","524",""
"Hoel Carnot","K1H","218.95","476","527",""
"Sinquin Gwenael","K1H","220.55","667","538",""
"Dolo David","K1H","220.62","-","539",""
"Lebreton Simon","K1H","220.95","495","541",""
"Rogue Clement","K1H","223.03","734","556",""
"Colombert Yann","K1H","223.62","494","560",""
"Priol Yoann","K1H","223.62","657","560",""
"Baradel Yann","K1H","223.77","-","561",""
"Descheres Erwan","K1H","224.76","-","569",""
"Galmiche Valentin","K1H","224.94","-","570",""
"Ansquer Guy","K1H","225.41","-","573",""
"Gacogne Yves","K1H","226.62","1231","582",""
"Nicolas Romain","K1H","228.67","633","597",""
"Perrin Guenole","K1H","229.83","-","604",""
"Simon Joseph","K1H","230.26","-","607",""
"Pierre-yves Lebreton","K1H","231.44","-","616",""
"Paul Fievet","K1H","232.98","-","627",""
"Samsom Lionnel","K1H","240.70","-","683",""
"Poupa Guillaume","K1H","244.08","-","707",""
"Beyou Franck","K1H","244.23","1407","708",""
"Vourc'h Yoann","K1H","247.05","-","728",""
"Charles Kerbellec","K1H","250.36","-","752",""
"Marrec Pierre-Yves","K1H","250.49","451","752",""
"Thomas Jean Marie","K1H","251.15","-","758",""
"Georgin Etienne","K1H","253.94","463","777",""
"Saucet Jacques","K1H","263.06","-","842",""
"Alexandre Rivolet","K1H","278.95","-","957",""
"Melen Pilorge","K1H","301.26","-","1117",""
"Ronan Dhabit","K1H","312.72","-","1199",""
"Le Guyader Mathieu","K1H","324.87","-","1286",""
"David Julou","K1H","339.61","-","1392",""
"Corbeau Benjamin","K1H","380.95","-","1688",""
"Turisi Valentin","K1H","425.83","-","2010",""
"Queric Ronan","K1H","426.21","-","2012",""
"Soson Alexandre","K1H","473.33","-","2350",""
