"Sélectif Régional du Rebech - Foix - 2005-10-16","Course 1","2005-10-16","Régional","283"
"Guillaume Marmer","K1H","342.35","-","844",""
"Bibonne Kevin","K1H","344.61","-","856",""
"Cailleux Quentin","K1H","347.64","-","872",""
"Thomas Wingerter","K1H","349.28","573","879",""
"Herve Mars","K1H","377.79","-","1030",""
"Pascalis-Salvador Lucas","K1H","383.45","-","1060",""
"Delagarde Quentin","K1H","408.48","-","1192",""
"Frasseto Romain","K1H","409.82","840","1199",""
"Delbreil Clement","K1H","422.35","-","1265",""
"Thirouard Renaud","K1H","422.99","-","1268",""
"Jouanneau Guilhem","K1H","445.05","-","1385",""
"Lebouc Benjamin","K1H","479.95","-","1568",""
"Palacin Jeremy","K1H","484.07","-","1590",""
"Valentin Giret","K1H","489.21","-","1618",""
"Sebastien Peres","K1H","492.98","523","1638",""
"Morgan Forget","K1H","545.04","-","1912",""
"Bastin Jean","K1H","555.88","-","1969",""
"Claparede Jonas","K1H","590.61","-","2152",""
"Denis Christopher","K1H","606.38","-","2235",""
"Robin Bourianne","K1H","620.91","-","2312",""
"Labarthe Julien","K1H","621.71","-","2316",""
"Daneau Aymeric","K1H","690.27","-","2678",""
